t,ap,cp,v
1738573635,1088.85,1088.85,684
1738573736,1088.85,1088.85,684
1738573741,1088.85,1088.85,684
1738574159,1069.19,1066.80,5070
1738574219,1068.27,1066.05,6621
1738574279,1068.05,1067.45,7668
1738574339,1068.12,1070.05,8528
1738574399,1068.26,1067.90,9791
1738574459,1068.19,1068.85,10862
1738574519,1068.22,1070.05,11302
1738574579,1068.48,1071.50,12347
1738574639,1068.58,1071.00,12704
1738574697,1068.62,1075.00,12892
1738574759,1068.72,1077.25,13081
1738574819,1069.38,1080.95,13949
1738574879,1069.49,1079.05,14109
1738574939,1069.71,1081.20,14385
1738574999,1069.96,1077.85,14801
1738575059,1070.72,1073.55,17679
1738575119,1070.98,1077.45,18741
1738575179,1071.01,1075.25,18914
1738575239,1071.02,1076.20,18953
1738575298,1071.20,1078.15,19507
1738575359,1071.25,1074.00,19715
1738575419,1071.25,1071.90,19759
1738575479,1071.24,1071.10,19908
1738575538,1071.24,1070.05,19946
1738575599,1071.16,1068.00,20523
1738575659,1071.18,1072.25,21619
1738575719,1071.18,1069.45,22042
1738575779,1071.16,1069.00,22350
1738575839,1071.14,1068.00,22504
1738575899,1071.14,1068.00,22504
1738575959,1070.81,1066.80,24219
1738576017,1070.80,1067.85,24318
1738576079,1070.79,1067.15,24402
1738576139,1070.78,1068.70,24457
1738576199,1070.78,1066.60,24488
1738576259,1070.69,1069.95,25023
1738576319,1070.69,1070.30,25053
1738576379,1070.69,1071.05,25344
1738576439,1070.70,1071.95,25607
1738576499,1070.70,1071.95,25607
1738576559,1070.77,1071.00,26198
1738576619,1070.78,1073.35,26389
1738576679,1070.78,1071.70,26404
1738576739,1070.79,1073.00,26716
1738576799,1070.85,1077.50,27111
1738576859,1070.87,1073.75,27190
1738576919,1070.95,1077.45,27821
1738576979,1071.01,1074.55,28189
1738577038,1071.03,1076.25,28255
1738577099,1071.03,1076.25,28255
1738577159,1071.05,1076.60,28393
1738577219,1071.12,1076.05,28734
1738577279,1071.18,1076.30,29114
1738577339,1071.19,1076.95,29145
1738577399,1071.23,1076.45,29342
1738577459,1071.28,1078.15,29553
1738577519,1071.43,1080.95,30068
1738577579,1071.45,1080.00,30137
1738577639,1071.50,1080.40,30300
1738577699,1071.51,1080.65,30330
1738577759,1071.51,1079.00,30344
1738577819,1071.53,1076.65,30448
1738577879,1071.54,1077.00,30503
1738577939,1071.54,1077.15,30506
1738577999,1071.57,1077.15,30672
1738578059,1071.68,1074.90,31616
1738578119,1071.70,1074.25,31746
1738578179,1071.70,1074.30,31846
1738578239,1071.71,1075.50,31852
1738578299,1071.76,1074.85,32302
1738578359,1071.84,1074.85,33053
1738578419,1071.84,1074.85,33053
1738578479,1071.87,1075.90,33406
1738578539,1071.88,1074.80,33422
1738578599,1071.88,1074.25,33535
1738578659,1071.89,1074.90,33695
1738578719,1071.89,1074.55,33705
1738578779,1071.90,1074.30,33816
1738578839,1071.90,1074.30,33816
1738578898,1071.90,1073.35,33916
1738578959,1071.90,1074.20,33922
1738579019,1071.91,1073.65,33950
1738579079,1071.91,1072.70,33985
1738579139,1071.91,1072.20,34101
1738579199,1071.91,1072.00,34203
1738579259,1071.91,1071.20,34213
1738579319,1071.91,1073.75,34374
1738579379,1071.92,1076.90,34457
1738579439,1071.93,1077.60,34482
1738579499,1071.93,1076.45,34519
1738579559,1071.96,1078.05,34717
1738579619,1071.97,1077.65,34742
1738579679,1071.97,1077.65,34752
1738579739,1071.99,1077.75,34853
1738579799,1072.05,1076.55,35331
1738579859,1072.05,1076.05,35332
1738579919,1072.06,1073.90,35487
1738579979,1072.06,1074.90,35503
1738580039,1072.06,1074.85,35504
1738580099,1072.06,1074.85,35504
1738580159,1072.06,1074.80,35518
1738580219,1072.06,1076.55,35538
1738580279,1072.32,1075.00,38966
1738580339,1072.35,1077.00,39235
1738580399,1072.35,1077.00,39235
1738580459,1072.35,1076.00,39262
1738580519,1072.35,1076.00,39268
1738580579,1072.48,1076.00,40785
1738580639,1072.50,1078.00,40955
1738580699,1072.51,1078.00,41023
1738580759,1072.52,1078.00,41114
1738580819,1072.52,1077.60,41117
1738580879,1072.52,1077.95,41132
1738580939,1072.54,1079.90,41209
1738580999,1072.54,1079.95,41263
1738581059,1072.66,1078.35,41913
1738581119,1072.68,1080.45,42048
1738581179,1072.68,1079.35,42049
1738581239,1072.69,1081.65,42110
1738581299,1072.78,1081.15,42527
1738581359,1072.96,1083.80,43226
1738581419,1072.98,1085.45,43276
1738581479,1073.09,1087.20,43638
1738581539,1073.18,1086.30,43934
1738581599,1073.20,1085.40,44012
1738581659,1073.20,1084.30,44018
1738581719,1073.21,1083.20,44028
1738581779,1073.21,1083.20,44063
1738581839,1073.30,1082.20,44432
1738581899,1073.35,1081.05,44766
1738581959,1073.35,1081.15,44778
1738582019,1073.37,1081.25,44868
1738582079,1073.39,1079.05,45029
1738582139,1073.82,1078.00,49455
1738582198,1073.85,1078.90,49743
1738582259,1073.87,1080.25,49909
1738582319,1073.88,1082.10,49990
1738582379,1073.88,1080.75,50035
1738582439,1073.98,1082.10,50636
1738582499,1074.00,1081.30,50777
1738582559,1074.00,1081.00,50779
1738582619,1074.01,1081.90,50819
1738582679,1074.02,1080.50,50886
1738582739,1074.33,1081.70,53422
1738582799,1074.34,1081.20,53453
1738582859,1074.35,1082.65,53523
1738582919,1074.35,1082.00,53530
1738582979,1074.39,1082.80,53837
1738583039,1074.39,1081.95,53838
1738583099,1074.41,1083.15,53943
1738583159,1074.42,1083.65,53991
1738583219,1074.42,1083.65,53991
1738583279,1074.42,1083.90,53997
1738583339,1074.44,1085.95,54115
1738583399,1074.48,1084.05,54333
1738583459,1074.49,1084.05,54377
1738583519,1074.50,1083.75,54471
1738583579,1074.50,1083.75,54471
1738583639,1074.51,1082.05,54480
