t,ap,cp,v
1738573635,281.90,281.90,1759
1738573682,281.90,281.90,1759
1738573740,281.90,281.90,1759
1738573846,281.90,281.90,1759
1738574159,281.12,279.80,3050
1738574219,281.08,280.00,3256
1738574279,281.05,280.10,3516
1738574339,281.04,280.80,3693
1738574399,281.02,280.25,3770
1738574459,280.85,280.20,4633
1738574519,280.82,280.00,4766
1738574579,280.78,279.65,4906
1738574639,280.75,280.50,5331
1738574699,280.76,280.65,6008
1738574759,280.76,281.40,6391
1738574819,281.26,284.95,7785
1738574879,281.44,285.25,8181
1738574939,281.89,286.50,9074
1738574999,282.07,287.10,9395
1738575059,282.10,285.70,9487
1738575119,282.16,286.00,9617
1738575179,282.19,285.70,9704
1738575239,282.25,286.10,9856
1738575299,282.75,286.50,11231
1738575359,282.99,285.00,12107
1738575419,283.16,285.50,13200
1738575479,283.17,285.20,13300
1738575539,283.20,284.65,13509
1738575599,283.21,284.95,13606
1738575659,283.30,285.25,14177
1738575719,283.30,285.60,14208
1738575779,283.34,285.85,14492
1738575839,283.53,285.80,15581
1738575899,283.53,285.80,15612
1738575959,283.57,285.05,15971
1738576016,283.59,285.45,16114
1738576079,283.59,285.50,16180
1738576139,283.61,284.00,16542
1738576199,283.60,282.60,16961
1738576259,283.59,284.40,17324
1738576319,283.60,284.50,17453
1738576379,283.60,283.85,17834
1738576439,283.61,284.15,18042
1738576499,283.61,284.50,18088
1738576559,283.61,284.10,18092
1738576619,283.62,284.65,18189
1738576679,283.65,284.20,19190
1738576739,283.66,284.00,19326
1738576799,283.66,284.00,19424
1738576859,283.66,284.30,19506
1738576919,283.67,285.30,19539
1738576979,283.69,285.80,19743
1738577039,283.76,285.35,20514
1738577099,283.77,285.30,20580
1738577159,283.85,284.85,21999
1738577219,283.87,285.10,22209
1738577279,283.87,285.10,22209
1738577338,283.87,284.70,22332
1738577399,283.87,284.85,22364
1738577459,283.88,285.70,22430
1738577519,283.89,286.00,22555
1738577579,283.89,286.00,22555
1738577639,283.89,285.65,22587
1738577699,283.90,284.75,22724
1738577759,283.91,284.65,23193
1738577819,283.91,284.65,23193
1738577879,283.91,284.95,23245
1738577939,283.91,284.95,23265
1738577999,283.91,284.45,23295
1738578059,283.91,284.80,23315
1738578119,283.91,285.15,23332
1738578179,283.91,286.25,23367
1738578239,283.97,286.50,23901
1738578299,283.97,286.20,23947
1738578359,283.97,286.15,23993
1738578419,284.09,286.90,24996
1738578479,284.09,286.80,25042
1738578539,284.10,287.00,25150
1738578599,284.10,286.05,25155
1738578659,284.11,285.85,25197
1738578719,284.11,286.65,25291
1738578779,284.12,286.40,25369
1738578839,284.12,286.40,25369
1738578898,284.16,286.40,25859
1738578959,284.17,286.85,25864
1738579019,284.18,286.60,26032
1738579079,284.18,286.60,26032
1738579139,284.19,286.50,26098
1738579199,284.19,286.50,26098
1738579259,284.19,286.50,26098
1738579319,284.28,286.75,27098
1738579379,284.32,287.20,27426
1738579439,284.32,287.20,27426
1738579499,284.33,287.35,27580
1738579559,284.33,287.75,27590
1738579619,284.33,287.75,27590
1738579679,284.34,288.00,27600
1738579739,284.36,288.00,27780
1738579799,284.37,287.90,27847
1738579859,284.45,287.85,28548
1738579919,284.46,287.85,28588
1738579979,284.46,287.95,28595
1738580039,284.48,287.75,28769
1738580099,284.52,287.75,29177
1738580159,284.52,287.75,29177
1738580219,284.58,287.80,29833
1738580279,284.58,287.80,29833
1738580339,284.58,287.80,29833
1738580399,284.64,287.80,30302
1738580459,284.68,287.85,30694
1738580519,284.68,287.85,30694
1738580579,284.68,288.10,30700
1738580639,284.68,288.10,30720
1738580699,284.78,288.55,31553
1738580759,284.89,289.50,32394
1738580819,285.24,290.60,34774
1738580879,285.25,290.45,34808
1738580939,285.25,290.00,34818
