t,ap,cp,v
1738573635,1750.75,1750.75,2
1738573740,1750.75,1750.75,2
1738574158,1730.70,1707.30,4
1738574218,1730.70,1707.30,4
1738574278,1701.00,1700.00,136
1738574338,1701.03,1702.50,139
1738574398,1701.03,1702.50,139
1738574458,1701.03,1702.50,139
1738574519,1700.80,1700.00,187
1738574578,1700.80,1700.00,187
1738574638,1700.80,1700.00,187
1738574699,1701.43,1707.15,208
1738574759,1702.11,1712.10,225
1738574819,1706.48,1738.95,260
1738574879,1706.48,1738.95,260
1738574939,1712.00,1741.30,306
1738574999,1713.60,1746.45,321
1738575059,1713.70,1744.90,322
1738575117,1713.70,1744.90,322
1738575179,1719.77,1739.50,406
1738575239,1719.77,1739.50,406
1738575296,1719.77,1739.50,406
1738575358,1719.77,1739.50,406
1738575417,1719.81,1729.10,408
1738575478,1719.81,1729.10,408
1738575538,1719.79,1716.10,410
1738575597,1719.79,1716.10,410
1738575659,1719.81,1724.90,417
1738575718,1719.85,1725.85,420
1738575778,1719.85,1725.85,420
1738575839,1719.85,1725.85,420
1738575899,1719.85,1725.85,420
1738575959,1719.85,1725.85,420
1738576012,1719.85,1725.85,420
1738576077,1719.85,1725.85,420
1738576139,1719.85,1725.85,420
1738576198,1719.85,1725.85,420
1738576259,1719.85,1725.85,420
1738576318,1719.85,1725.85,420
1738576379,1719.85,1725.85,420
1738576437,1719.85,1725.85,420
1738576498,1719.85,1725.85,420
1738576559,1719.85,1725.85,420
1738576619,1719.85,1725.85,420
1738576674,1719.85,1725.85,420
1738576738,1719.42,1713.85,463
1738576798,1719.42,1713.85,463
1738576858,1719.42,1713.85,463
1738576918,1720.16,1726.90,522
1738576979,1720.34,1725.05,536
1738577038,1720.34,1725.05,536
1738577099,1720.34,1725.05,536
1738577159,1720.34,1725.05,536
1738577218,1720.34,1725.05,536
1738577279,1720.77,1724.95,600
1738577338,1720.77,1724.95,600
1738577399,1720.77,1724.95,600
1738577459,1720.77,1724.95,600
1738577518,1720.77,1724.95,600
1738577577,1720.77,1724.95,600
1738577638,1720.77,1724.95,600
1738577697,1720.77,1724.95,600
1738577759,1720.78,1721.70,601
1738577818,1720.78,1721.70,601
1738577879,1720.78,1721.70,601
1738577939,1720.00,1715.00,713
1738577999,1720.00,1715.00,713
1738578059,1720.00,1715.00,713
1738578119,1720.02,1721.95,721
1738578179,1719.80,1715.05,754
1738578239,1719.70,1714.05,767
1738578299,1719.64,1718.35,801
1738578358,1719.65,1720.05,811
1738578419,1719.65,1720.05,811
1738578479,1719.53,1710.05,821
1738578538,1719.53,1710.05,821
1738578594,1719.53,1710.05,821
1738578659,1719.53,1710.05,821
1738578717,1719.33,1710.95,840
1738578779,1719.33,1710.95,840
1738578837,1719.33,1710.95,840
1738578898,1719.33,1717.90,841
1738578959,1719.34,1719.40,864
1738579015,1719.34,1719.40,864
1738579079,1719.32,1717.65,874
1738579138,1719.32,1717.65,874
1738579198,1719.32,1717.65,874
1738579258,1719.32,1720.00,878
1738579318,1719.43,1722.95,912
1738579379,1719.43,1722.95,912
1738579435,1719.43,1722.95,912
1738579498,1719.58,1730.65,923
1738579559,1719.64,1734.00,927
1738579619,1719.70,1738.50,930
1738579679,1719.90,1740.45,939
1738579739,1719.90,1740.45,939
1738579799,1719.90,1740.45,939
1738579859,1719.90,1740.45,939
1738579918,1721.22,1743.30,996
1738579979,1721.24,1742.50,997
1738580037,1721.81,1739.05,1030
1738580094,1721.81,1739.05,1030
1738580158,1722.57,1741.50,1072
1738580218,1722.57,1741.50,1072
1738580278,1723.14,1739.45,1109
1738580339,1723.14,1739.45,1109
1738580398,1723.14,1739.45,1109
1738580459,1723.14,1739.45,1109
1738580518,1727.27,1749.50,1305
1738580579,1727.27,1749.50,1305
1738580639,1727.27,1749.50,1305
1738580694,1727.27,1749.50,1305
1738580756,1727.27,1749.50,1305
1738580818,1727.27,1749.50,1305
1738580879,1727.66,1736.05,1355
1738580935,1727.66,1736.05,1355
1738580998,1727.66,1736.05,1355
1738581058,1727.66,1736.05,1355
1738581118,1727.70,1736.90,1363
1738581176,1727.70,1736.90,1363
1738581239,1727.70,1736.90,1363
1738581295,1727.70,1736.90,1363
1738581358,1727.70,1736.90,1363
1738581414,1727.70,1736.90,1363
1738581479,1727.70,1736.90,1363
1738581536,1727.70,1736.90,1363
1738581599,1727.83,1744.95,1373
1738581658,1727.83,1744.95,1373
1738581719,1727.83,1744.95,1373
1738581779,1727.83,1744.95,1373
1738581839,1727.83,1744.95,1373
1738581898,1727.95,1742.05,1385
1738581959,1728.08,1739.95,1401
1738582013,1728.08,1739.95,1401
1738582076,1728.08,1739.95,1401
1738582138,1728.08,1739.95,1401
1738582198,1728.69,1729.55,1512
1738582259,1728.73,1729.70,1540
1738582316,1728.71,1725.05,1550
1738582374,1728.71,1725.05,1550
1738582439,1728.71,1727.90,1551
1738582499,1728.71,1727.95,1553
1738582559,1728.71,1727.95,1553
1738582618,1728.67,1727.85,1578
1738582678,1728.67,1727.85,1578
1738582739,1728.67,1727.85,1578
1738582797,1728.67,1727.85,1578
1738582857,1727.80,1720.00,1722
1738582917,1727.80,1717.00,1723
1738582979,1727.80,1717.00,1723
1738583039,1727.80,1717.00,1723
1738583096,1727.80,1717.00,1723
1738583159,1727.80,1717.00,1723
1738583218,1727.80,1717.00,1723
1738583274,1727.76,1720.05,1731
1738583339,1727.76,1720.05,1731
1738583399,1727.76,1720.05,1731
1738583454,1727.76,1720.05,1731
1738583516,1727.74,1721.85,1736
1738583579,1727.74,1721.85,1736
1738583639,1727.67,1720.20,1756
