t,ap,cp,v
1738573634,1077.55,1077.55,1109
1738573777,1077.55,1077.55,1109
1738573820,1077.55,1077.55,1109
1738574159,1072.54,1062.45,5360
1738574219,1070.90,1055.25,5975
1738574279,1068.82,1059.20,6819
1738574339,1067.41,1057.40,7778
1738574398,1066.50,1058.20,8614
1738574459,1064.40,1053.30,10597
1738574519,1063.95,1054.95,11124
1738574579,1063.78,1065.30,11746
1738574639,1063.74,1063.25,12308
1738574698,1063.73,1061.50,12670
1738574759,1063.70,1066.85,14089
1738574819,1063.93,1073.15,14522
1738574879,1065.24,1082.85,16024
1738574939,1065.92,1078.15,16883
1738574999,1066.22,1077.25,17328
1738575059,1066.71,1075.05,18280
1738575119,1066.86,1073.30,18686
1738575179,1067.03,1062.65,19481
1738575239,1067.02,1061.85,19529
1738575298,1066.92,1062.20,20067
1738575359,1066.90,1061.00,20129
1738575419,1066.73,1057.00,20640
1738575479,1066.33,1060.85,21889
1738575539,1066.08,1057.60,22651
1738575598,1065.67,1057.30,23881
1738575658,1065.63,1060.45,24037
1738575719,1065.41,1056.30,24753
1738575779,1065.39,1059.25,24810
1738575839,1065.29,1055.70,25070
1738575899,1065.23,1056.60,25327
1738575959,1065.21,1056.45,25364
1738576017,1065.16,1055.95,25489
1738576079,1065.10,1056.35,25649
1738576139,1065.10,1056.90,25666
1738576199,1065.09,1056.10,25681
1738576259,1065.08,1056.75,25715
1738576319,1065.08,1057.55,25725
1738576379,1065.01,1055.70,25922
1738576439,1064.99,1057.50,26006
1738576499,1064.76,1061.80,26898
1738576559,1064.71,1058.00,27207
1738576619,1064.67,1055.95,27330
1738576678,1064.34,1053.00,28172
1738576739,1063.97,1050.25,28962
1738576799,1063.95,1051.75,29006
1738576859,1063.77,1051.75,29433
1738576919,1063.71,1057.95,29649
1738576979,1063.70,1054.75,29681
1738577039,1063.70,1054.75,29696
1738577099,1063.67,1053.65,29771
1738577157,1063.66,1056.50,29831
1738577219,1063.57,1060.00,30223
1738577279,1063.57,1062.80,30339
1738577339,1063.56,1061.45,30372
1738577399,1063.54,1059.95,30574
1738577459,1063.53,1061.95,30666
1738577519,1063.52,1063.90,31167
1738577577,1063.52,1063.90,31192
1738577639,1063.52,1064.00,31267
1738577699,1063.53,1067.90,31302
1738577759,1063.54,1064.55,31536
1738577819,1063.54,1064.60,31572
1738577879,1063.54,1063.25,31584
1738577939,1063.54,1059.90,31586
1738577998,1063.54,1058.10,31603
1738578059,1063.52,1055.60,31680
1738578119,1063.52,1057.30,31690
1738578177,1063.40,1057.55,32311
1738578238,1063.39,1059.75,32361
1738578299,1063.39,1057.45,32388
1738578359,1063.38,1056.75,32423
1738578419,1063.29,1055.30,32777
1738578479,1063.28,1056.40,32840
1738578539,1063.24,1052.80,32965
1738578599,1063.22,1052.85,33015
1738578659,1063.02,1051.05,33572
1738578718,1063.02,1052.05,33574
1738578779,1062.94,1050.00,33811
1738578839,1062.92,1051.60,33851
1738578899,1062.64,1056.95,35109
1738578959,1062.59,1059.30,35406
1738579019,1062.58,1059.80,35496
1738579079,1062.58,1057.35,35516
1738579137,1062.57,1055.05,35553
1738579197,1062.57,1055.85,35554
1738579259,1062.56,1055.15,35590
1738579317,1062.56,1056.05,35621
1738579379,1062.56,1056.05,35621
1738579439,1062.56,1058.35,35631
1738579499,1062.54,1063.30,36115
1738579559,1062.54,1063.15,36116
1738579619,1062.54,1063.15,36116
1738579678,1062.54,1063.30,36141
1738579738,1062.54,1063.30,36141
1738579799,1062.54,1061.00,36169
1738579859,1062.54,1061.50,36201
1738579919,1062.54,1061.50,36201
1738579978,1062.54,1061.55,36283
1738580039,1062.53,1061.20,36387
1738580099,1062.53,1061.20,36387
1738580157,1062.53,1062.50,36486
1738580215,1062.53,1064.60,36512
1738580279,1062.53,1063.80,36567
1738580336,1062.53,1063.80,36567
1738580399,1062.53,1065.00,36622
1738580459,1062.54,1067.40,36627
1738580519,1062.54,1066.55,36668
1738580579,1062.54,1065.20,36672
1738580638,1062.56,1064.00,37039
1738580699,1062.56,1061.75,37090
1738580759,1062.56,1062.40,37106
1738580819,1062.56,1062.40,37106
1738580879,1062.56,1062.40,37106
1738580939,1062.56,1061.65,37156
1738580998,1062.56,1060.55,37159
1738581059,1062.52,1061.00,38279
1738581117,1062.51,1062.30,38830
1738581177,1062.51,1060.50,38847
