t,ap,cp,v
1738573635,7698.75,7698.75,35
1738573682,7698.75,7698.75,35
1738573750,7698.75,7698.75,35
1738574159,7487.95,7394.00,116
1738574219,7480.73,7432.40,133
1738574279,7477.34,7420.00,141
1738574339,7472.75,7434.75,158
1738574399,7472.01,7413.40,160
1738574459,7443.62,7388.95,261
1738574519,7443.14,7380.25,263
1738574577,7442.11,7443.75,276
1738574639,7443.10,7466.20,303
1738574699,7448.60,7512.80,329
1738574759,7457.61,7567.20,367
1738574819,7463.05,7624.10,380
1738574879,7479.66,7563.70,437
1738574939,7481.03,7555.00,445
1738574999,7484.07,7555.00,467
1738575059,7484.07,7555.00,467
1738575119,7484.19,7537.05,468
1738575179,7484.89,7550.05,473
1738575239,7488.05,7526.60,560
1738575299,7493.04,7545.95,616
1738575359,7496.28,7504.90,662
1738575419,7496.33,7512.70,664
1738575479,7496.34,7497.95,669
1738575538,7496.35,7503.00,670
1738575599,7496.35,7503.00,670
1738575657,7496.35,7503.00,670
1738575719,7494.95,7498.85,769
1738575779,7495.02,7503.90,777
1738575839,7495.14,7504.85,782
1738575899,7495.27,7507.30,788
1738575959,7494.00,7475.00,838
1738576019,7491.84,7475.05,885
1738576079,7491.81,7482.20,888
1738576139,7493.31,7520.00,938
1738576197,7493.31,7520.00,938
1738576259,7493.73,7533.00,948
1738576319,7494.40,7549.80,961
1738576378,7494.40,7549.80,961
1738576439,7494.40,7549.80,961
1738576498,7494.42,7513.65,962
1738576559,7494.35,7474.75,970
1738576619,7493.87,7453.80,980
1738576679,7493.60,7441.15,986
1738576739,7493.25,7447.85,994
1738576799,7492.93,7447.85,1001
1738576858,7492.76,7435.50,1004
1738576919,7493.05,7490.10,1034
1738576979,7493.14,7504.20,1040
1738577037,7493.59,7535.40,1055
1738577099,7493.59,7535.40,1055
1738577158,7493.59,7535.40,1055
1738577217,7493.62,7498.10,1062
1738577279,7493.62,7498.10,1062
1738577339,7493.59,7474.25,1064
1738577399,7493.59,7474.25,1064
1738577459,7493.59,7474.25,1064
1738577519,7493.59,7474.25,1064
1738577579,7493.59,7474.25,1064
1738577639,7489.21,7425.00,1137
1738577699,7488.98,7387.45,1140
1738577759,7488.65,7404.65,1144
1738577819,7487.64,7383.10,1155
1738577879,7487.64,7383.10,1155
1738577939,7487.49,7402.00,1157
1738577999,7486.89,7350.40,1163
1738578059,7485.31,7335.65,1176
1738578119,7485.19,7340.85,1177
1738578179,7484.80,7370.80,1181
1738578239,7484.80,7370.80,1181
1738578299,7484.69,7350.00,1182
1738578359,7484.57,7340.00,1183
1738578419,7484.57,7340.00,1183
1738578479,7484.44,7340.00,1184
1738578539,7483.94,7330.00,1188
1738578599,7483.56,7330.00,1191
1738578657,7483.56,7330.00,1191
1738578719,7483.56,7330.00,1191
1738578779,7482.96,7299.00,1195
1738578839,7482.66,7301.15,1197
1738578898,7468.19,7290.00,1297
1738578959,7468.19,7290.00,1297
1738579019,7467.31,7302.00,1304
1738579079,7466.24,7290.00,1312
1738579139,7465.31,7290.00,1319
1738579199,7465.31,7290.00,1319
1738579257,7465.07,7305.15,1321
1738579318,7463.90,7309.75,1331
1738579379,7463.90,7309.75,1331
1738579439,7463.62,7279.65,1333
1738579499,7463.11,7294.70,1337
1738579559,7462.16,7276.10,1344
1738579618,7461.56,7262.70,1348
1738579679,7461.56,7262.70,1348
1738579738,7460.53,7222.00,1354
1738579799,7458.40,7217.90,1366
1738579857,7458.40,7217.90,1366
1738579919,7458.40,7217.90,1366
1738579979,7458.04,7212.40,1368
1738580039,7457.55,7231.35,1371
1738580099,7454.87,7200.00,1386
1738580159,7454.50,7200.00,1388
1738580219,7446.77,7180.00,1429
1738580279,7446.77,7180.00,1429
1738580339,7438.98,7180.00,1472
1738580399,7438.98,7180.00,1472
1738580459,7430.04,7166.20,1523
1738580519,7429.50,7155.00,1526
1738580577,7429.13,7135.40,1528
1738580638,7429.13,7135.40,1528
1738580697,7427.80,7135.40,1535
1738580759,7424.65,7118.95,1551
1738580819,7420.67,7169.30,1573
1738580879,7420.67,7169.30,1573
1738580939,7415.72,7154.05,1604
1738580999,7413.84,7144.45,1616
1738581059,7413.68,7159.35,1617
1738581118,7406.10,7168.80,1665
1738581179,7406.10,7168.80,1665
1738581239,7405.57,7173.50,1669
1738581299,7405.57,7173.50,1669
1738581359,7405.57,7173.50,1669
1738581419,7401.96,7262.00,1705
1738581479,7398.62,7296.70,1757
1738581537,7396.57,7274.80,1788
1738581598,7396.57,7274.80,1788
1738581659,7396.57,7274.80,1788
1738581719,7395.52,7222.70,1799
1738581779,7383.31,7186.75,1914
1738581838,7382.09,7225.40,1929
1738581899,7381.60,7245.75,1936
1738581959,7381.26,7252.00,1941
1738582019,7381.26,7252.00,1941
1738582077,7381.26,7252.00,1941
1738582138,7381.09,7222.20,1943
1738582199,7380.45,7224.95,1951
1738582259,7373.02,7225.00,2049
1738582317,7373.02,7225.00,2049
1738582379,7373.02,7225.00,2049
1738582439,7373.02,7225.00,2049
1738582499,7373.02,7225.00,2049
1738582559,7372.76,7199.10,2052
1738582619,7372.76,7199.10,2052
1738582679,7372.76,7199.10,2052
1738582739,7356.37,7186.75,2253
1738582799,7356.37,7186.75,2253
1738582859,7355.68,7200.00,2263
1738582919,7355.60,7191.75,2264
1738582979,7355.60,7191.75,2264
1738583039,7355.53,7191.70,2265
1738583098,7354.95,7165.80,2272
1738583159,7354.73,7191.75,2275
1738583219,7354.40,7201.20,2280
1738583279,7354.02,7176.80,2285
1738583339,7353.89,7206.25,2287
1738583399,7353.89,7206.25,2287
1738583459,7352.35,7242.10,2318
1738583519,7352.35,7242.10,2318
1738583579,7352.28,7198.70,2319
1738583639,7352.28,7198.70,2319
1738583699,7352.28,7198.70,2319
1738583759,7352.22,7211.60,2320
1738583819,7352.15,7177.00,2321
1738583879,7352.15,7177.00,2321
1738583939,7352.15,7177.00,2321
1738583999,7352.15,7177.00,2321
1738584059,7352.15,7177.00,2321
1738584119,7352.00,7177.00,2323
1738584179,7351.75,7160.00,2326
1738584239,7351.75,7160.00,2326
1738584299,7351.61,7189.15,2328
1738584359,7351.61,7189.15,2328
1738584419,7351.24,7165.75,2333
1738584479,7350.37,7165.00,2344
1738584539,7349.85,7176.05,2351
1738584599,7349.85,7176.05,2351
1738584659,7349.85,7176.05,2351
1738584719,7349.85,7176.05,2351
1738584779,7349.85,7176.05,2351
1738584838,7349.85,7176.05,2351
1738584899,7349.85,7176.05,2351
1738584958,7349.85,7176.05,2351
1738585019,7349.71,7182.50,2353
1738585079,7349.00,7182.00,2363
1738585139,7349.00,7182.00,2363
1738585199,7349.00,7182.00,2363
1738585259,7349.00,7182.00,2363
1738585319,7348.25,7169.90,2373
