t,ap,cp,v
1738573635,161.00,161.00,26
1738573741,161.00,161.00,26
1738574158,160.51,158.00,35
1738574215,159.63,158.10,55
1738574278,157.88,157.10,179
1738574338,157.81,157.20,199
1738574396,157.81,157.20,199
1738574459,157.71,157.55,357
1738574519,157.56,157.25,526
1738574579,157.28,156.45,736
1738574639,157.28,157.15,756
1738574696,157.29,157.75,766
1738574757,157.29,157.85,767
1738574814,157.46,158.70,873
1738574878,157.46,158.70,873
1738574938,157.46,159.85,874
1738574998,157.48,159.20,885
1738575057,157.48,159.20,885
1738575117,157.48,159.20,885
1738575178,157.48,159.20,885
1738575238,157.48,159.20,885
1738575298,157.48,159.20,885
1738575359,157.48,159.20,885
1738575419,157.48,159.20,885
1738575479,157.48,159.20,885
1738575538,157.48,159.20,885
1738575599,157.48,159.20,885
1738575659,157.48,159.20,885
1738575719,157.48,159.20,885
1738575778,157.48,159.20,885
1738575839,157.48,159.20,885
1738575889,157.48,159.20,885
1738575937,157.48,159.20,885
1738576017,157.48,159.20,885
1738576077,157.48,159.20,885
1738576134,157.48,159.20,885
1738576199,157.48,159.20,885
1738576259,157.48,157.55,886
1738576319,157.48,157.55,886
1738576375,157.48,157.55,886
1738576437,157.48,157.25,906
1738576499,157.48,157.25,906
1738576555,157.48,157.25,906
1738576617,157.48,157.25,906
1738576677,157.48,157.25,906
1738576738,157.48,157.25,906
1738576790,157.48,157.25,906
1738576859,157.48,157.25,906
1738576918,157.48,157.25,906
1738576976,157.48,157.25,906
1738577038,157.48,157.25,906
1738577098,157.48,157.25,906
1738577157,157.48,157.25,906
1738577218,157.48,157.25,906
1738577274,157.48,157.25,906
1738577339,157.48,157.25,906
1738577398,157.48,157.25,906
1738577459,157.48,157.25,906
1738577519,157.48,157.25,906
1738577579,157.48,157.25,906
1738577639,157.48,157.25,906
1738577695,157.48,157.25,906
1738577759,157.48,158.00,907
1738577814,157.48,158.00,907
1738577866,157.48,158.00,907
1738577939,157.48,158.00,907
1738577984,157.48,158.00,907
1738578059,157.48,158.00,907
1738578119,157.48,158.00,907
1738578179,157.48,158.00,907
1738578238,157.48,158.00,907
1738578297,157.48,158.00,907
1738578359,157.48,158.00,907
1738578417,157.48,158.00,907
1738578477,157.48,158.00,907
1738578530,157.48,158.00,907
1738578598,157.48,158.00,907
1738578656,157.48,158.00,907
1738578718,157.48,158.00,907
1738578776,157.48,157.60,932
1738578826,157.48,157.65,937
1738578894,157.48,157.65,937
1738578958,157.50,157.65,1037
1738579017,157.50,157.65,1037
1738579078,157.50,157.65,1037
1738579139,157.51,158.00,1062
1738579198,157.51,158.00,1062
1738579258,157.51,158.00,1062
1738579318,157.51,158.00,1062
1738579368,157.51,158.00,1062
1738579426,157.51,158.00,1062
1738579499,157.51,158.00,1062
1738579556,157.51,158.00,1062
1738579618,157.51,158.00,1062
1738579653,157.51,158.00,1062
1738579730,157.51,158.00,1062
1738579847,157.51,158.00,1062
1738579900,157.51,158.00,1062
1738579978,157.51,158.00,1062
1738580039,157.51,158.00,1062
1738580097,157.51,158.00,1062
1738580150,157.51,157.45,1074
1738580219,157.51,157.45,1074
1738580279,157.51,157.45,1074
1738580324,157.51,157.45,1074
1738580344,157.51,157.45,1074
1738580446,157.51,157.45,1074
1738580519,157.51,157.45,1074
1738580569,157.51,157.45,1074
1738580638,157.51,157.45,1074
1738580698,157.51,157.45,1074
1738580758,157.51,157.45,1074
1738580818,157.52,158.40,1094
1738580878,157.52,158.40,1094
1738580939,157.52,158.40,1094
1738580999,157.52,158.40,1094
1738581059,157.52,158.40,1094
1738581119,157.52,158.40,1094
1738581179,157.52,158.40,1094
1738581238,157.52,158.40,1094
1738581298,157.52,158.40,1094
1738581359,157.52,158.40,1094
1738581419,157.52,158.40,1094
1738581479,157.52,158.40,1094
1738581537,157.52,158.40,1094
1738581587,157.52,158.40,1094
1738581659,157.52,158.40,1094
1738581719,157.52,158.40,1094
1738581779,157.52,158.40,1094
1738581830,157.52,158.40,1094
1738581899,157.52,158.40,1094
1738581959,157.52,158.40,1094
1738582019,157.52,158.40,1094
1738582079,157.52,158.40,1094
1738582115,157.52,158.40,1094
1738582197,157.52,158.40,1094
1738582259,157.52,158.40,1094
1738582318,157.52,158.40,1094
1738582378,157.52,158.40,1094
1738582433,157.50,157.40,1294
1738582467,157.50,157.40,1294
1738582549,157.50,157.35,1326
1738582619,157.50,157.35,1326
1738582679,157.50,157.35,1326
1738582724,157.50,157.35,1326
1738582798,157.50,157.35,1326
1738582843,157.47,157.35,1626
1738582907,157.45,157.35,1926
1738582970,157.45,157.35,1926
1738583039,157.44,157.35,2226
1738583098,157.44,157.35,2244
1738583145,157.44,157.35,2244
1738583201,157.44,157.35,2244
1738583260,157.44,157.35,2244
1738583318,157.44,157.35,2244
1738583399,157.44,157.35,2244
1738583459,157.44,157.35,2244
1738583519,157.44,157.35,2244
1738583579,157.44,157.35,2244
1738583639,157.44,157.35,2244
1738583697,157.44,157.35,2244
1738583755,157.44,157.35,2244
1738583818,157.44,157.35,2244
1738583831,157.44,157.80,2249
1738583923,157.44,157.80,2249
1738583999,157.44,157.35,2269
1738584059,157.44,157.35,2339
1738584119,157.44,157.35,2339
1738584177,157.44,157.35,2339
1738584239,157.44,157.35,2339
1738584299,157.44,157.35,2339
1738584359,157.44,157.35,2339
1738584419,157.44,157.35,2339
1738584477,157.44,157.35,2339
1738584537,157.44,157.35,2389
1738584599,157.45,157.90,2439
1738584646,157.45,157.90,2439
1738584719,157.45,157.90,2439
1738584779,157.45,157.45,2459
1738584838,157.45,157.45,2459
1738584898,157.45,157.45,2459
1738584959,157.45,157.45,2459
1738585019,157.45,157.45,2459
1738585079,157.45,157.45,2459
1738585138,157.45,157.45,2459
1738585199,157.45,157.45,2459
1738585256,157.45,157.45,2459
1738585318,157.45,157.45,2459
1738585378,157.45,157.45,2459
1738585438,157.45,157.45,2459
