t,ap,cp,v
1738588501,57.42,57.42,1
1738588561,57.42,57.42,1
1738591870,57.42,57.42,1
1738591996,57.42,57.42,1
1738592042,57.42,57.42,1
1738592100,57.42,57.42,183
1738592160,57.42,57.42,183
1738593019,57.42,57.42,183
1738594411,57.42,57.42,183
1738595673,57.42,57.42,183
1738595700,57.42,57.42,202
1738595760,57.42,57.42,202
1738596603,57.42,57.42,202
1738596678,57.42,57.42,202
1738598400,57.42,57.42,202
1738598488,57.42,57.42,202
t,ap,cp,v
1738588501,57.42,57.42,1
1738588561,57.42,57.42,1
1738591870,57.42,57.42,1
1738591996,57.42,57.42,1
1738592042,57.42,57.42,1
1738592100,57.42,57.42,183
1738592160,57.42,57.42,183
1738593019,57.42,57.42,183
1738594411,57.42,57.42,183
1738595673,57.42,57.42,183
1738595700,57.42,57.42,202
1738595760,57.42,57.42,202
1738596603,57.42,57.42,202
1738596678,57.42,57.42,202
1738598400,57.42,57.42,202
1738598488,57.42,57.42,202
t,ap,cp,v
1738588501,57.42,57.42,1
1738588561,57.42,57.42,1
1738591870,57.42,57.42,1
1738591996,57.42,57.42,1
1738592042,57.42,57.42,1
1738592100,57.42,57.42,183
1738592160,57.42,57.42,183
1738593019,57.42,57.42,183
1738594411,57.42,57.42,183
1738595673,57.42,57.42,183
1738595700,57.42,57.42,202
1738595760,57.42,57.42,202
1738596603,57.42,57.42,202
1738596678,57.42,57.42,202
1738598400,57.42,57.42,202
1738598488,57.42,57.42,202
1738588501,57.42,57.42,1
1738588561,57.42,57.42,1
1738591870,57.42,57.42,1
1738591996,57.42,57.42,1
1738592042,57.42,57.42,1
1738592100,57.42,57.42,183
1738592160,57.42,57.42,183
1738593019,57.42,57.42,183
1738594411,57.42,57.42,183
1738595673,57.42,57.42,183
1738595700,57.42,57.42,202
1738595760,57.42,57.42,202
1738596603,57.42,57.42,202
1738596678,57.42,57.42,202
1738598400,57.42,57.42,202
1738598488,57.42,57.42,202
1738588501,57.42,57.42,1
1738588561,57.42,57.42,1
1738591870,57.42,57.42,1
1738591996,57.42,57.42,1
1738592042,57.42,57.42,1
1738592100,57.42,57.42,183
1738592160,57.42,57.42,183
1738593019,57.42,57.42,183
1738594411,57.42,57.42,183
1738595673,57.42,57.42,183
1738595700,57.42,57.42,202
1738595760,57.42,57.42,202
1738596603,57.42,57.42,202
1738596678,57.42,57.42,202
1738598400,57.42,57.42,202
1738598488,57.42,57.42,202
1738588501,57.42,57.42,1
1738588561,57.42,57.42,1
1738591870,57.42,57.42,1
1738591996,57.42,57.42,1
1738592042,57.42,57.42,1
1738592100,57.42,57.42,183
1738592160,57.42,57.42,183
1738593019,57.42,57.42,183
1738594411,57.42,57.42,183
1738595673,57.42,57.42,183
1738595700,57.42,57.42,202
1738595760,57.42,57.42,202
1738596603,57.42,57.42,202
1738596678,57.42,57.42,202
1738598400,57.42,57.42,202
1738598488,57.42,57.42,202
1738588501,57.42,57.42,1
1738588561,57.42,57.42,1
1738591870,57.42,57.42,1
1738591996,57.42,57.42,1
1738592042,57.42,57.42,1
1738592100,57.42,57.42,183
1738592160,57.42,57.42,183
1738593019,57.42,57.42,183
1738594411,57.42,57.42,183
1738595673,57.42,57.42,183
1738595700,57.42,57.42,202
1738595760,57.42,57.42,202
1738596603,57.42,57.42,202
1738596678,57.42,57.42,202
1738598400,57.42,57.42,202
1738598488,57.42,57.42,202
