t,ap,cp,v
1738573635,206.60,206.60,2233
1738573682,206.60,206.60,2233
1738573741,206.60,206.60,2233
1738573824,206.60,206.60,2233
1738574159,203.90,201.55,10980
1738574219,203.16,201.50,15289
1738574279,202.94,201.20,17682
1738574339,202.94,203.35,18324
1738574399,202.98,203.25,20607
1738574459,203.15,203.80,28756
1738574518,203.17,203.20,30360
1738574579,203.17,202.95,31907
1738574639,203.16,202.80,33888
1738574699,203.15,202.50,34185
1738574758,203.05,202.15,37840
1738574819,203.02,203.05,39461
1738574879,203.03,202.90,41637
1738574939,203.03,203.70,43002
1738574999,203.03,202.60,43431
1738575059,203.03,203.10,44116
1738575119,203.03,203.05,44584
1738575179,203.03,203.05,46425
1738575239,203.02,203.00,46510
1738575299,203.03,203.40,46799
1738575359,203.03,202.80,46819
1738575419,203.03,202.80,46819
1738575479,203.02,202.45,47646
1738575539,203.02,202.05,47872
1738575599,202.94,201.55,51385
1738575659,202.94,201.85,51760
1738575719,202.91,201.70,53046
1738575779,202.91,202.00,53260
1738575839,202.90,202.00,53414
1738575899,202.84,201.55,55881
1738575959,202.84,201.40,56059
1738576019,202.83,201.40,56324
1738576079,202.81,201.30,57261
1738576139,202.78,201.45,58224
1738576199,202.72,201.00,60695
1738576258,202.72,201.20,60751
1738576319,202.70,201.60,61871
1738576379,202.68,201.40,63026
1738576439,202.66,201.15,63856
1738576499,202.64,200.90,64559
1738576559,202.60,200.95,66241
1738576619,202.50,201.35,70888
1738576679,202.50,201.40,70969
1738576739,202.49,200.85,71544
1738576799,202.48,201.35,71900
1738576859,202.46,201.00,72902
1738576919,202.45,201.35,73648
1738576979,202.45,200.95,73717
1738577039,202.43,201.00,74719
1738577099,202.43,200.65,74853
1738577159,202.42,200.90,74966
1738577219,202.41,201.00,75450
1738577279,202.39,201.70,78210
1738577339,202.39,201.55,78318
1738577399,202.38,201.45,78558
1738577459,202.37,201.50,79638
1738577519,202.37,201.75,80327
1738577579,202.36,201.50,80534
1738577639,202.36,201.30,80661
1738577699,202.33,201.25,82819
1738577759,202.33,201.00,83309
1738577819,202.31,200.50,83891
1738577877,202.26,200.55,86229
1738577939,202.24,200.40,87066
1738577999,202.24,200.50,87076
1738578059,202.07,200.20,95706
1738578119,202.07,200.20,95706
1738578179,202.07,200.35,95719
1738578239,202.07,200.85,95854
1738578299,202.07,200.35,96019
1738578358,202.07,200.55,96029
1738578419,202.07,200.50,96194
1738578479,202.07,200.65,96229
1738578539,202.05,200.50,97250
1738578599,202.05,200.50,97466
1738578659,202.04,200.60,97617
1738578719,202.04,200.65,97618
1738578779,202.04,200.40,97981
1738578839,201.99,200.10,100383
1738578899,201.97,199.85,101315
1738578959,201.97,199.90,101318
1738579019,201.96,200.10,101744
1738579079,201.96,200.20,102038
1738579139,201.95,200.25,102701
1738579197,201.94,200.35,102834
1738579259,201.94,200.35,102834
1738579319,201.94,200.35,102849
1738579379,201.94,201.15,103221
1738579439,201.94,200.75,103612
1738579499,201.93,201.10,104489
1738579559,201.93,201.40,104599
1738579619,201.93,201.50,104810
1738579679,201.93,201.45,104882
1738579739,201.93,201.35,105113
1738579799,201.93,201.45,105314
1738579859,201.92,201.30,105888
1738579919,201.92,201.55,105907
1738579979,201.92,201.45,106011
1738580039,201.92,200.65,106777
1738580099,201.91,200.80,107019
1738580159,201.91,200.65,107122
1738580219,201.90,200.95,107832
1738580279,201.90,200.95,108057
1738580339,201.90,200.55,108059
1738580399,201.90,200.80,108165
1738580459,201.90,201.20,108404
1738580519,201.90,200.90,108837
1738580579,201.90,201.05,108839
1738580639,201.90,200.85,108921
1738580699,201.90,200.80,109042
1738580759,201.88,200.65,110145
1738580819,201.88,201.00,110146
1738580879,201.88,201.05,110260
1738580938,201.88,201.60,110895
1738580999,201.88,201.50,111013
1738581059,201.88,201.75,111054
1738581119,201.88,201.75,111054
1738581179,201.88,202.20,116612
1738581239,201.88,202.05,117079
1738581299,201.88,201.30,118142
1738581359,201.88,201.45,118443
1738581419,201.88,201.40,118494
1738581479,201.87,201.60,119393
1738581539,201.87,201.40,119493
1738581599,201.87,201.40,119494
1738581658,201.87,201.55,120098
1738581719,201.87,201.55,120377
1738581779,201.87,201.25,120435
1738581839,201.87,201.00,120841
1738581899,201.87,200.80,120896
1738581959,201.86,201.00,121278
1738582019,201.86,200.95,121285
1738582079,201.86,200.80,121714
1738582139,201.86,200.60,121734
1738582199,201.86,200.60,121749
1738582259,201.86,200.60,121751
1738582319,201.83,200.50,124776
1738582379,201.83,200.40,124876
1738582439,201.83,200.60,124976
1738582499,201.82,200.50,125335
1738582559,201.82,200.50,125335
1738582619,201.82,200.50,125339
1738582679,201.81,200.70,126894
1738582739,201.81,200.45,127026
1738582799,201.79,200.00,128435
1738582859,201.78,200.10,128703
1738582919,201.78,200.05,128836
1738582979,201.78,199.90,128924
1738583039,201.78,200.10,128955
1738583099,201.78,200.15,128958
1738583159,201.77,199.90,130019
1738583219,201.77,200.05,130023
1738583279,201.77,200.05,130023
1738583338,201.77,200.40,130033
1738583398,201.76,200.40,130173
1738583459,201.76,200.40,130199
1738583519,201.76,200.35,130200
1738583579,201.76,200.40,130204
1738583638,201.76,200.90,130708
1738583699,201.76,200.95,130709
1738583759,201.76,201.05,131035
1738583819,201.76,201.00,131039
1738583879,201.75,201.35,131539
1738583939,201.75,201.05,131574
1738583999,201.75,201.05,131574
1738584057,201.75,201.30,131575
1738584119,201.75,200.90,131982
1738584179,201.75,201.50,132086
1738584239,201.75,201.50,132197
1738584299,201.75,201.75,132331
1738584359,201.75,201.75,132331
1738584419,201.75,201.75,132333
1738584478,201.74,201.10,134543
1738584539,201.74,201.00,134688
1738584599,201.74,201.25,134718
1738584656,201.74,201.15,134768
1738584719,201.74,201.25,134858
1738584777,201.74,201.25,135159
1738584839,201.74,201.30,135174
1738584899,201.74,201.30,135174
1738584959,201.73,200.90,137539
1738585019,201.73,201.05,137639
1738585079,201.73,201.05,137640
1738585139,201.73,200.80,137690
1738585199,201.73,200.60,137823
1738585259,201.73,200.70,137828
1738585319,201.73,200.70,137830
1738585379,201.73,200.65,137834
1738585438,201.72,200.80,137914
1738585499,201.72,200.80,137914
1738585559,201.72,200.80,137967
1738585619,201.72,200.60,138469
1738585679,201.72,200.85,138500
1738585738,201.72,200.85,138500
1738585799,201.72,200.70,138505
1738585859,201.72,200.70,138605
1738585919,201.72,200.75,138616
1738585979,201.72,200.75,138616
1738586039,201.72,200.50,138721
1738586099,201.72,200.45,138727
1738586159,201.72,200.30,138752
1738586218,201.72,200.30,138752
1738586279,201.72,200.35,138803
1738586339,201.71,200.00,139189
1738586399,201.71,200.15,139199
1738586459,201.70,200.20,139906
1738586519,201.70,200.00,139965
1738586578,201.70,200.15,140065
1738586639,201.70,200.15,140065
1738586699,201.70,200.15,140065
1738586758,201.70,200.15,140065
1738586819,201.70,200.15,140170
1738586879,201.70,200.15,140170
1738586939,201.70,200.15,140170
1738586998,201.70,200.15,140170
1738587058,201.70,200.20,140226
1738587119,201.70,200.20,140236
1738587178,201.69,200.20,140971
1738587239,201.69,200.10,141584
1738587299,201.68,200.00,141838
1738587358,201.68,200.15,141888
1738587419,201.68,200.25,141892
1738587478,201.68,200.15,141893
1738587539,201.68,200.15,141893
1738587599,201.68,200.15,141893
1738587659,201.68,200.50,142093
1738587719,201.68,200.45,142165
1738587779,201.68,200.60,142272
1738587839,201.68,201.10,142522
1738587899,201.68,201.05,142600
1738587959,201.68,200.90,142631
1738588019,201.68,200.90,142631
1738588079,201.68,200.90,142643
1738588139,201.68,200.95,142645
1738588199,201.68,201.20,142665
1738588259,201.68,201.00,142765
1738588319,201.68,201.00,142765
1738588379,201.68,201.05,142865
1738588439,201.68,201.05,142865
1738588499,201.68,201.05,142865
1738588559,201.68,201.00,142915
1738588619,201.68,201.15,142920
1738588679,201.68,201.10,142970
1738588739,201.67,201.10,143975
1738588798,201.67,200.80,144653
1738588859,201.67,200.80,144653
1738588919,201.67,201.10,144654
1738588979,201.67,201.10,144654
1738589039,201.67,201.00,144664
1738589099,201.67,201.00,144664
1738589159,201.67,201.00,144764
1738589219,201.67,201.00,144764
1738589279,201.67,201.00,144764
1738589339,201.66,200.65,145080
1738589398,201.66,200.80,145192
1738589458,201.66,200.80,145207
1738589519,201.66,200.80,145207
1738589579,201.66,200.85,145217
1738589637,201.66,201.05,145219
1738589699,201.66,201.00,145270
1738589759,201.66,201.00,145270
1738589819,201.66,201.00,145369
1738589879,201.66,200.95,145374
1738589939,201.66,200.60,145909
1738589999,201.66,200.80,145910
1738590059,201.66,201.00,146015
1738590118,201.66,201.00,146015
1738590179,201.66,201.05,146016
1738590239,201.66,201.00,146021
1738590298,201.66,201.10,146043
1738590359,201.66,201.60,146502
1738590419,201.66,201.80,148722
1738590479,201.66,201.75,148777
1738590539,201.66,201.75,148777
1738590599,201.66,201.60,148787
1738590659,201.66,201.70,149578
1738590719,201.66,201.95,150628
1738590779,201.66,201.50,154979
1738590839,201.66,201.90,156543
1738590899,201.66,201.60,156745
1738590959,201.66,201.35,156748
1738591016,201.66,201.20,156758
1738591079,201.66,201.25,156963
1738591139,201.66,201.20,156964
1738591199,201.66,201.20,157472
1738591259,201.66,201.00,157927
1738591319,201.66,201.45,157934
1738591379,201.66,201.60,158145
1738591439,201.66,201.50,158146
1738591499,201.66,201.55,158155
1738591559,201.66,201.60,158188
1738591619,201.66,201.80,158208
1738591679,201.66,201.50,158319
1738591739,201.66,201.75,158336
1738591798,201.66,201.65,158347
1738591859,201.66,201.65,158357
1738591919,201.66,201.80,158934
1738591979,201.66,201.85,159129
1738592039,201.66,201.40,159159
1738592099,201.66,201.50,160393
1738592159,201.66,201.50,160393
1738592219,201.66,201.65,160501
1738592279,201.66,201.60,162216
1738592339,201.66,201.60,162216
1738592399,201.66,201.80,162334
1738592457,201.66,202.00,162845
1738592519,201.67,202.10,166548
1738592579,201.67,202.10,166548
1738592639,201.67,202.05,166651
1738592699,201.67,202.75,167565
1738592759,201.68,203.00,168160
1738592819,201.69,203.00,170246
1738592879,201.69,202.85,170261
1738592939,201.69,203.00,170383
