t,ap,cp,v
1738574159,6175.23,6162.50,43
1738574219,6159.09,6172.90,165
1738574279,6160.14,6169.45,187
1738574339,6170.54,6173.25,301
1738574395,6170.56,6166.95,306
1738574458,6169.96,6152.95,317
1738574518,6169.87,6172.80,324
1738574577,6170.14,6184.50,334
1738574639,6171.27,6200.00,347
1738574698,6174.36,6204.95,380
1738574759,6175.73,6207.00,393
1738574819,6188.03,6250.65,463
1738574879,6192.00,6265.45,488
1738574939,6194.37,6278.85,503
1738574999,6202.48,6289.10,558
1738575059,6205.55,6269.80,582
1738575119,6208.11,6287.45,603
1738575179,6210.92,6275.50,630
1738575238,6211.79,6289.65,638
1738575299,6212.86,6282.30,647
1738575358,6214.16,6285.10,659
1738575419,6214.78,6270.95,666
1738575479,6218.35,6280.80,706
1738575539,6218.99,6277.45,714
1738575598,6219.77,6274.55,724
1738575659,6222.36,6279.65,756
1738575719,6222.44,6281.10,757
1738575779,6230.55,6292.65,856
1738575839,6231.17,6298.35,864
1738575899,6231.49,6296.85,868
1738575959,6231.84,6293.35,873
1738576019,6233.29,6298.65,892
1738576079,6234.67,6284.15,915
1738576139,6234.88,6283.65,919
1738576198,6238.66,6267.80,1025
1738576258,6238.92,6277.25,1033
1738576319,6238.95,6275.00,1034
1738576379,6239.09,6269.00,1038
1738576439,6239.63,6277.15,1055
1738576499,6240.26,6270.25,1079
1738576559,6242.38,6283.25,1143
1738576619,6242.87,6283.35,1157
1738576678,6243.18,6281.70,1166
1738576739,6243.95,6272.35,1199
1738576799,6244.10,6272.25,1206
1738576859,6244.17,6266.90,1209
1738576919,6244.24,6274.95,1212
1738576975,6244.40,6274.55,1218
1738577039,6244.55,6269.25,1226
1738577098,6244.55,6269.25,1226
1738577158,6244.66,6266.80,1232
1738577219,6244.73,6266.60,1236
1738577279,6244.93,6270.85,1246
1738577339,6244.97,6270.25,1248
1738577399,6244.97,6270.25,1248
1738577459,6245.09,6287.55,1252
1738577519,6245.20,6291.70,1255
1738577579,6245.61,6283.10,1267
1738577639,6247.33,6288.95,1323
1738577699,6247.58,6289.45,1331
1738577759,6247.61,6284.80,1332
1738577819,6247.61,6284.80,1332
1738577877,6248.85,6295.35,1367
1738577939,6248.89,6295.35,1368
