t,ap,cp,v
1738573727,1135.15,1135.15,31
1738573740,1135.15,1135.15,31
1738574159,1120.61,1117.00,2314
1738574219,1120.49,1118.45,2409
1738574279,1120.42,1117.10,2456
1738574339,1120.24,1118.55,2803
1738574399,1119.79,1114.35,3017
1738574459,1119.14,1112.40,3273
1738574518,1118.78,1109.75,3455
1738574579,1118.46,1107.90,3580
1738574639,1118.41,1109.60,3598
1738574699,1118.25,1115.40,3681
1738574758,1117.93,1116.20,3918
1738574819,1118.02,1121.40,4045
1738574879,1118.03,1122.00,4055
1738574939,1118.09,1124.25,4105
1738574999,1118.29,1122.40,4290
1738575059,1118.35,1122.50,4363
1738575119,1118.37,1125.10,4382
1738575179,1118.39,1127.20,4388
1738575239,1118.69,1127.00,4608
1738575299,1118.92,1127.55,4725
1738575359,1118.98,1128.05,4758
1738575419,1119.11,1129.20,4822
1738575479,1119.11,1129.20,4822
1738575539,1119.11,1127.70,4827
1738575598,1119.30,1129.20,4926
1738575659,1119.39,1130.35,4967
1738575719,1119.88,1129.70,5164
1738575779,1119.91,1132.55,5179
1738575839,1120.38,1132.00,5378
1738575899,1120.45,1129.00,5424
1738575959,1120.45,1129.00,5424
1738576019,1120.46,1125.00,5437
1738576079,1120.49,1125.50,5479
1738576139,1120.53,1122.00,5616
1738576199,1120.54,1121.40,5703
1738576258,1120.54,1121.40,5713
1738576319,1120.55,1121.40,5722
1738576379,1120.55,1120.90,5760
1738576439,1120.56,1123.20,5813
1738576499,1120.56,1123.20,5815
1738576559,1120.53,1119.75,6049
1738576619,1120.53,1119.75,6049
1738576679,1120.53,1121.15,6068
1738576739,1120.53,1119.75,6072
1738576799,1120.53,1119.75,6072
1738576859,1120.53,1119.75,6073
1738576919,1120.53,1121.40,6078
1738576979,1120.53,1119.30,6082
1738577039,1120.53,1120.20,6084
1738577099,1120.53,1118.35,6087
1738577159,1120.42,1120.00,6487
1738577219,1120.30,1117.90,6743
1738577279,1120.30,1117.80,6747
1738577339,1120.30,1118.95,6761
1738577399,1120.30,1120.25,6773
1738577459,1120.30,1123.60,6802
1738577519,1120.30,1124.35,6812
1738577579,1120.31,1123.00,6813
1738577639,1120.31,1122.20,6819
1738577699,1120.31,1121.45,6821
1738577759,1120.31,1122.15,6824
1738577819,1120.31,1120.40,6825
1738577877,1120.31,1121.50,6827
1738577939,1120.32,1122.75,6857
1738577998,1120.32,1120.00,6911
1738578059,1120.32,1120.65,6917
1738578119,1120.32,1119.80,6931
1738578179,1120.32,1119.80,6936
1738578238,1120.32,1119.80,6936
1738578299,1120.32,1119.80,6936
1738578359,1120.32,1119.80,6936
1738578419,1120.32,1120.45,6961
1738578479,1120.32,1122.00,6963
1738578539,1120.32,1122.35,6965
1738578599,1120.32,1122.45,6967
1738578659,1120.34,1122.75,7029
1738578719,1120.34,1120.45,7030
1738578779,1120.34,1119.55,7081
1738578839,1120.32,1116.20,7116
1738578899,1120.29,1118.30,7219
1738578959,1120.29,1118.60,7220
1738579019,1120.25,1116.90,7297
1738579079,1120.23,1115.25,7336
1738579139,1120.22,1114.80,7360
1738579197,1120.22,1114.80,7360
1738579259,1120.20,1113.15,7381
1738579319,1120.19,1112.20,7389
1738579379,1120.15,1115.90,7438
1738579439,1120.15,1117.95,7444
1738579499,1120.15,1117.95,7446
1738579559,1120.15,1118.45,7454
1738579619,1120.15,1118.00,7458
1738579679,1120.14,1117.95,7481
1738579739,1120.13,1116.85,7508
1738579799,1120.13,1116.85,7508
1738579859,1120.13,1116.85,7508
1738579919,1120.05,1115.90,7606
1738579979,1120.05,1117.05,7612
1738580039,1119.99,1116.45,7735
1738580099,1119.99,1117.20,7736
1738580159,1119.98,1116.75,7756
1738580219,1119.98,1116.75,7756
1738580279,1119.97,1114.05,7776
1738580339,1119.97,1114.05,7776
1738580399,1119.95,1116.95,7813
1738580459,1119.93,1120.30,8042
1738580519,1119.93,1120.10,8043
1738580579,1119.93,1119.50,8048
1738580638,1119.93,1117.40,8050
1738580699,1119.93,1117.45,8052
1738580759,1119.93,1117.45,8052
1738580819,1119.92,1118.00,8092
1738580879,1119.92,1119.60,8102
1738580937,1119.92,1119.95,8108
1738580999,1119.92,1119.95,8108
1738581059,1119.91,1119.00,8166
1738581118,1119.91,1119.00,8166
1738581178,1119.91,1119.00,8167
1738581239,1119.91,1118.75,8173
1738581298,1119.91,1118.75,8173
1738581359,1119.91,1118.30,8175
1738581419,1119.91,1118.65,8176
1738581479,1119.91,1120.65,8214
1738581539,1119.91,1120.65,8214
1738581599,1119.91,1122.30,8249
1738581657,1119.92,1121.70,8272
1738581719,1119.92,1122.55,8276
1738581779,1119.93,1121.45,8323
1738581839,1119.94,1121.55,8353
1738581899,1119.94,1121.55,8353
1738581959,1119.94,1121.55,8353
1738582019,1119.94,1121.65,8357
1738582079,1119.94,1120.90,8358
1738582139,1119.94,1118.40,8361
1738582199,1119.94,1119.70,8362
1738582257,1119.93,1118.55,8369
1738582319,1119.93,1118.45,8370
1738582378,1119.93,1118.45,8370
1738582439,1119.93,1118.45,8370
1738582499,1119.93,1118.00,8371
1738582556,1119.93,1118.00,8371
1738582619,1119.93,1119.20,8437
1738582679,1119.93,1118.55,8475
1738582739,1119.92,1118.55,8497
1738582799,1119.92,1118.55,8497
1738582859,1119.91,1117.35,8563
1738582919,1119.91,1117.35,8563
1738582979,1119.91,1117.00,8564
1738583038,1119.90,1115.00,8577
1738583099,1119.90,1115.90,8583
1738583157,1119.89,1117.35,8595
1738583219,1119.89,1117.35,8595
1738583279,1119.89,1117.55,8596
1738583339,1119.89,1116.75,8607
1738583399,1119.88,1116.00,8616
1738583457,1119.88,1116.00,8626
1738583519,1119.88,1116.00,8626
