t,ap,cp,v
1738573634,77.89,77.89,1
1738573740,77.89,77.89,1
1738574158,77.89,77.89,1
1738574192,77.89,77.89,1
1738574279,77.89,77.89,1
1738574317,77.89,77.89,1
1738574391,77.89,77.89,1
1738574421,77.89,77.89,1
1738574574,77.89,77.89,1
1738574630,77.89,77.89,1
1738574657,77.89,77.89,1
1738574748,77.89,77.89,1
1738574767,77.89,77.89,1
1738574861,77.89,77.89,1
1738574913,77.89,77.89,1
1738574979,77.89,77.89,1
1738575024,77.89,77.89,1
1738575119,77.89,77.89,1
1738575167,77.89,77.89,1
1738575236,77.89,77.89,1
1738575288,77.89,77.89,1
1738575698,77.89,77.89,1
1738575749,77.89,77.89,1
1738575984,77.89,77.89,1
1738576059,77.89,77.89,1
1738576127,77.89,77.89,1
1738576235,77.89,77.89,1
1738576313,77.89,77.89,1
1738576621,77.89,77.89,1
1738576717,77.89,77.89,1
1738576752,77.89,77.89,1
1738576944,76.00,75.99,129
1738577140,76.00,75.99,129
1738577266,76.00,75.99,129
1738577356,76.00,75.99,129
1738577440,76.00,75.99,129
1738577563,76.00,75.99,129
1738577631,76.00,75.99,129
1738578125,76.00,75.99,129
1738578228,76.00,75.99,129
1738578275,76.00,75.99,129
1738578651,76.00,75.99,129
1738579010,76.00,75.99,129
1738579046,75.86,75.68,230
1738579382,75.86,75.68,230
1738579933,75.86,75.68,230
1738579993,75.86,75.68,230
1738580089,75.86,75.68,230
1738581141,75.86,75.68,230
1738581199,75.86,75.68,230
1738581299,75.86,75.68,230
1738581512,75.86,75.68,230
1738581891,75.23,74.26,380
1738582180,75.23,74.26,380
1738582514,75.23,74.26,380
1738582645,75.23,74.26,380
1738582864,75.23,74.26,380
1738583094,75.23,74.26,380
1738583146,75.23,74.26,380
1738583311,75.23,74.26,380
1738583384,75.03,74.25,480
1738583732,75.03,74.25,480
1738583793,75.03,74.25,480
1738584129,75.03,74.25,480
1738584682,75.03,75.44,481
1738585073,75.03,75.44,481
1738585133,75.03,75.44,481
1738585156,75.03,75.44,481
1738585413,75.03,75.44,481
1738585571,75.03,75.44,481
1738585670,75.03,75.44,481
1738585970,75.03,75.44,481
1738586319,75.02,74.25,487
1738586408,75.02,74.25,487
1738587478,74.95,74.25,537
1738588426,74.95,74.25,537
1738588564,74.95,74.25,537
1738588629,74.95,74.99,542
1738588950,74.95,74.99,542
1738589050,74.95,74.99,542
1738589297,74.97,74.99,1042
1738589605,74.97,74.99,1042
1738590299,74.97,74.99,1042
1738590868,74.97,74.99,1042
1738591583,74.97,74.99,1054
1738591960,74.97,74.99,1054
1738592057,74.85,74.20,1254
1738592324,74.85,74.20,1254
1738592393,74.80,74.00,1354
1738592435,74.80,74.00,1354
1738592622,74.80,74.00,1354
1738592817,74.80,74.00,1354
1738593106,74.80,74.00,1354
1738593230,74.80,74.00,1354
1738593259,74.80,74.00,1354
1738593492,74.80,74.00,1354
1738594120,74.80,74.00,1354
1738594419,74.80,74.00,1354
1738594539,74.80,74.00,1354
1738594694,74.80,74.00,1354
1738594784,74.80,74.00,1354
1738595611,74.80,74.00,1354
1738595649,74.80,74.02,1355
1738595804,74.81,74.98,1445
1738595825,74.81,74.98,1445
1738595913,74.81,74.98,1445
1738596072,74.81,74.98,1445
1738596390,74.81,74.98,1445
1738596437,74.81,74.98,1445
1738596568,74.81,74.98,1445
1738596601,74.81,74.98,1445
1738596678,74.81,74.98,1445
1738596724,74.81,74.98,1445
1738597201,74.81,74.98,1445
1738597442,74.81,74.98,1445
1738598401,74.81,74.98,1445
t,ap,cp,v
1738573634,77.89,77.89,1
1738573740,77.89,77.89,1
1738574158,77.89,77.89,1
1738574192,77.89,77.89,1
1738574279,77.89,77.89,1
1738574317,77.89,77.89,1
1738574391,77.89,77.89,1
1738574421,77.89,77.89,1
1738574574,77.89,77.89,1
1738574630,77.89,77.89,1
1738574657,77.89,77.89,1
1738574748,77.89,77.89,1
1738574767,77.89,77.89,1
1738574861,77.89,77.89,1
1738574913,77.89,77.89,1
1738574979,77.89,77.89,1
1738575024,77.89,77.89,1
1738575119,77.89,77.89,1
1738575167,77.89,77.89,1
1738575236,77.89,77.89,1
1738575288,77.89,77.89,1
1738575698,77.89,77.89,1
1738575749,77.89,77.89,1
1738575984,77.89,77.89,1
1738576059,77.89,77.89,1
1738576127,77.89,77.89,1
1738576235,77.89,77.89,1
1738576313,77.89,77.89,1
1738576621,77.89,77.89,1
1738576717,77.89,77.89,1
1738576752,77.89,77.89,1
1738576944,76.00,75.99,129
1738577140,76.00,75.99,129
1738577266,76.00,75.99,129
1738577356,76.00,75.99,129
1738577440,76.00,75.99,129
1738577563,76.00,75.99,129
1738577631,76.00,75.99,129
1738578125,76.00,75.99,129
1738578228,76.00,75.99,129
1738578275,76.00,75.99,129
1738578651,76.00,75.99,129
1738579010,76.00,75.99,129
1738579046,75.86,75.68,230
1738579382,75.86,75.68,230
1738579933,75.86,75.68,230
1738579993,75.86,75.68,230
1738580089,75.86,75.68,230
1738581141,75.86,75.68,230
1738581199,75.86,75.68,230
1738581299,75.86,75.68,230
1738581512,75.86,75.68,230
1738581891,75.23,74.26,380
1738582180,75.23,74.26,380
1738582514,75.23,74.26,380
1738582645,75.23,74.26,380
1738582864,75.23,74.26,380
1738583094,75.23,74.26,380
1738583146,75.23,74.26,380
1738583311,75.23,74.26,380
1738583384,75.03,74.25,480
1738583732,75.03,74.25,480
1738583793,75.03,74.25,480
1738584129,75.03,74.25,480
1738584682,75.03,75.44,481
1738585073,75.03,75.44,481
1738585133,75.03,75.44,481
1738585156,75.03,75.44,481
1738585413,75.03,75.44,481
1738585571,75.03,75.44,481
1738585670,75.03,75.44,481
1738585970,75.03,75.44,481
1738586319,75.02,74.25,487
1738586408,75.02,74.25,487
1738587478,74.95,74.25,537
1738588426,74.95,74.25,537
1738588564,74.95,74.25,537
1738588629,74.95,74.99,542
1738588950,74.95,74.99,542
1738589050,74.95,74.99,542
1738589297,74.97,74.99,1042
1738589605,74.97,74.99,1042
1738590299,74.97,74.99,1042
1738590868,74.97,74.99,1042
1738591583,74.97,74.99,1054
1738591960,74.97,74.99,1054
1738592057,74.85,74.20,1254
1738592324,74.85,74.20,1254
1738592393,74.80,74.00,1354
1738592435,74.80,74.00,1354
1738592622,74.80,74.00,1354
1738592817,74.80,74.00,1354
1738593106,74.80,74.00,1354
1738593230,74.80,74.00,1354
1738593259,74.80,74.00,1354
1738593492,74.80,74.00,1354
1738594120,74.80,74.00,1354
1738594419,74.80,74.00,1354
1738594539,74.80,74.00,1354
1738594694,74.80,74.00,1354
1738594784,74.80,74.00,1354
1738595611,74.80,74.00,1354
1738595649,74.80,74.02,1355
1738595804,74.81,74.98,1445
1738595825,74.81,74.98,1445
1738595913,74.81,74.98,1445
1738596072,74.81,74.98,1445
1738596390,74.81,74.98,1445
1738596437,74.81,74.98,1445
1738596568,74.81,74.98,1445
1738596601,74.81,74.98,1445
1738596678,74.81,74.98,1445
1738596724,74.81,74.98,1445
1738597201,74.81,74.98,1445
1738597442,74.81,74.98,1445
1738598401,74.81,74.98,1445
t,ap,cp,v
1738573634,77.89,77.89,1
1738573740,77.89,77.89,1
1738574158,77.89,77.89,1
1738574192,77.89,77.89,1
1738574279,77.89,77.89,1
1738574317,77.89,77.89,1
1738574391,77.89,77.89,1
1738574421,77.89,77.89,1
1738574574,77.89,77.89,1
1738574630,77.89,77.89,1
1738574657,77.89,77.89,1
1738574748,77.89,77.89,1
1738574767,77.89,77.89,1
1738574861,77.89,77.89,1
1738574913,77.89,77.89,1
1738574979,77.89,77.89,1
1738575024,77.89,77.89,1
1738575119,77.89,77.89,1
1738575167,77.89,77.89,1
1738575236,77.89,77.89,1
1738575288,77.89,77.89,1
1738575698,77.89,77.89,1
1738575749,77.89,77.89,1
1738575984,77.89,77.89,1
1738576059,77.89,77.89,1
1738576127,77.89,77.89,1
1738576235,77.89,77.89,1
1738576313,77.89,77.89,1
1738576621,77.89,77.89,1
1738576717,77.89,77.89,1
