t,ap,cp,v
1738573635,722.25,722.25,506
1738573720,722.25,722.25,506
1738573740,722.25,722.25,506
1738573835,722.25,722.25,506
1738573929,722.25,722.25,506
1738574159,732.46,738.80,3683
1738574219,732.83,730.70,4193
1738574279,732.67,732.00,4570
1738574339,732.70,736.45,4646
1738574399,733.01,736.35,5009
1738574459,733.06,730.85,5511
1738574519,732.58,726.30,5889
1738574578,732.36,729.95,6150
1738574639,732.18,727.85,6374
1738574699,732.14,730.90,6449
1738574759,732.19,737.00,6717
1738574819,733.16,740.75,7885
1738574879,733.17,735.00,7914
1738574939,733.24,733.95,8621
1738574999,733.24,733.00,8658
1738575059,733.24,733.45,8683
1738575119,733.24,731.20,8907
1738575179,733.24,731.20,8907
1738575239,733.11,728.00,9199
1738575299,733.11,728.00,9209
1738575359,733.00,724.75,9329
1738575419,732.92,726.40,9457
1738575479,732.79,726.05,9621
1738575539,732.79,726.05,9621
1738575599,732.60,728.00,9981
1738575659,732.59,727.00,9991
1738575719,732.53,725.95,10079
1738575779,732.36,727.90,10450
1738575839,732.36,727.90,10450
1738575898,732.33,727.55,10518
1738575959,732.29,724.90,10566
1738576016,732.15,726.00,10815
1738576079,732.15,726.00,10817
1738576139,732.15,725.00,10819
1738576199,732.11,725.00,10869
1738576259,732.07,725.60,10930
1738576317,732.07,725.60,10930
1738576379,732.07,725.60,10930
1738576439,731.86,725.25,11287
1738576499,731.86,725.25,11287
1738576559,731.78,727.80,11465
1738576617,731.77,725.55,11480
1738576679,731.77,725.55,11480
1738576739,731.77,725.55,11480
1738576799,731.77,725.55,11480
1738576859,731.77,725.55,11480
1738576919,731.77,726.00,11484
1738576979,731.74,726.05,11539
1738577039,731.74,726.05,11539
1738577098,731.73,728.05,11594
1738577159,731.64,729.00,11952
1738577219,731.64,729.00,11952
1738577278,731.61,727.85,12032
1738577338,731.61,727.85,12032
1738577399,731.61,727.45,12036
1738577459,731.61,728.40,12048
1738577519,731.57,732.20,12658
1738577579,731.57,732.20,12658
1738577639,731.57,732.20,12658
1738577697,731.57,732.20,12658
1738577757,731.57,729.10,12660
1738577819,731.57,729.10,12660
1738577879,731.57,729.10,12660
1738577938,731.57,729.10,12660
1738577999,731.57,729.10,12660
1738578058,731.57,729.50,12661
1738578119,731.57,729.50,12661
1738578178,731.52,730.40,13152
1738578239,731.52,730.40,13152
1738578299,731.52,730.40,13152
1738578359,731.52,730.40,13152
1738578415,731.51,730.80,13252
1738578479,731.51,730.80,13252
1738578539,731.48,728.55,13409
1738578599,731.48,728.55,13409
1738578659,731.48,728.55,13409
1738578719,731.48,728.55,13409
1738578779,731.47,728.10,13425
1738578839,731.47,728.10,13425
1738578898,731.44,726.70,13527
1738578958,731.44,726.70,13527
1738579019,731.43,726.90,13555
1738579079,731.42,725.90,13585
1738579139,731.34,724.00,13742
1738579199,731.21,723.95,13968
1738579259,731.20,722.75,13980
1738579319,730.99,724.45,14369
1738579378,730.94,726.00,14497
1738579438,730.76,725.10,15047
1738579498,730.76,725.10,15047
1738579559,730.70,726.45,15286
1738579619,730.70,726.45,15286
1738579679,730.64,727.00,15530
1738579739,730.63,727.45,15561
1738579799,730.63,727.45,15561
1738579859,730.63,727.45,15561
1738579918,730.63,727.45,15561
1738579979,730.63,727.45,15561
1738580039,730.63,727.45,15561
1738580099,730.63,727.45,15561
1738580159,730.63,727.45,15561
1738580217,730.63,727.45,15561
1738580279,730.63,725.85,15572
1738580338,730.63,725.85,15582
1738580399,730.62,726.30,15593
1738580459,730.62,727.05,15601
1738580519,730.60,726.60,15697
1738580579,730.60,725.60,15698
1738580639,730.56,726.10,15829
1738580699,730.55,727.30,15875
