t,ap,cp,v
1738573635,7880.20,7880.20,133
1738573682,7880.20,7880.20,133
1738573741,7880.20,7880.20,133
1738573917,7880.20,7880.20,133
1738574159,7970.60,7980.00,686
1738574219,7980.03,8000.00,1142
1738574279,7989.20,8017.85,1731
1738574339,7995.06,8012.55,2076
1738574399,7996.77,7991.00,2561
1738574459,7996.31,7999.90,3035
1738574519,7997.75,7999.70,5176
1738574579,7997.72,7996.80,5222
1738574639,7997.97,7976.50,7582
1738574698,7997.00,7980.65,7887
1738574759,7996.33,7946.90,8054
1738574819,7995.38,7975.00,8301
1738574879,7995.13,7996.85,8525
1738574939,7995.12,7997.40,8608
1738574999,7994.98,7992.00,8863
1738575059,7995.22,7986.70,9383
1738575119,7995.54,8000.00,10084
1738575179,7995.75,8000.70,10412
1738575239,7995.77,7996.25,10538
1738575298,7995.79,7996.10,10707
1738575359,7995.81,7990.00,10924
1738575419,7995.97,7985.20,11413
1738575479,7994.25,7974.75,12503
1738575539,7994.09,7979.00,12601
1738575599,7993.87,7967.70,12799
1738575659,7992.47,7960.00,13405
1738575719,7992.31,7994.95,13852
1738575779,7992.39,7997.00,14058
1738575839,7992.61,7997.30,14719
1738575899,7992.75,7995.00,14990
1738575959,7992.79,7997.75,15147
1738576017,7992.81,7995.90,15184
1738576078,7992.83,7997.20,15234
1738576139,7993.03,7998.30,15662
1738576199,7993.05,7995.80,15772
1738576259,7993.17,8003.70,15987
1738576319,7997.67,8041.10,17871
1738576379,7998.02,8045.00,17995
1738576439,7998.89,8041.45,18328
1738576499,8001.94,8062.10,19412
1738576559,8002.58,8062.00,19613
1738576619,8005.50,8077.25,20401
1738576679,8006.58,8080.30,20717
1738576739,8006.98,8041.30,20908
1738576799,8007.06,8012.35,21020
1738576859,8007.10,8004.15,21141
1738576919,8007.12,8016.05,21231
1738576978,8007.14,8020.20,21266
1738577039,8007.40,8031.95,21596
1738577099,8007.68,8040.40,21799
1738577159,8007.74,8036.95,21845
1738577219,8007.89,8042.65,21926
1738577279,8007.92,8050.00,21940
1738577339,8008.06,8030.00,22045
1738577399,8008.18,8019.65,22185
1738577459,8008.37,8008.20,22560
1738577519,8008.41,8018.50,22731
1738577579,8008.43,8015.70,22771
1738577639,8008.42,8007.05,22868
1738577699,8008.42,8011.00,22921
1738577759,8008.40,7999.25,23009
1738577819,8008.41,8008.85,23107
1738577879,8008.43,8020.30,23158
1738577939,8008.44,8014.50,23207
1738577999,8008.46,8014.45,23265
1738578059,8008.61,8028.10,23524
1738578119,8008.93,8034.85,23896
1738578179,8009.38,8050.35,24196
1738578239,8010.05,8072.85,24482
1738578299,8013.87,8071.30,25856
1738578359,8014.11,8057.80,25984
1738578419,8014.38,8081.70,26095
1738578479,8014.83,8088.70,26275
1738578539,8015.70,8091.00,26585
1738578599,8016.33,8092.20,26810
1738578659,8021.64,8113.45,28589
1738578719,8022.66,8122.50,28886
1738578779,8023.08,8122.55,29013
1738578839,8023.67,8111.05,29198
1738578899,8024.13,8124.15,29337
1738578959,8027.54,8147.95,30180
1738579019,8028.97,8155.00,30520
1738579079,8029.67,8149.95,30695
1738579139,8032.09,8165.90,31271
1738579199,8033.21,8165.30,31532
1738579259,8033.71,8169.00,31652
1738579319,8034.93,8170.00,31943
1738579379,8035.60,8169.20,32104
1738579439,8036.95,8174.65,32412
1738579499,8037.20,8172.00,32470
1738579559,8039.00,8176.50,32903
1738579619,8040.78,8177.40,33328
1738579679,8048.32,8193.45,35147
1738579739,8050.61,8189.30,35714
1738579799,8051.56,8190.00,35959
1738579859,8054.22,8197.55,36636
1738579919,8055.09,8183.40,36878
1738579979,8055.98,8171.85,37140
1738580039,8056.41,8182.15,37271
1738580099,8056.63,8177.20,37338
1738580159,8058.09,8175.00,37802
1738580219,8058.67,8167.75,37996
1738580279,8058.88,8169.40,38065
1738580339,8059.90,8170.00,38428
1738580399,8060.40,8159.35,38614
1738580459,8061.02,8173.00,38840
1738580519,8064.15,8190.00,39876
1738580579,8074.19,8197.30,43063
1738580639,8075.05,8197.65,43362
1738580699,8076.10,8197.35,43726
1738580759,8079.66,8219.35,44905
1738580819,8080.64,8209.85,45243
1738580879,8081.53,8219.20,45537
1738580939,8082.04,8214.70,45714
1738580999,8083.11,8213.80,46080
1738581059,8083.55,8211.75,46233
1738581119,8084.46,8212.50,46557
1738581179,8085.85,8202.30,47048
1738581239,8086.22,8202.80,47199
1738581299,8086.69,8205.85,47388
1738581359,8087.23,8219.00,47593
1738581419,8090.17,8227.00,48640
1738581479,8092.65,8233.10,49526
1738581539,8093.56,8231.45,49845
1738581599,8093.90,8230.80,49970
1738581659,8094.35,8225.00,50144
1738581719,8094.75,8223.75,50301
1738581779,8095.33,8220.20,50530
1738581839,8096.09,8212.15,50848
1738581899,8096.49,8209.20,51031
1738581959,8097.04,8207.60,51278
1738582019,8098.55,8214.95,51955
1738582079,8098.69,8212.70,52018
1738582139,8099.24,8213.50,52262
1738582199,8101.11,8199.10,53212
1738582259,8101.80,8192.35,53606
1738582319,8102.67,8190.10,54139
1738582379,8102.91,8192.95,54288
1738582439,8104.05,8187.00,55059
1738582499,8105.21,8192.15,55770
1738582559,8105.44,8189.85,55925
1738582619,8105.79,8213.95,56114
1738582679,8106.50,8219.40,56482
1738582739,8107.30,8214.00,56897
1738582799,8107.34,8208.85,56919
1738582859,8107.86,8201.30,57231
1738582919,8108.25,8210.00,57456
1738582979,8108.70,8216.85,57693
1738583039,8109.15,8216.90,57934
1738583099,8109.59,8217.85,58169
1738583159,8110.16,8225.50,58461
1738583219,8110.82,8228.80,58789
1738583279,8112.05,8233.40,59388
1738583339,8112.24,8238.00,59480
1738583399,8113.01,8238.00,59842
1738583459,8113.52,8238.75,60084
1738583519,8114.49,8247.90,60543
1738583579,8115.66,8245.15,61079
1738583639,8116.18,8247.95,61322
1738583699,8116.52,8248.00,61483
1738583759,8117.57,8248.80,61975
1738583819,8123.47,8244.95,64836
1738583879,8124.08,8233.65,65195
1738583939,8124.36,8236.85,65357
1738583999,8125.21,8230.80,65900
1738584059,8125.32,8234.00,65968
1738584119,8125.69,8250.00,66182
1738584179,8125.86,8244.95,66275
1738584239,8126.09,8246.10,66398
1738584299,8127.32,8260.00,67051
1738584359,8128.42,8264.10,67602
1738584419,8130.17,8273.40,68475
1738584479,8131.02,8254.00,68931
1738584539,8131.78,8257.00,69350
1738584599,8132.05,8259.10,69503
1738584659,8133.30,8260.00,70196
1738584719,8133.61,8258.25,70369
1738584779,8134.61,8265.80,70906
1738584839,8135.14,8262.00,71197
1738584899,8135.45,8267.55,71364
1738584959,8135.60,8262.05,71444
1738585019,8135.90,8265.20,71609
1738585079,8136.09,8267.95,71714
1738585139,8136.62,8264.70,72012
1738585199,8137.06,8256.00,72269
1738585259,8137.27,8263.65,72394
1738585319,8137.62,8256.30,72603
1738585379,8138.31,8246.85,73064
1738585439,8138.65,8239.50,73307
1738585499,8139.11,8250.00,73628
1738585559,8139.31,8249.15,73760
1738585619,8139.72,8254.35,74019
1738585679,8140.08,8260.00,74249
1738585739,8140.31,8249.10,74392
1738585799,8140.76,8250.00,74695
1738585859,8141.20,8250.25,74998
1738585919,8141.88,8259.75,75473
1738585979,8142.16,8261.65,75649
1738586039,8142.32,8260.20,75749
1738586099,8142.61,8265.30,75933
1738586159,8144.06,8270.00,76810
1738586219,8144.24,8262.25,76923
1738586279,8144.40,8270.00,77025
1738586339,8144.76,8258.50,77259
1738586399,8145.02,8261.15,77435
1738586459,8145.07,8261.15,77474
1738586519,8145.18,8256.70,77549
1738586579,8145.72,8269.00,77899
1738586639,8146.11,8265.05,78153
