t,ap,cp,v
1738573682,1192.25,1192.25,432
1738573740,1192.25,1192.25,432
1738573874,1192.25,1192.25,432
1738574159,1197.83,1201.70,1185
1738574219,1198.91,1207.10,1396
1738574279,1199.63,1203.95,1632
1738574339,1200.02,1202.00,1926
1738574399,1200.47,1202.20,2422
1738574459,1200.41,1197.10,2658
1738574519,1200.39,1202.90,2896
1738574578,1200.65,1203.95,3210
1738574638,1200.68,1204.20,3243
1738574699,1201.39,1207.00,3713
1738574759,1201.61,1208.40,3864
1738574819,1202.39,1212.50,4193
1738574879,1202.50,1211.70,4239
1738574939,1203.23,1214.25,4582
1738574999,1203.35,1213.45,4643
1738575059,1203.70,1214.50,4807
1738575119,1204.16,1216.15,5022
1738575179,1204.68,1215.10,5254
1738575239,1204.89,1216.00,5357
1738575299,1205.14,1217.95,5465
1738575359,1205.19,1219.35,5485
1738575419,1205.69,1218.60,5697
1738575478,1209.19,1219.50,7920
1738575539,1209.29,1217.55,8007
1738575599,1209.43,1215.60,8175
1738575659,1209.68,1219.45,8457
1738575719,1209.84,1214.80,8677
1738575779,1210.74,1217.20,10296
1738575839,1211.06,1216.65,10813
1738575899,1211.14,1215.20,11024
1738575959,1211.18,1215.90,11114
1738576019,1211.24,1216.45,11245
1738576079,1211.27,1214.55,11337
1738576139,1211.29,1213.00,11420
1738576197,1211.31,1213.70,11601
1738576259,1211.38,1215.25,12018
1738576319,1211.39,1213.80,12062
1738576379,1211.41,1213.80,12159
1738576439,1211.46,1216.55,12340
1738576499,1211.48,1214.05,12389
1738576559,1211.49,1213.00,12470
1738576619,1211.51,1214.05,12605
1738576679,1211.52,1212.35,12670
1738576739,1211.55,1213.05,12869
1738576799,1211.55,1213.25,12881
1738576859,1211.55,1214.30,12884
1738576919,1211.55,1213.25,12891
1738576979,1211.56,1213.00,12988
1738577039,1211.57,1214.40,13071
1738577099,1211.58,1212.05,13139
1738577159,1211.58,1212.65,13158
1738577219,1211.59,1212.10,13208
1738577279,1211.60,1212.80,13665
1738577339,1211.60,1212.25,13715
1738577399,1211.61,1211.85,13793
1738577459,1211.61,1212.85,13812
1738577519,1211.61,1213.00,13817
1738577579,1211.62,1212.65,13869
1738577639,1211.62,1212.40,13972
1738577698,1211.62,1212.70,14042
1738577759,1211.62,1211.15,14185
1738577819,1211.62,1212.40,14202
1738577879,1211.62,1212.25,14219
1738577939,1211.62,1210.80,14371
1738577999,1211.61,1211.80,14404
1738578059,1211.65,1212.50,15202
1738578119,1211.66,1213.35,15261
1738578179,1211.66,1213.55,15276
1738578239,1211.68,1213.90,15411
1738578299,1211.68,1214.35,15420
1738578359,1211.68,1214.10,15458
1738578419,1211.70,1212.65,15584
1738578479,1211.70,1213.00,15652
1738578538,1211.70,1213.20,15670
1738578599,1211.71,1213.50,15700
1738578659,1211.71,1212.45,15735
1738578719,1211.73,1212.00,16109
1738578779,1211.73,1212.05,16138
1738578839,1211.73,1211.30,16145
1738578899,1211.73,1211.85,16153
1738578959,1211.73,1212.00,16166
1738579019,1211.73,1212.05,16196
1738579079,1211.72,1210.05,16318
1738579139,1211.70,1210.80,16524
1738579199,1211.70,1210.20,16583
1738579259,1211.70,1211.05,16587
1738579319,1211.69,1210.90,16624
1738579379,1211.69,1210.90,16638
1738579439,1211.69,1212.30,16653
1738579499,1211.69,1212.25,16663
1738579559,1211.69,1212.20,16665
1738579618,1211.69,1211.30,16723
1738579679,1211.69,1211.95,16726
1738579739,1211.69,1210.85,16738
1738579799,1211.69,1211.60,16834
1738579859,1211.70,1213.05,16871
1738579917,1211.70,1212.50,16913
1738579978,1211.70,1212.40,16967
1738580039,1211.73,1212.85,17755
1738580098,1211.73,1212.70,17767
1738580159,1211.73,1212.45,17768
1738580219,1211.73,1211.30,17819
1738580279,1211.73,1210.50,17860
1738580339,1211.73,1211.10,18109
1738580399,1211.73,1212.00,18145
1738580459,1211.73,1212.45,18165
1738580519,1211.73,1212.40,18166
1738580578,1211.73,1212.15,18185
1738580639,1211.73,1211.10,18240
1738580699,1211.73,1212.30,18244
1738580759,1211.73,1212.30,18245
1738580819,1211.73,1211.85,18259
1738580879,1211.73,1211.70,18271
1738580939,1211.73,1210.50,18277
1738580999,1211.73,1211.50,18287
1738581058,1211.73,1211.20,18302
1738581119,1211.73,1211.65,18368
1738581179,1211.73,1211.70,18370
1738581239,1211.73,1211.55,18515
1738581299,1211.73,1211.70,18538
1738581359,1211.72,1211.70,18558
1738581419,1211.72,1210.50,18698
1738581479,1211.72,1211.20,18713
1738581539,1211.71,1212.50,19217
1738581599,1211.71,1212.50,19253
1738581658,1211.71,1211.45,19308
1738581719,1211.71,1211.25,19324
1738581779,1211.72,1212.40,19420
1738581839,1211.72,1213.00,19486
1738581899,1211.72,1213.00,19516
1738581959,1211.72,1212.75,19542
1738582019,1211.72,1212.35,19557
1738582079,1211.72,1211.10,19592
1738582139,1211.72,1212.20,19602
1738582199,1211.72,1212.20,19602
1738582259,1211.72,1212.50,19605
1738582319,1211.72,1212.45,19612
1738582379,1211.74,1212.75,20100
1738582439,1211.78,1213.00,20864
1738582499,1211.83,1212.10,21672
1738582559,1211.83,1212.10,21692
1738582619,1211.83,1212.25,21723
1738582679,1211.83,1212.85,21728
1738582739,1211.83,1212.70,21735
1738582799,1211.83,1211.70,21752
1738582859,1211.83,1211.35,21913
1738582919,1211.81,1210.75,22135
1738582979,1211.81,1210.50,22180
1738583039,1211.81,1210.20,22182
1738583099,1211.80,1211.25,22192
1738583159,1211.80,1210.95,22267
1738583219,1211.80,1210.75,22298
1738583279,1211.79,1209.40,22393
1738583339,1211.79,1209.95,22404
1738583399,1211.79,1209.85,22410
1738583459,1211.77,1209.55,22576
1738583519,1211.77,1209.55,22580
1738583579,1211.76,1209.55,22600
1738583639,1211.76,1209.30,22622
1738583699,1211.76,1209.05,22657
1738583757,1211.75,1209.05,22665
1738583819,1211.75,1208.20,22689
1738583879,1211.75,1209.00,22735
1738583938,1211.74,1208.05,22760
1738583999,1211.74,1208.05,22760
1738584059,1211.74,1208.95,22766
1738584119,1211.74,1208.85,22772
1738584179,1211.73,1208.75,22848
1738584239,1211.73,1208.40,22857
1738584299,1211.73,1209.00,22859
1738584359,1211.73,1208.85,22864
1738584419,1211.72,1209.30,22936
1738584478,1211.72,1208.75,22953
1738584539,1211.71,1209.45,23029
1738584599,1211.71,1210.05,23041
1738584659,1211.71,1209.00,23066
1738584717,1211.71,1209.85,23072
1738584779,1211.70,1210.95,23093
1738584838,1211.70,1210.95,23099
1738584899,1211.70,1211.40,23169
1738584959,1211.70,1210.85,23217
1738585019,1211.70,1210.85,23240
1738585079,1211.70,1210.80,23289
1738585139,1211.69,1210.00,23353
1738585199,1211.69,1209.95,23356
1738585259,1211.69,1209.90,23378
1738585319,1211.68,1208.05,23428
1738585379,1211.66,1208.55,23558
1738585439,1211.66,1207.50,23568
1738585499,1211.66,1207.65,23572
1738585559,1211.64,1207.35,23675
1738585619,1211.64,1207.85,23676
1738585678,1211.64,1207.85,23678
1738585735,1211.62,1208.40,23771
1738585799,1211.62,1207.35,23816
1738585859,1211.61,1206.95,23827
1738585919,1211.60,1206.45,23879
1738585979,1211.58,1207.00,23989
1738586039,1211.58,1207.20,23992
