t,ap,cp,v
1738573634,801.05,801.05,10
1738573740,801.05,801.05,10
1738574159,801.05,801.05,10
1738574219,807.65,807.50,121
1738574279,807.66,808.50,134
1738574339,808.05,809.20,180
1738574398,808.57,810.95,227
1738574459,808.57,810.95,227
1738574517,808.68,808.05,274
1738574579,808.68,808.05,274
1738574633,808.68,808.05,274
1738574697,808.84,811.10,294
1738574757,809.29,813.10,477
1738574819,809.99,815.20,542
1738574879,810.38,819.30,568
1738574939,811.05,818.25,620
1738574999,812.64,819.25,752
1738575059,812.64,819.25,752
1738575119,812.71,817.85,762
1738575178,812.83,816.35,785
1738575239,812.89,816.05,799
1738575299,812.89,816.05,799
1738575359,812.89,816.05,799
1738575419,812.91,815.40,804
1738575479,812.91,815.40,804
1738575539,812.91,815.40,804
1738575598,812.92,815.75,841
1738575658,812.94,815.10,850
1738575717,812.94,815.10,850
1738575777,812.94,815.10,850
1738575839,812.94,815.10,850
1738575897,812.94,815.10,850
1738575959,812.94,813.15,854
1738576019,812.94,813.15,854
1738576079,812.94,813.15,854
1738576137,812.95,815.10,855
1738576199,812.95,815.10,855
1738576253,812.95,815.10,855
1738576316,812.95,815.10,855
1738576379,812.96,813.20,888
1738576439,812.96,813.20,888
1738576498,812.96,813.20,888
1738576559,812.96,813.20,888
1738576617,812.96,813.20,888
1738576678,812.96,813.20,888
1738576739,812.97,813.65,904
1738576790,812.97,813.65,904
1738576859,812.97,813.65,904
1738576919,812.97,813.65,904
1738576974,812.97,813.65,904
1738577033,812.97,814.10,905
1738577099,812.97,814.10,905
1738577159,812.97,814.10,905
1738577218,812.97,814.10,905
1738577279,813.29,818.00,985
1738577339,813.38,819.50,1000
1738577399,813.38,819.50,1000
1738577459,813.74,818.95,1065
1738577519,813.93,820.15,1099
1738577579,813.93,820.15,1099
1738577638,814.13,819.25,1142
1738577699,814.13,819.25,1142
1738577759,814.13,819.25,1142
1738577819,814.13,819.25,1142
1738577876,814.15,820.90,1144
1738577939,814.15,820.90,1144
1738577999,814.15,820.90,1144
1738578059,814.24,825.75,1153
1738578119,819.59,825.75,2153
1738578179,819.59,826.35,2154
1738578235,819.59,826.35,2154
1738578299,819.83,826.20,2233
1738578358,819.83,826.20,2233
1738578419,819.83,827.10,2234
1738578479,819.85,825.30,2242
1738578539,819.85,825.30,2242
1738578599,819.85,823.85,2244
1738578659,819.85,823.85,2244
1738578715,819.86,826.50,2245
1738578779,820.67,825.00,2668
1738578839,821.16,825.00,3006
1738578899,821.47,825.90,3274
1738578958,821.47,825.90,3274
1738579019,821.47,825.90,3274
1738579079,821.62,827.00,3363
1738579139,821.97,827.00,3598
1738579199,823.28,828.00,4603
1738579259,823.68,828.10,4942
1738579319,823.68,828.10,4942
1738579379,823.68,828.10,4942
1738579439,823.68,828.10,4942
1738579499,823.68,828.10,4942
1738579559,823.70,828.80,4962
1738579619,823.70,828.80,4962
1738579679,823.77,827.60,5063
1738579732,823.77,827.60,5063
1738579799,823.77,827.60,5063
1738579859,823.81,828.95,5117
1738579919,823.82,829.00,5120
1738579979,823.82,829.00,5120
1738580039,823.83,829.00,5135
1738580097,823.83,829.00,5135
1738580159,823.83,829.00,5135
1738580219,824.34,829.00,5698
1738580279,824.36,828.95,5718
1738580339,824.50,830.20,5900
1738580399,824.50,830.20,5900
1738580459,824.50,831.55,5902
1738580519,824.50,831.55,5902
1738580577,824.50,831.55,5902
1738580639,824.50,831.55,5902
