t,ap,cp,v
1738573635,413.40,413.40,30
1738573741,413.40,413.40,30
1738573885,413.40,413.40,30
1738574159,413.02,406.80,33
1738574219,409.78,407.95,185
1738574279,409.75,407.65,188
1738574339,409.32,408.95,278
1738574395,409.29,407.85,283
1738574458,409.00,406.75,329
1738574519,408.98,407.05,331
1738574579,408.65,407.25,402
1738574639,408.56,407.50,438
1738574695,408.52,408.20,473
1738574759,408.70,410.00,696
1738574819,409.06,413.00,779
1738574877,409.16,412.50,801
1738574938,409.45,412.90,861
1738574998,409.45,412.90,861
1738575056,409.92,411.40,1071
1738575118,410.64,412.55,1400
1738575178,411.62,412.05,2594
1738575239,411.61,409.60,2664
1738575297,411.04,408.60,3480
1738575357,410.79,408.60,3878
1738575419,410.79,408.65,3879
1738575478,410.79,408.95,3882
1738575539,410.79,408.95,3882
1738575598,410.78,408.00,3884
1738575659,410.78,407.65,3887
1738575719,410.78,407.65,3887
1738575773,410.78,407.65,3887
1738575839,410.78,408.00,3896
1738575899,410.77,409.40,3898
1738575959,410.76,408.05,3925
1738576015,410.76,408.05,3925
1738576077,410.76,408.05,3925
1738576138,410.76,408.05,3925
1738576199,410.74,408.00,3950
1738576259,410.72,409.05,3982
1738576319,410.72,409.05,3982
1738576378,410.70,407.25,4003
1738576432,410.70,408.55,4004
1738576499,410.67,407.80,4042
1738576559,410.67,407.80,4042
1738576616,410.67,407.10,4046
1738576677,410.57,407.45,4145
1738576738,410.55,405.60,4164
1738576797,410.54,405.35,4169
1738576859,410.54,405.35,4169
1738576919,410.54,405.35,4169
1738576979,410.45,406.55,4272
1738577037,410.45,406.55,4273
1738577099,410.45,406.55,4274
1738577159,410.44,407.75,4280
1738577219,410.44,407.75,4280
1738577277,410.44,407.75,4280
1738577336,410.44,408.65,4281
1738577398,410.44,408.00,4282
1738577459,410.44,408.00,4282
1738577518,410.44,408.00,4282
1738577569,410.41,408.35,4338
1738577639,410.41,408.80,4339
1738577697,410.41,408.80,4339
1738577758,410.41,408.80,4339
1738577818,410.41,407.70,4345
1738577876,410.41,407.70,4345
1738577939,410.41,407.70,4345
1738577998,410.41,407.70,4345
1738578059,410.41,407.70,4345
1738578116,410.41,407.70,4345
1738578177,410.41,407.70,4345
1738578239,410.40,408.00,4357
1738578296,410.32,407.60,4508
1738578357,410.32,407.60,4508
1738578419,410.32,407.60,4508
1738578476,410.30,408.50,4558
1738578538,410.28,407.55,4588
1738578598,410.28,407.55,4588
1738578658,410.28,407.55,4588
1738578716,410.27,408.85,4598
1738578777,410.27,408.85,4598
1738578838,410.27,408.85,4598
1738578898,410.27,408.85,4598
1738578959,410.27,408.85,4598
1738579016,410.27,408.85,4598
1738579079,410.27,408.80,4599
1738579135,410.27,408.80,4599
1738579198,410.27,407.35,4607
1738579259,410.27,407.80,4609
1738579318,410.27,408.90,4610
1738579369,410.27,408.90,4610
1738579434,410.27,408.90,4610
1738579496,410.27,408.90,4610
1738579559,410.24,408.05,4660
1738579618,410.24,408.05,4660
1738579678,410.24,411.40,4688
1738579738,410.23,409.55,4772
1738579798,410.23,410.40,4813
1738579857,410.24,410.70,4828
1738579918,410.24,410.70,4828
1738579974,410.24,410.70,4828
1738580039,410.24,410.70,4828
1738580082,410.24,411.95,4838
1738580155,410.24,411.95,4838
1738580215,410.25,412.55,4871
1738580275,410.26,412.55,4894
1738580336,410.26,412.55,4894
1738580395,410.26,412.55,4894
1738580459,410.31,412.85,5007
1738580519,410.32,411.30,5052
1738580575,410.32,411.30,5052
1738580636,410.43,411.00,6052
1738580696,410.43,411.00,6052
1738580740,410.43,411.65,6053
1738580818,410.43,411.65,6053
1738580871,410.43,411.65,6053
1738580939,410.47,412.65,6174
1738580999,410.47,412.55,6192
1738581059,410.47,413.25,6194
1738581119,410.47,413.25,6194
1738581179,410.48,413.90,6195
1738581239,410.48,413.90,6195
1738581295,410.55,412.55,6405
1738581351,410.55,412.55,6405
1738581419,410.55,412.55,6405
1738581478,410.55,412.55,6405
1738581536,410.56,413.90,6409
1738581591,410.72,414.55,6743
1738581659,410.76,414.95,6809
1738581719,410.76,414.95,6809
1738581779,410.77,414.95,6833
1738581839,410.77,414.95,6833
1738581884,410.77,415.20,6835
1738581959,410.81,415.00,6898
1738582019,410.82,414.95,6908
1738582079,410.88,415.55,7015
1738582139,410.88,415.55,7015
1738582197,411.02,416.00,7205
1738582259,411.19,418.20,7393
1738582317,411.42,418.85,7656
1738582378,411.42,418.85,7656
1738582439,411.54,416.25,7790
1738582499,411.64,416.95,7943
1738582548,411.64,416.95,7943
1738582619,411.73,416.95,8084
1738582679,411.75,417.80,8113
1738582739,411.76,417.95,8117
1738582799,411.97,417.70,8369
1738582858,411.97,418.90,8374
1738582919,412.02,417.60,8438
1738582979,412.02,417.60,8438
1738583038,412.05,419.40,8484
1738583098,412.40,418.80,8939
1738583158,412.45,418.20,9024
1738583218,412.46,418.70,9034
1738583278,412.56,418.50,9183
1738583333,412.56,418.50,9183
1738583397,412.56,418.50,9183
1738583459,412.70,418.95,9393
1738583519,412.77,418.80,9509
1738583579,412.79,418.35,9545
1738583634,412.79,418.35,9545
1738583699,412.92,418.75,9750
1738583757,412.93,418.75,9760
1738583817,413.52,417.60,10994
1738583878,413.70,419.50,11396
1738583939,413.71,419.50,11410
1738583998,414.25,420.55,12481
1738584058,414.26,419.75,12508
1738584119,414.28,419.70,12537
1738584179,414.30,419.60,12593
1738584238,414.31,419.35,12633
1738584299,414.32,419.70,12648
1738584354,414.32,419.75,12649
1738584416,414.37,419.90,12762
1738584477,414.37,419.90,12762
1738584539,414.41,419.05,12862
1738584597,414.42,418.60,12887
1738584658,414.42,418.60,12887
1738584719,414.43,421.00,12899
1738584778,414.48,422.15,12989
1738584839,414.56,423.10,13118
1738584899,414.92,423.95,13650
1738584959,414.97,424.05,13734
1738585018,414.98,423.85,13748
1738585078,415.13,424.40,13998
1738585139,415.36,422.70,14357
1738585199,415.62,421.95,15016
1738585257,415.78,421.15,15420
1738585317,415.78,421.15,15420
1738585378,415.83,423.00,15546
1738585438,415.83,422.45,15556
1738585499,415.85,421.15,15596
1738585559,415.87,422.10,15639
1738585612,415.87,422.45,15643
1738585679,415.87,422.45,15643
