t,ap,cp,v
1738573635,120.60,120.60,1
1738573741,120.60,120.60,1
1738574135,120.60,120.60,1
1738574218,120.60,120.60,1
1738574271,117.82,118.00,28
1738574339,115.60,114.15,415
1738574392,115.60,114.15,415
1738574458,115.60,114.15,415
1738574513,115.60,114.15,415
1738574577,115.60,114.15,415
1738574633,115.60,114.15,415
1738574697,115.21,114.60,915
1738574755,115.38,117.90,992
1738574805,115.38,117.90,992
1738574851,115.38,117.90,992
1738574934,115.61,117.85,1094
1738574981,115.61,117.85,1094
1738575058,115.74,117.75,1164
1738575093,115.74,117.70,1168
1738575167,115.74,117.70,1168
1738575233,115.74,117.70,1168
1738575346,115.74,117.70,1168
1738575475,115.77,117.00,1188
1738575513,115.77,117.00,1188
1738575599,115.71,117.65,1391
1738575659,115.71,117.65,1391
1738575717,115.72,117.55,1402
1738575749,115.72,117.55,1402
1738575793,115.72,117.55,1402
1738575869,115.72,117.55,1402
1738575957,115.84,117.55,1502
1738575967,115.84,117.55,1502
1738576076,115.86,117.50,1519
1738576126,115.87,117.00,1539
1738576185,115.88,117.00,1550
1738576239,115.88,117.00,1550
1738576299,115.89,117.00,1561
1738576354,115.89,117.00,1561
1738576406,115.89,117.00,1561
1738576497,115.89,117.00,1561
1738576538,115.89,117.00,1561
1738576597,115.90,116.95,1571
1738576797,115.90,116.95,1571
1738576823,115.90,116.95,1571
1738576877,115.90,116.95,1579
1738576968,115.91,116.95,1594
1738577039,115.92,116.95,1604
1738577071,115.92,116.95,1604
1738577102,115.92,116.95,1605
1738577208,115.92,116.95,1605
1738577260,115.92,116.95,1611
1738577297,115.92,116.95,1611
1738577445,115.93,116.95,1617
1738577499,115.93,116.95,1618
1738577608,115.93,116.95,1618
1738577717,115.96,116.95,1668
1738577784,115.96,116.95,1668
1738577875,115.97,115.30,1839
1738577934,115.81,116.90,2439
1738577993,115.81,116.90,2439
1738578049,115.81,116.90,2439
1738578108,115.81,116.90,2439
1738578158,115.81,116.90,2439
1738578271,115.81,116.55,2440
1738578357,115.81,116.55,2440
1738578412,115.82,116.50,2470
1738578438,115.82,116.50,2470
1738578500,115.82,116.50,2470
1738578582,115.82,116.55,2480
1738578624,115.82,116.55,2480
1738578719,115.82,116.50,2484
1738578766,115.82,116.00,2489
1738578787,115.82,116.00,2490
1738578888,115.82,116.00,2490
1738578948,115.82,116.00,2491
1738578968,115.82,116.00,2491
1738579089,115.82,116.00,2491
1738579196,115.82,116.00,2491
1738579297,115.82,116.00,2501
1738579353,115.82,116.00,2501
1738579429,115.84,116.65,2551
1738579534,115.84,116.65,2551
1738579644,115.84,116.65,2551
1738579722,115.84,116.60,2564
1738579797,115.84,116.60,2564
1738579943,115.84,116.60,2564
1738580025,115.84,116.50,2565
1738580121,115.84,116.50,2565
1738580291,115.84,116.50,2565
1738580394,115.84,116.50,2565
1738580568,115.84,116.50,2565
1738580722,115.85,116.45,2581
1738580919,115.86,116.50,2651
1738580973,115.86,116.50,2654
1738581008,115.86,116.50,2654
1738581136,115.86,116.50,2654
1738581380,115.86,116.50,2655
1738581436,115.86,116.50,2655
1738581536,115.86,115.55,2755
1738581599,115.88,116.50,2836
1738581607,115.88,116.50,2836
1738581675,115.88,116.50,2836
1738581806,115.88,116.75,2846
1738581861,115.88,116.75,2846
1738582106,115.88,116.75,2846
1738582150,115.88,116.75,2848
1738582251,115.88,116.50,2856
1738582306,115.89,116.50,2896
1738582329,115.89,116.75,2897
1738582747,115.89,116.75,2897
1738582912,115.89,116.75,2897
1738582966,115.89,116.75,2897
1738583259,115.92,116.75,2994
1738583281,115.92,116.75,3004
1738583515,115.93,117.00,3010
1738583557,115.93,117.00,3023
1738583611,115.93,117.00,3023
1738583725,115.93,117.00,3023
1738583838,115.93,117.00,3023
1738583895,115.93,116.75,3024
1738583953,115.94,116.75,3044
1738584049,115.94,116.75,3044
1738584248,115.94,116.75,3044
1738584315,115.94,116.75,3044
1738584390,115.94,116.75,3044
1738584674,115.95,117.00,3071
1738584817,116.06,116.75,3571
1738584851,116.09,116.75,3743
1738585175,116.09,116.75,3748
1738585302,116.09,116.50,3758
1738585347,116.09,116.75,3768
1738585389,116.10,116.00,3918
1738585520,116.10,116.00,3918
1738585798,116.10,116.75,3922
1738585801,116.10,116.75,3927
1738585895,116.10,116.75,3927
1738585932,116.10,116.75,3928
1738586137,116.10,116.00,4028
1738586163,116.10,116.75,4029
1738586268,116.10,116.75,4029
1738586325,116.10,116.75,4029
1738586344,116.10,116.75,4042
1738586431,116.10,116.75,4042
1738586477,116.10,116.75,4042
1738586552,116.10,116.75,4042
1738586696,116.10,116.75,4042
1738586808,116.10,116.75,4049
1738586999,116.10,116.75,4066
1738587057,116.11,116.75,4116
1738587131,116.11,116.70,4117
1738587215,116.11,116.70,4121
1738587259,116.11,116.70,4121
1738587430,116.11,116.70,4131
1738587536,116.11,116.05,4133
1738587617,116.11,116.05,4133
1738587814,116.11,116.05,4133
1738587897,116.12,116.75,4233
1738587946,116.12,116.75,4233
1738588036,116.13,116.75,4241
1738588234,116.13,116.75,4241
1738588394,116.13,116.75,4241
1738588487,116.13,116.75,4244
1738588582,116.13,116.75,4244
1738588661,116.13,116.75,4244
1738588795,116.13,116.75,4249
1738588825,116.13,116.65,4274
1738589014,116.13,116.65,4274
1738589140,116.13,116.75,4277
1738589197,116.13,116.75,4282
1738589298,116.13,116.75,4282
1738589450,116.13,116.75,4283
1738589578,116.13,116.20,4287
1738589635,116.15,117.20,4362
1738589716,116.15,117.20,4365
1738589783,116.15,117.20,4365
1738590012,116.15,117.20,4365
1738590175,116.15,117.20,4365
1738590231,116.15,116.05,4392
1738590300,116.15,116.05,4392
1738590416,116.15,116.05,4392
1738590494,116.15,116.05,4392
1738590550,116.15,116.05,4392
1738590834,116.15,116.05,4392
1738591054,116.15,117.00,4403
1738591109,116.15,117.00,4403
1738591157,116.15,117.00,4403
1738591201,116.15,117.00,4403
1738591270,116.15,117.00,4413
1738591335,116.16,117.00,4424
1738591432,116.16,117.00,4426
1738591590,116.16,117.00,4426
1738591665,116.16,116.05,4427
1738591725,116.16,116.95,4430
1738591849,116.16,116.95,4430
1738591903,116.16,116.95,4430
1738592029,116.16,116.95,4430
1738592080,116.16,116.95,4430
1738592159,116.17,116.90,4530
1738592180,116.17,116.90,4530
1738592325,116.17,116.90,4531
1738592375,116.17,116.90,4531
1738592692,116.17,116.90,4536
1738592730,116.18,116.90,4546
1738592769,116.18,116.90,4546
1738592878,116.18,116.90,4551
1738593096,116.18,116.90,4559
1738593194,116.18,116.90,4560
1738593331,116.18,116.90,4560
1738593388,116.18,116.95,4590
1738593550,116.18,116.95,4590
1738593724,116.18,116.90,4591
1738593815,116.18,116.90,4592
1738593865,116.18,116.90,4592
1738594145,116.18,116.90,4592
1738594473,116.18,116.90,4592
1738594674,116.19,116.80,4617
1738594729,116.19,116.80,4617
1738594740,116.19,116.60,4618
1738594806,116.19,116.60,4619
1738594884,116.19,116.60,4619
1738595007,116.19,116.60,4620
1738595058,116.19,116.60,4620
1738595149,116.19,116.60,4620
1738595195,116.19,116.60,4620
1738595277,116.19,116.60,4626
1738595391,116.19,116.50,4627
1738595437,116.19,116.50,4651
1738595466,116.19,116.10,4678
1738595539,116.19,116.10,4697
1738595607,116.19,116.10,4697
1738595699,116.19,116.20,4702
1738595718,116.19,116.20,4797
1738595804,116.19,116.20,4797
1738595852,116.19,116.20,4797
1738595920,116.19,116.20,4798
1738595948,116.19,116.20,4798
1738596026,116.19,116.25,4801
1738596113,116.19,116.70,4804
1738596161,116.20,116.95,4869
1738596295,116.20,116.95,4869
1738596339,116.20,116.10,5199
1738596417,116.20,116.10,5449
1738596477,116.20,116.10,5449
1738596538,116.20,116.10,5449
1738596599,116.20,116.75,5630
1738596603,116.20,116.75,5630
1738596674,116.20,116.75,5630
1738597202,116.20,116.75,5630
1738597311,116.20,116.75,5630
1738598402,116.20,116.75,5630
1738598491,116.20,116.75,5630
t,ap,cp,v
1738573635,120.60,120.60,1
1738573741,120.60,120.60,1
1738574135,120.60,120.60,1
1738574218,120.60,120.60,1
1738574271,117.82,118.00,28
1738574339,115.60,114.15,415
1738574392,115.60,114.15,415
1738574458,115.60,114.15,415
1738574513,115.60,114.15,415
1738574577,115.60,114.15,415
1738574633,115.60,114.15,415
1738574697,115.21,114.60,915
1738574755,115.38,117.90,992
1738574805,115.38,117.90,992
1738574851,115.38,117.90,992
1738574934,115.61,117.85,1094
1738574981,115.61,117.85,1094
1738575058,115.74,117.75,1164
1738575093,115.74,117.70,1168
1738575167,115.74,117.70,1168
1738575233,115.74,117.70,1168
1738575346,115.74,117.70,1168
1738575475,115.77,117.00,1188
1738575513,115.77,117.00,1188
1738575599,115.71,117.65,1391
1738575659,115.71,117.65,1391
1738575717,115.72,117.55,1402
1738575749,115.72,117.55,1402
1738575793,115.72,117.55,1402
1738575869,115.72,117.55,1402
1738575957,115.84,117.55,1502
1738575967,115.84,117.55,1502
1738576076,115.86,117.50,1519
1738576126,115.87,117.00,1539
1738576185,115.88,117.00,1550
1738576239,115.88,117.00,1550
1738576299,115.89,117.00,1561
1738576354,115.89,117.00,1561
1738576406,115.89,117.00,1561
1738576497,115.89,117.00,1561
1738576538,115.89,117.00,1561
1738576597,115.90,116.95,1571
1738576797,115.90,116.95,1571
1738576823,115.90,116.95,1571
1738576877,115.90,116.95,1579
1738576968,115.91,116.95,1594
1738577039,115.92,116.95,1604
1738577071,115.92,116.95,1604
1738577102,115.92,116.95,1605
1738577208,115.92,116.95,1605
1738577260,115.92,116.95,1611
