t,ap,cp,v
1738574130,355.90,355.90,1
1738574214,355.18,355.00,5
1738574295,355.18,355.00,5
1738574424,355.18,355.00,5
1738574487,355.18,355.00,5
1738574546,355.18,355.00,5
1738574612,355.18,355.00,5
1738574966,355.18,355.00,5
1738575101,355.18,355.00,5
1738575229,355.18,355.00,5
1738575595,355.18,355.00,5
1738575605,355.18,355.00,5
1738576181,355.18,355.00,5
1738576268,354.97,353.95,6
1738576673,354.97,353.95,6
1738576887,354.97,353.95,6
1738577066,353.55,345.05,7
1738577283,353.55,345.05,7
1738577451,353.55,345.05,7
1738577621,353.55,345.05,7
1738577937,353.60,353.70,10
1738578508,353.60,353.70,10
1738578587,353.60,353.70,10
1738579439,353.65,353.70,21
1738579445,353.65,353.70,21
1738579815,353.65,353.70,21
1738579925,353.65,353.70,22
1738580202,353.65,353.70,22
1738580234,353.65,353.70,22
1738581409,353.65,353.70,22
1738581655,353.65,353.70,22
1738581695,353.65,353.70,22
1738582088,353.65,353.70,22
1738582213,353.57,353.50,37
1738582670,353.78,354.00,317
1738583121,353.78,354.00,317
1738583709,353.78,354.00,317
1738584109,353.78,354.00,317
1738584408,353.78,354.00,317
1738584870,353.78,354.00,317
1738585054,353.78,354.00,317
1738585280,353.78,354.00,317
1738585884,353.78,354.00,317
1738585949,353.78,354.00,317
1738585997,353.78,354.00,317
1738587288,353.78,354.00,317
1738587908,353.78,354.00,317
1738588295,353.78,354.00,317
1738588412,353.78,354.00,317
1738588478,353.78,354.00,317
1738589424,353.78,354.00,317
1738589814,353.78,354.00,317
1738589934,353.78,354.00,317
1738590067,353.79,354.00,339
1738590299,353.79,354.00,339
1738591775,353.79,354.00,339
1738592357,353.79,354.00,339
1738592943,353.79,354.00,339
1738594050,353.79,354.00,339
1738594167,353.79,354.00,339
1738594421,353.79,354.00,339
1738594614,353.79,354.00,339
1738595295,353.79,354.00,339
1738595566,353.29,346.50,364
1738595613,353.29,346.50,364
1738595649,353.22,347.05,368
1738595794,353.22,347.05,368
1738595844,353.22,347.05,368
1738595898,353.22,347.05,368
1738595954,353.22,347.05,368
1738596284,353.22,347.05,368
1738596309,353.22,347.05,368
1738596479,351.98,347.35,467
1738596601,351.98,347.35,467
1738596677,351.98,347.35,467
1738597203,351.98,347.35,467
1738597923,351.98,347.35,467
1738598039,351.98,347.35,467
1738598043,351.98,347.35,467
1738598401,351.98,347.35,467
1738598478,351.98,347.35,467
t,ap,cp,v
1738574130,355.90,355.90,1
1738574214,355.18,355.00,5
1738574295,355.18,355.00,5
1738574424,355.18,355.00,5
1738574487,355.18,355.00,5
1738574546,355.18,355.00,5
1738574612,355.18,355.00,5
1738574966,355.18,355.00,5
1738575101,355.18,355.00,5
1738575229,355.18,355.00,5
1738575595,355.18,355.00,5
1738575605,355.18,355.00,5
1738576181,355.18,355.00,5
1738576268,354.97,353.95,6
1738576673,354.97,353.95,6
1738576887,354.97,353.95,6
1738577066,353.55,345.05,7
1738577283,353.55,345.05,7
1738577451,353.55,345.05,7
1738577621,353.55,345.05,7
1738577937,353.60,353.70,10
1738578508,353.60,353.70,10
1738578587,353.60,353.70,10
1738579439,353.65,353.70,21
1738579445,353.65,353.70,21
1738579815,353.65,353.70,21
1738579925,353.65,353.70,22
1738580202,353.65,353.70,22
1738580234,353.65,353.70,22
1738581409,353.65,353.70,22
1738581655,353.65,353.70,22
1738581695,353.65,353.70,22
1738582088,353.65,353.70,22
1738582213,353.57,353.50,37
1738582670,353.78,354.00,317
1738583121,353.78,354.00,317
1738583709,353.78,354.00,317
1738584109,353.78,354.00,317
1738584408,353.78,354.00,317
1738584870,353.78,354.00,317
