t,ap,cp,v
1738573682,633.45,633.45,382
1738573740,633.45,633.45,382
1738574159,629.95,627.60,1145
1738574219,629.36,627.30,1531
1738574279,628.62,626.65,1985
1738574337,628.53,625.35,2051
1738574399,628.26,626.20,2354
1738574459,626.91,625.65,4044
1738574519,626.66,626.05,5293
1738574579,626.66,626.50,5299
1738574639,626.65,625.00,5327
1738574699,626.55,625.10,5643
1738574759,626.52,625.75,5761
1738574819,626.76,629.80,6815
1738574879,626.82,630.00,7000
1738574939,626.89,629.10,7235
1738574999,626.90,627.05,7513
1738575059,626.91,627.25,7553
1738575119,626.91,626.95,7681
1738575179,626.95,628.40,7866
1738575239,626.95,627.10,7984
1738575299,626.95,626.75,8028
1738575359,626.95,626.40,8029
1738575419,626.94,625.40,8082
1738575479,626.94,625.95,8105
1738575539,626.90,624.00,8242
1738575599,626.90,623.05,8252
1738575659,626.87,627.05,8573
1738575719,626.87,627.05,8577
1738575779,626.87,627.10,8778
1738575839,626.87,627.10,8778
1738575899,626.87,627.10,8778
1738575959,626.88,627.60,8933
1738576019,626.88,627.60,9033
1738576079,626.89,627.60,9053
1738576139,626.89,627.60,9053
1738576199,626.87,626.45,9124
1738576259,626.87,626.45,9124
1738576319,626.87,626.95,9149
1738576379,626.87,626.40,9187
1738576439,626.87,626.25,9212
1738576499,626.87,626.25,9212
1738576559,626.87,626.15,9356
1738576619,626.87,626.15,9356
1738576679,626.87,626.15,9356
1738576739,626.87,626.15,9356
1738576799,626.87,626.15,9356
1738576859,626.86,626.75,9456
1738576919,626.85,627.60,9780
1738576979,626.85,627.40,9785
1738577039,626.85,627.40,9785
1738577099,626.85,627.40,9785
1738577159,626.85,626.75,9805
1738577219,626.85,626.75,9805
1738577279,626.85,626.75,9805
1738577339,626.85,626.45,9865
1738577399,626.84,626.00,9946
1738577459,626.84,626.00,9946
1738577519,626.84,626.00,9946
1738577579,626.84,626.00,9946
1738577639,626.84,627.25,10007
1738577699,626.84,627.00,10206
1738577759,626.85,626.85,10293
1738577818,626.85,625.75,10302
1738577879,626.84,626.20,10325
1738577939,626.84,625.75,10377
1738577999,626.84,625.75,10388
1738578059,626.82,625.60,10601
1738578119,626.82,625.60,10601
1738578179,626.82,625.60,10601
1738578239,626.82,625.60,10601
1738578299,626.82,626.90,10621
1738578359,626.82,626.90,10621
1738578419,626.82,626.15,10636
1738578479,626.82,626.15,10636
1738578539,626.82,627.40,10641
1738578599,626.82,626.45,10677
1738578659,626.82,626.45,10677
1738578719,626.81,627.20,10762
1738578779,626.81,627.20,10762
1738578838,626.81,627.20,10762
1738578899,626.81,627.20,10762
1738578959,626.82,626.40,10862
1738579018,626.82,627.40,10872
1738579079,626.82,627.40,10872
1738579139,626.82,627.40,10872
1738579199,626.82,627.40,10872
1738579259,626.82,626.30,10912
1738579319,626.81,626.30,10922
1738579379,626.81,627.05,10933
1738579439,626.81,627.05,10933
1738579497,626.81,627.05,10933
1738579559,626.81,627.05,10933
1738579618,626.81,627.05,10933
1738579679,626.81,627.05,10933
1738579739,626.82,626.90,10987
1738579799,626.81,625.95,11019
1738579859,626.81,626.95,11021
1738579919,626.81,626.95,11021
1738579978,626.81,626.95,11021
1738580039,626.81,625.50,11022
1738580099,626.81,625.20,11056
1738580159,626.81,625.20,11056
1738580219,626.81,625.20,11056
1738580279,626.81,625.20,11056
1738580339,626.81,626.00,11057
1738580399,626.81,626.00,11057
1738580459,626.82,627.90,11363
1738580518,626.82,627.90,11363
1738580578,626.82,627.90,11363
1738580637,626.83,627.90,11423
1738580699,626.83,627.90,11439
1738580759,626.83,627.90,11439
1738580819,626.83,627.40,11444
1738580879,626.83,627.40,11444
1738580939,626.83,627.40,11444
1738580999,626.83,626.40,11446
1738581059,626.83,626.40,11446
1738581119,626.83,627.40,11456
1738581179,626.83,627.40,11456
1738581239,626.83,627.25,11466
1738581298,626.83,627.25,11466
1738581359,626.83,627.25,11466
1738581419,626.84,627.80,11565
1738581479,626.84,627.80,11565
1738581537,626.85,628.00,11634
1738581599,626.85,628.00,11634
1738581659,626.85,628.00,11634
1738581719,626.85,628.10,11644
1738581779,626.85,626.85,11707
1738581839,626.85,626.85,11707
1738581899,626.85,626.85,11707
1738581959,626.85,626.85,11707
1738582019,626.85,626.55,11723
1738582079,626.84,626.30,11854
1738582139,626.84,626.05,11902
1738582199,626.83,625.00,11953
1738582259,626.83,625.00,11981
1738582319,626.83,625.00,11981
1738582379,626.73,623.05,12369
1738582437,626.73,623.05,12369
1738582499,626.52,623.10,13143
