t,ap,cp,v
1738574158,3665.00,3665.00,11
1738574219,3665.00,3665.00,11
1738574278,3657.67,3657.10,30
1738574339,3657.64,3657.10,32
1738574397,3657.64,3657.10,32
1738574459,3658.05,3660.75,37
1738574519,3658.05,3660.75,37
1738574578,3658.21,3663.90,38
1738574639,3660.41,3665.00,57
1738574699,3660.19,3657.70,62
1738574759,3660.92,3664.75,77
1738574819,3666.69,3671.00,200
1738574876,3667.16,3670.35,215
1738574933,3667.16,3670.35,215
1738574992,3667.16,3670.35,215
1738575058,3667.32,3669.00,235
1738575119,3667.24,3657.70,237
1738575179,3667.24,3657.70,237
1738575223,3667.24,3657.70,237
1738575298,3667.24,3657.70,237
1738575358,3667.20,3657.75,238
1738575419,3667.20,3657.75,238
1738575478,3667.20,3657.75,238
1738575538,3659.17,3657.55,443
1738575599,3659.08,3657.55,468
1738575659,3659.08,3657.55,468
1738575700,3659.29,3665.00,485
1738575779,3659.29,3665.00,485
1738575838,3659.29,3665.00,485
1738575895,3659.30,3664.10,486
1738575959,3659.30,3664.10,486
1738576018,3659.30,3664.10,486
1738576079,3659.19,3658.85,515
1738576139,3659.19,3658.85,515
1738576197,3659.19,3658.85,515
1738576259,3659.19,3658.85,515
1738576319,3659.19,3658.85,515
1738576373,3659.19,3658.85,515
1738576437,3658.92,3649.85,532
1738576498,3658.92,3649.85,532
1738576523,3658.92,3649.85,532
1738576614,3658.92,3649.85,532
1738576679,3658.92,3649.85,532
1738576725,3658.92,3649.85,532
1738576799,3658.92,3649.85,532
1738576850,3658.92,3657.75,534
1738576918,3658.92,3657.75,534
1738576977,3658.92,3657.75,534
1738577036,3658.92,3657.75,534
1738577098,3658.92,3657.75,534
1738577159,3658.92,3657.75,534
1738577215,3658.92,3657.75,534
1738577279,3659.31,3660.85,590
1738577339,3659.31,3660.85,590
1738577399,3659.31,3660.85,590
1738577458,3659.31,3660.85,590
1738577517,3659.31,3660.85,590
1738577579,3659.31,3660.85,590
1738577639,3659.38,3668.35,598
1738577698,3659.35,3657.65,608
1738577757,3659.35,3657.65,608
1738577806,3659.35,3657.65,608
1738577879,3659.35,3657.65,608
1738577939,3659.34,3651.50,611
1738577982,3659.34,3651.50,611
1738578058,3659.34,3651.50,611
1738578117,3659.34,3651.50,611
1738578177,3659.34,3651.50,611
1738578239,3659.34,3651.50,611
1738578298,3659.31,3654.90,615
1738578355,3659.31,3654.90,615
1738578418,3659.31,3654.90,615
1738578466,3659.31,3654.90,615
1738578524,3659.31,3654.90,615
1738578598,3659.31,3654.90,615
1738578655,3659.31,3659.30,616
1738578719,3659.31,3659.30,616
1738578750,3659.31,3659.30,616
1738578825,3659.31,3659.30,616
1738578899,3659.31,3659.30,616
1738578958,3659.31,3659.30,616
1738579018,3659.31,3659.30,616
1738579063,3659.31,3659.30,616
1738579139,3659.31,3659.30,616
