t,ap,cp,v
1738573635,350.00,350.00,27
1738573741,350.00,350.00,27
1738574148,350.00,350.00,27
1738574219,349.82,347.35,29
1738574278,348.40,344.25,39
1738574334,345.17,342.60,88
1738574398,345.07,343.00,92
1738574451,345.07,343.00,92
1738574519,345.07,343.00,92
1738574578,344.61,343.25,124
1738574639,344.61,343.25,124
1738574697,344.61,343.25,124
1738574757,344.62,346.30,125
1738574816,344.62,346.30,125
1738574878,344.62,346.30,125
1738574938,345.33,346.35,186
1738574998,345.33,346.35,186
1738575053,345.33,346.35,186
1738575118,345.33,346.35,186
1738575178,345.33,346.35,186
1738575229,345.33,346.35,186
1738575296,345.34,347.00,187
1738575358,345.34,347.00,187
1738575419,345.34,347.00,187
1738575479,345.34,347.00,187
1738575539,345.32,345.00,197
1738575597,345.32,345.00,197
1738575659,345.32,345.00,197
1738575719,345.32,345.00,197
1738575765,345.32,345.00,197
1738575830,345.32,345.00,197
1738575896,345.32,345.40,198
1738575959,345.32,345.40,198
1738575987,345.32,345.40,198
1738576079,345.32,345.40,198
1738576139,345.32,345.40,198
1738576193,345.32,345.40,198
1738576259,345.32,345.40,198
1738576319,345.32,345.40,198
1738576379,345.32,345.40,198
1738576437,345.32,345.40,198
1738576495,345.32,345.40,198
1738576552,345.32,345.40,198
1738576619,345.32,345.40,198
1738576678,345.32,345.40,198
1738576733,345.32,345.40,198
1738576798,345.32,345.40,198
1738576857,345.32,345.40,198
1738576917,345.32,345.40,198
1738576979,345.32,345.40,198
1738577039,345.45,346.90,216
1738577096,345.45,346.90,216
1738577159,345.45,346.90,216
1738577219,345.45,346.90,216
1738577279,345.45,346.90,216
1738577338,345.45,346.90,216
1738577399,345.45,346.90,216
1738577435,345.45,346.90,216
1738577497,345.45,346.90,216
1738577575,345.45,346.90,216
1738577622,345.45,346.90,216
1738577698,345.45,346.90,216
1738577759,345.45,346.90,216
1738577785,347.01,347.15,2716
1738577879,347.01,347.15,2716
1738577939,347.01,347.15,2716
1738577999,347.01,347.15,2716
1738578053,347.01,347.15,2716
1738578118,347.01,347.15,2716
1738578141,347.01,347.15,2716
1738578236,347.01,347.15,2716
1738578297,347.01,347.15,2716
1738578356,347.01,347.15,2716
1738578419,347.01,347.15,2716
1738578477,347.01,347.15,2716
1738578537,347.01,347.15,2716
1738578598,347.01,347.15,2716
1738578658,347.01,347.15,2716
1738578718,347.01,347.15,2716
1738578776,347.01,347.15,2716
1738578792,347.01,347.15,2716
1738578897,347.01,347.15,2716
1738578959,347.01,347.15,2716
1738579019,347.01,347.15,2716
1738579077,347.01,347.15,2716
1738579132,347.01,347.15,2716
1738579197,347.01,347.15,2716
1738579258,347.01,347.15,2716
1738579319,347.01,347.15,2716
1738579366,347.01,347.15,2716
1738579434,347.01,347.15,2716
1738579477,347.01,347.15,2716
1738579524,347.01,347.15,2716
1738579618,347.01,347.15,2716
1738579672,347.01,347.15,2716
1738579738,347.01,347.15,2716
1738579798,347.01,347.15,2716
1738579859,347.01,347.15,2716
1738579907,347.01,347.15,2716
1738579978,347.01,347.15,2716
1738580039,347.01,347.15,2716
1738580098,347.01,347.15,2716
1738580152,347.01,347.15,2716
1738580175,347.01,347.15,2716
1738580273,347.01,347.15,2716
1738580313,347.01,347.15,2716
1738580457,347.01,347.15,2716
1738580517,347.01,347.15,2716
1738580554,347.01,347.15,2716
1738580624,347.01,347.15,2716
1738580698,347.01,347.15,2716
1738580742,347.01,347.15,2716
1738580816,347.01,347.15,2716
1738580852,347.01,347.15,2716
1738580922,347.01,347.15,2716
1738580997,347.01,347.15,2716
1738581023,347.01,347.15,2716
1738581118,347.01,347.15,2716
1738581154,347.01,347.15,2716
1738581220,347.01,347.15,2716
1738581259,347.01,347.15,2716
1738581355,347.01,347.15,2716
1738581386,347.01,347.15,2716
1738581469,347.01,347.15,2716
1738581537,347.01,347.15,2716
1738581652,347.01,347.15,2716
1738581713,347.01,347.15,2716
1738581748,347.01,347.15,2716
1738581895,347.01,347.15,2716
1738581939,347.01,347.15,2716
1738581976,347.01,347.15,2716
1738582078,347.01,347.15,2716
1738582138,347.01,347.15,2716
1738582195,347.01,347.15,2716
1738582255,347.01,347.15,2716
1738582315,347.01,347.15,2716
1738582333,347.01,347.15,2716
1738582436,347.03,348.60,2745
1738582483,347.03,348.60,2745
1738582543,347.03,348.60,2745
1738582619,347.03,348.60,2745
1738582628,347.03,348.60,2745
1738582738,347.03,348.60,2745
1738582749,347.03,348.60,2745
1738582846,347.03,348.60,2745
1738582885,347.03,348.60,2745
1738583009,347.03,348.60,2745
1738583098,347.02,347.00,3197
1738583141,347.02,347.00,3255
1738583219,347.02,347.00,3255
1738583238,347.02,347.00,3255
1738583327,347.02,345.60,3381
1738583389,347.02,345.60,3381
1738583455,347.02,345.60,3381
1738583505,347.02,345.60,3381
1738583575,347.02,345.60,3381
1738583620,347.02,345.60,3381
