t,ap,cp,v
1738574818,691.91,694.30,54
1738574878,696.48,699.40,114
1738574939,696.48,699.40,114
1738574999,696.48,699.40,114
1738575059,696.47,696.55,123
1738575117,696.47,696.55,123
1738575179,696.47,696.65,126
1738575230,696.47,696.65,126
1738575299,696.47,696.65,126
1738575358,696.47,696.65,126
1738575415,695.97,689.65,136
1738575478,695.97,689.65,136
1738575539,695.91,686.70,137
1738575596,695.91,686.70,137
1738575659,695.91,686.70,137
1738575716,695.91,686.70,137
1738575777,695.91,686.70,137
1738575839,695.91,686.70,137
1738575899,695.91,686.70,137
1738575959,695.91,686.70,137
1738576019,695.91,686.70,137
1738576078,695.91,686.70,137
1738576139,695.79,687.60,139
1738576199,695.79,687.60,139
1738576253,686.79,687.50,648
1738576318,686.79,688.30,649
1738576379,686.79,687.95,650
1738576423,686.79,686.90,653
1738576499,686.79,687.15,654
1738576559,686.79,687.15,654
1738576619,686.79,687.15,654
1738576675,686.79,687.15,654
1738576735,686.79,686.90,657
1738576799,686.82,688.15,672
1738576857,686.82,688.15,672
1738576918,686.84,689.25,678
1738576979,686.85,688.70,680
1738577021,686.85,688.70,680
1738577099,686.85,687.70,681
1738577158,686.85,687.70,681
1738577219,686.85,687.70,681
1738577279,686.85,687.70,681
1738577339,686.85,687.70,681
1738577396,686.85,687.40,682
1738577453,686.83,684.95,692
1738577511,686.83,684.95,692
1738577579,686.83,684.95,692
1738577638,686.83,684.95,693
1738577696,686.81,685.75,707
1738577744,686.80,686.55,723
1738577818,686.80,686.55,723
1738577878,686.80,686.55,723
1738577935,686.80,687.20,727
1738577996,686.80,687.20,727
1738578058,686.80,687.20,727
1738578116,686.80,687.20,727
1738578179,686.80,688.05,728
1738578239,686.81,688.40,732
1738578296,686.97,688.45,799
1738578359,686.97,688.45,799
1738578419,686.97,688.45,799
1738578472,686.97,688.45,799
1738578538,687.05,689.50,841
1738578597,687.05,689.50,841
1738578659,687.05,689.50,841
1738578719,687.05,688.95,842
1738578779,687.06,689.55,847
1738578838,687.06,689.55,847
1738578896,687.06,689.55,847
1738578958,687.23,691.00,885
1738579018,687.27,691.10,894
1738579074,687.27,691.10,894
1738579138,687.27,691.10,894
1738579199,687.27,691.10,894
1738579258,687.27,691.10,894
1738579307,687.32,690.45,908
1738579379,687.32,690.45,908
1738579436,687.32,690.45,908
1738579494,687.45,692.70,934
1738579559,687.45,692.70,934
1738579618,687.45,692.70,934
1738579679,687.51,693.20,945
1738579734,687.51,693.20,945
1738579796,687.86,693.25,1005
1738579859,688.01,694.90,1029
1738579915,688.01,694.90,1029
1738579979,688.08,695.25,1039
1738580039,688.09,694.40,1041
1738580099,688.09,694.40,1041
1738580159,688.31,695.15,1075
1738580219,688.31,695.15,1075
1738580279,688.31,695.15,1075
1738580336,688.31,695.15,1075
1738580399,688.32,695.45,1076
1738580458,688.32,695.45,1076
1738580519,688.33,696.20,1078
1738580576,688.33,696.20,1078
1738580634,688.33,696.20,1078
1738580693,688.33,696.20,1078
1738580759,688.33,696.20,1078
1738580816,688.33,696.20,1078
1738580879,688.33,696.20,1078
1738580937,688.38,695.90,1085
1738580991,688.38,695.90,1085
1738581058,688.40,697.25,1087
1738581119,688.40,697.25,1087
1738581175,688.40,697.25,1087
1738581234,688.40,697.25,1087
1738581299,688.41,696.80,1088
1738581353,688.41,696.80,1088
1738581418,689.03,698.65,1159
1738581478,689.54,697.65,1215
1738581539,689.84,699.15,1250
1738581593,689.84,699.15,1250
1738581657,689.85,699.00,1252
1738581719,689.85,699.00,1252
1738581779,689.85,699.00,1252
1738581833,689.85,699.00,1252
1738581896,689.93,698.45,1264
1738581959,689.93,698.45,1264
1738582017,689.93,698.45,1264
1738582078,689.93,698.45,1264
1738582139,689.93,698.45,1264
1738582198,690.08,698.75,1286
1738582255,690.08,698.75,1286
1738582318,690.08,698.75,1286
1738582379,690.08,698.75,1286
1738582439,690.08,698.75,1286
1738582495,690.08,698.75,1286
1738582559,690.08,698.75,1286
1738582609,690.08,698.75,1286
1738582675,690.08,698.75,1286
1738582734,690.08,698.75,1286
1738582793,690.08,698.75,1286
1738582852,690.09,699.40,1287
1738582916,690.09,699.40,1287
1738582979,690.09,699.40,1287
1738583038,690.09,699.40,1287
1738583097,690.09,699.40,1287
