t,ap,cp,v
1738573665,1494.00,1494.00,29
1738573728,1494.00,1494.00,29
1738573741,1494.00,1494.00,29
1738574159,1483.17,1471.00,99
1738574218,1481.81,1472.75,113
1738574279,1476.47,1465.60,172
1738574339,1466.34,1464.60,2295
1738574399,1466.21,1460.00,2358
1738574459,1465.99,1460.00,2444
1738574518,1465.83,1455.00,2485
1738574579,1465.16,1450.05,2598
1738574639,1463.55,1448.00,2911
1738574699,1463.52,1458.85,2923
1738574758,1462.48,1455.05,3272
1738574819,1462.53,1467.05,3368
1738574879,1462.56,1466.90,3391
1738574939,1462.59,1468.65,3406
1738574999,1462.61,1469.40,3415
1738575059,1462.75,1464.80,3583
1738575119,1462.77,1466.00,3598
1738575179,1462.77,1466.00,3608
1738575239,1462.81,1465.65,3653
1738575299,1462.81,1466.35,3664
1738575359,1462.72,1463.00,3837
1738575419,1462.72,1463.00,3837
1738575479,1462.70,1453.80,3842
1738575539,1462.68,1454.70,3852
1738575599,1462.68,1454.70,3852
1738575659,1462.50,1455.40,3929
1738575719,1462.49,1453.15,3933
1738575779,1462.48,1453.15,3935
1738575839,1462.48,1455.40,3936
1738575899,1462.17,1453.00,4075
1738575959,1462.14,1452.60,4086
1738576019,1462.14,1452.00,4087
1738576079,1462.10,1454.25,4103
1738576139,1461.90,1452.05,4188
1738576199,1460.08,1450.00,4943
1738576258,1460.07,1449.65,4948
1738576319,1460.07,1449.65,4948
1738576379,1459.99,1452.45,5001
1738576439,1459.89,1453.90,5050
1738576497,1459.89,1453.90,5050
1738576559,1459.89,1453.90,5050
1738576619,1459.85,1453.90,5072
1738576679,1459.52,1449.05,5266
1738576739,1459.50,1450.05,5274
1738576799,1459.46,1449.10,5302
1738576859,1459.28,1448.60,5388
1738576919,1459.09,1449.00,5489
1738576978,1459.05,1450.00,5509
1738577039,1458.98,1448.05,5543
1738577099,1458.93,1448.90,5568
1738577159,1458.92,1447.00,5575
1738577219,1458.62,1445.00,5694
1738577279,1458.60,1454.95,5711
1738577339,1458.58,1450.45,5725
1738577399,1458.24,1447.50,5912
1738577458,1458.04,1452.95,6031
1738577519,1458.03,1461.60,6134
1738577578,1458.25,1464.65,6348
1738577639,1458.25,1459.75,6362
1738577699,1458.26,1459.75,6396
1738577759,1458.26,1456.40,6409
1738577819,1458.22,1454.55,6464
1738577877,1458.20,1453.55,6491
1738577939,1458.20,1454.20,6498
1738577999,1458.20,1453.50,6500
1738578059,1458.19,1451.30,6512
1738578119,1458.17,1452.00,6532
1738578179,1458.16,1450.45,6542
1738578238,1458.16,1450.45,6542
1738578299,1458.16,1450.45,6542
1738578359,1458.16,1450.45,6542
1738578419,1458.16,1450.45,6542
1738578479,1458.16,1450.45,6542
1738578539,1458.10,1451.45,6593
1738578598,1458.08,1448.65,6603
1738578659,1458.08,1448.65,6603
1738578719,1458.08,1448.65,6603
1738578778,1458.08,1456.75,6604
1738578839,1458.08,1454.30,6610
1738578899,1458.07,1453.30,6622
1738578959,1457.99,1452.35,6721
1738579018,1457.99,1454.75,6724
1738579079,1457.99,1454.75,6724
1738579139,1457.95,1451.35,6766
1738579196,1457.95,1451.35,6766
1738579259,1457.94,1450.00,6776
1738579319,1457.94,1450.00,6776
1738579377,1457.90,1452.45,6807
1738579439,1457.90,1452.45,6807
1738579499,1457.89,1455.25,6827
1738579559,1457.89,1454.55,6835
1738579619,1457.89,1455.25,6837
1738579679,1457.89,1455.25,6837
1738579739,1457.88,1456.30,6847
1738579799,1457.88,1456.60,6851
1738579859,1457.88,1453.45,6857
1738579916,1457.79,1450.00,6933
1738579979,1457.71,1451.10,6997
1738580039,1457.71,1451.10,6997
1738580099,1457.64,1449.00,7047
1738580159,1457.39,1446.70,7188
1738580219,1457.35,1446.35,7220
1738580279,1457.31,1445.10,7243
1738580339,1457.31,1445.10,7243
1738580399,1457.31,1445.10,7243
1738580459,1457.31,1449.55,7245
1738580519,1457.31,1449.55,7245
1738580578,1457.29,1449.55,7265
1738580639,1457.25,1448.00,7293
1738580697,1457.04,1446.20,7427
1738580759,1457.04,1446.20,7427
1738580819,1456.99,1445.00,7462
1738580879,1456.96,1445.90,7477
1738580936,1456.78,1444.00,7585
1738580999,1456.35,1443.60,7813
1738581059,1456.26,1440.70,7856
1738581118,1456.18,1440.50,7898
1738581179,1456.18,1441.75,7901
1738581239,1456.13,1441.20,7927
1738581299,1456.07,1442.30,7958
1738581359,1456.04,1442.00,7974
1738581418,1455.94,1443.35,8028
1738581479,1455.94,1443.35,8028
1738581538,1455.87,1446.35,8100
1738581599,1455.83,1444.90,8126
1738581657,1455.78,1451.10,8209
1738581719,1455.77,1452.30,8214
1738581779,1455.77,1452.30,8215
