t,ap,cp,v
1738573673,254.65,254.65,1606
1738573737,254.65,254.65,1606
1738573740,254.65,254.65,1606
1738574159,252.16,250.15,3035
1738574219,251.51,247.25,3712
1738574279,250.17,246.85,5633
1738574339,249.00,245.70,8720
1738574399,248.89,247.80,9139
1738574459,248.53,246.35,11683
1738574519,247.90,245.15,14362
1738574579,247.86,246.55,14641
1738574639,247.83,246.50,15037
1738574697,247.81,246.65,15167
1738574759,247.81,246.65,15167
1738574819,247.81,248.15,15249
1738574879,247.82,248.20,15413
1738574939,247.78,246.70,16053
1738574999,247.69,245.70,17053
1738575059,247.60,243.40,17458
1738575119,247.59,244.10,17493
1738575179,247.51,242.45,17880
1738575239,247.19,241.05,19010
1738575298,247.06,241.75,19408
1738575359,246.62,240.95,20779
1738575419,245.66,239.55,24246
1738575479,245.64,239.55,24311
1738575539,245.45,240.00,25141
1738575599,245.43,239.30,25217
1738575659,245.43,239.30,25224
1738575719,245.42,239.90,25279
1738575779,245.41,240.45,25289
1738575839,245.19,241.00,26581
1738575898,245.10,239.85,27128
1738575959,245.08,239.40,27220
1738576017,244.96,240.15,27746
1738576079,244.90,239.95,28111
1738576139,244.77,240.75,28946
1738576199,244.77,240.50,28967
1738576259,244.75,241.00,29091
1738576318,244.72,240.60,29322
1738576379,244.46,239.50,31025
1738576439,243.97,238.95,34298
1738576499,243.97,239.35,34308
1738576559,243.84,238.90,35237
1738576619,243.84,239.65,35269
1738576679,243.74,238.65,35947
1738576739,243.71,238.00,36175
1738576798,243.70,238.90,36260
1738576859,243.15,239.55,41360
1738576918,243.15,239.40,41380
1738576979,242.95,239.00,43628
1738577038,242.89,239.05,44321
1738577099,242.88,238.80,44498
1738577159,242.88,238.80,44498
1738577219,242.82,238.00,45016
1738577279,242.82,239.00,45052
1738577338,242.82,238.50,45056
1738577398,242.82,238.50,45059
1738577459,242.82,238.50,45059
1738577518,242.82,238.50,45059
1738577579,242.82,238.50,45059
1738577639,242.79,239.50,45412
1738577698,242.79,239.35,45445
1738577759,242.77,237.75,45627
1738577817,242.74,237.50,45880
1738577879,242.73,238.35,46014
1738577939,242.65,237.75,46753
1738577998,242.65,237.95,46784
1738578059,242.63,237.60,46998
1738578119,242.61,238.00,47176
1738578177,242.61,237.50,47190
1738578239,242.61,237.90,47203
1738578299,242.55,236.90,47668
1738578358,242.53,237.25,47872
1738578419,242.46,237.25,48586
1738578479,242.46,237.00,48589
1738578539,242.45,237.50,48660
1738578599,242.44,236.95,48723
1738578659,242.44,236.95,48723
1738578719,242.44,236.95,48723
1738578779,242.43,236.95,48836
1738578839,242.43,237.50,48838
1738578897,242.38,237.50,49363
1738578959,242.38,237.50,49363
1738579016,242.38,237.55,49375
1738579079,242.36,236.85,49496
1738579139,242.36,237.10,49499
1738579199,242.35,237.75,49649
1738579251,242.33,237.60,49856
1738579319,242.32,237.15,49990
1738579379,242.30,237.70,50122
1738579439,242.30,237.95,50176
1738579499,242.22,238.15,51195
1738579559,242.21,237.90,51257
1738579619,242.21,237.90,51332
1738579679,242.07,237.90,53039
1738579739,242.07,237.60,53105
1738579798,242.04,237.75,53445
1738579859,242.04,237.75,53445
1738579919,242.04,237.75,53445
1738579979,242.04,237.75,53445
1738580039,241.99,237.40,54096
1738580099,241.99,237.40,54100
1738580157,241.99,237.40,54100
1738580219,241.98,237.75,54205
1738580279,241.96,237.75,54407
1738580336,241.96,237.75,54407
1738580399,241.96,237.75,54407
1738580458,241.93,238.70,54981
1738580519,241.92,238.90,55033
1738580579,241.92,238.90,55033
1738580639,241.92,238.90,55053
1738580699,241.92,239.35,55060
1738580759,241.91,238.45,55216
1738580817,241.79,237.00,56879
1738580878,241.79,237.65,56882
1738580939,241.77,237.20,57092
1738580999,241.76,236.40,57144
1738581059,241.74,237.15,57468
1738581118,241.74,237.15,57468
1738581179,241.74,237.30,57469
1738581239,241.69,237.35,58074
1738581299,241.69,237.45,58079
1738581359,241.68,237.55,58180
1738581419,241.68,237.95,58185
1738581478,241.67,237.95,58269
1738581539,241.67,237.80,58274
1738581598,241.66,237.80,58474
1738581659,241.66,237.80,58474
1738581718,241.66,237.80,58474
1738581779,241.65,237.10,58669
1738581839,241.62,236.65,58944
1738581899,241.58,236.50,59506
1738581959,241.58,236.50,59506
1738582018,241.58,236.50,59506
1738582079,241.53,236.80,60123
1738582139,241.53,236.80,60123
1738582197,241.48,236.65,60690
1738582258,241.48,236.65,60702
1738582318,241.47,236.30,60752
1738582378,241.47,236.55,60754
1738582437,241.46,236.90,60941
1738582497,241.46,236.45,60984
1738582559,241.46,236.45,60984
1738582619,241.46,236.70,60989
1738582679,241.40,236.90,61689
1738582738,241.15,235.50,64556
1738582799,241.14,235.55,64666
1738582858,241.05,235.20,65641
1738582919,241.05,235.20,65662
1738582979,241.05,235.20,65662
1738583039,241.05,235.10,65664
1738583099,241.05,235.10,65664
1738583158,240.98,235.40,66393
1738583218,240.98,235.40,66393
1738583279,240.98,235.40,66396
1738583339,240.97,235.90,66616
1738583398,240.96,236.45,66776
1738583459,240.95,235.80,66786
1738583519,240.95,235.90,66787
1738583579,240.95,235.90,66787
1738583639,240.95,236.00,66799
1738583697,240.95,236.00,66849
1738583758,240.95,236.00,66849
1738583818,240.95,236.10,66853
1738583879,240.94,236.65,67067
1738583938,240.94,236.65,67067
1738583999,240.94,236.50,67072
1738584055,240.94,236.50,67072
1738584118,240.94,236.50,67072
1738584179,240.94,236.55,67073
1738584239,240.94,236.55,67073
1738584297,240.94,236.55,67073
1738584358,240.81,236.25,69078
1738584419,240.81,236.75,69098
1738584478,240.78,236.15,69482
1738584538,240.78,236.00,69568
1738584598,240.78,236.30,69569
1738584658,240.77,235.95,69683
1738584717,240.77,235.95,69683
1738584776,240.77,235.95,69683
1738584839,240.77,235.95,69683
1738584897,240.77,235.95,69683
1738584955,240.77,236.10,69685
1738585019,240.76,236.30,69766
1738585079,240.76,236.00,69769
1738585138,240.76,236.00,69769
1738585198,240.76,236.00,69769
1738585259,240.72,235.85,70336
1738585316,240.71,235.70,70479
1738585378,240.71,235.70,70553
1738585439,240.68,235.70,70977
1738585498,240.67,235.50,71093
1738585559,240.67,235.95,71094
1738585618,240.67,235.95,71094
1738585677,240.67,236.10,71097
1738585739,240.66,236.25,71205
1738585799,240.66,236.25,71205
1738585859,240.66,236.30,71210
1738585919,240.66,236.30,71210
1738585977,240.65,236.55,71360
1738586039,240.65,236.90,71432
1738586099,240.65,236.90,71442
1738586159,240.65,236.90,71442
1738586218,240.64,237.05,71542
1738586279,240.64,237.00,71645
1738586339,240.63,236.50,71745
1738586399,240.62,237.15,71990
1738586459,240.62,237.15,71990
1738586515,240.62,237.15,71990
1738586579,240.62,236.95,72040
1738586639,240.62,236.40,72076
1738586697,240.62,236.40,72076
1738586759,240.61,236.90,72136
1738586819,240.61,237.15,72186
1738586879,240.61,237.15,72186
1738586939,240.61,237.15,72186
1738586997,240.61,237.15,72186
1738587059,240.61,237.15,72186
1738587119,240.59,236.65,72489
1738587178,240.59,236.65,72489
1738587237,240.59,236.65,72489
1738587299,240.59,236.65,72489
1738587350,240.59,236.65,72489
1738587419,240.59,236.70,72494
1738587478,240.59,236.70,72494
1738587537,240.59,236.70,72494
1738587599,240.59,236.70,72494
1738587659,240.59,237.30,72495
1738587718,240.59,237.05,72557
1738587779,240.57,237.50,73066
1738587838,240.57,237.50,73066
1738587899,240.57,237.55,73118
1738587959,240.57,237.30,73142
1738588018,240.56,237.30,73228
1738588076,240.56,237.30,73228
1738588137,240.56,237.30,73228
1738588199,240.56,237.40,73289
1738588258,240.56,237.40,73289
1738588319,240.56,238.00,73389
1738588379,240.56,238.00,73389
1738588439,240.56,237.90,73427
1738588498,240.56,237.90,73427
1738588559,240.55,237.95,73481
1738588619,240.55,238.00,73485
1738588679,240.55,238.00,73515
1738588738,240.55,237.90,73637
1738588799,240.54,237.80,73837
1738588859,240.54,237.95,73866
1738588919,240.54,237.95,73866
1738588979,240.54,238.00,73896
1738589037,240.54,238.10,73909
1738589099,240.54,238.10,73909
1738589158,240.54,238.10,73909
1738589217,240.54,238.10,73909
1738589279,240.54,238.10,73909
1738589335,240.54,238.10,73909
1738589399,240.52,238.00,74459
1738589459,240.52,238.00,74459
1738589519,240.52,238.00,74459
1738589578,240.52,238.00,74459
1738589639,240.52,237.80,74469
1738589699,240.52,237.80,74469
1738589757,240.52,237.80,74469
1738589818,240.52,237.80,74469
1738589879,240.51,238.05,74628
1738589939,240.51,238.05,74668
1738589996,240.50,238.10,74888
1738590054,240.50,238.10,74888
1738590119,240.50,238.10,74888
1738590178,240.50,238.10,74888
1738590238,240.50,238.65,75170
1738590299,240.50,238.60,75226
1738590359,240.50,238.60,75226
1738590418,240.49,238.85,75276
1738590479,240.49,239.00,75535
1738590536,240.49,239.50,75685
1738590599,240.49,239.50,75685
1738590659,240.49,239.40,75715
