t,ap,cp,v
1738573634,475.00,475.00,86
1738573740,475.00,475.00,86
1738574159,473.21,474.10,369
1738574219,472.48,470.95,671
1738574279,472.28,472.90,895
1738574337,472.86,472.25,1502
1738574399,472.85,472.60,1538
1738574459,472.47,471.90,2271
1738574519,472.43,472.30,2350
1738574579,472.43,472.30,2350
1738574639,472.40,472.05,2650
1738574699,472.50,472.85,2990
1738574759,472.68,475.70,3194
1738574819,473.13,481.10,3429
1738574879,473.78,481.70,3688
1738574939,474.91,484.10,4224
1738574999,475.26,486.30,4362
1738575059,476.59,488.20,4942
1738575119,476.80,490.00,5021
1738575179,478.79,488.90,5866
1738575239,479.06,485.65,6064
1738575299,479.42,488.40,6338
1738575359,480.02,488.65,6781
1738575419,480.52,487.30,7283
1738575479,481.24,487.85,8132
1738575539,482.29,493.25,9082
1738575599,483.48,494.30,10162
1738575659,486.11,493.80,13109
1738575719,486.25,492.65,13360
1738575779,486.49,492.85,13827
1738575839,486.58,494.50,14007
1738575899,487.06,493.25,14862
1738575958,488.47,491.45,19313
1738576019,489.05,491.95,22844
1738576079,489.11,491.95,23303
1738576139,489.14,490.60,23643
1738576197,489.19,489.45,24568
1738576259,489.19,488.25,24953
1738576319,489.18,489.05,25219
1738576379,489.18,488.10,25417
1738576439,489.14,488.65,26327
1738576499,489.18,489.25,27648
1738576559,489.18,489.05,28456
1738576619,489.20,490.15,28738
1738576679,489.20,490.00,28798
1738576739,489.20,487.50,28934
1738576799,489.20,487.15,28937
1738576859,489.20,488.65,29143
1738576918,489.20,488.65,29248
1738576979,489.20,488.40,29250
1738577039,489.18,484.55,29419
1738577099,489.17,484.85,29461
1738577158,489.12,482.05,29726
1738577218,489.08,481.45,29904
1738577279,489.07,484.10,29982
1738577339,489.00,482.50,30349
1738577399,488.99,481.95,30405
1738577459,488.81,479.90,31042
1738577519,488.66,478.00,31502
1738577579,488.49,476.50,32042
1738577638,488.37,478.95,32437
1738577698,488.34,479.00,32535
1738577758,488.32,478.30,32608
1738577819,488.32,478.30,32608
1738577878,488.18,479.50,33100
1738577939,488.18,478.60,33105
1738577999,488.09,478.35,33439
1738578055,488.08,478.65,33460
1738578119,488.02,481.45,33695
1738578179,488.02,480.65,33701
1738578236,487.98,480.95,33901
1738578298,487.98,480.95,33901
1738578359,487.98,479.20,33921
1738578419,487.97,480.80,33950
1738578479,487.96,482.10,34012
1738578536,487.89,483.25,34519
1738578599,487.88,482.95,34542
1738578658,487.88,481.50,34562
1738578718,487.86,483.15,34671
1738578779,487.86,482.65,34701
1738578833,487.86,482.65,34701
1738578897,487.85,483.50,34790
1738578958,487.85,483.50,34790
1738579018,487.83,482.60,34951
1738579079,487.82,481.75,34966
1738579139,487.82,482.25,34980
1738579198,487.82,481.45,35005
1738579258,487.81,481.35,35012
1738579319,487.81,481.35,35012
1738579379,487.63,480.25,35933
1738579439,487.63,481.20,35948
1738579499,487.63,481.20,35948
1738579556,487.63,481.20,35948
1738579619,487.63,481.20,35948
1738579675,487.61,482.75,36076
1738579736,487.61,482.75,36090
1738579799,487.60,481.80,36160
1738579859,487.55,482.75,36471
1738579919,487.55,482.65,36491
1738579978,487.55,482.10,36501
1738580039,487.55,482.10,36501
1738580099,487.53,482.00,36647
1738580159,487.53,482.00,36647
1738580219,487.53,482.00,36647
1738580278,487.53,482.55,36668
1738580339,487.52,483.10,36678
1738580398,487.52,483.10,36678
1738580458,487.50,481.15,36855
1738580519,487.39,479.10,37386
1738580579,487.39,479.10,37386
1738580632,487.34,478.45,37565
1738580697,487.34,480.00,37582
1738580759,487.34,479.25,37583
1738580818,487.32,479.75,37683
1738580877,487.32,479.75,37683
1738580936,487.31,478.80,37718
1738580999,487.31,478.80,37718
1738581059,487.21,477.65,38149
1738581119,487.21,477.65,38155
1738581176,487.19,476.75,38221
1738581239,487.17,477.00,38298
1738581299,487.16,477.60,38312
1738581359,487.11,477.65,38514
1738581419,487.11,478.55,38517
1738581479,487.11,478.55,38517
1738581537,487.11,479.05,38534
1738581594,487.11,479.05,38534
1738581657,487.11,479.95,38543
1738581719,487.11,479.15,38545
1738581779,487.10,479.20,38600
1738581827,487.10,479.20,38600
1738581898,487.07,479.15,38722
1738581957,487.07,479.55,38732
1738582019,487.07,479.55,38732
1738582079,487.07,479.55,38732
1738582138,487.06,479.85,38757
1738582199,487.06,478.00,38787
1738582259,487.05,478.60,38807
1738582315,487.01,477.80,39000
1738582379,487.01,477.80,39000
1738582439,486.98,478.30,39131
1738582491,486.98,477.95,39142
1738582558,486.98,477.95,39144
1738582619,486.98,477.95,39144
1738582677,486.96,477.70,39207
1738582739,486.96,477.70,39207
1738582797,486.96,477.00,39221
1738582858,486.83,476.70,39659
1738582919,486.82,475.90,39668
1738582979,486.70,475.90,40118
1738583038,486.70,475.90,40118
1738583098,486.70,475.50,40132
1738583155,486.70,475.05,40133
1738583215,486.64,476.05,40350
1738583279,486.61,476.00,40450
1738583339,486.61,476.20,40458
1738583394,486.60,475.80,40493
1738583459,486.57,476.25,40614
1738583512,486.56,476.25,40649
1738583578,486.19,475.30,42054
1738583638,486.19,475.30,42054
1738583697,486.19,475.35,42077
1738583759,486.18,475.35,42094
1738583819,486.18,475.85,42097
1738583879,486.18,475.85,42111
1738583939,486.18,475.85,42111
1738583998,486.18,475.85,42111
1738584059,486.17,477.30,42179
1738584118,486.17,477.30,42179
1738584178,486.17,477.30,42179
1738584234,486.15,477.75,42234
1738584299,486.15,477.75,42234
1738584359,486.14,477.40,42297
1738584419,486.14,477.40,42297
1738584476,486.14,477.40,42297
1738584539,486.02,477.15,42916
1738584597,485.94,476.50,43288
1738584653,485.79,477.50,44057
1738584719,485.78,477.65,44114
1738584779,485.78,477.85,44117
1738584831,485.78,477.85,44117
1738584899,485.77,476.85,44166
1738584959,485.76,477.95,44180
1738585018,485.76,477.95,44180
1738585078,485.75,477.85,44270
1738585138,485.75,477.85,44280
1738585199,485.75,477.85,44280
1738585254,485.73,476.45,44351
1738585315,485.73,476.45,44351
1738585377,485.73,476.95,44362
1738585439,485.73,476.95,44362
1738585498,485.73,476.95,44365
1738585559,485.73,476.95,44365
1738585613,485.73,476.95,44365
1738585679,485.73,476.95,44365
1738585739,485.72,476.50,44425
1738585795,485.72,476.05,44426
1738585850,485.72,476.75,44427
1738585919,485.72,476.75,44427
1738585978,485.71,476.00,44434
1738586039,485.71,476.00,44434
1738586097,485.71,476.00,44444
1738586158,485.71,476.00,44444
1738586217,485.70,475.55,44497
1738586278,485.70,475.55,44497
1738586338,485.70,475.55,44497
1738586398,485.70,475.55,44497
1738586453,485.70,475.70,44502
1738586517,485.70,475.70,44502
1738586579,485.69,475.20,44519
1738586639,485.69,475.20,44519
1738586699,485.69,475.20,44519
1738586753,485.69,475.20,44529
1738586818,485.44,474.00,45589
1738586878,485.42,472.00,45648
1738586939,485.39,472.05,45754
1738586996,485.37,471.95,45815
1738587058,485.32,471.35,45969
1738587119,485.31,471.35,46024
1738587176,485.31,471.35,46024
1738587238,485.28,470.50,46118
1738587297,485.28,470.50,46118
1738587357,485.27,470.45,46145
1738587418,485.27,470.95,46150
1738587478,484.93,469.25,47153
1738587537,484.88,471.10,47320
1738587599,484.88,471.10,47320
1738587656,484.87,471.35,47384
1738587719,484.87,471.35,47384
1738587777,484.87,471.35,47384
1738587839,484.87,471.35,47384
1738587897,484.84,471.35,47463
1738587958,484.84,471.35,47463
1738588019,484.80,471.55,47619
1738588077,484.80,471.55,47619
1738588138,484.80,471.55,47619
1738588198,484.80,471.55,47619
1738588257,484.80,471.55,47621
1738588319,484.80,471.55,47621
1738588378,484.79,471.85,47661
1738588439,484.79,471.85,47661
1738588499,484.78,471.90,47675
1738588559,484.77,471.95,47735
1738588619,484.52,471.90,48661
1738588679,484.48,471.20,48817
1738588737,484.48,471.20,48817
1738588797,484.48,471.20,48817
1738588859,484.48,471.15,48819
1738588919,484.48,471.20,48830
1738588977,484.48,471.20,48830
1738589035,484.38,471.50,49173
1738589099,484.33,471.75,49373
1738589158,484.31,471.70,49473
1738589219,484.31,471.10,49479
1738589278,484.31,471.10,49479
1738589339,484.29,470.85,49536
1738589398,484.29,470.85,49536
1738589459,484.29,471.10,49537
1738589516,484.20,470.50,49847
1738589577,484.20,470.50,49847
1738589638,484.20,470.05,49858
1738589697,484.20,470.05,49858
1738589758,484.20,471.05,49861
1738589817,484.20,471.90,49872
1738589878,484.20,471.90,49873
1738589937,484.20,471.90,49873
1738589997,484.19,470.85,49913
1738590057,484.19,471.50,49917
1738590116,484.19,471.50,49917
1738590171,484.19,471.50,49917
1738590239,484.18,470.90,49920
1738590299,484.18,470.90,49920
1738590355,484.18,470.95,49922
1738590413,484.15,471.80,50067
1738590478,484.15,471.80,50067
1738590538,484.15,472.00,50073
1738590598,484.15,472.00,50073
1738590657,484.15,472.00,50073
1738590719,484.14,470.50,50092
1738590779,484.14,470.50,50092
1738590839,484.14,470.35,50114
1738590898,484.14,470.10,50116
1738590959,484.08,470.00,50307
1738591019,484.00,468.80,50583
1738591079,483.93,469.15,50833
1738591138,483.93,469.15,50834
1738591199,483.56,466.70,51984
1738591257,483.56,467.50,51988
1738591319,483.56,467.50,51988
1738591377,483.56,467.50,51988
1738591439,483.56,467.50,51988
1738591497,483.56,467.50,51988
1738591558,483.54,468.40,52031
1738591619,483.54,468.40,52031
