t,ap,cp,v
1738573635,1499.00,1499.00,534
1738573724,1499.00,1499.00,534
1738573740,1499.00,1499.00,534
1738574159,1494.88,1479.50,1080
1738574219,1494.47,1480.00,1118
1738574278,1492.51,1488.35,1381
1738574339,1492.40,1492.35,3218
1738574399,1492.29,1488.20,3376
1738574459,1492.13,1490.05,3519
1738574519,1492.03,1493.25,3699
1738574579,1492.04,1493.95,3777
1738574639,1492.23,1502.20,3882
1738574697,1492.36,1501.90,3934
1738574759,1493.13,1504.60,4203
1738574819,1493.54,1510.90,4323
1738574879,1495.09,1512.00,4721
1738574939,1495.95,1517.35,4950
1738574999,1497.07,1518.45,5226
1738575059,1497.90,1516.50,5478
1738575119,1498.36,1510.05,5642
1738575179,1498.52,1508.00,5725
1738575239,1499.26,1511.75,6090
1738575299,1499.50,1509.90,6217
1738575359,1501.56,1509.40,8255
1738575419,1501.99,1507.65,9419
1738575479,1502.01,1509.15,9462
1738575539,1502.01,1507.35,9465
1738575599,1502.08,1508.20,9761
1738575659,1502.12,1508.95,9815
1738575717,1502.24,1508.75,9980
1738575779,1502.44,1511.85,10246
1738575839,1502.56,1511.35,10379
1738575899,1502.64,1513.15,10462
1738575959,1503.02,1513.25,10853
1738576016,1503.30,1516.00,11100
1738576079,1503.39,1513.00,11206
1738576139,1503.56,1509.00,11445
1738576199,1503.61,1502.20,11617
1738576259,1503.62,1506.45,11706
1738576319,1503.66,1508.70,11814
1738576378,1503.68,1504.55,12001
1738576437,1503.68,1504.55,12001
1738576499,1503.69,1507.85,12008
1738576559,1503.69,1504.55,12052
1738576619,1503.71,1505.35,12129
1738576679,1503.72,1508.35,12158
1738576739,1503.73,1507.65,12233
1738576799,1503.80,1509.70,12370
1738576859,1503.98,1510.75,12680
1738576919,1504.00,1507.75,12731
1738576979,1504.04,1509.00,12831
1738577039,1504.05,1506.35,12916
1738577099,1504.07,1508.05,12991
1738577158,1504.07,1507.90,13028
1738577219,1504.07,1504.00,13094
1738577279,1504.07,1502.70,13193
1738577338,1504.07,1502.85,13212
1738577399,1504.08,1507.00,13376
1738577459,1504.10,1509.50,13429
1738577519,1504.11,1508.05,13465
1738577579,1504.12,1506.70,13500
1738577639,1504.12,1506.65,13514
1738577699,1504.13,1505.00,13554
1738577759,1504.13,1501.05,13623
1738577819,1504.11,1501.00,13679
1738577878,1504.11,1500.15,13704
1738577938,1504.11,1502.60,13707
1738577999,1504.10,1502.55,13772
1738578059,1504.10,1502.60,13773
1738578119,1504.09,1502.25,13831
1738578179,1504.04,1504.30,14344
1738578239,1504.04,1504.15,14347
1738578299,1504.03,1500.80,14364
1738578359,1504.03,1501.85,14387
1738578419,1504.03,1503.55,14403
1738578479,1504.03,1503.20,14407
1738578539,1504.01,1501.50,14501
1738578599,1504.01,1501.50,14501
1738578659,1504.01,1501.40,14506
1738578719,1503.99,1503.90,14647
1738578779,1503.99,1500.10,14650
1738578839,1503.96,1501.25,14774
1738578895,1503.96,1500.00,14793
1738578959,1503.95,1502.20,14820
1738579019,1503.95,1500.15,14828
1738579079,1503.95,1500.15,14828
1738579139,1503.93,1495.40,14868
1738579195,1503.92,1495.50,14889
1738579259,1503.91,1495.90,14907
1738579319,1503.83,1498.15,15076
1738579379,1503.79,1500.25,15197
1738579439,1503.79,1500.00,15198
1738579499,1503.79,1501.20,15199
1738579559,1503.78,1501.90,15226
1738579619,1503.77,1501.70,15301
1738579679,1503.77,1500.50,15303
1738579739,1503.77,1501.95,15306
1738579799,1503.74,1497.75,15380
1738579859,1503.74,1500.45,15383
1738579918,1503.74,1501.10,15386
1738579979,1503.74,1501.70,15392
1738580039,1503.74,1501.80,15393
1738580099,1503.73,1498.35,15421
1738580159,1503.73,1499.40,15426
1738580216,1503.71,1498.30,15476
1738580279,1503.71,1499.30,15488
1738580336,1503.71,1499.30,15488
1738580399,1503.68,1500.05,15584
1738580458,1503.68,1501.50,15587
1738580515,1503.68,1500.00,15592
1738580579,1503.68,1501.00,15606
1738580639,1503.67,1502.05,15658
1738580699,1503.67,1501.55,15663
1738580756,1503.65,1499.00,15709
1738580819,1503.64,1498.50,15758
1738580879,1503.64,1500.35,15771
1738580939,1503.63,1498.05,15787
1738580998,1503.63,1498.00,15801
1738581059,1503.63,1498.00,15801
1738581119,1503.61,1499.70,15838
1738581179,1503.61,1499.05,15852
1738581237,1503.61,1499.05,15862
1738581299,1503.60,1497.70,15871
1738581359,1503.56,1496.20,15971
1738581419,1503.56,1497.05,15974
1738581479,1503.54,1498.95,16007
1738581539,1503.54,1498.75,16013
1738581599,1503.54,1498.65,16019
1738581659,1503.54,1498.40,16026
1738581719,1503.54,1498.00,16031
1738581779,1503.53,1497.95,16033
1738581839,1503.53,1495.00,16044
1738581899,1503.53,1495.30,16051
1738581956,1503.50,1492.45,16092
1738582019,1502.98,1489.90,16760
1738582079,1502.98,1493.95,16769
1738582138,1502.98,1493.40,16770
1738582198,1502.98,1492.60,16771
1738582259,1502.98,1490.40,16773
1738582319,1502.97,1492.90,16788
1738582374,1502.94,1492.00,16827
1738582439,1502.94,1493.15,16833
1738582499,1502.92,1491.20,16852
1738582559,1502.89,1491.05,16902
1738582619,1502.89,1491.05,16902
1738582679,1502.83,1491.25,16979
1738582739,1502.83,1489.15,16980
1738582799,1502.83,1489.00,16982
1738582859,1502.77,1489.95,17044
1738582919,1502.77,1489.70,17055
1738582979,1502.76,1489.15,17057
1738583039,1502.74,1486.45,17083
1738583099,1502.64,1486.80,17192
1738583159,1502.61,1488.50,17239
1738583219,1502.50,1487.20,17368
1738583277,1502.49,1488.85,17379
1738583339,1502.46,1486.65,17410
1738583398,1502.46,1486.45,17412
1738583459,1502.46,1488.10,17413
1738583519,1502.46,1486.50,17418
1738583579,1502.46,1486.50,17418
1738583639,1502.45,1486.60,17420
1738583699,1502.34,1484.85,17541
1738583759,1502.34,1484.85,17541
1738583817,1502.32,1484.65,17553
1738583878,1502.31,1483.15,17566
1738583939,1502.30,1482.45,17576
1738583999,1502.28,1482.00,17588
1738584059,1502.16,1482.30,17698
1738584119,1502.15,1480.90,17710
1738584178,1502.07,1481.20,17779
1738584239,1501.97,1480.00,17861
1738584299,1501.96,1480.85,17869
1738584359,1501.74,1478.45,18047
1738584419,1501.73,1478.85,18050
1738584478,1501.70,1481.10,18076
1738584539,1501.40,1480.95,18360
1738584597,1501.40,1482.80,18361
1738584659,1501.39,1485.15,18364
1738584719,1501.39,1485.95,18365
1738584779,1501.39,1485.95,18365
1738584839,1501.35,1490.15,18419
1738584899,1501.26,1491.55,18578
1738584959,1501.26,1492.05,18581
1738585018,1501.25,1490.05,18589
1738585079,1501.21,1493.80,18704
1738585139,1501.20,1491.40,18708
1738585199,1501.20,1490.10,18715
1738585257,1501.20,1491.30,18720
1738585319,1500.95,1490.00,19143
1738585379,1500.95,1490.00,19143
1738585439,1500.93,1487.50,19174
1738585499,1500.85,1488.10,19290
1738585559,1500.82,1486.60,19332
1738585619,1500.82,1490.05,19333
1738585679,1500.80,1491.30,19369
1738585739,1500.80,1491.30,19369
