t,ap,cp,v
1738573634,30.13,30.13,5
1738573740,30.13,30.13,5
1738574117,30.13,30.13,153
1738574161,30.13,30.13,153
1738574252,30.13,30.13,153
1738574297,30.13,30.13,153
1738574392,30.13,30.13,153
1738574424,30.13,30.13,153
1738574484,30.13,30.13,153
1738574569,30.13,30.13,153
1738574630,30.13,30.13,153
1738574698,30.13,30.13,153
1738574703,30.13,30.13,153
1738574919,30.13,30.13,153
1738575106,30.13,30.13,153
1738575136,30.13,30.13,153
1738575267,30.13,30.13,153
1738575400,30.13,30.13,153
1738575628,30.12,30.07,162
1738575703,30.11,30.06,182
1738575768,30.11,30.06,182
1738575885,30.11,30.06,182
1738576019,30.11,30.06,182
1738576031,30.11,30.06,182
1738576085,30.11,30.06,182
1738576192,30.11,30.06,182
1738576318,30.11,30.06,182
1738576379,30.11,30.06,182
1738576380,30.11,30.06,182
1738576555,30.11,30.06,182
1738576653,30.11,30.06,182
1738576722,30.11,30.06,182
1738576853,30.11,29.93,183
1738576896,30.11,29.93,183
1738576960,30.11,29.93,183
1738576994,30.11,29.93,183
1738577088,30.11,29.93,183
1738577221,30.11,29.93,183
1738577304,30.11,29.93,183
1738577518,30.11,29.93,183
1738577572,30.11,29.93,183
1738577611,29.40,29.00,507
1738577688,29.40,29.00,507
1738578412,29.40,29.00,507
1738578504,29.40,29.00,507
1738578839,29.40,29.00,507
1738579133,29.40,29.00,507
1738579245,29.40,29.00,507
1738579267,29.40,29.00,507
1738579739,29.40,29.88,511
1738579977,29.16,29.00,1287
1738580003,29.16,29.00,1287
1738580093,29.16,29.00,1287
1738580156,29.16,29.00,1287
1738580202,29.16,29.00,1287
1738580267,29.16,29.00,1288
1738580565,29.16,29.00,1288
1738581499,29.16,29.00,1288
1738581762,29.16,29.00,1288
1738581828,29.16,29.00,1288
1738582163,29.15,29.00,1358
1738582234,29.15,29.00,1358
1738582549,29.15,29.00,1358
1738582628,29.15,29.00,1358
1738582757,29.15,29.00,1358
1738583189,29.15,29.00,1358
1738583399,29.15,29.00,1358
1738583515,29.15,29.00,1358
1738583554,29.15,29.00,1358
1738583980,29.15,29.00,1358
1738584227,29.15,29.00,1358
1738584290,29.15,29.00,1358
1738584627,29.15,29.00,1378
1738584668,29.15,29.00,1378
1738584874,29.15,29.00,1378
1738584940,29.15,29.00,1378
1738584998,29.15,29.00,1378
1738585134,29.15,29.89,1448
1738585274,29.15,29.89,1448
1738585350,29.15,29.89,1448
1738586166,29.15,29.89,1448
1738587550,29.15,29.89,1448
1738587941,29.15,29.89,1448
1738588340,29.15,29.89,1448
1738588399,29.15,29.89,1448
1738588552,29.50,29.90,2748
1738588563,29.50,29.90,2748
1738588962,29.50,29.90,2748
1738589034,29.50,29.90,2748
1738589211,29.50,29.90,2748
1738589256,29.50,29.90,2748
1738589519,29.50,29.90,2748
1738589695,29.50,29.90,2748
1738590354,29.50,29.90,2748
1738590405,29.50,29.90,2748
1738590597,29.50,29.90,2748
1738590657,29.50,29.90,2748
1738590858,29.50,29.90,2748
1738591244,29.50,29.90,2748
1738591267,29.50,29.90,2748
1738591785,29.50,29.90,2748
1738591854,29.50,29.90,2748
1738591918,29.50,29.90,2748
1738592208,29.50,29.90,2748
1738592616,29.50,29.90,2748
1738593710,29.50,29.90,2748
1738593777,29.31,28.55,4167
1738593814,29.26,28.55,4482
1738593892,29.26,28.55,4482
1738593994,29.26,28.55,4482
1738594046,29.26,28.55,4482
1738594136,29.14,28.10,4983
1738594194,29.14,28.10,4983
1738594224,29.14,28.10,4983
1738594308,29.14,28.10,4983
1738594365,29.14,28.10,4983
1738594409,29.14,28.10,4983
1738595027,29.14,28.10,4983
1738595185,29.14,28.06,4988
1738595318,29.14,28.06,4988
1738595650,29.14,28.06,4988
1738596109,29.14,28.06,4988
1738596180,29.14,28.06,4988
1738596341,29.14,28.06,4988
1738596410,29.06,28.06,5348
1738596442,28.96,28.06,5989
1738596497,28.96,28.06,5989
1738596594,28.96,28.06,5989
1738596604,28.96,28.06,5989
1738596674,28.96,28.06,5989
1738597203,28.96,28.06,5989
1738597377,28.95,28.06,6014
1738598402,28.95,28.06,6014
1738598477,28.95,28.06,6014
t,ap,cp,v
1738573634,30.13,30.13,5
1738573740,30.13,30.13,5
1738574117,30.13,30.13,153
1738574161,30.13,30.13,153
1738574252,30.13,30.13,153
1738574297,30.13,30.13,153
1738574392,30.13,30.13,153
1738574424,30.13,30.13,153
1738574484,30.13,30.13,153
1738574569,30.13,30.13,153
1738574630,30.13,30.13,153
1738574698,30.13,30.13,153
1738574703,30.13,30.13,153
1738574919,30.13,30.13,153
1738575106,30.13,30.13,153
1738575136,30.13,30.13,153
1738575267,30.13,30.13,153
1738575400,30.13,30.13,153
1738575628,30.12,30.07,162
1738575703,30.11,30.06,182
1738575768,30.11,30.06,182
1738575885,30.11,30.06,182
1738576019,30.11,30.06,182
1738576031,30.11,30.06,182
1738576085,30.11,30.06,182
1738576192,30.11,30.06,182
1738576318,30.11,30.06,182
1738576379,30.11,30.06,182
1738576380,30.11,30.06,182
1738576555,30.11,30.06,182
1738576653,30.11,30.06,182
1738576722,30.11,30.06,182
1738576853,30.11,29.93,183
1738576896,30.11,29.93,183
1738576960,30.11,29.93,183
1738576994,30.11,29.93,183
1738577088,30.11,29.93,183
1738577221,30.11,29.93,183
1738577304,30.11,29.93,183
1738577518,30.11,29.93,183
1738577572,30.11,29.93,183
1738577611,29.40,29.00,507
1738577688,29.40,29.00,507
1738578412,29.40,29.00,507
1738578504,29.40,29.00,507
1738578839,29.40,29.00,507
1738579133,29.40,29.00,507
1738579245,29.40,29.00,507
1738579267,29.40,29.00,507
1738579739,29.40,29.88,511
1738579977,29.16,29.00,1287
1738580003,29.16,29.00,1287
1738580093,29.16,29.00,1287
1738580156,29.16,29.00,1287
1738580202,29.16,29.00,1287
1738580267,29.16,29.00,1288
1738580565,29.16,29.00,1288
1738581499,29.16,29.00,1288
1738581762,29.16,29.00,1288
1738581828,29.16,29.00,1288
1738582163,29.15,29.00,1358
1738582234,29.15,29.00,1358
1738582549,29.15,29.00,1358
1738582628,29.15,29.00,1358
1738582757,29.15,29.00,1358
1738583189,29.15,29.00,1358
1738583399,29.15,29.00,1358
1738583515,29.15,29.00,1358
1738583554,29.15,29.00,1358
1738583980,29.15,29.00,1358
1738584227,29.15,29.00,1358
1738584290,29.15,29.00,1358
1738584627,29.15,29.00,1378
1738584668,29.15,29.00,1378
1738584874,29.15,29.00,1378
1738584940,29.15,29.00,1378
1738584998,29.15,29.00,1378
1738585134,29.15,29.89,1448
1738585274,29.15,29.89,1448
1738585350,29.15,29.89,1448
1738586166,29.15,29.89,1448
1738587550,29.15,29.89,1448
1738587941,29.15,29.89,1448
1738588340,29.15,29.89,1448
1738588399,29.15,29.89,1448
1738588552,29.50,29.90,2748
1738588563,29.50,29.90,2748
1738588962,29.50,29.90,2748
1738589034,29.50,29.90,2748
1738589211,29.50,29.90,2748
1738589256,29.50,29.90,2748
1738589519,29.50,29.90,2748
1738589695,29.50,29.90,2748
1738590354,29.50,29.90,2748
1738590405,29.50,29.90,2748
1738590597,29.50,29.90,2748
1738590657,29.50,29.90,2748
1738590858,29.50,29.90,2748
1738591244,29.50,29.90,2748
1738591267,29.50,29.90,2748
1738591785,29.50,29.90,2748
1738591854,29.50,29.90,2748
1738591918,29.50,29.90,2748
1738592208,29.50,29.90,2748
1738592616,29.50,29.90,2748
1738593710,29.50,29.90,2748
1738593777,29.31,28.55,4167
1738593814,29.26,28.55,4482
1738593892,29.26,28.55,4482
1738593994,29.26,28.55,4482
1738594046,29.26,28.55,4482
1738594136,29.14,28.10,4983
1738594194,29.14,28.10,4983
1738594224,29.14,28.10,4983
1738594308,29.14,28.10,4983
1738594365,29.14,28.10,4983
