t,ap,cp,v
1738573635,1735.00,1735.00,221
1738573741,1735.00,1735.00,221
1738573832,1735.00,1735.00,221
1738574159,1740.38,1739.95,788
1738574219,1740.60,1747.35,1201
1738574279,1741.80,1747.70,1687
1738574339,1742.62,1756.10,1812
1738574399,1743.26,1760.95,1885
1738574459,1747.86,1765.45,2446
1738574518,1748.35,1767.95,2522
1738574579,1751.74,1769.65,2984
1738574639,1753.54,1770.00,3297
1738574699,1755.51,1768.05,3743
1738574758,1756.39,1764.80,4070
1738574819,1756.60,1763.55,4182
1738574879,1757.22,1766.30,4512
1738574939,1757.35,1767.20,4563
1738574999,1757.44,1770.00,4595
1738575059,1761.69,1777.10,5884
1738575119,1762.42,1775.25,6175
1738575179,1764.26,1780.50,7049
1738575239,1764.58,1782.25,7182
1738575299,1765.34,1784.15,7502
1738575359,1766.30,1776.60,7965
1738575419,1766.49,1778.35,8078
1738575479,1766.68,1777.25,8236
1738575539,1766.79,1769.25,8460
1738575599,1766.83,1768.85,8632
1738575659,1766.86,1767.15,8775
1738575719,1766.99,1772.90,9208
1738575779,1767.22,1775.85,9665
1738575839,1767.33,1770.45,9870
1738575899,1767.34,1767.60,9885
1738575959,1767.31,1768.35,10225
1738576019,1767.35,1773.25,10493
1738576079,1767.35,1767.00,10648
1738576139,1767.35,1765.15,10653
1738576199,1767.31,1764.75,10788
1738576258,1767.17,1768.65,11204
1738576319,1767.27,1775.00,11396
1738576379,1767.30,1770.00,11464
1738576439,1767.38,1773.90,11647
1738576499,1768.13,1780.70,12422
1738576559,1768.45,1776.40,12873
1738576619,1768.47,1779.55,12904
1738576679,1769.69,1783.00,13989
1738576739,1769.76,1781.65,14081
1738576799,1769.81,1779.75,14146
1738576859,1770.07,1782.15,14470
1738576919,1770.22,1781.90,14642
1738576979,1770.31,1782.25,14760
1738577039,1770.37,1783.00,14831
1738577099,1770.45,1784.00,14923
1738577159,1770.55,1784.25,15049
1738577219,1770.96,1786.65,15457
1738577279,1772.17,1789.50,16654
1738577339,1772.19,1784.50,16679
1738577399,1772.23,1782.90,16738
1738577459,1772.66,1773.45,17700
1738577519,1772.68,1776.00,17862
1738577579,1772.71,1778.20,17991
1738577639,1772.75,1778.60,18192
1738577699,1772.76,1776.90,18245
1738577759,1772.77,1774.65,18296
1738577819,1772.85,1778.00,18568
1738577877,1772.88,1780.00,18700
1738577939,1772.88,1778.80,18702
1738577999,1772.90,1777.75,18831
1738578059,1773.04,1780.00,19243
1738578119,1773.16,1781.25,19570
1738578179,1773.19,1783.00,19626
1738578239,1773.64,1785.45,20291
1738578299,1773.98,1786.00,20822
1738578359,1774.02,1782.80,20889
1738578419,1774.04,1785.85,20923
1738578479,1774.10,1786.60,21026
1738578538,1774.23,1786.05,21249
1738578599,1774.26,1784.20,21304
1738578659,1774.44,1786.95,21626
1738578719,1774.92,1790.25,22319
1738578779,1774.95,1788.15,22365
1738578839,1774.98,1788.95,22422
1738578899,1775.26,1789.85,22832
1738578959,1775.63,1792.90,23405
1738579019,1775.95,1793.35,23809
1738579079,1776.20,1791.20,24207
1738579139,1776.22,1791.85,24228
1738579197,1776.22,1790.15,24242
1738579259,1776.24,1792.00,24275
1738579319,1776.27,1789.00,24320
1738579379,1776.35,1791.55,24457
1738579439,1776.40,1792.55,24540
1738579499,1776.56,1789.55,24824
1738579559,1776.82,1793.25,25224
1738579619,1777.01,1791.65,25509
1738579679,1777.26,1795.15,25882
1738579739,1777.65,1797.20,26395
