t,ap,cp,v
1738573634,2753.00,2753.00,1
1738573740,2753.00,2753.00,1
1738574159,2731.31,2727.60,173
1738574219,2732.97,2738.10,212
1738574279,2733.95,2734.35,258
1738574339,2733.98,2738.40,260
1738574399,2733.97,2731.40,261
1738574459,2732.87,2718.65,302
1738574519,2727.85,2728.00,760
1738574579,2727.85,2728.00,760
1738574638,2728.26,2739.00,792
1738574699,2728.26,2739.00,792
1738574759,2728.62,2748.10,809
1738574819,2731.70,2761.55,902
1738574879,2731.82,2767.70,905
1738574939,2731.82,2767.70,905
1738574999,2731.82,2767.70,905
1738575059,2734.25,2754.55,990
1738575119,2734.25,2754.55,990
1738575179,2734.41,2753.80,998
1738575239,2734.54,2753.80,1005
1738575299,2734.54,2753.80,1005
1738575359,2734.65,2753.95,1011
1738575419,2734.65,2753.95,1011
1738575479,2734.73,2761.65,1014
1738575539,2734.75,2753.95,1015
1738575599,2734.75,2753.95,1015
1738575659,2734.75,2753.95,1015
1738575719,2734.79,2753.95,1017
1738575779,2734.86,2753.40,1021
1738575839,2734.86,2753.40,1021
1738575898,2734.89,2763.30,1022
1738575959,2735.02,2755.95,1028
1738576016,2735.02,2755.95,1028
1738576079,2735.02,2755.95,1028
1738576138,2736.02,2753.15,1111
1738576199,2736.03,2750.05,1112
1738576259,2736.03,2750.05,1112
1738576318,2736.03,2750.05,1112
1738576379,2736.31,2755.30,1128
1738576439,2737.10,2762.60,1164
1738576498,2737.10,2762.60,1164
1738576559,2737.10,2762.60,1164
1738576619,2737.10,2762.60,1164
1738576679,2737.33,2764.35,1174
1738576739,2737.33,2764.35,1174
1738576798,2737.33,2764.35,1174
1738576859,2737.33,2764.35,1174
1738576919,2737.33,2764.35,1174
1738576979,2737.33,2764.35,1174
1738577038,2737.66,2765.15,1188
1738577099,2737.77,2764.00,1193
1738577159,2737.77,2764.00,1193
1738577217,2737.77,2764.00,1193
1738577279,2737.77,2764.00,1193
1738577338,2737.79,2764.00,1194
1738577399,2738.39,2762.25,1223
1738577459,2738.39,2762.25,1223
1738577519,2738.39,2762.25,1223
1738577579,2739.06,2763.95,1255
1738577639,2739.12,2757.40,1259
1738577699,2739.12,2757.40,1259
1738577759,2739.12,2757.40,1259
1738577819,2739.12,2757.40,1259
1738577879,2739.16,2748.80,1265
1738577939,2739.18,2741.25,1275
1738577999,2739.20,2741.10,1291
1738578059,2739.20,2741.10,1291
1738578119,2739.20,2741.10,1291
1738578179,2739.20,2741.10,1291
1738578238,2739.20,2741.10,1291
1738578298,2739.20,2741.10,1291
1738578359,2739.20,2741.10,1291
1738578419,2739.20,2741.10,1291
1738578479,2739.20,2741.10,1291
1738578539,2739.20,2741.10,1291
1738578599,2739.20,2741.10,1291
1738578659,2739.20,2741.10,1291
1738578719,2739.20,2741.10,1291
1738578779,2739.19,2737.75,1298
1738578838,2739.19,2737.75,1298
1738578898,2739.19,2737.75,1298
1738578959,2739.19,2737.75,1298
1738579019,2739.19,2737.75,1298
1738579079,2739.19,2737.75,1298
1738579139,2739.19,2737.75,1298
1738579198,2739.19,2737.75,1298
1738579259,2739.18,2731.45,1300
1738579319,2739.18,2731.45,1300
1738579375,2739.05,2729.85,1312
1738579439,2739.05,2729.85,1312
1738579499,2739.05,2729.85,1312
1738579559,2739.05,2729.85,1312
1738579619,2739.05,2729.85,1312
1738579679,2739.05,2729.85,1312
1738579739,2739.05,2729.85,1312
1738579799,2739.05,2729.85,1312
1738579859,2739.05,2734.00,1313
1738579919,2739.04,2736.90,1319
1738579978,2739.03,2735.70,1320
1738580039,2739.03,2736.95,1322
