t,ap,cp,v
1738573634,474.00,474.00,164
1738573740,474.00,474.00,164
1738574159,476.79,477.80,541
1738574218,476.69,475.60,629
1738574277,477.29,477.70,923
1738574337,477.27,477.00,973
1738574398,477.27,477.00,973
1738574456,477.27,476.10,974
1738574516,477.27,476.10,974
1738574579,477.06,475.25,1082
1738574639,477.06,475.25,1082
1738574696,477.06,475.25,1082
1738574758,476.94,474.35,1123
1738574818,476.78,476.85,1469
1738574876,476.79,479.10,1474
1738574937,476.79,479.10,1474
1738574999,476.79,479.10,1474
1738575059,476.80,477.45,1485
1738575119,476.84,477.15,1839
1738575179,476.84,477.15,1839
1738575238,476.84,477.15,1839
1738575298,476.84,477.15,1839
1738575359,476.82,476.70,1944
1738575419,476.67,473.15,2032
1738575479,476.43,473.15,2180
1738575536,476.29,471.95,2251
1738575599,476.24,470.10,2270
1738575658,475.83,470.50,2442
1738575719,475.58,468.85,2540
1738575777,475.55,469.35,2553
1738575834,475.05,470.90,2895
1738575899,474.81,471.85,3139
1738575959,474.78,470.20,3159
1738576019,474.49,469.70,3348
1738576078,474.45,469.95,3384
1738576136,474.40,469.95,3420
1738576197,474.39,469.95,3430
1738576259,474.35,468.95,3450
1738576319,474.33,470.70,3477
1738576378,474.15,470.00,3624
1738576439,474.15,470.75,3627
1738576499,474.15,470.75,3627
1738576559,473.64,468.85,4047
1738576619,473.64,469.60,4049
1738576678,473.57,469.65,4122
1738576737,473.57,469.65,4122
1738576798,473.57,469.65,4122
1738576857,473.55,469.65,4148
1738576918,473.36,470.35,4402
1738576978,473.36,470.35,4402
1738577039,473.36,470.35,4402
1738577099,473.36,470.40,4407
1738577158,473.36,470.05,4408
1738577218,473.34,470.05,4424
1738577278,473.34,470.05,4424
1738577339,473.34,470.05,4424
1738577399,473.34,469.55,4429
1738577454,473.29,469.35,4483
1738577516,473.25,470.25,4538
1738577576,473.25,470.25,4538
1738577638,473.16,469.70,4658
1738577698,473.16,469.70,4658
1738577759,473.15,469.50,4663
1738577811,473.15,469.50,4663
1738577878,473.14,469.75,4678
1738577939,473.14,469.75,4681
1738577998,473.14,468.90,4682
1738578059,473.14,468.90,4682
1738578119,472.96,468.65,4882
1738578176,472.91,469.25,4945
1738578236,472.75,469.55,5204
1738578297,472.75,469.55,5204
1738578358,472.75,469.55,5204
1738578417,472.75,469.55,5204
1738578474,472.75,469.55,5204
1738578539,472.75,469.55,5204
1738578597,472.73,468.00,5216
1738578659,472.73,468.00,5216
1738578716,472.62,468.35,5358
1738578777,472.62,468.35,5358
1738578832,472.62,468.35,5358
1738578897,472.62,468.35,5358
1738578959,472.62,468.35,5358
1738579016,472.61,467.75,5372
1738579079,472.49,466.90,5483
1738579131,472.49,466.90,5483
1738579190,472.49,466.90,5483
1738579259,472.49,466.90,5483
1738579317,472.47,466.50,5498
1738579372,472.46,466.85,5510
1738579439,472.46,466.85,5510
1738579498,472.46,466.85,5510
1738579559,472.46,466.85,5510
1738579617,472.46,466.85,5510
1738579676,472.41,468.70,5585
1738579736,472.40,467.70,5587
1738579799,472.40,467.70,5587
1738579859,472.40,467.70,5587
1738579917,472.40,467.70,5587
1738579979,472.40,467.70,5587
1738580034,472.40,467.70,5587
1738580099,472.40,467.70,5587
1738580159,472.19,468.15,5887
1738580219,472.19,468.15,5887
1738580268,472.19,468.15,5887
1738580338,472.19,468.15,5887
1738580395,472.14,469.05,5966
1738580453,472.11,470.30,6057
1738580517,472.11,470.30,6057
1738580579,472.10,470.75,6104
1738580638,472.10,470.75,6104
1738580697,472.10,470.75,6105
1738580759,472.10,470.75,6105
1738580817,472.10,470.75,6105
1738580873,472.02,469.95,6340
1738580939,472.02,469.95,6340
1738580999,472.02,469.95,6340
1738581057,472.02,469.95,6340
1738581117,471.99,470.35,6472
1738581176,471.99,470.35,6472
1738581237,471.99,470.35,6472
1738581298,471.94,471.25,6817
1738581358,471.94,470.90,6818
1738581418,471.94,470.90,6818
1738581474,471.94,470.90,6818
1738581537,471.94,470.90,6818
1738581586,471.94,470.90,6818
1738581658,471.94,472.85,6853
