t,ap,cp,v
1738573635,148.95,148.95,1413
1738573741,148.95,148.95,1413
1738574159,147.68,147.45,9157
1738574219,147.42,146.50,12583
1738574279,147.27,146.95,16287
1738574339,146.80,145.45,27761
1738574399,146.60,145.55,33460
1738574459,146.53,145.80,36257
1738574518,146.47,145.35,38276
1738574579,146.35,144.80,42298
1738574639,146.30,145.60,44493
1738574699,146.29,146.30,46358
1738574759,146.29,146.95,47934
1738574819,146.37,147.40,52560
1738574879,146.48,148.55,55841
1738574939,146.58,147.85,59058
1738574999,146.59,148.30,59630
1738575059,146.62,148.20,60484
1738575119,146.64,148.20,61474
1738575179,146.64,148.00,61690
1738575239,146.67,147.45,63223
1738575299,146.67,147.35,63497
1738575359,146.68,147.50,63913
1738575419,146.68,147.20,64456
1738575479,146.68,147.20,64456
1738575539,146.68,146.75,65224
1738575599,146.66,145.95,68684
1738575659,146.66,146.20,68887
1738575719,146.66,146.30,69785
1738575779,146.66,146.60,71125
1738575839,146.66,146.60,71659
1738575899,146.66,146.80,72134
1738575959,146.66,146.80,72134
1738576016,146.66,147.15,72473
1738576079,146.66,146.95,72961
1738576139,146.66,146.95,72961
1738576199,146.66,146.50,73062
1738576259,146.66,146.65,74264
1738576319,146.66,146.80,74309
1738576379,146.66,146.45,75838
1738576439,146.66,146.35,76008
1738576499,146.66,146.60,76090
1738576559,146.66,146.60,76090
1738576619,146.66,146.60,78591
1738576679,146.66,146.35,78843
1738576739,146.66,146.35,78843
1738576799,146.66,146.35,78843
1738576859,146.66,147.00,78844
1738576919,146.66,147.15,79173
1738576979,146.66,147.00,79332
1738577039,146.66,146.85,79373
1738577099,146.66,146.85,79458
1738577159,146.66,146.50,79535
1738577219,146.66,146.50,79535
1738577279,146.66,147.50,79636
1738577338,146.66,147.25,79751
1738577399,146.67,147.15,80240
1738577459,146.67,147.50,80340
1738577519,146.67,147.50,80340
1738577579,146.68,147.50,81912
1738577638,146.69,147.50,81933
1738577699,146.69,147.15,82031
1738577759,146.69,146.85,82441
1738577819,146.69,146.85,82463
1738577879,146.69,147.25,82468
1738577939,146.69,147.25,82468
1738577999,146.69,147.20,82988
1738578059,146.69,147.20,83288
1738578119,146.69,147.40,83289
1738578179,146.69,147.35,83364
1738578239,146.69,147.35,83364
1738578299,146.70,147.45,84464
1738578359,146.70,147.45,84941
1738578419,146.70,147.45,84941
1738578479,146.71,147.25,85136
1738578539,146.71,147.20,85337
1738578599,146.71,146.95,85713
1738578659,146.71,146.95,85713
1738578719,146.71,147.10,85998
1738578779,146.71,146.90,86688
1738578839,146.71,146.90,86688
1738578898,146.71,147.05,86804
1738578959,146.72,147.60,87493
1738579019,146.72,147.80,87593
1738579079,146.72,147.40,87750
1738579139,146.72,147.55,87862
1738579199,146.72,147.55,87862
1738579259,146.72,147.35,87941
1738579319,146.72,147.60,88041
1738579379,146.75,147.70,90738
1738579439,146.75,147.70,90738
1738579499,146.75,147.70,90738
1738579559,146.75,148.10,90860
1738579619,146.76,148.40,91473
1738579679,146.76,148.45,91483
1738579739,146.77,148.45,91983
1738579799,146.79,148.65,92945
1738579859,146.80,148.40,93733
1738579919,146.82,148.10,94583
1738579979,146.82,148.30,94633
1738580039,146.82,148.30,94634
1738580099,146.83,147.65,96088
1738580159,146.83,148.20,96108
1738580217,146.83,148.30,96216
1738580279,146.83,148.30,96216
1738580338,146.83,148.30,96216
1738580399,146.83,148.25,96392
1738580459,146.83,148.25,96392
1738580519,146.84,148.45,96492
1738580579,146.84,148.45,96493
1738580639,146.88,148.45,98757
1738580698,146.88,148.75,99057
1738580759,146.89,148.75,99257
1738580819,146.89,148.45,99258
1738580879,146.89,148.45,99258
1738580939,146.90,148.50,99815
1738580999,146.90,148.50,99916
1738581059,146.90,148.50,100059
1738581119,146.90,148.45,100119
1738581179,146.90,148.55,100219
1738581239,146.96,148.75,103429
1738581299,146.96,148.80,103433
1738581359,146.98,148.55,104649
1738581419,146.98,148.65,105049
1738581478,147.12,149.00,112592
1738581539,147.12,148.85,112751
1738581599,147.13,149.10,113434
1738581659,147.13,148.95,113484
1738581719,147.13,148.85,113485
