t,ap,cp,v
1738573645,50.47,50.47,61821
1738573692,50.47,50.47,61821
1738573741,50.47,50.47,61821
1738574159,50.21,49.58,92587
1738574219,50.19,49.71,96549
1738574279,50.17,49.74,101458
1738574336,50.15,49.70,106172
1738574399,50.13,49.74,109150
1738574459,50.12,49.78,114861
1738574519,50.08,49.69,123968
1738574579,50.08,49.72,124722
1738574639,50.07,49.71,126167
1738574699,50.07,49.75,126417
1738574759,50.07,49.88,126735
1738574819,50.07,50.11,130484
1738574879,50.07,50.07,130964
1738574939,50.07,50.00,134247
1738574998,50.06,49.88,134698
1738575058,50.06,49.87,136234
1738575119,50.06,49.99,139369
1738575179,50.06,49.85,140992
1738575239,50.05,49.71,146761
1738575299,50.04,49.76,150105
1738575359,50.03,49.79,155193
1738575419,50.02,49.70,159432
1738575478,50.02,49.71,159758
1738575539,50.01,49.62,166218
1738575598,49.97,49.55,184040
1738575659,49.96,49.54,189790
1738575716,49.96,49.54,189790
1738575778,49.95,49.62,190481
1738575839,49.95,49.78,194721
1738575899,49.94,49.71,198783
1738575959,49.92,49.54,213086
1738576018,49.92,49.67,216221
1738576078,49.92,49.64,216301
1738576139,49.92,49.61,216594
1738576197,49.92,49.60,216602
1738576259,49.91,49.63,220629
1738576319,49.91,49.58,220679
1738576379,49.90,49.63,229415
1738576438,49.90,49.67,229816
1738576499,49.90,49.63,229836
1738576559,49.90,49.66,230885
1738576619,49.90,49.62,231005
1738576679,49.90,49.69,233105
1738576738,49.89,49.56,241358
1738576799,49.89,49.61,241398
1738576859,49.88,49.64,243818
1738576919,49.88,49.70,245816
1738576979,49.88,49.73,246018
1738577039,49.88,49.73,246018
1738577099,49.88,49.73,246018
1738577159,49.88,49.71,246415
1738577219,49.88,49.61,247400
1738577279,49.88,49.79,247643
1738577339,49.88,49.80,247758
1738577399,49.88,49.82,247958
1738577459,49.88,49.85,248261
1738577519,49.88,49.95,256340
1738577579,49.88,50.02,264469
1738577639,49.88,49.93,266024
1738577698,49.88,49.90,266129
1738577757,49.88,49.82,266959
1738577818,49.88,49.82,266959
1738577878,49.88,49.89,266985
1738577939,49.88,49.89,266985
1738577997,49.88,49.89,266985
1738578059,49.88,49.85,267185
1738578119,49.88,49.89,267235
1738578179,49.88,49.82,269910
1738578239,49.88,49.99,273824
1738578298,49.88,49.89,274031
1738578359,49.88,49.94,274432
1738578416,49.88,49.86,274448
1738578479,49.88,49.86,274454
1738578539,49.88,49.88,274469
1738578599,49.88,49.77,281139
1738578659,49.88,49.85,281328
1738578719,49.88,49.90,282092
1738578778,49.88,49.86,282128
1738578839,49.88,49.82,282730
1738578899,49.88,49.82,282730
1738578959,49.88,49.90,282855
1738579018,49.88,49.90,282855
1738579079,49.88,49.81,282862
1738579139,49.88,49.81,282969
1738579199,49.88,49.81,282969
1738579255,49.88,49.77,284359
1738579319,49.88,49.75,284370
1738579379,49.88,49.81,285259
1738579437,49.88,49.82,285909
1738579499,49.88,49.83,286109
1738579556,49.88,49.82,286110
1738579619,49.88,49.84,288810
1738579679,49.88,49.90,288818
1738579739,49.88,49.82,290583
1738579799,49.88,49.78,290593
1738579859,49.88,49.77,290781
1738579919,49.88,49.77,291006
1738579979,49.88,49.78,292371
1738580039,49.88,49.75,292851
1738580098,49.88,49.69,293939
1738580156,49.88,49.70,294141
1738580218,49.88,49.73,294841
1738580277,49.88,49.79,294842
1738580339,49.88,49.79,294842
1738580399,49.88,49.79,295978
1738580459,49.88,49.89,295981
1738580517,49.88,49.86,296291
1738580579,49.88,49.87,296302
1738580633,49.88,49.87,296303
1738580698,49.88,49.82,296304
1738580759,49.88,49.87,296506
1738580819,49.88,49.87,296508
1738580875,49.88,49.87,296707
1738580939,49.88,49.79,297063
1738580998,49.88,49.74,297475
1738581058,49.88,49.74,297475
1738581119,49.88,49.80,298882
1738581178,49.88,49.85,298888
1738581238,49.88,49.85,298890
1738581299,49.88,49.85,300090
1738581354,49.88,49.85,300290
1738581413,49.88,49.85,300290
1738581478,49.88,49.90,305793
1738581534,49.88,49.95,306493
1738581599,49.88,49.93,307513
1738581659,49.88,49.92,308029
1738581719,49.88,49.89,308771
1738581779,49.88,49.85,309278
1738581839,49.88,49.78,310539
1738581898,49.88,49.73,310602
1738581959,49.88,49.70,311140
1738582019,49.88,49.72,311689
1738582079,49.88,49.70,311704
1738582139,49.88,49.70,311704
1738582199,49.87,49.60,315095
1738582259,49.87,49.61,315096
1738582318,49.87,49.70,315116
1738582376,49.87,49.67,315141
1738582438,49.87,49.67,317158
1738582498,49.87,49.54,321717
1738582558,49.87,49.59,321817
1738582619,49.87,49.70,322317
1738582679,49.87,49.57,323923
1738582738,49.86,49.51,325853
1738582797,49.86,49.51,325853
1738582859,49.86,49.50,329038
1738582919,49.86,49.51,330148
1738582979,49.86,49.51,330148
1738583038,49.86,49.42,330172
1738583099,49.86,49.46,330375
1738583159,49.86,49.52,330884
1738583217,49.86,49.52,330884
1738583279,49.86,49.53,332117
1738583338,49.86,49.53,332117
1738583399,49.86,49.53,332117
1738583459,49.86,49.55,332217
1738583518,49.86,49.55,332217
1738583576,49.86,49.55,332819
1738583637,49.85,49.54,339820
1738583699,49.85,49.54,339820
1738583758,49.85,49.49,339834
1738583819,49.85,49.55,339939
1738583875,49.85,49.53,340439
1738583938,49.85,49.55,340490
1738583996,49.85,49.55,340591
1738584058,49.85,49.55,340613
1738584116,49.85,49.55,340638
1738584179,49.85,49.55,340798
1738584237,49.85,49.55,340816
1738584299,49.85,49.55,340998
1738584358,49.85,49.55,340998
1738584419,49.85,49.54,341000
1738584479,49.83,49.43,359951
1738584538,49.83,49.43,359951
1738584599,49.83,49.51,360001
1738584659,49.83,49.51,360001
1738584716,49.83,49.51,360001
1738584779,49.83,49.50,360002
1738584836,49.83,49.50,360002
1738584898,49.83,49.50,360002
1738584958,49.82,49.50,361002
1738585018,49.82,49.50,361002
1738585079,49.82,49.50,361002
1738585139,49.82,49.51,361003
1738585199,49.82,49.45,361428
1738585259,49.82,49.48,361444
1738585317,49.82,49.42,362696
1738585379,49.82,49.47,363696
1738585438,49.82,49.50,363846
1738585498,49.82,49.35,368110
1738585559,49.82,49.39,368211
1738585619,49.82,49.39,368212
1738585679,49.82,49.39,368216
1738585738,49.82,49.39,368316
1738585799,49.82,49.39,368322
1738585859,49.82,49.39,368322
1738585913,49.82,49.39,368322
1738585979,49.82,49.45,368425
1738586039,49.82,49.45,368439
1738586097,49.82,49.45,368480
1738586158,49.82,49.45,368480
1738586217,49.82,49.45,368480
1738586277,49.82,49.39,368486
1738586339,49.82,49.39,368486
1738586395,49.82,49.46,368561
1738586458,49.82,49.46,368561
1738586519,49.82,49.39,368562
1738586579,49.82,49.39,368562
1738586637,49.82,49.39,368761
1738586699,49.81,49.35,376268
1738586759,49.81,49.37,376368
1738586819,49.80,49.34,378316
1738586877,49.80,49.30,381865
1738586937,49.80,49.30,381865
1738586999,49.80,49.30,381865
1738587059,49.80,49.35,382287
1738587119,49.80,49.35,382370
1738587179,49.80,49.33,382820
1738587239,49.80,49.33,382820
1738587299,49.80,49.27,384041
1738587359,49.80,49.27,384041
1738587419,49.80,49.27,384041
1738587478,49.80,49.38,384061
1738587538,49.80,49.41,384062
1738587597,49.79,49.35,387062
1738587657,49.79,49.35,387062
1738587717,49.79,49.35,387062
1738587778,49.79,49.35,387062
1738587837,49.79,49.35,387062
1738587898,49.79,49.51,387536
1738587959,49.79,49.51,387536
1738588018,49.79,49.35,388417
1738588079,49.79,49.35,388424
1738588139,49.79,49.41,390032
1738588199,49.79,49.32,392051
1738588259,49.79,49.47,393349
1738588319,49.79,49.47,393349
1738588379,49.79,49.37,393549
1738588432,49.79,49.43,393799
1738588499,49.79,49.43,393799
1738588559,49.79,49.42,393804
1738588619,49.79,49.42,393804
1738588679,49.79,49.42,393804
1738588739,49.79,49.42,393804
1738588798,49.79,49.40,394004
1738588854,49.79,49.40,394004
1738588917,49.79,49.40,394004
1738588978,49.79,49.40,394004
1738589039,49.79,49.40,394004
1738589098,49.79,49.39,394054
1738589159,49.79,49.35,394159
1738589218,49.79,49.39,394197
1738589279,49.79,49.39,394293
1738589339,49.79,49.32,394352
1738589399,49.79,49.35,394452
1738589459,49.79,49.35,395052
1738589518,49.79,49.35,395054
1738589577,49.78,49.39,400054
1738589637,49.78,49.39,400056
