t,ap,cp,v
1738573634,211.10,211.10,6385
1738573740,211.10,211.10,6385
1738573831,211.10,211.10,6385
1738573863,211.10,211.10,6385
1738574029,211.10,211.10,6385
1738574159,209.00,208.35,43576
1738574219,208.55,207.50,69395
1738574279,208.53,208.35,73460
1738574339,208.50,208.30,79412
1738574398,208.47,208.05,88379
1738574459,208.43,208.20,98130
1738574517,208.33,207.55,109544
1738574579,208.28,207.70,117459
1738574639,208.24,207.75,123077
1738574699,208.24,208.15,125673
1738574758,208.22,208.50,139501
1738574819,208.23,208.65,142555
1738574879,208.27,208.80,151622
1738574939,208.28,208.70,154539
1738574999,208.29,209.05,156577
1738575059,208.39,209.25,180499
1738575119,208.40,209.40,183683
1738575179,208.41,209.10,185000
1738575239,208.42,208.55,188470
1738575299,208.42,208.40,189610
1738575359,208.42,208.30,190359
1738575419,208.40,207.55,197247
1738575479,208.36,207.10,203200
1738575539,208.34,207.20,208417
1738575599,208.28,207.05,217411
1738575659,208.27,207.35,218985
1738575719,208.27,207.50,219984
1738575779,208.27,207.80,221441
1738575839,208.27,207.75,221647
1738575899,208.26,207.55,222215
1738575959,208.26,207.60,223075
1738576019,208.26,207.95,224545
1738576079,208.26,207.70,225699
1738576139,208.25,207.65,227220
1738576199,208.22,207.00,234083
1738576257,208.21,207.45,236525
1738576319,208.21,207.60,236762
1738576379,208.21,207.30,237953
1738576439,208.20,207.35,238477
1738576499,208.20,207.55,240234
1738576559,208.20,207.60,241038
1738576619,208.19,207.60,241638
1738576679,208.19,207.30,243787
1738576739,208.16,206.90,249363
1738576799,208.16,207.05,249402
1738576859,208.14,207.00,252918
1738576919,208.13,207.50,258599
1738576979,208.13,207.30,259429
1738577039,208.12,207.30,260212
1738577099,208.12,207.30,260909
1738577159,208.12,207.50,261513
1738577219,208.12,207.75,262178
1738577279,208.11,208.00,264202
1738577339,208.11,208.00,264903
1738577399,208.11,208.00,265035
1738577459,208.12,208.30,266428
1738577519,208.12,208.85,268767
1738577579,208.13,208.75,272782
1738577639,208.14,208.90,276633
1738577699,208.14,208.75,278073
1738577759,208.14,208.50,278673
1738577819,208.14,208.55,278978
1738577876,208.14,209.00,279873
1738577939,208.15,209.00,280844
1738577999,208.16,209.00,283790
1738578059,208.17,209.30,288167
1738578119,208.18,209.40,291361
1738578179,208.19,209.55,291996
1738578239,208.21,209.85,295722
1738578299,208.21,209.65,295835
1738578359,208.23,209.55,300473
1738578419,208.25,209.80,304027
1738578479,208.28,210.00,310094
1738578539,208.28,209.55,310468
1738578599,208.28,209.70,311482
1738578659,208.29,209.75,311647
1738578719,208.29,209.70,311912
1738578779,208.29,209.40,312361
1738578839,208.29,209.40,312396
1738578899,208.29,209.65,312858
1738578959,208.31,210.05,316484
1738579019,208.32,210.15,318422
1738579079,208.32,209.90,318985
1738579139,208.32,209.80,319276
1738579199,208.33,209.80,319670
1738579259,208.33,209.55,319989
1738579319,208.33,209.45,321188
1738579379,208.33,209.70,321670
1738579439,208.35,209.80,325814
1738579499,208.36,209.80,326989
1738579559,208.36,209.80,327917
1738579619,208.36,209.70,328314
1738579679,208.37,209.85,328428
1738579739,208.37,209.40,329253
1738579799,208.38,209.20,331592
1738579859,208.38,209.25,332127
1738579919,208.39,208.80,336791
1738579979,208.39,208.60,337120
1738580039,208.39,208.70,338150
1738580099,208.39,208.55,339903
1738580159,208.39,208.90,340981
1738580219,208.39,208.95,341719
1738580279,208.39,208.85,341899
1738580339,208.39,208.75,343653
1738580399,208.39,209.00,343779
1738580458,208.40,209.25,346214
1738580519,208.40,208.95,346355
1738580579,208.40,209.00,346410
1738580639,208.40,209.00,346465
1738580699,208.40,209.00,346748
1738580759,208.40,209.00,346775
1738580819,208.40,209.00,348546
1738580878,208.40,209.20,349685
1738580937,208.40,209.30,349783
1738580999,208.40,209.10,349910
1738581059,208.40,209.20,350518
1738581119,208.40,209.45,350629
1738581179,208.41,209.50,351964
1738581239,208.41,209.55,352255
1738581299,208.41,209.50,353142
1738581359,208.41,209.55,353552
1738581419,208.41,209.65,353641
1738581479,208.42,209.75,354783
1738581539,208.42,209.60,355350
1738581599,208.42,209.35,355973
1738581657,208.42,209.65,356426
1738581719,208.42,209.50,356724
1738581779,208.42,209.10,357070
1738581839,208.43,209.00,360190
1738581899,208.43,209.30,360255
1738581959,208.43,209.10,362483
1738582019,208.44,209.20,364955
1738582079,208.44,209.20,365091
1738582139,208.44,208.95,365292
1738582199,208.44,209.15,366302
1738582259,208.44,209.15,366712
1738582319,208.44,209.15,367393
1738582379,208.44,209.00,367820
1738582439,208.44,209.00,367870
1738582499,208.45,208.80,368697
1738582559,208.45,209.00,368758
1738582619,208.45,209.00,368758
1738582679,208.45,209.00,368874
1738582739,208.44,208.00,373968
1738582799,208.44,207.95,375113
1738582858,208.44,207.55,375600
1738582919,208.44,207.80,377317
1738582979,208.44,207.80,377880
1738583039,208.43,207.85,378229
1738583099,208.41,208.05,401805
1738583159,208.41,208.25,402131
1738583218,208.41,208.35,402136
1738583279,208.41,208.70,402157
1738583339,208.41,208.65,402321
1738583399,208.41,208.75,402426
1738583459,208.41,208.70,402465
1738583519,208.41,208.65,403695
1738583579,208.41,208.60,403817
1738583639,208.41,208.75,403826
1738583699,208.41,209.05,403944
1738583759,208.41,209.20,405383
1738583819,208.41,209.25,405732
1738583879,208.42,208.95,409971
1738583939,208.42,209.20,411884
1738583999,208.43,208.85,413751
1738584059,208.43,208.80,414061
1738584119,208.43,208.45,414484
1738584179,208.43,208.10,414596
1738584239,208.43,208.50,414636
1738584299,208.43,208.35,414748
