t,ap,cp,v
1738573634,4498.95,4498.95,5
1738573730,4498.95,4498.95,5
1738573740,4498.95,4498.95,5
1738574159,4463.61,4433.15,11
1738574219,4463.61,4433.15,11
1738574278,4444.73,4403.15,16
1738574332,4444.73,4403.15,16
1738574397,4444.73,4403.15,16
1738574458,4423.71,4403.00,39
1738574517,4423.71,4403.00,39
1738574578,4423.56,4420.05,52
1738574639,4423.25,4415.10,54
1738574697,4423.25,4415.10,54
1738574759,4428.37,4451.80,79
1738574819,4444.94,4489.95,133
1738574879,4448.12,4494.35,142
1738574938,4448.40,4461.75,145
1738574998,4448.40,4461.75,145
1738575059,4447.85,4442.15,159
1738575119,4447.12,4409.65,164
1738575178,4440.10,4400.00,193
1738575239,4439.84,4390.00,194
1738575298,4439.25,4381.55,196
1738575358,4432.82,4385.45,220
1738575418,4426.30,4368.45,242
1738575479,4426.02,4360.00,243
1738575539,4425.18,4350.40,246
1738575599,4421.22,4354.30,259
1738575659,4420.13,4354.00,263
1738575719,4414.74,4343.50,281
1738575779,4414.74,4343.50,281
1738575839,4413.31,4331.70,286
1738575899,4413.02,4329.95,287
1738575959,4412.39,4323.10,289
1738576017,4412.39,4323.10,289
1738576079,4412.39,4323.10,289
1738576139,4412.39,4323.10,289
1738576199,4412.39,4323.10,289
1738576259,4412.39,4323.10,289
1738576318,4412.05,4313.30,290
1738576378,4402.50,4300.00,318
1738576439,4402.18,4300.00,319
1738576499,4387.36,4313.10,382
1738576559,4386.95,4308.95,384
1738576619,4386.95,4308.95,384
1738576679,4386.75,4308.95,385
1738576739,4364.33,4294.60,509
1738576797,4364.33,4294.60,509
1738576858,4363.64,4292.00,514
1738576919,4363.64,4292.00,514
1738576979,4363.64,4292.00,514
1738577039,4363.64,4292.00,514
1738577098,4363.64,4292.00,514
1738577159,4362.54,4290.00,522
1738577216,4359.71,4291.80,544
1738577279,4358.64,4285.05,552
1738577339,4357.67,4279.00,559
1738577399,4357.39,4280.15,561
1738577459,4357.12,4279.95,563
1738577518,4356.70,4280.15,566
1738577579,4356.70,4280.15,566
1738577639,4356.55,4276.20,567
1738577699,4356.55,4276.20,567
1738577759,4354.82,4269.40,578
1738577819,4352.33,4272.40,596
1738577877,4352.33,4272.40,596
1738577939,4352.33,4272.40,596
1738577999,4352.33,4272.40,596
1738578059,4352.33,4272.40,596
1738578118,4352.33,4272.40,596
1738578177,4352.33,4272.40,596
1738578238,4352.33,4272.40,596
1738578299,4352.21,4279.25,597
1738578357,4347.45,4283.25,640
1738578418,4345.45,4280.00,661
1738578479,4343.25,4278.95,684
1738578539,4342.97,4280.05,687
1738578599,4342.41,4265.00,692
1738578659,4342.41,4265.00,692
1738578719,4342.41,4265.00,692
1738578779,4341.64,4265.00,699
1738578839,4341.08,4263.00,704
1738578899,4341.08,4263.00,704
1738578959,4341.08,4263.00,704
1738579019,4341.08,4263.00,704
1738579079,4341.08,4263.00,704
1738579139,4340.86,4263.00,706
1738579199,4340.86,4263.00,706
1738579259,4339.80,4265.00,716
1738579319,4339.80,4265.00,716
1738579379,4339.80,4265.00,716
1738579439,4339.80,4265.00,716
1738579498,4338.87,4272.00,726
1738579559,4338.87,4272.00,726
1738579619,4338.87,4272.00,726
1738579679,4338.87,4272.00,726
1738579739,4338.87,4272.00,726
1738579799,4338.87,4272.00,726
1738579859,4338.87,4272.00,726
1738579919,4338.87,4272.00,726
1738579978,4338.87,4272.00,726
1738580039,4335.30,4283.55,776
1738580099,4333.31,4283.60,806
1738580159,4333.31,4283.60,806
1738580219,4333.31,4283.60,806
1738580279,4333.31,4283.60,806
1738580339,4333.31,4283.60,806
1738580398,4333.24,4280.00,807
1738580459,4333.24,4280.00,807
1738580519,4333.24,4280.00,807
1738580579,4333.18,4280.80,808
1738580638,4333.18,4280.80,808
1738580699,4332.14,4272.50,822
1738580759,4331.76,4268.65,827
1738580819,4331.76,4268.65,827
1738580879,4331.76,4268.65,827
1738580939,4331.76,4268.65,827
1738580999,4331.76,4268.65,827
1738581059,4331.76,4268.65,827
1738581119,4331.76,4268.65,827
1738581179,4331.14,4280.20,837
1738581239,4331.14,4280.20,837
1738581299,4331.14,4280.20,837
1738581359,4331.14,4280.20,837
1738581419,4330.93,4272.30,840
1738581479,4330.93,4272.30,840
1738581539,4330.93,4272.30,840
1738581599,4330.93,4272.30,840
1738581659,4330.93,4272.30,840
1738581719,4330.93,4272.30,840
1738581779,4330.93,4272.30,840
1738581839,4330.93,4272.30,840
1738581899,4330.87,4279.95,841
1738581959,4330.65,4270.00,844
1738582019,4330.65,4270.00,844
1738582079,4330.65,4270.00,844
1738582139,4330.65,4270.00,844
1738582199,4329.93,4268.60,854
1738582259,4329.93,4268.60,854
1738582319,4329.93,4268.60,854
1738582379,4329.93,4268.60,854
1738582439,4329.93,4268.60,854
