t,ap,cp,v
1738573635,1376.65,1376.65,170
1738573682,1376.65,1376.65,170
1738573740,1376.65,1376.65,170
1738574159,1366.48,1366.30,422
1738574219,1365.47,1367.35,743
1738574279,1365.98,1372.35,852
1738574337,1366.82,1374.90,942
1738574399,1366.80,1366.00,979
1738574459,1366.81,1367.60,1011
1738574519,1367.16,1377.00,1066
1738574579,1367.18,1380.25,1068
1738574639,1367.80,1387.50,1102
1738574699,1371.29,1394.50,1284
1738574759,1380.86,1399.75,2168
1738574819,1381.83,1407.00,2267
1738574879,1385.44,1409.00,2699
1738574939,1387.65,1412.60,2962
1738574999,1391.34,1413.60,3445
1738575059,1393.42,1415.35,3783
1738575119,1394.18,1410.30,3952
1738575179,1394.42,1415.85,4005
1738575239,1395.87,1408.85,4478
1738575299,1396.98,1410.45,4888
1738575359,1397.35,1402.00,5184
1738575419,1398.19,1395.90,7645
1738575479,1398.19,1395.85,7684
1738575539,1397.98,1389.80,7990
1738575599,1397.98,1398.20,8549
1738575659,1398.00,1400.00,8636
1738575719,1398.01,1398.60,8690
1738575779,1398.01,1400.00,8708
1738575839,1398.06,1402.25,8840
1738575899,1398.06,1402.25,8840
1738575959,1398.07,1403.40,8860
1738576019,1398.11,1405.10,8895
1738576079,1398.19,1404.00,9038
1738576139,1398.21,1397.90,9079
1738576197,1398.11,1399.05,9280
1738576259,1398.11,1399.45,9285
1738576319,1398.14,1399.90,9345
1738576379,1398.13,1396.80,9358
1738576439,1398.13,1397.10,9383
1738576499,1398.13,1397.40,9403
1738576559,1398.14,1398.40,9484
1738576619,1398.14,1398.60,9485
1738576679,1398.13,1396.50,9560
1738576739,1398.13,1396.00,9561
1738576799,1398.10,1396.05,9643
1738576859,1398.10,1396.60,9694
1738576919,1398.08,1396.55,9752
1738576979,1398.08,1396.65,9781
1738577039,1398.07,1397.00,9936
1738577099,1398.08,1397.85,9976
1738577159,1398.08,1399.00,9983
1738577219,1398.08,1397.10,9994
1738577279,1398.08,1398.00,10004
1738577339,1398.08,1398.50,10026
1738577399,1398.08,1400.00,10052
1738577459,1398.24,1405.80,10413
1738577519,1398.25,1403.30,10428
1738577579,1398.25,1403.30,10428
1738577639,1398.25,1405.00,10434
1738577699,1398.26,1405.30,10449
1738577759,1398.28,1400.70,10518
1738577819,1398.28,1398.65,10533
1738577879,1398.28,1398.65,10533
1738577939,1398.29,1399.00,10583
1738577999,1398.29,1399.00,10583
1738578059,1398.29,1399.00,10583
1738578119,1398.29,1399.00,10592
1738578179,1398.29,1397.10,10597
1738578239,1398.29,1398.55,10605
1738578299,1398.29,1398.55,10605
1738578359,1398.29,1398.85,10608
1738578419,1398.29,1398.85,10608
1738578479,1398.29,1400.00,10628
1738578539,1398.29,1400.00,10628
1738578599,1398.29,1400.00,10628
1738578659,1398.29,1400.00,10628
1738578719,1398.29,1400.00,10628
1738578779,1398.29,1400.00,10628
1738578839,1398.31,1400.00,10706
1738578898,1398.31,1399.40,10749
1738578959,1398.33,1400.00,10856
1738579019,1398.33,1399.30,10888
1738579079,1398.33,1397.60,10890
1738579139,1398.33,1397.00,10910
1738579198,1398.33,1396.70,10911
1738579259,1398.33,1396.70,10911
1738579319,1398.33,1394.90,10938
1738579379,1398.28,1396.00,11082
1738579439,1398.28,1395.65,11083
1738579499,1398.28,1395.65,11083
1738579559,1398.23,1396.00,11351
1738579619,1398.23,1396.45,11357
1738579679,1398.23,1398.60,11453
1738579739,1398.23,1398.60,11453
1738579799,1398.23,1400.00,11468
1738579859,1398.23,1400.00,11473
1738579919,1398.24,1400.00,11530
1738579979,1398.30,1403.55,11825
1738580039,1398.30,1399.45,11837
1738580099,1398.30,1396.75,11838
1738580159,1398.30,1398.00,11965
1738580219,1398.30,1398.10,11979
1738580279,1398.30,1398.10,11979
1738580339,1398.30,1398.10,11979
1738580398,1398.30,1398.55,12004
1738580459,1398.30,1400.00,12006
1738580519,1398.31,1399.95,12036
1738580579,1398.38,1400.90,12374
1738580639,1398.38,1399.25,12410
1738580699,1398.38,1398.90,12420
1738580759,1398.38,1398.90,12420
1738580819,1398.38,1396.35,12438
1738580879,1398.37,1395.00,12504
1738580939,1398.34,1391.90,12555
1738580999,1398.33,1394.85,12607
1738581059,1398.33,1394.85,12607
1738581119,1398.32,1395.00,12615
1738581179,1398.31,1393.80,12641
1738581239,1398.31,1393.80,12641
1738581299,1398.26,1394.75,12770
1738581359,1398.26,1398.00,12771
1738581418,1398.26,1398.00,12771
1738581479,1398.26,1398.00,12774
1738581537,1398.26,1398.00,12774
1738581599,1398.26,1398.00,12774
1738581659,1398.26,1398.00,12774
1738581719,1398.26,1396.00,12784
1738581779,1398.26,1395.45,12785
1738581839,1398.25,1392.45,12802
1738581899,1398.25,1394.05,12803
1738581959,1398.24,1396.00,12837
1738582018,1398.21,1393.05,12944
1738582079,1398.21,1393.05,12944
1738582139,1398.15,1390.00,13052
1738582198,1398.10,1387.00,13118
1738582259,1398.09,1388.70,13120
1738582319,1398.09,1388.70,13120
1738582379,1398.09,1389.05,13125
1738582439,1398.06,1388.20,13168
1738582499,1398.06,1388.40,13169
1738582559,1398.01,1388.85,13243
1738582619,1397.97,1391.05,13318
1738582679,1397.95,1391.25,13346
1738582739,1397.91,1385.90,13451
1738582799,1397.89,1385.60,13468
1738582859,1397.89,1386.35,13478
1738582919,1397.87,1384.75,13493
1738582977,1397.87,1384.75,13493
1738583039,1395.97,1388.45,16538
1738583099,1395.96,1395.00,16577
1738583159,1395.96,1393.65,16579
1738583219,1395.96,1397.05,16725
1738583279,1395.96,1396.00,16735
1738583339,1395.96,1396.00,16735
1738583399,1395.93,1393.35,17012
1738583459,1395.92,1392.30,17022
1738583519,1395.92,1391.80,17030
1738583579,1395.92,1391.80,17030
1738583639,1395.92,1391.80,17030
1738583699,1395.92,1394.55,17060
1738583759,1395.92,1396.00,17105
1738583819,1395.92,1394.35,17113
1738583879,1395.92,1394.35,17113
1738583938,1395.92,1394.35,17113
1738583999,1395.92,1396.00,17133
1738584059,1395.92,1397.10,17135
1738584119,1395.92,1395.75,17137
1738584179,1395.92,1397.90,17198
1738584237,1395.90,1394.75,17782
1738584299,1395.90,1394.75,17782
1738584359,1395.90,1397.40,17797
1738584419,1395.90,1397.20,17832
1738584479,1395.90,1397.20,17832
1738584539,1395.90,1395.65,17848
1738584599,1395.90,1395.20,17886
1738584659,1395.90,1396.00,17895
1738584719,1395.90,1398.10,17918
1738584779,1395.90,1398.10,17918
1738584838,1395.92,1398.00,18034
1738584899,1395.94,1398.00,18150
1738584958,1395.94,1398.00,18169
1738585019,1395.95,1398.00,18193
1738585079,1395.95,1398.00,18193
1738585139,1395.95,1398.00,18193
1738585196,1395.95,1396.00,18203
1738585259,1395.95,1397.55,18204
1738585319,1395.95,1395.25,18207
1738585379,1395.95,1395.25,18207
1738585437,1395.95,1394.60,18209
1738585499,1395.94,1393.50,18249
1738585559,1395.94,1393.50,18249
1738585619,1395.94,1395.00,18251
1738585679,1395.94,1396.00,18323
1738585739,1395.94,1396.00,18323
1738585799,1395.94,1396.00,18323
1738585858,1395.94,1396.00,18323
1738585919,1395.94,1396.00,18323
1738585978,1395.94,1396.00,18323
1738586039,1395.94,1393.50,18331
1738586099,1395.94,1393.50,18331
1738586159,1395.94,1395.80,18339
1738586219,1395.94,1395.80,18339
