t,ap,cp,v
1738573634,492.20,492.20,102
1738573740,492.20,492.20,102
1738574159,492.10,493.65,1782
1738574219,492.88,494.40,3101
1738574279,493.18,492.75,4358
1738574339,493.22,494.20,4569
1738574399,493.32,493.80,5214
1738574459,493.33,493.80,5281
1738574519,493.38,494.25,5423
1738574579,493.38,494.20,5430
1738574639,493.38,494.20,5430
1738574697,493.38,494.40,5454
1738574759,493.41,494.30,5638
1738574819,493.48,495.45,5855
1738574879,493.55,495.35,6110
1738574939,493.80,496.90,6689
1738574999,493.87,495.90,6892
1738575059,493.88,495.50,6936
1738575119,493.97,496.90,7312
1738575179,493.97,494.90,7332
1738575239,493.97,494.60,7340
1738575297,493.98,493.90,7404
1738575359,493.98,493.60,7408
1738575419,494.00,494.20,8331
1738575479,494.00,493.60,8384
1738575539,493.94,492.40,8915
1738575599,493.87,492.60,9416
1738575659,493.89,494.75,9582
1738575719,493.89,494.40,9634
1738575779,493.89,494.40,9634
1738575839,493.91,495.35,9768
1738575899,493.91,494.55,9781
1738575959,493.94,495.10,9999
1738576017,493.94,495.70,10015
1738576079,493.96,493.65,10156
1738576139,493.96,493.05,10188
1738576199,493.96,493.05,10188
1738576259,493.96,493.65,10256
1738576319,493.96,493.65,10256
1738576378,493.94,492.15,10356
1738576439,493.93,493.25,10413
1738576499,493.93,493.75,10424
1738576559,493.93,493.55,10461
1738576619,493.93,494.10,10514
1738576679,493.93,494.10,10514
1738576739,493.93,493.20,10515
1738576799,493.93,493.20,10515
1738576859,493.93,494.25,10516
1738576919,493.93,493.80,10537
1738576979,493.93,493.80,10537
1738577039,493.93,493.70,10540
1738577099,493.93,493.35,10570
1738577159,493.93,493.35,10570
1738577219,493.93,492.60,10631
1738577279,493.31,489.40,12778
1738577338,493.28,488.90,12864
1738577399,493.28,488.95,12875
1738577459,493.21,490.25,13194
1738577519,493.21,490.25,13194
1738577579,493.15,487.05,13358
1738577639,493.14,487.25,13367
1738577699,493.14,487.00,13372
