t,ap,cp,v
1738573670,277.35,277.35,19576
1738573736,277.35,277.35,19576
1738573740,277.35,277.35,19576
1738574011,277.35,277.35,19576
1738574080,277.35,277.35,19576
1738574159,273.29,273.10,177841
1738574219,273.01,271.50,237387
1738574279,272.89,272.20,270962
1738574337,272.83,272.15,301936
1738574399,272.86,273.20,319570
1738574459,272.90,273.05,355295
1738574519,272.86,272.80,376487
1738574579,272.87,272.45,395678
1738574639,272.79,271.75,436917
1738574699,272.74,272.05,459636
1738574759,272.72,272.70,472562
1738574819,272.75,273.95,494054
1738574879,272.79,273.35,512621
1738574939,272.78,272.00,528533
1738574999,272.76,271.70,539357
1738575059,272.58,269.80,585980
1738575119,272.44,270.10,615613
1738575179,272.41,269.70,622303
1738575239,272.32,268.50,639512
1738575299,272.23,268.25,654430
1738575359,272.13,268.50,671453
1738575419,272.04,267.90,687175
1738575479,271.93,267.30,703995
1738575539,271.86,267.30,714432
1738575599,271.71,266.10,734958
1738575659,271.63,267.00,746497
1738575719,271.41,266.00,778743
1738575779,271.22,265.90,805046
1738575839,271.14,265.65,815926
1738575899,270.80,265.05,866069
1738575959,270.70,264.65,880583
1738576019,270.64,265.60,890743
1738576079,270.52,265.65,911643
1738576139,270.47,265.70,919446
1738576197,270.35,264.00,938227
1738576259,270.25,265.05,956002
1738576319,270.15,264.70,972972
1738576379,270.08,264.90,985904
1738576439,270.05,265.30,991840
1738576499,270.02,265.30,998695
1738576559,269.91,264.55,1020634
1738576619,269.87,264.95,1026886
1738576679,269.83,264.30,1036353
1738576739,269.68,264.20,1062424
1738576799,269.56,264.40,1084996
1738576859,269.47,264.15,1104298
1738576919,269.40,264.95,1119892
1738576979,269.37,264.45,1129046
1738577039,269.33,264.55,1136259
1738577099,269.31,264.35,1140950
1738577159,269.26,264.50,1154387
1738577219,269.23,265.75,1160952
1738577279,269.18,265.90,1180972
1738577339,269.14,265.85,1191847
1738577399,269.13,265.00,1196654
1738577459,269.05,266.65,1226568
1738577519,269.02,267.00,1244088
1738577579,268.99,267.45,1264837
1738577639,268.97,268.15,1279521
1738577699,268.96,267.90,1292128
1738577759,268.94,266.30,1305481
1738577819,268.91,265.70,1320723
1738577879,268.82,266.35,1365888
1738577939,268.80,266.80,1373131
1738577999,268.79,266.90,1381117
1738578059,268.79,266.70,1386547
1738578119,268.78,266.80,1393105
1738578179,268.77,267.15,1399354
1738578239,268.76,266.95,1405269
1738578299,268.76,267.00,1409610
1738578359,268.75,267.00,1417014
1738578419,268.73,267.00,1434004
1738578479,268.72,266.55,1437318
1738578539,268.72,266.75,1439956
1738578599,268.70,267.00,1449485
1738578659,268.67,266.90,1474503
1738578719,268.67,267.00,1477607
1738578779,268.64,266.75,1497086
1738578839,268.63,267.25,1503383
1738578899,268.63,267.50,1507060
1738578959,268.63,267.95,1514218
1738579019,268.62,267.30,1523241
1738579079,268.61,267.10,1531950
1738579139,268.61,267.15,1535702
1738579199,268.60,267.10,1542370
1738579259,268.60,267.05,1544948
1738579319,268.59,267.05,1548654
1738579379,268.59,267.70,1552470
1738579439,268.59,267.90,1559178
1738579499,268.58,268.10,1572302
1738579559,268.58,267.80,1576652
1738579619,268.58,268.60,1583971
1738579679,268.58,268.95,1588320
1738579739,268.58,268.90,1590475
1738579799,268.58,268.90,1596038
1738579859,268.58,268.80,1597354
1738579919,268.58,268.45,1601962
1738579979,268.58,267.55,1605779
1738580039,268.57,266.95,1611915
1738580099,268.55,267.05,1647942
1738580159,268.54,267.00,1653230
1738580219,268.54,267.15,1655486
1738580279,268.54,267.25,1658140
1738580339,268.53,268.00,1671622
1738580399,268.53,268.50,1673472
1738580459,268.53,268.70,1677615
1738580519,268.53,268.10,1678641
1738580579,268.53,268.00,1682135
1738580639,268.53,267.90,1686092
1738580699,268.53,267.70,1687566
1738580759,268.52,267.70,1689029
1738580819,268.52,267.95,1690896
1738580879,268.52,267.95,1695463
1738580939,268.52,267.80,1698027
1738580999,268.52,267.90,1701462
1738581059,268.52,268.20,1703111
1738581119,268.52,268.10,1706294
1738581179,268.51,267.75,1722981
1738581239,268.51,268.10,1726262
1738581299,268.51,268.10,1727439
1738581359,268.51,268.10,1728728
1738581419,268.51,267.75,1734947
1738581479,268.51,268.55,1771558
1738581537,268.51,268.25,1772062
1738581599,268.51,268.20,1773618
1738581659,268.50,268.55,1816937
1738581719,268.50,268.55,1820769
1738581779,268.50,268.00,1823278
1738581839,268.50,268.00,1827201
1738581899,268.50,268.45,1831079
1738581959,268.50,268.05,1834035
1738582019,268.50,268.50,1834459
1738582079,268.50,268.05,1836498
1738582139,268.50,267.85,1840864
1738582199,268.50,268.00,1842428
1738582259,268.50,268.50,1852584
1738582319,268.50,268.50,1854087
1738582379,268.50,268.60,1854592
1738582439,268.50,268.60,1855728
1738582499,268.50,268.05,1858700
1738582559,268.49,268.05,1859994
1738582619,268.49,267.90,1863379
1738582679,268.49,268.00,1864639
1738582739,268.49,267.40,1870378
1738582799,268.49,267.00,1877555
1738582859,268.48,267.40,1884766
1738582919,268.47,267.50,1891949
1738582979,268.47,267.65,1894010
1738583039,268.47,267.90,1896713
1738583099,268.47,268.15,1900110
1738583159,268.47,268.50,1905331
1738583219,268.47,268.40,1906403
1738583279,268.47,268.45,1911263
1738583339,268.47,268.85,1913278
1738583399,268.47,269.00,1924334
1738583459,268.48,268.75,1931749
1738583519,268.48,268.70,1932579
1738583579,268.48,268.70,1934055
1738583639,268.48,268.80,1936088
1738583699,268.48,268.80,1937299
1738583759,268.48,269.20,1937797
1738583819,268.48,269.45,1941175
1738583879,268.48,269.45,1942601
1738583939,268.48,269.45,1943154
1738583999,268.48,269.35,1943797
1738584059,268.49,269.75,1955333
1738584119,268.51,269.50,2001743
1738584179,268.58,269.85,2128825
1738584237,268.59,269.45,2144737
1738584299,268.59,269.45,2146115
1738584359,268.59,269.30,2149062
1738584419,268.59,269.45,2151506
1738584479,268.59,269.05,2152983
1738584539,268.59,268.85,2154623
1738584599,268.59,268.85,2155676
1738584659,268.59,268.70,2157661
1738584719,268.60,269.00,2160557
1738584779,268.60,268.75,2161626
1738584838,268.60,268.95,2163231
1738584899,268.60,268.95,2163817
1738584959,268.60,268.90,2165777
1738585019,268.60,269.20,2169896
1738585079,268.60,269.00,2170884
1738585139,268.60,268.75,2171842
1738585199,268.60,268.40,2173814
1738585259,268.60,268.35,2174955
1738585319,268.60,268.10,2181342
1738585379,268.59,268.00,2184497
1738585439,268.59,268.30,2184764
1738585499,268.59,268.00,2185338
1738585559,268.59,268.20,2187638
1738585619,268.59,268.25,2189229
1738585679,268.59,268.85,2204736
1738585739,268.59,268.75,2210531
1738585799,268.59,268.40,2216725
1738585859,268.59,268.65,2220425
1738585919,268.59,268.60,2223070
1738585979,268.59,268.85,2224645
1738586039,268.59,268.50,2226710
1738586099,268.59,268.25,2228111
1738586159,268.59,268.10,2230379
1738586219,268.59,268.30,2232158
1738586279,268.59,268.25,2234063
1738586339,268.59,268.10,2234840
1738586399,268.59,268.15,2235200
1738586458,268.59,268.30,2235592
1738586519,268.59,268.25,2237633
1738586579,268.59,268.20,2239711
1738586639,268.59,268.05,2242017
1738586699,268.59,267.75,2243888
1738586759,268.59,267.85,2247325
1738586819,268.59,267.85,2249149
1738586879,268.59,267.75,2250095
1738586939,268.58,268.20,2263533
1738586999,268.58,267.75,2266673
1738587059,268.58,267.70,2269145
1738587119,268.58,267.55,2270061
1738587179,268.58,267.55,2270406
1738587239,268.58,267.55,2274267
1738587299,268.58,267.50,2274701
1738587359,268.58,267.55,2278256
1738587419,268.58,267.95,2280576
1738587479,268.57,267.85,2286643
1738587539,268.57,267.75,2287485
1738587599,268.57,267.95,2294071
1738587659,268.57,268.20,2294326
1738587719,268.57,268.05,2294784
1738587779,268.57,268.25,2295009
1738587839,268.57,269.75,2303221
1738587899,268.58,269.30,2305237
1738587959,268.58,269.00,2308113
1738588019,268.58,268.80,2308907
1738588079,268.58,269.00,2310913
1738588139,268.58,269.10,2312519
1738588199,268.58,269.40,2317370
1738588259,268.58,268.95,2318354
1738588319,268.58,269.00,2319184
1738588379,268.58,269.65,2323046
1738588439,268.59,270.20,2342353
1738588499,268.59,270.20,2344572
1738588559,268.59,269.75,2346309
1738588619,268.60,270.25,2350515
1738588679,268.60,270.30,2352391
1738588739,268.60,270.25,2353644
1738588799,268.60,269.65,2354487
1738588859,268.60,270.20,2355071
1738588919,268.60,270.20,2356838
1738588979,268.60,269.90,2357719
1738589039,268.60,270.10,2357994
1738589099,268.60,270.10,2358500
1738589159,268.60,269.65,2364801
1738589219,268.60,269.55,2365411
1738589279,268.60,269.45,2365999
1738589339,268.60,269.20,2366926
1738589399,268.61,269.55,2370487
1738589459,268.61,269.55,2370736
1738589519,268.61,269.25,2370961
1738589579,268.61,269.85,2378894
1738589639,268.61,270.00,2381723
1738589699,268.61,270.05,2385938
1738589759,268.61,270.05,2386556
1738589819,268.62,270.10,2388301
1738589879,268.62,270.20,2390904
1738589939,268.62,270.35,2393115
1738589999,268.62,270.40,2393866
1738590059,268.62,270.95,2397574
1738590119,268.63,270.95,2407480
1738590179,268.64,271.00,2414606
1738590239,268.64,270.95,2420371
1738590299,268.65,271.25,2424642
1738590359,268.66,271.35,2436756
1738590419,268.67,271.50,2440016
1738590479,268.67,271.75,2444192
1738590539,268.67,271.25,2447455
1738590599,268.68,271.20,2451537
1738590659,268.68,271.15,2452123
1738590719,268.68,270.65,2453847
1738590779,268.68,269.95,2459837
1738590839,268.69,270.20,2464593
1738590899,268.69,270.15,2467838
1738590959,268.70,270.35,2482919
1738591019,268.70,270.25,2484643
1738591079,268.70,270.35,2487153
1738591139,268.70,270.25,2487401
1738591199,268.70,270.30,2487633
1738591259,268.70,270.55,2488291
1738591319,268.70,270.70,2490707
1738591379,268.70,271.10,2493020
1738591439,268.71,271.05,2493672
1738591499,268.71,271.25,2494417
1738591559,268.71,271.15,2495627
1738591619,268.71,271.55,2496987
1738591679,268.71,271.40,2499181
1738591739,268.71,271.40,2500273
1738591799,268.72,271.35,2503628
1738591859,268.72,271.25,2506390
1738591919,268.72,271.15,2508358
1738591979,268.72,271.10,2509190
1738592039,268.72,271.05,2512614
1738592099,268.72,271.20,2512991
1738592159,268.73,271.75,2518295
1738592219,268.73,271.85,2521115
1738592279,268.73,271.65,2521527
1738592339,268.74,271.70,2523951
1738592399,268.74,271.60,2524432
1738592459,268.74,271.50,2525277
1738592519,268.74,271.50,2528387
1738592579,268.75,271.75,2533670
1738592639,268.75,271.80,2535347
1738592699,268.75,271.95,2537367
1738592759,268.76,272.10,2544272
1738592819,268.76,272.25,2546974
1738592879,268.77,271.85,2549317
1738592939,268.77,272.15,2550654
1738592999,268.77,272.05,2554536
1738593058,268.78,271.30,2557723
1738593119,268.78,271.45,2559499
1738593179,268.78,271.40,2561518
1738593239,268.80,272.00,2578890
1738593299,268.81,271.95,2583984
1738593359,268.82,272.30,2592197
1738593419,268.82,272.30,2593030
1738593479,268.83,272.40,2603243
1738593539,268.84,272.50,2606446
1738593599,268.84,272.15,2607073
1738593659,268.84,272.25,2607823
1738593719,268.84,272.25,2608836
1738593779,268.84,272.10,2609552
1738593839,268.84,272.30,2612191
1738593899,268.85,272.30,2613716
1738593959,268.86,272.75,2622663
1738594019,268.86,272.45,2623680
1738594079,268.86,272.10,2625856
1738594139,268.87,271.40,2630996
1738594199,268.87,271.20,2632451
1738594259,268.87,271.55,2634017
1738594319,268.88,271.60,2641440
1738594379,268.88,271.70,2644494
1738594439,268.89,272.15,2654566
1738594499,268.89,272.45,2655968
1738594559,268.89,272.15,2656512
1738594618,268.90,272.25,2656863
1738594678,268.90,272.15,2657830
1738594739,268.90,272.15,2662597
1738594799,268.90,272.45,2664045
1738594859,268.91,272.75,2670170
1738594919,268.91,272.75,2671764
1738594979,268.93,273.00,2680231
1738595039,268.94,273.10,2691178
1738595099,268.95,273.95,2696207
1738595159,268.96,273.80,2701656
1738595219,268.99,274.10,2719495
1738595279,269.01,274.25,2726806
1738595339,269.02,274.40,2731449
1738595397,269.03,274.40,2736549
1738595459,269.06,274.60,2752134
1738595519,269.06,274.55,2753158
1738595579,269.07,274.65,2759124
1738595639,269.08,274.70,2764490
1738595699,269.11,274.55,2778987
1738595759,269.15,274.35,2799275
1738595819,269.16,274.20,2804377
1738595877,269.17,274.00,2810465
1738595939,269.18,274.10,2816377
1738595999,269.19,274.30,2821693
1738596058,269.19,274.80,2823915
1738596119,269.20,274.70,2825600
1738596179,269.20,274.40,2827077
1738596239,269.21,274.50,2833173
1738596299,269.22,274.10,2836603
1738596359,269.22,274.05,2838206
1738596419,269.22,273.75,2839904
1738596479,269.23,274.00,2843132
1738596539,269.23,273.95,2847247
1738596599,269.25,273.60,2855567
1738596636,269.25,273.60,2855567
1738596716,269.25,273.60,2855567
1738596738,269.25,273.60,2855567
1738597172,269.25,273.60,2855567
1738597240,269.25,274.05,2855592
1738597273,269.25,274.05,2855622
1738597374,269.25,274.05,2855645
1738597399,269.25,274.05,2855655
1738597444,269.25,274.05,2855657
1738597559,269.25,274.05,2855659
