t,ap,cp,v
1738573635,198.05,198.05,8337
1738573741,198.05,198.05,8337
1738573837,198.05,198.05,8337
1738574159,195.84,194.20,28432
1738574219,195.44,193.70,41393
1738574279,195.13,194.00,53520
1738574339,195.05,194.20,57982
1738574399,195.01,194.45,63909
1738574459,194.92,194.00,73195
1738574519,194.79,193.80,86046
1738574579,194.75,194.30,94248
1738574639,194.73,194.20,98113
1738574699,194.72,194.30,100312
1738574759,194.72,195.40,113596
1738574819,194.78,196.35,120615
1738574879,194.90,196.20,131613
1738574939,194.91,195.50,132468
1738574999,194.94,195.60,138320
1738575059,194.89,194.20,156984
1738575119,194.86,194.30,162760
1738575179,194.84,193.80,167938
1738575239,194.72,192.55,180018
1738575299,194.69,193.10,183666
1738575359,194.65,192.80,188057
1738575419,194.58,192.40,193891
1738575479,194.49,192.10,201044
1738575539,194.47,191.75,203007
1738575599,194.26,190.75,216503
1738575659,194.22,191.40,219612
1738575719,194.10,191.20,228347
1738575779,194.06,191.75,232119
1738575839,194.02,191.45,235674
1738575899,194.00,191.30,237728
1738575959,193.94,191.00,242130
1738576016,193.92,191.55,244582
1738576079,193.91,191.50,245457
1738576139,193.90,191.10,246286
1738576199,193.84,190.30,250726
1738576259,193.79,190.85,254309
1738576319,193.76,190.90,256899
1738576379,193.74,190.65,258859
1738576439,193.73,190.70,259461
1738576499,193.66,191.05,266069
1738576559,193.62,190.80,270355
1738576619,193.61,191.40,271748
1738576679,193.59,191.00,273194
1738576739,193.55,191.00,276916
1738576799,193.55,191.35,277575
1738576859,193.53,191.00,279093
1738576919,193.52,191.60,280948
1738576979,193.51,191.05,282159
1738577039,193.50,191.15,284204
1738577099,193.48,191.10,285431
1738577159,193.48,191.35,286040
1738577219,193.47,191.70,287900
1738577279,193.45,191.55,290383
1738577338,193.44,191.55,291514
1738577399,193.44,191.20,292499
1738577459,193.43,191.45,293864
1738577519,193.42,191.65,295093
1738577579,193.40,191.60,298126
1738577639,193.38,192.30,302338
1738577699,193.38,192.45,304171
1738577759,193.34,191.50,312145
1738577819,193.32,191.25,315063
1738577879,193.32,191.85,315323
1738577939,193.31,191.60,317050
1738577999,193.30,191.30,318137
1738578059,193.26,191.30,324880
1738578119,193.26,191.60,325777
1738578179,193.25,191.80,326161
1738578239,193.22,191.75,334467
1738578299,193.21,191.25,335632
1738578359,193.21,191.40,336309
1738578419,193.16,190.95,343251
1738578479,193.14,190.95,346194
1738578539,193.12,190.80,349997
1738578599,193.08,190.75,354998
1738578659,193.08,191.05,355381
1738578719,193.08,191.45,356266
1738578779,193.05,190.95,359692
1738578839,193.05,191.25,359788
1738578898,193.05,191.30,360266
1738578959,193.04,191.40,361973
1738579019,193.04,191.30,362306
1738579079,193.03,190.85,364570
1738579139,193.00,190.75,369367
1738579199,192.99,190.85,370325
1738579259,192.99,190.80,371191
1738579319,192.99,191.00,371525
1738579379,192.98,191.25,372039
1738579439,192.98,191.30,372516
1738579499,192.95,191.65,379694
1738579559,192.93,192.15,386032
1738579619,192.93,192.35,388269
1738579679,192.92,192.15,391130
1738579739,192.92,192.45,392273
1738579799,192.91,191.80,396847
1738579859,192.91,191.75,397211
1738579919,192.90,191.90,400635
1738579979,192.90,191.60,401359
1738580039,192.90,191.05,401951
1738580099,192.89,191.35,402752
1738580159,192.89,191.40,403698
1738580219,192.89,191.10,403858
1738580279,192.89,191.45,404569
1738580339,192.89,191.75,404737
1738580399,192.88,191.50,405785
1738580459,192.88,191.50,406758
1738580519,192.88,191.60,406857
1738580579,192.88,191.45,407523
1738580639,192.88,191.50,407799
1738580699,192.87,191.65,408908
1738580759,192.87,191.45,409358
1738580819,192.87,191.55,410325
1738580879,192.87,191.70,411130
1738580939,192.85,191.85,415612
1738580999,192.85,191.65,415720
1738581059,192.83,191.95,422920
1738581119,192.83,192.40,424445
1738581179,192.83,191.80,424934
1738581239,192.83,192.35,425454
1738581299,192.82,192.50,426124
1738581359,192.82,192.75,427351
1738581419,192.83,193.50,433363
1738581479,192.83,193.65,436147
1738581539,192.83,193.00,437386
1738581599,192.83,193.20,437573
1738581659,192.83,193.00,437688
1738581719,192.83,193.20,437765
1738581779,192.83,192.40,440817
1738581839,192.83,192.00,442563
1738581899,192.82,191.80,446418
1738581959,192.82,191.90,446600
1738582019,192.82,191.80,447488
1738582079,192.82,191.70,448106
1738582139,192.80,191.00,455390
1738582198,192.74,190.95,469321
1738582259,192.73,191.05,470148
1738582319,192.73,190.95,470592
1738582379,192.70,190.75,478262
1738582439,192.70,190.65,478420
1738582499,192.69,190.55,479534
1738582559,192.69,190.55,479735
1738582619,192.69,190.50,481390
1738582679,192.68,190.30,482438
1738582739,192.59,190.00,499461
1738582799,192.58,189.80,501862
1738582859,192.57,189.90,502471
1738582919,192.56,190.00,505151
1738582979,192.54,190.10,509248
1738583039,192.54,190.05,509876
1738583099,192.54,190.10,509898
1738583159,192.54,190.35,510066
1738583219,192.54,190.40,510331
1738583279,192.53,191.00,510492
