t,ap,cp,v
1738573636,362.25,362.25,1696
1738573682,362.25,362.25,1696
1738573740,362.25,362.25,1696
1738573901,362.25,362.25,1696
1738573967,362.25,362.25,1696
1738574159,362.86,362.10,11332
1738574219,362.78,362.15,12205
1738574279,362.75,362.05,13000
1738574337,362.69,362.80,14239
1738574399,362.60,360.45,15595
1738574459,362.52,361.10,16269
1738574519,362.50,361.45,16481
1738574578,362.48,362.35,17303
1738574639,362.45,362.15,18373
1738574699,362.45,362.10,19373
1738574759,362.47,362.90,20729
1738574819,362.78,365.55,23919
1738574879,362.79,364.60,24155
1738574939,362.88,365.15,25129
1738574999,362.93,365.75,25637
1738575059,362.93,365.65,25640
1738575119,363.02,366.55,26370
1738575179,363.12,365.70,27226
1738575239,363.15,365.40,27664
1738575299,363.34,365.20,33448
1738575359,363.39,364.40,34898
1738575419,363.42,364.20,36125
1738575479,363.42,363.85,36184
1738575539,363.42,363.05,37316
1738575599,363.41,362.75,37707
1738575659,363.41,363.50,38422
1738575716,363.41,363.20,38460
1738575779,363.41,364.00,38798
1738575839,363.43,365.45,39319
1738575899,363.45,364.90,39740
1738575959,363.48,366.60,40397
1738576019,363.57,366.55,41519
1738576079,363.58,365.85,41547
1738576139,363.59,364.50,42160
1738576199,363.60,363.85,42655
1738576259,363.60,365.40,43095
1738576319,363.64,365.15,43811
1738576379,363.64,365.95,43823
1738576439,363.66,365.80,44299
1738576499,363.66,365.80,44299
1738576559,363.68,365.80,44758
1738576619,363.68,365.35,44765
1738576679,363.69,365.25,45085
1738576739,363.69,364.85,45174
1738576799,363.72,365.35,46041
1738576859,363.74,365.10,46565
1738576919,363.75,365.30,46753
1738576979,363.75,365.00,46903
1738577039,363.75,364.60,46974
1738577099,363.76,365.25,47104
1738577159,363.76,365.50,47207
1738577219,363.76,365.55,47315
1738577279,363.76,365.55,47315
1738577339,363.76,366.05,47344
1738577399,363.77,365.75,47347
1738577459,363.77,366.45,47496
1738577519,363.78,366.60,47550
1738577579,363.78,366.70,47555
1738577639,363.78,367.00,47667
1738577699,363.79,366.25,47736
1738577758,363.79,366.25,47766
1738577818,363.81,367.35,48114
1738577879,363.81,367.70,48116
1738577938,363.81,367.05,48128
1738577999,363.81,367.05,48128
1738578059,363.82,366.25,48264
1738578116,363.84,366.35,48567
1738578179,363.87,366.60,49189
1738578239,363.87,367.30,49202
1738578297,363.90,366.20,49547
1738578359,363.90,366.20,49547
1738578419,363.91,365.65,49870
1738578479,363.91,365.65,50022
1738578537,363.91,366.30,50024
1738578599,363.92,364.95,50180
1738578659,363.92,365.05,50227
1738578719,363.93,365.35,50472
1738578779,363.93,364.55,50494
1738578839,363.93,364.55,50540
1738578899,363.93,364.00,50959
1738578959,363.93,364.35,51113
1738579019,363.93,363.95,51231
1738579079,363.92,362.55,51774
1738579139,363.92,362.55,51774
1738579199,363.92,361.65,51848
