t,ap,cp,v
1738573731,436.00,436.00,134
1738573741,436.00,436.00,134
1738574012,436.00,436.00,134
1738574159,431.63,431.95,1021
1738574219,431.42,429.50,1496
1738574278,431.32,429.65,1566
1738574339,430.10,429.70,3541
1738574397,429.93,429.85,5039
1738574459,429.83,428.90,5628
1738574519,429.29,428.05,7964
1738574579,429.25,428.05,8232
1738574639,429.64,432.15,10831
1738574698,429.79,431.30,11641
1738574759,430.42,433.65,14596
1738574819,431.22,434.85,17449
1738574879,431.41,434.90,18376
1738574939,431.78,434.65,20736
1738574999,431.87,435.00,21387
1738575059,431.91,433.00,21828
1738575119,431.93,432.10,22360
1738575179,431.94,432.50,22439
1738575238,431.94,430.85,22584
1738575299,431.94,431.95,22586
1738575359,431.92,431.10,23200
1738575419,431.92,431.10,23200
1738575479,431.92,431.05,23216
1738575536,431.90,430.60,23466
1738575598,431.89,431.30,23984
1738575659,431.88,431.65,24490
1738575719,431.88,431.65,24490
1738575779,431.89,433.90,25014
1738575839,431.89,433.55,25070
1738575899,431.90,432.35,25349
1738575956,431.89,431.00,25617
1738576018,431.89,431.00,25617
1738576079,431.90,432.50,27372
1738576139,431.90,432.50,27372
1738576199,431.90,432.50,27372
1738576259,431.89,431.65,28083
1738576319,431.89,431.60,28147
1738576379,431.89,431.60,28147
1738576437,431.89,430.00,28197
1738576498,431.89,430.55,28202
1738576559,431.89,431.00,28206
1738576619,431.88,431.55,28938
1738576678,431.88,431.55,28938
1738576739,431.88,431.10,28942
1738576798,431.88,431.10,28942
1738576859,431.88,432.30,29005
1738576919,431.89,432.80,29085
1738576978,431.89,432.15,29134
1738577038,431.89,432.15,29134
1738577099,431.89,432.15,29134
1738577158,431.89,431.00,29135
1738577218,431.88,430.85,29220
1738577279,431.88,432.15,29232
1738577337,431.88,432.15,29232
1738577398,431.88,432.15,29239
1738577459,431.88,432.15,29239
1738577517,431.92,433.25,29963
1738577578,431.92,433.45,30131
1738577637,431.93,433.35,30181
1738577699,432.01,433.95,31596
1738577759,432.01,433.00,31603
1738577819,432.01,433.00,31603
1738577876,432.02,433.75,31673
1738577939,432.02,433.75,31673
1738577999,432.02,433.70,31723
1738578059,432.02,433.70,31723
1738578119,432.02,433.70,31723
1738578179,432.02,433.70,31723
1738578239,432.02,433.70,31723
1738578299,432.03,434.05,31953
1738578358,432.04,432.80,32052
1738578418,432.04,432.60,32066
1738578479,432.04,432.60,32159
1738578535,432.04,432.75,32185
1738578599,432.04,432.05,32385
1738578659,432.04,432.05,32385
1738578715,432.04,432.05,32385
1738578779,432.04,431.95,32521
1738578832,432.04,431.85,32561
1738578897,432.04,433.25,32635
1738578959,432.04,433.25,32635
1738579019,432.04,433.30,32735
1738579079,432.04,434.15,32736
1738579139,432.04,434.15,32736
1738579198,432.06,433.70,32982
1738579258,432.06,432.85,32997
1738579319,432.06,432.85,32997
1738579374,432.06,433.40,33097
1738579439,432.06,433.40,33097
1738579499,432.06,433.40,33097
1738579559,432.07,435.05,33167
1738579617,432.08,434.45,33367
1738579679,432.08,434.45,33367
1738579739,432.08,434.05,33377
1738579799,432.08,434.05,33377
1738579857,432.08,434.05,33377
1738579919,432.26,436.00,35267
1738579979,432.28,436.45,35415
1738580037,432.28,436.45,35415
1738580097,432.28,436.45,35415
1738580156,432.33,435.65,35922
1738580219,432.33,435.65,35922
1738580279,432.34,435.25,35992
1738580339,432.46,436.45,37097
1738580398,432.46,436.45,37097
1738580458,432.47,436.60,37197
1738580519,432.47,436.40,37200
1738580578,432.47,436.40,37200
1738580639,432.47,436.40,37200
1738580699,432.47,436.40,37200
1738580759,432.47,435.40,37205
1738580819,432.47,435.40,37205
1738580879,432.47,435.40,37205
1738580939,432.47,435.40,37205
1738580998,432.47,436.20,37210
1738581059,432.47,436.05,37262
1738581119,432.47,436.05,37267
1738581179,432.47,436.05,37267
1738581239,432.48,436.35,37297
1738581299,432.49,436.50,37470
1738581359,432.49,436.50,37470
1738581418,432.62,437.75,38554
1738581479,432.70,438.55,39054
1738581537,432.71,438.20,39130
1738581599,432.71,437.80,39180
1738581659,432.71,437.80,39180
1738581719,432.71,436.60,39190
1738581779,432.71,436.00,39192
1738581838,432.72,435.65,39297
1738581898,432.72,435.65,39297
1738581959,432.72,435.65,39297
1738582018,432.72,435.65,39297
1738582079,432.76,435.35,39884
1738582138,432.78,435.00,40172
1738582198,432.78,435.00,40172
1738582259,432.78,434.85,40272
1738582318,432.78,434.85,40272
1738582372,432.79,434.80,40372
1738582438,432.79,434.80,40372
1738582499,432.79,434.15,40476
1738582557,432.79,434.15,40476
1738582619,432.79,434.15,40476
1738582679,432.79,434.15,40476
1738582738,432.79,434.00,40563
1738582796,432.80,433.70,40634
1738582859,432.80,433.70,40638
1738582919,432.80,434.15,40658
1738582979,432.80,434.15,40658
1738583038,432.80,434.00,40709
1738583099,432.80,434.00,40709
1738583156,432.80,434.00,40709
1738583216,432.80,434.00,40709
1738583278,432.80,434.00,40709
1738583339,432.80,434.00,40709
1738583399,432.80,434.00,40709
1738583459,432.80,434.00,40709
1738583516,432.80,434.80,40710
1738583576,432.80,434.80,40710
1738583637,432.80,434.80,40710
1738583699,432.80,434.80,40710
1738583758,432.80,434.80,40710
1738583819,432.80,434.80,40710
1738583879,432.80,433.70,40760
1738583937,432.81,433.65,41260
1738583998,432.81,433.65,41260
1738584053,432.81,434.00,41261
1738584119,432.81,434.00,41261
1738584178,432.81,434.00,41261
1738584234,432.81,434.00,41261
1738584298,432.81,434.50,41262
1738584357,432.81,434.50,41262
1738584419,432.81,434.50,41262
1738584478,432.81,434.50,41262
1738584531,432.81,434.50,41262
1738584595,432.81,434.50,41262
1738584659,432.81,433.25,41294
1738584719,432.81,433.25,41294
1738584777,432.81,433.25,41296
1738584838,432.81,433.25,41296
1738584898,432.81,433.25,41296
1738584957,432.81,434.05,41297
1738585018,432.81,434.05,41297
1738585078,432.81,434.05,41297
1738585139,432.81,434.00,41323
1738585199,432.81,434.00,41323
1738585258,432.81,434.00,41323
1738585319,432.81,433.25,41340
1738585378,432.81,433.25,41340
1738585439,432.81,433.25,41340
1738585499,432.81,434.00,41341
1738585559,432.81,434.00,41341
1738585617,432.81,434.00,41341
1738585677,432.81,434.75,41403
1738585737,432.82,435.00,41437
1738585798,432.82,435.00,41437
1738585857,432.82,435.00,41437
1738585918,432.82,435.00,41437
1738585979,432.82,435.25,41441
1738586038,432.82,435.15,41443
1738586099,432.82,435.15,41443
1738586158,432.82,434.50,41463
1738586219,432.82,434.50,41463
1738586279,432.82,434.50,41463
1738586339,432.82,435.05,41474
1738586397,432.82,435.05,41512
1738586455,432.82,435.05,41512
1738586519,432.82,435.05,41512
1738586576,432.83,434.55,41656
1738586635,432.83,434.55,41656
1738586699,432.83,434.00,41657
1738586759,432.83,434.00,41657
1738586819,432.83,434.00,41657
1738586879,432.83,434.00,41706
1738586939,432.83,434.00,41706
1738586999,432.83,434.15,41709
1738587057,432.83,434.15,41709
1738587119,432.83,434.15,41709
1738587177,432.83,433.50,41723
1738587239,432.83,433.50,41723
1738587298,432.83,433.50,41725
1738587359,432.83,433.40,42080
1738587419,432.83,433.40,42080
1738587479,432.83,434.15,42083
1738587536,432.83,434.15,42083
1738587599,432.83,434.15,42083
1738587658,432.85,434.35,42453
1738587719,432.85,434.35,42455
1738587779,432.86,434.00,42909
1738587837,432.90,434.55,44462
1738587898,432.90,434.30,44589
1738587952,432.90,434.30,44589
1738588019,432.90,433.95,44673
1738588079,432.91,434.00,44724
1738588139,432.91,434.00,44724
1738588198,432.91,435.00,44824
1738588256,432.91,435.45,44838
1738588319,432.91,435.45,44838
1738588378,432.91,434.80,44852
1738588439,432.91,434.80,44873
1738588499,432.91,434.80,44873
1738588559,432.91,435.05,44876
1738588619,432.91,435.05,44876
1738588679,432.91,435.05,44876
1738588736,432.91,435.05,44876
1738588799,432.91,435.05,44876
1738588858,432.91,435.05,44876
1738588918,432.91,435.05,44876
1738588979,432.91,435.05,44876
1738589039,433.03,435.25,47013
1738589099,433.03,435.25,47013
1738589159,433.03,435.25,47013
1738589218,433.03,435.25,47013
1738589277,433.03,435.25,47013
1738589339,433.03,435.25,47013
1738589399,433.03,435.25,47013
1738589457,433.03,435.25,47013
1738589518,433.03,434.50,47167
1738589579,433.03,434.50,47167
1738589639,433.03,434.05,47169
1738589697,433.03,434.05,47169
1738589757,433.03,434.05,47169
1738589819,433.03,434.05,47169
1738589879,433.03,434.05,47169
1738589934,433.03,434.05,47169
1738589996,433.03,434.05,47212
1738590059,433.03,434.05,47212
1738590117,433.03,434.05,47212
1738590179,433.03,434.05,47212
1738590238,433.03,434.05,47212
1738590297,433.03,434.05,47212
1738590359,433.03,434.05,47212
1738590419,433.03,434.05,47212
1738590479,433.03,434.05,47212
1738590536,433.03,434.05,47212
1738590599,433.03,434.05,47212
1738590658,433.03,434.45,47214
1738590718,433.03,434.45,47214
1738590779,433.03,433.00,47219
1738590839,433.03,433.00,47219
1738590897,433.03,433.00,47219
1738590959,433.03,433.00,47335
1738591019,433.03,433.00,47335
1738591079,433.03,433.00,47335
1738591138,433.03,433.00,47335
1738591198,433.03,432.95,47345
1738591256,433.03,432.95,47345
1738591318,433.03,432.95,47345
1738591378,433.03,432.95,47345
1738591438,433.03,433.00,47360
1738591499,433.03,433.00,47360
1738591558,433.03,433.00,47435
1738591619,433.03,433.00,47435
1738591678,433.03,433.20,47457
1738591739,433.03,432.95,47607
1738591799,433.03,432.45,47617
1738591850,433.03,432.45,47617
1738591919,433.03,432.45,47617
1738591977,433.03,432.45,47617
1738592037,433.03,432.45,47617
1738592099,433.03,432.45,47617
1738592159,433.03,432.45,47617
1738592219,433.03,432.45,47617
1738592279,433.03,432.45,47617
1738592331,433.03,432.75,48147
1738592398,433.02,432.00,48358
1738592459,433.02,432.00,48358
1738592519,433.02,431.75,48406
1738592577,433.02,431.65,48520
1738592639,433.02,431.70,48522
1738592698,433.02,431.70,48522
1738592759,433.02,431.70,48522
1738592814,433.02,431.65,48558
1738592879,433.02,431.65,48558
1738592939,433.02,431.65,48558
1738592999,433.01,432.05,48608
1738593057,433.03,433.55,51160
1738593118,433.03,433.85,51432
1738593178,433.03,433.85,51432
1738593237,433.03,433.85,51432
1738593298,433.03,433.85,51432
1738593359,433.04,433.65,51482
1738593419,433.04,433.65,51482
1738593479,433.04,433.65,51482
1738593538,433.04,433.55,51570
1738593597,433.04,433.95,51705
1738593659,433.04,433.95,51706
1738593717,433.04,433.95,51706
1738593778,433.04,433.55,51707
1738593839,433.04,433.80,51821
1738593899,433.04,433.80,51821
1738593954,433.04,433.80,51821
1738594017,433.04,433.80,51821
1738594078,433.04,433.45,51828
1738594138,433.04,433.45,51828
1738594198,433.04,433.45,51828
1738594258,433.04,433.45,51828
1738594319,433.04,433.45,51828
1738594372,433.04,433.45,51828
1738594439,433.04,433.00,51840
1738594495,433.04,433.00,51840
1738594557,433.04,433.00,51840
1738594615,433.04,433.00,51840
1738594677,433.04,433.00,51840
1738594731,433.05,435.25,52019
1738594797,433.05,435.80,52069
1738594858,433.05,436.85,52073
1738594917,433.05,436.05,52117
1738594979,433.05,435.85,52121
1738595039,433.05,435.85,52121
1738595099,433.05,434.70,52146
1738595159,433.05,435.15,52174
1738595219,433.05,435.40,52179
1738595279,433.05,435.40,52179
1738595338,433.05,435.40,52179
1738595397,433.07,435.50,52539
1738595458,433.08,435.20,52810
1738595519,433.08,435.20,52810
1738595579,433.08,435.20,52810
1738595639,433.08,435.20,52810
1738595698,433.08,435.20,52810
1738595759,433.08,435.20,52810
1738595818,433.09,434.00,53294
1738595877,433.10,434.25,53854
1738595939,433.10,434.25,53854
1738595998,433.11,435.25,54012
1738596057,433.11,434.55,54051
1738596119,433.12,434.60,54356
1738596178,433.12,436.20,54391
1738596239,433.12,435.30,54549
1738596296,433.12,434.40,54580
