t,ap,cp,v
1738573641,6490.15,6490.15,1
1738573740,6490.15,6490.15,1
1738574159,6490.15,6490.15,1
1738574217,6597.25,6613.70,16
1738574278,6597.25,6613.70,16
1738574338,6600.57,6627.40,18
1738574398,6603.25,6627.40,20
1738574458,6601.46,6583.55,32
1738574519,6601.81,6605.45,42
1738574578,6601.81,6605.45,42
1738574638,6601.81,6605.45,42
1738574698,6601.81,6605.45,42
1738574757,6601.81,6605.45,42
1738574816,6603.61,6606.85,52
1738574876,6603.61,6606.85,52
1738574939,6604.22,6620.00,54
1738574996,6613.65,6659.85,72
1738575059,6621.27,6690.40,82
1738575116,6621.27,6690.40,82
1738575179,6622.72,6649.55,86
1738575239,6622.72,6649.55,86
1738575298,6622.72,6649.55,86
1738575358,6623.34,6650.00,88
1738575419,6623.64,6630.30,92
1738575479,6623.93,6624.80,97
1738575537,6623.93,6624.80,97
1738575596,6623.77,6607.65,98
1738575659,6623.77,6607.65,98
1738575719,6623.77,6607.65,98
1738575777,6623.77,6607.65,98
1738575839,6623.77,6607.65,98
1738575899,6623.77,6607.65,98
1738575958,6622.83,6602.80,103
1738576017,6607.34,6627.40,324
1738576079,6607.34,6627.40,324
1738576139,6607.34,6627.40,324
1738576199,6607.34,6627.40,324
1738576258,6606.83,6583.05,331
1738576318,6606.83,6605.40,332
1738576376,6606.83,6605.40,332
1738576439,6606.83,6605.40,332
1738576499,6606.83,6605.40,332
1738576559,6606.83,6605.40,332
1738576618,6606.83,6605.40,332
1738576679,6605.81,6563.75,340
1738576739,6605.81,6563.75,340
1738576796,6605.81,6563.75,340
1738576859,6605.81,6563.75,340
1738576919,6605.01,6577.95,349
1738576978,6604.69,6567.10,352
1738577036,6604.69,6567.10,352
1738577098,6604.69,6567.10,352
1738577158,6604.69,6567.10,352
1738577219,6604.69,6567.10,352
1738577279,6604.70,6605.40,357
1738577339,6604.70,6605.40,357
1738577397,6604.70,6605.40,357
1738577459,6604.70,6605.40,357
1738577518,6604.70,6605.40,357
1738577579,6604.70,6605.40,357
1738577638,6604.59,6591.70,360
1738577698,6604.59,6591.70,360
1738577759,6604.15,6578.05,366
1738577816,6604.15,6578.05,366
1738577879,6604.15,6578.05,366
1738577935,6604.15,6578.05,366
1738577998,6604.15,6578.05,366
1738578059,6604.15,6578.05,366
1738578119,6604.15,6578.05,366
1738578179,6603.39,6555.40,372
1738578239,6602.74,6580.70,382
1738578299,6602.74,6580.70,382
1738578348,6602.74,6580.70,382
1738578419,6601.63,6551.90,391
1738578476,6601.16,6540.00,394
1738578539,6601.16,6540.00,394
1738578597,6600.32,6544.95,400
1738578654,6600.32,6544.95,400
1738578717,6598.61,6530.00,410
1738578779,6598.61,6530.00,410
1738578839,6598.61,6530.00,410
1738578898,6598.61,6530.00,410
1738578958,6597.90,6539.90,415
1738579016,6597.90,6539.90,415
1738579079,6597.90,6539.90,415
1738579138,6597.90,6539.90,415
1738579199,6597.90,6539.90,415
1738579258,6597.90,6539.90,415
1738579319,6597.29,6533.85,419
1738579379,6597.15,6538.95,420
1738579439,6597.15,6538.95,420
1738579497,6597.15,6538.95,420
1738579559,6597.15,6538.95,420
1738579619,6597.15,6538.95,420
1738579679,6597.15,6538.95,420
1738579735,6597.15,6538.95,420
1738579798,6597.15,6538.95,420
1738579859,6597.15,6538.95,420
1738579918,6597.15,6538.95,420
1738579979,6597.15,6538.95,420
1738580038,6596.42,6520.30,424
1738580098,6596.42,6520.30,424
1738580152,6596.42,6520.30,424
1738580219,6596.42,6520.30,424
1738580279,6596.42,6520.30,424
1738580336,6596.42,6520.30,424
1738580399,6596.42,6520.30,424
1738580458,6596.29,6539.40,425
1738580519,6596.29,6539.40,425
1738580579,6588.67,6528.45,475
1738580639,6588.67,6528.45,475
1738580696,6588.67,6528.45,475
1738580759,6588.67,6528.45,475
1738580812,6588.67,6528.45,475
1738580878,6588.67,6528.45,475
1738580938,6588.67,6528.45,475
1738580990,6588.67,6528.45,475
1738581048,6588.67,6528.45,475
1738581118,6588.67,6528.45,475
1738581169,6588.13,6502.05,478
1738581221,6588.13,6502.05,478
1738581289,6588.13,6502.05,478
1738581349,6588.13,6502.05,478
1738581419,6587.96,6506.40,479
1738581461,6587.96,6506.40,479
1738581537,6587.96,6506.40,479
1738581597,6587.96,6506.40,479
1738581651,6587.96,6506.40,479
1738581716,6587.96,6506.40,479
1738581742,6587.96,6506.40,479
1738581839,6587.02,6506.45,484
1738581899,6587.02,6506.45,484
