t,ap,cp,v
1738573635,2049.70,2049.70,412
1738573682,2049.70,2049.70,412
1738573740,2049.70,2049.70,412
1738574159,1992.27,1956.80,2615
1738574219,1969.15,1918.10,4321
1738574279,1947.47,1899.20,6636
1738574339,1934.78,1892.00,8632
1738574399,1928.68,1923.10,10746
1738574459,1927.54,1940.10,13175
1738574518,1929.26,1943.30,14220
1738574579,1929.57,1942.00,14519
1738574639,1930.29,1949.05,15098
1738574699,1931.07,1960.05,15515
1738574758,1932.46,1977.90,16153
1738574819,1935.47,1978.00,17262
1738574879,1937.05,1993.75,17776
1738574939,1939.38,1998.00,18495
1738574999,1942.26,2001.50,19309
1738575059,1945.13,1987.35,20377
1738575119,1946.86,1993.00,21171
1738575179,1947.27,1984.20,21387
1738575239,1948.05,1977.65,21925
1738575299,1948.22,1984.25,22063
1738575359,1948.34,1976.70,22143
1738575419,1950.31,1987.95,23421
1738575479,1952.01,1997.90,24397
1738575539,1952.06,1996.95,24422
1738575599,1952.09,1992.25,24439
1738575659,1952.22,2001.30,24508
1738575719,1953.68,2006.80,25194
1738575779,1955.27,2017.90,25939
1738575839,1955.38,2014.05,25988
1738575899,1955.76,2007.05,26167
1738575959,1956.28,2006.40,26450
1738576019,1957.01,2017.90,26829
1738576079,1957.24,2025.00,26929
1738576139,1957.61,2013.85,27087
1738576198,1958.20,2020.95,27346
1738576258,1958.50,2009.25,27510
1738576319,1958.59,2014.05,27555
1738576379,1959.52,2022.00,27974
1738576439,1959.60,2018.75,28013
1738576499,1960.09,2018.00,28250
1738576559,1960.57,2026.00,28461
1738576619,1960.98,2025.60,28645
1738576678,1961.10,2018.00,28706
1738576739,1961.14,2016.90,28724
1738576798,1961.19,2017.40,28752
1738576859,1961.23,2015.00,28772
1738576919,1961.55,2014.75,28952
1738576979,1962.08,2003.40,29288
1738577039,1963.64,2010.95,30352
1738577099,1963.86,2016.10,30475
1738577159,1964.76,2019.45,30964
1738577218,1964.76,2019.45,30964
1738577279,1965.36,2017.35,31301
1738577339,1965.36,2018.00,31303
1738577399,1965.38,2017.00,31318
1738577458,1965.43,2017.75,31342
1738577519,1965.44,2017.65,31352
1738577579,1965.50,2017.00,31388
1738577639,1965.67,2017.85,31485
1738577698,1965.87,2018.60,31603
1738577759,1965.91,2017.90,31631
1738577818,1965.93,2020.05,31641
1738577877,1965.93,2020.05,31641
1738577939,1966.41,2019.55,31923
1738577999,1966.41,2019.55,31923
1738578059,1966.43,2018.25,31933
1738578119,1966.43,2018.25,31933
1738578179,1966.53,2020.00,31994
1738578238,1966.57,2020.00,32019
1738578299,1966.59,2021.35,32026
1738578357,1966.60,2018.00,32034
1738578419,1968.23,2027.50,32911
1738578479,1968.23,2027.50,32911
1738578539,1968.31,2020.00,32963
1738578599,1968.36,2022.45,32995
1738578659,1968.36,2022.45,32995
1738578718,1968.53,2024.05,33095
1738578779,1968.98,2030.25,33350
1738578839,1970.61,2036.75,34179
1738578899,1970.79,2036.70,34269
1738578959,1971.39,2033.05,34595
1738579019,1972.69,2028.25,35481
1738579079,1972.69,2025.05,35483
1738579139,1972.80,2025.40,35560
1738579197,1972.85,2029.65,35589
1738579259,1972.85,2029.65,35590
1738579318,1972.97,2028.65,35666
1738579379,1972.97,2030.85,35667
1738579439,1973.26,2032.25,35839
1738579499,1973.79,2032.65,36166
1738579559,1973.79,2032.65,36166
1738579619,1973.86,2041.10,36202
1738579679,1973.96,2040.20,36258
1738579739,1974.12,2043.05,36347
1738579799,1975.18,2048.65,36865
1738579858,1975.33,2046.55,36944
1738579919,1975.73,2045.00,37164
1738579979,1975.76,2041.15,37176
1738580039,1976.11,2035.00,37389
1738580099,1976.22,2029.85,37466
1738580159,1976.38,2033.00,37578
1738580219,1976.41,2033.65,37599
1738580279,1976.51,2026.85,37669
1738580339,1976.51,2027.40,37672
1738580399,1976.59,2034.80,37723
1738580459,1976.64,2030.65,37756
1738580519,1976.74,2033.00,37826
1738580579,1976.80,2033.00,37863
1738580639,1976.85,2032.40,37900
1738580699,1977.17,2031.45,38115
1738580759,1977.33,2034.80,38226
1738580819,1977.34,2034.60,38229
1738580878,1977.51,2032.25,38346
1738580936,1977.93,2020.10,38706
1738580999,1978.44,2028.10,39095
1738581059,1978.49,2030.95,39134
1738581118,1978.49,2030.95,39134
1738581179,1978.74,2047.65,39305
1738581239,1978.89,2050.25,39383
1738581295,1979.43,2053.10,39676
1738581359,1979.48,2048.65,39707
1738581419,1979.48,2048.65,39707
1738581479,1979.53,2050.45,39734
1738581539,1979.57,2047.90,39759
1738581599,1979.60,2048.65,39778
1738581657,1979.61,2047.40,39780
1738581719,1979.80,2040.35,39902
1738581779,1979.83,2040.35,39923
1738581839,1979.84,2044.45,39930
1738581899,1979.92,2037.00,39985
1738581959,1979.97,2032.45,40019
1738582019,1980.30,2032.15,40275
1738582079,1980.32,2034.65,40295
1738582139,1980.32,2034.65,40295
1738582199,1980.36,2038.95,40320
1738582259,1980.38,2035.50,40332
1738582319,1980.41,2032.15,40359
1738582379,1980.42,2036.05,40364
1738582439,1980.55,2036.25,40461
1738582499,1980.61,2038.45,40506
