t,ap,cp,v
1738573635,2052.05,2052.05,2
1738573733,2052.05,2052.05,2
1738573740,2052.05,2052.05,2
1738574159,2130.71,2142.95,127
1738574219,2133.75,2150.35,163
1738574277,2134.31,2152.45,168
1738574339,2138.08,2155.50,201
1738574398,2140.69,2165.00,223
1738574458,2144.81,2159.95,291
1738574515,2145.76,2159.75,318
1738574578,2146.36,2152.55,343
1738574639,2146.43,2145.20,508
1738574699,2146.15,2142.80,569
1738574757,2148.05,2171.35,726
1738574819,2150.95,2200.70,788
1738574879,2165.95,2198.55,1102
1738574939,2166.54,2184.50,1131
1738574999,2166.60,2185.10,1134
1738575059,2171.30,2188.15,1482
1738575119,2171.48,2182.15,1500
1738575179,2172.15,2183.85,1567
1738575239,2172.10,2168.15,1697
1738575297,2172.30,2178.70,1767
1738575358,2172.19,2169.00,1838
1738575419,2172.18,2166.90,1839
1738575479,2172.14,2164.15,1875
1738575539,2171.95,2165.05,1924
1738575599,2171.95,2165.05,1924
1738575659,2171.90,2168.85,1935
1738575716,2171.90,2168.85,1935
1738575779,2171.90,2168.85,1935
1738575839,2171.90,2168.85,1935
1738575899,2171.90,2168.85,1935
1738575959,2171.83,2158.50,1949
1738576016,2171.43,2151.90,1988
1738576079,2171.23,2149.30,2006
1738576139,2171.23,2149.30,2006
1738576199,2171.05,2148.35,2022
1738576257,2170.42,2145.20,2072
1738576315,2170.42,2145.20,2072
1738576378,2170.42,2145.20,2072
1738576438,2170.42,2145.20,2072
1738576496,2170.42,2145.20,2072
1738576559,2170.42,2145.20,2072
1738576619,2170.42,2145.20,2072
1738576678,2170.42,2145.20,2072
1738576734,2170.18,2120.75,2082
1738576798,2170.12,2126.40,2085
1738576859,2170.12,2126.40,2085
1738576919,2168.39,2130.50,2181
1738576979,2167.74,2127.35,2216
1738577038,2167.70,2127.90,2218
1738577099,2167.70,2127.90,2218
1738577159,2167.70,2127.90,2218
1738577218,2167.64,2133.45,2222
1738577279,2167.64,2133.45,2222
1738577338,2167.64,2133.45,2222
1738577396,2167.64,2133.45,2222
1738577459,2167.19,2139.95,2259
1738577516,2167.19,2139.95,2259
1738577577,2167.19,2139.95,2259
1738577639,2167.14,2145.20,2264
1738577699,2166.91,2145.90,2289
1738577758,2166.91,2145.90,2289
1738577809,2166.91,2145.90,2289
1738577879,2166.85,2140.00,2294
1738577938,2166.85,2140.00,2294
1738577998,2166.82,2138.05,2296
1738578057,2166.82,2138.05,2296
1738578118,2166.82,2138.05,2296
1738578177,2166.48,2135.05,2321
1738578237,2165.79,2140.90,2383
1738578298,2165.20,2138.00,2436
1738578359,2165.20,2138.00,2436
1738578419,2165.20,2138.00,2436
1738578479,2165.14,2133.55,2440
1738578538,2165.13,2128.10,2441
1738578597,2164.54,2127.35,2480
1738578659,2164.54,2127.35,2480
1738578717,2164.54,2127.35,2480
1738578774,2164.54,2127.35,2480
1738578839,2164.54,2127.35,2480
1738578897,2164.54,2127.35,2480
1738578959,2164.06,2137.15,2523
1738579019,2164.06,2137.15,2523
1738579073,2164.06,2137.15,2523
1738579139,2164.06,2137.15,2523
1738579196,2164.06,2137.15,2523
1738579258,2164.06,2137.15,2523
1738579318,2164.06,2137.15,2523
1738579378,2163.86,2133.50,2539
1738579438,2162.04,2133.35,2674
1738579496,2162.03,2131.15,2675
1738579559,2160.87,2134.50,2791
1738579619,2160.88,2165.90,2801
1738579678,2160.90,2162.70,2812
1738579739,2160.50,2156.50,2905
1738579799,2160.31,2145.00,2940
1738579859,2160.31,2145.00,2940
1738579919,2160.05,2141.60,2973
1738579975,2159.98,2144.70,2986
1738580038,2159.95,2144.45,2991
1738580098,2159.72,2138.90,3025
1738580155,2159.68,2135.75,3030
1738580219,2159.68,2135.75,3030
1738580277,2159.68,2135.75,3030
1738580331,2159.68,2135.75,3030
1738580397,2159.68,2135.75,3030
1738580459,2159.68,2135.75,3030
1738580519,2159.68,2135.75,3030
1738580577,2159.68,2135.75,3030
