t,ap,cp,v
1738573634,502.90,502.90,121
1738573700,502.90,502.90,121
1738573740,502.90,502.90,121
1738574144,503.28,502.90,180
1738574219,503.26,502.90,216
1738574279,504.06,508.95,256
1738574337,503.13,500.55,428
1738574398,503.07,508.95,477
1738574455,503.12,507.95,482
1738574519,502.99,507.95,522
1738574576,503.10,507.85,534
1738574638,502.52,501.05,747
1738574699,502.56,504.95,805
1738574759,502.54,501.05,833
1738574819,502.56,504.90,843
1738574879,502.38,504.90,1051
1738574939,502.51,505.00,1106
1738574995,502.60,507.00,1130
1738575057,503.89,507.95,1621
1738575108,503.91,505.00,1635
1738575172,503.95,505.10,1694
1738575222,503.96,504.95,1713
1738575293,504.09,504.00,2089
1738575359,504.09,504.00,2091
1738575413,503.92,501.05,2291
1738575471,503.84,504.00,2363
1738575524,503.66,504.00,2533
1738575588,503.39,500.00,2758
1738575655,503.39,503.50,2761
1738575716,503.31,503.50,2933
1738575777,503.30,503.90,2961
1738575833,503.25,503.90,3078
1738575896,503.20,501.00,3144
1738575935,503.20,501.00,3144
1738576016,503.20,502.00,3146
1738576076,503.10,503.55,3298
1738576130,502.59,500.00,4261
1738576186,502.44,500.00,4471
1738576254,502.38,500.00,4587
1738576314,502.35,499.05,4653
1738576352,502.32,500.00,4699
1738576435,502.32,500.00,4709
1738576493,502.05,500.00,4974
1738576559,502.02,496.60,5008
1738576618,502.01,497.05,5018
1738576668,502.01,500.00,5019
1738576702,502.01,500.00,5024
1738576778,501.89,500.00,5187
1738576808,501.89,500.00,5188
1738576918,501.87,497.05,5212
1738576976,501.87,497.05,5212
1738577038,501.86,497.05,5213
1738577073,501.86,497.00,5223
1738577127,501.69,497.00,5386
1738577191,501.63,499.95,5488
1738577277,501.61,495.35,5512
1738577339,501.61,496.70,5513
1738577396,501.61,499.65,5514
1738577457,501.60,499.60,5525
1738577514,501.59,499.30,5543
1738577578,500.76,494.00,6404
1738577638,500.75,499.90,6459
1738577693,500.75,499.90,6459
1738577757,500.73,499.90,6518
1738577813,500.68,500.00,6974
1738577877,500.68,500.00,7010
1738577914,500.68,500.00,7015
1738577980,500.67,500.00,7108
1738578046,500.67,500.00,7132
1738578119,500.66,500.00,7191
1738578178,500.66,501.45,7192
1738578239,500.67,498.00,7203
1738578290,500.67,503.50,7208
1738578356,500.66,498.05,7233
1738578394,500.66,498.05,7233
1738578466,500.66,498.10,7259
1738578514,500.66,498.10,7259
1738578599,500.64,497.05,7287
1738578648,500.64,497.20,7296
1738578713,500.65,503.95,7321
1738578770,500.67,503.50,7363
1738578837,500.67,503.50,7363
1738578875,500.67,503.50,7363
1738578938,500.67,503.50,7363
1738579018,500.67,503.50,7363
1738579074,500.61,498.05,7547
1738579139,500.61,502.50,7548
1738579186,500.62,502.10,7607
1738579250,500.62,498.05,7622
1738579317,500.62,498.05,7622
1738579372,500.60,500.95,7689
1738579439,500.28,494.00,8364
1738579497,500.28,500.75,8377
1738579544,500.28,500.75,8377
