t,ap,cp,v
1738573635,1140.50,1140.50,20
1738573728,1140.50,1140.50,20
1738573740,1140.50,1140.50,20
1738574159,1143.33,1149.60,268
1738574219,1144.88,1157.20,302
1738574279,1146.76,1162.65,349
1738574339,1148.20,1172.15,373
1738574398,1163.24,1181.95,713
1738574459,1163.87,1178.45,743
1738574518,1163.89,1173.00,744
1738574577,1164.38,1175.05,780
1738574639,1165.97,1175.95,900
1738574699,1165.97,1175.95,900
1738574758,1165.97,1175.95,900
1738574819,1166.01,1181.90,902
1738574879,1166.36,1186.55,918
1738574939,1167.11,1186.55,953
1738574999,1167.11,1186.55,953
1738575059,1167.30,1186.00,963
1738575119,1167.45,1187.55,970
1738575179,1168.43,1180.80,1033
1738575238,1168.59,1183.65,1044
1738575298,1168.62,1180.80,1047
1738575359,1169.29,1179.80,1120
1738575418,1169.30,1184.15,1121
1738575479,1170.62,1188.00,1211
1738575539,1171.52,1190.70,1269
1738575599,1180.27,1193.90,2004
1738575659,1180.27,1193.90,2004
1738575719,1180.46,1198.35,2026
1738575778,1181.66,1198.00,2227
1738575839,1182.89,1196.65,2413
1738575899,1183.02,1196.20,2437
1738575955,1183.04,1187.35,2449
1738576019,1183.04,1191.65,2450
1738576079,1183.21,1199.75,2479
1738576139,1183.21,1196.60,2480
1738576199,1183.84,1194.05,2612
1738576259,1183.84,1194.05,2612
1738576319,1184.02,1196.90,2652
1738576379,1185.16,1196.30,2865
1738576439,1186.34,1196.00,3211
1738576499,1186.70,1197.65,3325
1738576559,1186.79,1197.00,3354
1738576619,1187.25,1195.00,3554
1738576679,1187.37,1197.80,3595
1738576739,1187.92,1200.95,3766
1738576799,1188.29,1195.00,3911
1738576859,1188.30,1200.80,3912
1738576919,1188.54,1194.90,4055
1738576979,1188.54,1194.90,4055
1738577039,1189.18,1200.85,4265
1738577098,1189.44,1201.00,4342
1738577159,1189.44,1201.00,4342
1738577219,1189.69,1204.50,4423
1738577279,1189.99,1207.60,4498
1738577339,1193.27,1213.80,5269
1738577399,1194.21,1212.10,5529
1738577459,1194.24,1215.65,5539
1738577519,1194.48,1218.00,5591
1738577579,1195.80,1220.00,5903
1738577639,1196.85,1222.00,6155
1738577699,1198.29,1210.80,6736
1738577759,1198.77,1211.50,7024
1738577819,1199.06,1208.85,7224
1738577879,1199.06,1209.05,7227
1738577939,1199.07,1207.75,7239
1738577999,1199.13,1209.60,7299
1738578055,1199.21,1206.30,7363
1738578118,1199.59,1210.45,7659
1738578179,1199.63,1211.45,7688
1738578239,1199.63,1211.45,7688
1738578298,1199.69,1211.90,7727
1738578359,1199.69,1211.90,7727
1738578419,1199.70,1210.85,7735
1738578479,1199.70,1210.85,7735
1738578539,1199.70,1210.85,7735
1738578599,1199.70,1210.85,7735
1738578658,1199.70,1210.85,7735
1738578719,1199.70,1210.85,7736
1738578779,1200.61,1214.85,8272
1738578837,1200.62,1210.85,8273
1738578899,1200.62,1210.85,8273
1738578959,1200.63,1212.60,8281
1738579019,1200.63,1212.60,8281
1738579079,1200.69,1217.00,8313
1738579139,1200.75,1217.90,8345
1738579196,1200.77,1218.20,8355
1738579259,1200.77,1220.95,8356
1738579319,1200.84,1220.90,8383
1738579379,1200.88,1220.15,8401
1738579439,1200.88,1220.15,8401
1738579499,1200.93,1221.00,8424
1738579559,1200.97,1222.55,8439
1738579618,1201.09,1215.15,8494
1738579679,1201.17,1218.00,8537
1738579739,1201.33,1218.05,8618
1738579799,1201.49,1221.60,8686
1738579859,1201.51,1222.35,8697
1738579919,1201.64,1211.95,8786
1738579979,1201.80,1206.80,8991
1738580039,1202.26,1210.00,9508
1738580099,1202.26,1212.10,9512
1738580159,1202.36,1214.95,9596
1738580219,1202.37,1210.10,9615
1738580279,1202.38,1206.80,9625
1738580338,1202.39,1202.15,10181
1738580399,1202.39,1198.10,10208
