t,ap,cp,v
1738573682,5243.85,5243.85,38
1738573741,5243.85,5243.85,38
1738574025,5243.85,5243.85,38
1738574159,5191.54,5189.80,614
1738574219,5180.12,5132.80,1182
1738574279,5178.36,5153.70,1240
1738574339,5180.24,5191.45,1390
1738574399,5180.50,5176.95,1526
1738574459,5178.70,5151.00,1682
1738574518,5176.06,5132.40,1788
1738574579,5172.43,5139.80,1924
1738574639,5171.77,5147.65,1972
1738574699,5171.36,5146.00,2012
1738574758,5170.60,5144.05,2069
1738574819,5169.97,5161.60,2140
1738574879,5169.73,5155.45,2167
1738574939,5169.21,5149.20,2219
1738574999,5168.91,5155.70,2264
1738575059,5168.72,5139.80,2281
1738575119,5167.63,5146.50,2383
1738575179,5167.48,5140.65,2396
1738575239,5167.27,5144.50,2412
1738575299,5167.07,5141.80,2431
1738575359,5167.02,5142.50,2436
1738575419,5166.87,5153.80,2468
1738575479,5166.85,5163.20,2479
1738575539,5166.78,5132.05,2486
1738575599,5166.66,5149.85,2502
1738575659,5166.60,5163.20,2535
1738575719,5166.52,5145.90,2550
1738575779,5166.39,5156.35,2568
1738575839,5166.30,5146.40,2581
1738575899,5166.21,5138.40,2589
1738575959,5165.53,5124.80,2636
1738576019,5165.39,5133.60,2648
1738576079,5164.70,5112.90,2686
1738576139,5163.92,5111.90,2726
1738576199,5163.48,5112.35,2748
1738576258,5163.19,5121.05,2768
1738576319,5163.11,5126.15,2774
1738576379,5162.86,5125.10,2792
1738576439,5162.84,5124.05,2793
1738576499,5162.79,5124.05,2797
1738576559,5161.82,5113.35,2854
1738576619,5161.69,5122.20,2864
1738576679,5161.67,5117.60,2865
1738576739,5161.65,5127.75,2867
1738576799,5161.62,5141.95,2871
1738576859,5161.49,5129.50,2883
1738576919,5161.49,5129.50,2883
1738576979,5161.47,5127.20,2884
1738577039,5161.30,5123.45,2898
1738577099,5160.62,5122.15,2951
1738577159,5160.50,5122.30,2960
1738577219,5158.93,5107.80,3069
1738577279,5158.89,5103.60,3071
1738577339,5158.77,5116.95,3079
1738577399,5158.75,5117.20,3080
1738577459,5158.74,5123.90,3081
1738577519,5158.68,5125.50,3087
1738577579,5158.66,5122.85,3089
1738577639,5158.62,5123.20,3092
1738577699,5158.62,5123.20,3092
1738577759,5158.58,5128.95,3096
1738577819,5158.23,5114.45,3125
1738577877,5158.23,5114.45,3125
1738577939,5158.05,5114.45,3137
1738577999,5158.05,5114.45,3137
1738578059,5157.49,5097.35,3168
1738578119,5157.47,5097.35,3169
1738578179,5156.91,5098.35,3197
1738578239,5155.76,5103.10,3263
1738578299,5155.41,5098.10,3283
1738578359,5155.39,5098.95,3284
1738578418,5155.18,5107.55,3299
1738578479,5155.18,5107.55,3299
1738578539,5155.18,5107.55,3299
1738578599,5155.16,5104.05,3300
1738578659,5155.16,5104.05,3300
1738578719,5154.53,5107.80,3344
1738578779,5154.46,5108.90,3349
1738578839,5154.40,5101.55,3353
1738578899,5153.04,5093.70,3436
