t,ap,cp,v
1738573635,91.46,91.46,9262
1738573712,91.46,91.46,9262
1738573781,91.46,91.46,9262
1738573858,91.46,91.46,9262
1738573914,91.46,91.46,9262
1738574159,91.10,91.00,86341
1738574219,91.09,90.97,96532
1738574279,91.09,91.15,105162
1738574339,91.09,91.09,113523
1738574399,91.08,91.00,120438
1738574459,91.08,90.92,126960
1738574519,91.03,90.67,148913
1738574578,91.02,90.90,158043
1738574639,91.01,90.86,175090
1738574698,91.01,91.00,179399
1738574759,91.00,91.20,183551
1738574819,91.02,91.27,197756
1738574879,91.03,91.36,204238
1738574939,91.04,91.23,207782
1738574999,91.04,91.19,212383
1738575059,91.04,91.05,217665
1738575119,91.04,91.16,220810
1738575179,91.04,90.95,235869
1738575239,91.02,90.51,250175
1738575298,90.99,90.50,266567
1738575359,90.96,90.41,279924
1738575419,90.83,89.96,329339
1738575479,90.80,89.94,343691
1738575539,90.75,89.72,358054
1738575599,90.73,89.60,366077
1738575659,90.71,89.83,373286
1738575719,90.68,89.80,386428
1738575779,90.67,90.04,394683
1738575839,90.66,89.97,398190
1738575899,90.65,89.88,401665
1738575959,90.64,89.89,406819
1738576017,90.64,90.03,408374
1738576079,90.63,90.02,413790
1738576139,90.62,90.02,420335
1738576199,90.61,89.80,425052
1738576259,90.60,89.98,431278
1738576319,90.59,90.07,440129
1738576379,90.58,89.85,446673
1738576439,90.57,89.97,449827
1738576499,90.57,89.99,451978
1738576559,90.56,90.02,458788
1738576619,90.56,89.97,460659
1738576679,90.55,89.95,467003
1738576739,90.55,89.94,469317
1738576799,90.54,89.96,473979
1738576859,90.53,89.97,481617
1738576919,90.53,90.07,485919
1738576979,90.52,90.00,491574
1738577039,90.52,89.92,497482
1738577099,90.51,89.96,505603
1738577159,90.50,89.98,508847
1738577219,90.50,90.07,512043
1738577279,90.50,90.16,516833
1738577339,90.49,90.24,526559
1738577399,90.49,90.10,527278
1738577459,90.49,90.36,529024
1738577519,90.49,90.48,531917
1738577579,90.49,90.43,541761
1738577639,90.49,90.50,543348
1738577699,90.49,90.47,546111
1738577759,90.49,90.28,552049
1738577819,90.49,90.26,553591
1738577879,90.49,90.45,555781
1738577939,90.49,90.42,562976
1738577999,90.48,90.39,569253
1738578059,90.48,90.46,571438
1738578119,90.49,90.60,577293
1738578179,90.49,90.62,577759
1738578238,90.49,90.67,579394
1738578299,90.49,90.62,579877
1738578359,90.49,90.55,580503
1738578419,90.49,90.66,586560
1738578479,90.49,90.70,591610
1738578539,90.49,90.54,595668
1738578599,90.49,90.58,598863
1738578659,90.49,90.62,600235
1738578719,90.49,90.69,600718
1738578779,90.49,90.48,602057
1738578839,90.49,90.50,602400
1738578899,90.49,90.60,603677
1738578959,90.49,90.76,604356
1738579019,90.49,90.70,606045
1738579079,90.49,90.74,607356
1738579139,90.49,90.77,609513
1738579199,90.49,90.67,611913
1738579259,90.49,90.55,612575
1738579319,90.49,90.76,614749
1738579379,90.50,90.86,616543
1738579439,90.50,90.90,620921
1738579499,90.50,90.81,623844
1738579559,90.50,90.90,624604
1738579619,90.50,91.00,631427
1738579679,90.51,90.92,635808
1738579739,90.51,90.85,643679
1738579799,90.51,90.73,647493
1738579859,90.51,90.73,648043
1738579919,90.51,90.65,649403
1738579979,90.51,90.59,655447
1738580039,90.51,90.50,657262
1738580099,90.51,90.42,658381
1738580159,90.51,90.54,658532
1738580219,90.51,90.64,658632
1738580279,90.51,90.65,660926
1738580339,90.51,90.67,661963
1738580399,90.52,90.74,663914
1738580459,90.52,90.90,664225
1738580519,90.52,90.80,669904
1738580579,90.52,90.78,670190
1738580639,90.52,90.79,670621
1738580699,90.52,90.80,673174
