t,ap,cp,v
1738573634,2019.55,2019.55,169
1738573740,2019.55,2019.55,169
1738574159,2003.54,1980.90,620
1738574219,1995.02,1972.00,881
1738574279,1990.52,1962.05,1026
1738574339,1986.64,1959.25,1196
1738574399,1982.52,1978.75,1515
1738574459,1981.73,1966.00,1631
1738574519,1980.20,1967.35,1770
1738574579,1979.88,1971.95,1848
1738574638,1979.86,1992.60,1929
1738574697,1981.07,2007.70,2048
1738574759,1981.65,2020.65,2103
1738574819,1983.78,2043.10,2185
1738574878,1988.41,2039.40,2392
1738574939,1992.75,2025.45,2661
1738574998,1993.73,2019.75,2744
1738575059,1994.01,2013.65,2780
1738575119,1994.77,2023.45,2866
1738575179,1995.33,2013.70,2927
1738575239,1995.61,2001.40,3053
1738575297,1995.73,2003.60,3107
1738575359,1996.04,2003.50,3244
1738575418,1996.18,2002.00,3298
1738575479,1996.24,2007.40,3315
1738575539,1996.26,2005.00,3323
1738575599,1996.62,2003.45,3481
1738575659,1996.71,2012.95,3511
1738575719,1996.95,2015.85,3567
1738575779,1997.12,2009.55,3617
1738575839,1998.16,2011.50,3927
1738575899,1998.51,2008.65,4014
1738575959,1998.63,2003.40,4087
1738576017,1998.85,2008.65,4169
1738576079,1999.00,2013.95,4213
1738576139,1999.01,2007.80,4218
1738576199,1999.04,2003.85,4239
1738576259,1999.28,2009.30,4338
1738576319,1999.33,2011.90,4355
1738576379,1999.44,2010.85,4387
1738576439,1999.59,2011.00,4444
1738576499,1999.62,2010.65,4455
1738576559,1999.70,2015.80,4495
1738576619,1999.71,2009.75,4501
1738576679,1999.92,2019.65,4560
1738576739,2000.09,2016.80,4608
1738576799,2000.28,2014.95,4667
1738576859,2000.56,2023.80,4721
1738576919,2000.77,2031.75,4755
1738576979,2001.41,2021.70,4878
1738577038,2001.67,2026.40,4927
1738577099,2001.97,2027.55,4992
1738577159,2002.02,2023.55,5002
1738577219,2002.12,2019.60,5029
1738577279,2002.14,2031.00,5032
1738577338,2002.83,2034.80,5144
1738577399,2002.90,2036.15,5156
1738577459,2003.44,2045.00,5233
1738577519,2003.51,2035.50,5245
1738577579,2003.71,2036.80,5278
1738577639,2003.85,2029.75,5305
1738577699,2004.43,2032.10,5426
1738577759,2004.44,2027.00,5427
1738577819,2004.44,2027.00,5427
1738577879,2004.44,2027.00,5427
1738577939,2004.46,2017.05,5437
1738577999,2004.55,2018.55,5469
1738578059,2004.56,2017.60,5472
1738578119,2004.56,2019.55,5473
1738578179,2004.75,2018.70,5550
1738578238,2004.75,2015.05,5552
1738578299,2004.76,2019.35,5554
1738578359,2004.78,2011.00,5571
1738578419,2004.81,2005.50,5614
1738578479,2004.82,2007.25,5627
1738578539,2004.81,2005.40,5667
1738578599,2004.81,2003.75,5696
1738578659,2004.81,2007.25,5706
1738578719,2004.81,2007.25,5706
1738578779,2004.77,1999.00,5827
1738578839,2004.76,1998.05,5835
1738578898,2004.69,2000.65,5935
1738578959,2004.67,2002.50,5986
1738579019,2004.67,2002.50,5986
1738579079,2004.64,1997.00,6014
1738579139,2004.64,1997.00,6014
1738579199,2004.64,1999.05,6017
1738579259,2004.64,2001.55,6018
1738579319,2004.64,2001.55,6018
1738579379,2004.33,1997.90,6248
1738579437,2004.28,2002.45,6299
1738579499,2004.28,2002.50,6317
1738579559,2004.31,2002.65,6425
1738579619,2004.30,2000.75,6437
1738579679,2004.30,2004.40,6442
1738579739,2004.30,2000.00,6455
1738579799,2004.26,2000.10,6506
1738579859,2004.26,2004.45,6531
1738579919,2004.27,2004.10,6567
1738579978,2004.34,2010.40,6666
1738580039,2004.78,2009.35,6984
1738580099,2004.79,2008.40,6999
1738580159,2004.79,2008.40,7000
1738580219,2004.79,2008.40,7000
1738580279,2004.79,2008.40,7000
1738580336,2004.80,2008.95,7010
1738580399,2004.80,2010.30,7018
1738580455,2004.81,2014.10,7022
1738580519,2005.75,2018.05,7605
1738580578,2005.78,2017.50,7622
1738580639,2005.80,2014.05,7642
1738580698,2005.80,2014.05,7642
1738580758,2005.80,2014.05,7642
1738580819,2005.80,2014.05,7642
1738580879,2005.80,2014.05,7642
1738580939,2005.80,2018.00,7643
1738580999,2005.92,2008.05,7848
1738581058,2005.92,2015.80,7850
1738581118,2005.93,2016.95,7854
1738581178,2005.93,2016.95,7854
1738581239,2005.94,2022.00,7860
1738581298,2005.94,2022.00,7860
1738581359,2005.95,2030.05,7865
1738581419,2005.96,2033.00,7867
1738581479,2006.10,2035.00,7904
1738581538,2006.10,2035.00,7904
1738581599,2007.40,2044.45,8196
1738581659,2008.03,2046.85,8343
1738581717,2008.03,2046.85,8343
1738581779,2008.28,2048.85,8396
1738581839,2008.44,2042.00,8435
1738581899,2008.72,2046.10,8498
1738581959,2008.88,2053.95,8531
1738582019,2008.95,2055.25,8545
1738582078,2009.47,2051.30,8651
1738582139,2009.47,2049.75,8652
1738582198,2009.52,2045.90,8664
1738582258,2009.52,2045.90,8665
1738582319,2009.52,2045.90,8665
