t,ap,cp,v
1738573635,176.75,176.75,1244
1738573682,176.75,176.75,1244
1738573780,176.75,176.75,1244
1738574027,176.75,176.75,1244
1738574159,176.55,176.45,1845
1738574218,176.44,175.55,3261
1738574279,176.40,175.50,3419
1738574339,176.29,175.55,3969
1738574399,176.26,175.85,4187
1738574458,176.10,175.20,5370
1738574518,175.95,175.15,6273
1738574579,175.95,175.20,6287
1738574639,175.93,175.80,6520
1738574699,175.93,175.50,6627
1738574758,175.98,177.85,7432
1738574819,176.09,179.00,7779
1738574879,177.74,178.60,18005
1738574939,177.76,178.30,18832
1738574999,177.98,178.50,35304
1738575059,178.03,178.50,39333
1738575119,178.13,178.30,50031
1738575179,178.12,177.30,50581
1738575237,178.12,177.00,50813
1738575299,178.12,177.85,50949
1738575359,178.12,177.85,50949
1738575417,178.12,177.05,51106
1738575478,178.10,176.70,51603
1738575539,178.10,176.85,51790
1738575599,178.09,176.70,52110
1738575659,178.09,176.70,52110
1738575719,178.09,176.90,52266
1738575777,178.09,176.90,52266
1738575839,178.08,177.10,52337
1738575898,178.08,177.15,52467
1738575957,178.08,176.50,52685
1738576019,178.05,176.80,53829
1738576078,178.04,177.10,54290
1738576138,178.03,177.80,54530
1738576199,178.03,177.55,54704
1738576258,178.03,177.55,54704
1738576318,178.03,177.55,54704
1738576377,178.03,176.90,54902
1738576439,178.03,176.90,54920
1738576499,178.03,177.15,54922
1738576559,178.03,177.15,54922
1738576619,178.03,177.15,54922
1738576677,178.02,176.80,55131
1738576739,178.01,176.40,55600
1738576799,178.01,176.60,55668
1738576858,178.00,177.00,55868
1738576919,178.00,177.05,55899
1738576979,178.00,177.05,55917
1738577037,178.00,177.05,55917
1738577099,178.00,177.10,55984
1738577158,178.00,177.10,55984
1738577218,178.00,177.10,56187
1738577278,178.00,177.50,56387
1738577338,178.00,177.40,56413
1738577399,178.00,177.50,56454
1738577459,177.99,177.50,56704
1738577519,177.96,177.50,60367
1738577577,177.96,177.65,60377
1738577639,177.96,177.65,60377
1738577698,177.96,177.65,60377
1738577759,177.96,177.25,60917
1738577818,177.96,177.25,60917
1738577875,177.96,177.25,60917
1738577937,177.96,176.85,60940
1738577998,177.96,176.90,60981
1738578059,177.95,176.75,61236
1738578119,177.95,176.90,61325
1738578178,177.95,176.90,61361
1738578239,177.95,176.90,61361
1738578297,177.95,176.80,61588
1738578358,177.95,176.95,61598
1738578419,177.95,176.70,61666
1738578478,177.95,176.70,61666
1738578539,177.94,176.50,61670
1738578598,177.94,176.00,61720
1738578656,177.94,176.10,61758
1738578719,177.94,176.00,61793
1738578779,177.94,176.10,61799
1738578839,177.94,176.10,61799
1738578899,177.94,176.45,61829
1738578957,177.94,176.45,61829
