t,ap,cp,v
1738573634,650.40,650.40,3
1738573740,650.40,650.40,3
1738574155,644.18,642.75,129
1738574216,644.43,646.65,144
1738574270,644.43,646.65,144
1738574339,646.04,647.50,249
1738574399,646.06,646.35,260
1738574458,646.06,646.35,260
1738574513,645.88,643.25,301
1738574577,645.88,643.25,301
1738574639,645.81,645.55,352
1738574699,646.06,647.25,413
1738574758,646.08,646.85,423
1738574818,647.80,655.15,653
1738574879,647.97,656.60,669
1738574938,651.21,658.05,1077
1738574999,651.21,658.05,1077
1738575057,651.42,656.30,1126
1738575119,651.42,656.30,1126
1738575177,651.42,656.30,1126
1738575237,651.56,654.95,1162
1738575298,651.56,654.95,1162
1738575359,651.56,654.95,1162
1738575419,651.58,654.50,1170
1738575477,651.58,654.50,1170
1738575539,651.58,654.50,1170
1738575598,651.45,649.90,1273
1738575657,651.45,655.10,1275
1738575714,651.46,654.90,1276
1738575779,651.65,656.05,1351
1738575837,651.83,653.75,1452
1738575893,651.84,652.75,1456
1738575959,651.82,649.90,1464
1738576017,651.82,649.90,1464
1738576074,651.82,649.90,1464
1738576138,651.82,649.90,1464
1738576198,651.82,649.90,1464
1738576254,651.82,649.90,1464
1738576317,651.82,649.90,1464
1738576379,651.82,649.90,1464
1738576439,651.73,648.85,1505
1738576498,651.73,648.85,1505
1738576559,651.73,648.85,1505
1738576619,651.46,648.05,1616
1738576678,651.45,647.30,1617
1738576738,651.45,647.30,1617
1738576796,651.45,647.30,1617
1738576859,651.45,647.90,1619
1738576919,651.22,646.45,1727
1738576975,651.17,646.45,1748
1738577039,651.17,646.45,1748
1738577099,651.16,646.60,1749
1738577158,651.16,646.45,1750
1738577213,651.16,646.45,1750
1738577279,651.12,646.45,1767
1738577338,651.12,646.45,1767
1738577395,651.12,646.45,1767
1738577459,651.12,646.45,1767
1738577514,651.12,646.45,1767
1738577579,651.12,646.45,1767
1738577628,651.11,646.95,1768
1738577698,651.11,646.95,1768
1738577752,651.11,646.95,1768
1738577811,651.11,646.95,1768
1738577875,651.11,646.95,1768
1738577917,651.11,646.95,1768
1738577996,651.11,646.95,1768
1738578059,651.11,646.95,1768
1738578116,651.11,646.95,1768
1738578164,651.11,646.95,1768
1738578225,651.11,646.95,1768
1738578299,651.11,646.95,1768
1738578353,651.10,647.45,1772
1738578415,651.10,647.45,1772
1738578478,651.10,647.45,1772
1738578538,651.10,647.45,1772
1738578599,650.99,645.60,1813
1738578658,650.99,646.70,1815
1738578717,650.99,646.70,1815
1738578759,650.99,646.70,1815
1738578821,650.99,646.70,1815
1738578898,650.97,647.65,1823
1738578958,650.97,647.65,1823
1738579013,650.95,646.65,1835
1738579065,650.95,646.65,1835
1738579139,650.95,646.65,1835
1738579196,650.95,646.65,1835
1738579259,650.95,646.65,1835
1738579318,650.91,645.00,1846
1738579373,650.91,645.00,1847
1738579435,650.79,645.05,1887
1738579489,650.79,645.05,1887
1738579559,650.79,645.05,1887
1738579619,650.79,645.05,1887
1738579679,650.79,645.05,1887
1738579737,650.79,645.05,1887
1738579795,650.79,645.05,1887
1738579859,650.79,645.05,1887
1738579888,650.79,645.05,1887
1738579970,650.79,645.05,1887
1738580036,650.79,645.05,1887
1738580099,650.53,648.85,2123
1738580157,650.53,648.85,2123
1738580208,650.53,648.65,2124
1738580279,650.53,648.65,2124
1738580330,650.53,648.65,2124
1738580390,650.53,648.65,2124
1738580453,650.53,648.65,2124
1738580510,650.53,648.65,2124
1738580567,650.53,648.65,2124
1738580617,650.53,646.70,2125
1738580685,650.53,646.70,2125
1738580757,650.37,650.90,2369
1738580817,650.33,648.45,2428
1738580869,650.33,648.45,2428
1738580936,650.33,648.45,2428
1738580994,650.33,648.45,2428
1738581056,650.33,650.10,2453
1738581118,650.32,648.25,2462
1738581179,650.33,650.95,2492
1738581237,650.33,650.95,2492
1738581297,650.33,650.95,2492
1738581359,650.33,650.95,2492
1738581419,650.33,650.95,2492
1738581475,650.35,651.75,2529
1738581531,650.35,651.75,2529
1738581593,650.35,651.75,2529
1738581654,650.35,651.75,2529
1738581719,650.35,651.75,2529
1738581775,650.35,651.75,2529
1738581837,650.35,651.75,2529
1738581899,650.35,650.35,2577
1738581940,650.35,650.35,2577
1738582017,650.35,650.35,2577
1738582071,650.35,650.35,2577
1738582138,650.35,650.35,2577
1738582194,650.35,650.35,2577
1738582247,650.35,650.35,2577
1738582318,650.35,650.35,2577
1738582369,650.35,650.35,2577
1738582419,650.35,650.35,2577
1738582495,650.35,650.35,2577
1738582558,650.35,650.35,2577
1738582605,650.35,650.35,2577
1738582679,650.35,650.35,2577
1738582728,650.35,650.35,2577
1738582799,650.35,650.35,2577
1738582846,650.35,650.35,2577
1738582908,650.35,650.35,2577
1738582975,650.35,650.35,2577
1738583030,650.35,650.35,2577
1738583098,650.35,650.35,2577
1738583157,650.32,648.25,2617
1738583219,650.32,648.25,2617
1738583264,650.32,648.25,2617
1738583316,650.32,648.25,2617
1738583398,650.32,648.25,2617
1738583454,650.32,648.25,2617
1738583518,650.32,648.25,2617
1738583578,650.25,648.60,2722
1738583639,650.25,648.60,2722
1738583694,650.25,648.60,2722
1738583753,650.25,648.60,2722
1738583790,650.25,648.60,2722
1738583877,650.25,648.60,2722
1738583934,650.24,648.25,2732
1738583992,650.24,648.25,2732
1738584047,650.24,648.25,2732
1738584109,650.24,648.25,2732
1738584177,650.24,648.25,2732
1738584237,650.24,648.25,2732
1738584294,650.24,648.25,2732
1738584322,650.24,648.25,2732
1738584412,650.24,648.25,2732
1738584477,650.24,648.25,2732
1738584537,650.24,648.25,2732
1738584597,650.24,648.25,2732
1738584650,650.24,648.25,2732
1738584716,650.24,648.25,2732
1738584771,650.24,648.25,2732
1738584830,650.24,648.25,2732
1738584897,650.24,648.25,2732
1738584958,650.24,648.25,2732
1738585017,650.24,648.25,2732
1738585078,650.24,648.25,2732
1738585127,650.24,648.25,2732
1738585199,650.24,648.25,2732
1738585258,650.24,648.25,2732
1738585314,650.24,648.25,2732
1738585376,650.24,648.25,2732
1738585428,650.24,648.25,2732
1738585497,650.24,648.25,2732
1738585552,650.24,648.25,2732
1738585598,650.24,648.75,2737
1738585669,650.24,648.75,2737
1738585711,650.24,648.75,2737
1738585799,650.24,648.75,2737
1738585855,650.24,648.75,2737
1738585918,650.24,648.75,2737
1738585957,650.24,648.75,2737
1738586013,650.24,648.75,2737
1738586099,650.24,648.75,2737
1738586159,650.24,648.75,2737
1738586207,650.24,648.75,2737
1738586249,650.24,648.75,2737
1738586338,650.24,648.75,2737
1738586382,650.24,648.75,2737
1738586439,650.24,648.75,2737
1738586508,650.24,648.75,2737
1738586532,650.23,648.05,2749
1738586634,650.23,648.05,2749
1738586693,650.23,648.05,2749
1738586747,650.23,648.05,2749
1738586786,650.23,648.05,2749
1738586861,650.23,648.05,2749
1738586902,650.23,648.05,2749
1738586996,650.23,648.05,2749
1738587057,650.23,648.05,2749
1738587109,650.23,648.05,2749
1738587155,650.23,648.05,2749
1738587238,650.23,648.05,2749
1738587299,650.23,648.05,2749
1738587357,650.23,648.05,2749
1738587407,650.23,648.05,2749
1738587465,650.23,648.05,2749
1738587537,650.23,648.05,2749
1738587590,650.23,648.05,2749
1738587643,650.23,648.05,2749
1738587699,650.23,648.05,2749
1738587776,650.23,648.05,2749
1738587831,650.23,648.05,2749
1738587898,650.23,648.05,2749
1738587948,650.23,648.05,2749
1738588013,650.23,648.05,2749
1738588072,650.23,648.05,2749
1738588135,650.23,648.05,2749
1738588191,650.23,648.05,2749
1738588259,650.23,648.05,2749
1738588299,650.23,648.05,2749
1738588375,650.22,649.55,2778
1738588429,650.22,649.55,2778
1738588497,650.22,649.55,2778
1738588556,650.22,649.55,2778
1738588565,650.22,649.55,2778
1738588674,650.22,649.55,2778
1738588719,650.22,649.55,2778
1738588790,650.22,649.55,2778
1738588858,650.22,649.55,2778
1738588919,650.22,649.55,2778
1738588978,650.22,649.55,2778
1738589020,650.22,649.55,2778
1738589097,650.22,649.55,2778
1738589159,650.22,649.55,2778
1738589219,650.22,649.55,2778
1738589253,650.00,646.25,2968
1738589320,650.00,646.25,2968
1738589399,650.00,646.25,2968
1738589447,650.00,646.25,2968
1738589516,650.00,646.25,2968
1738589578,650.00,646.25,2968
1738589629,650.00,646.25,2968
1738589658,650.00,646.25,2968
1738589757,650.00,646.25,2968
1738589816,650.00,646.25,2968
1738589874,649.98,649.55,3071
1738589936,649.94,648.25,3141
1738589966,649.94,648.25,3141
1738590056,649.94,648.25,3141
1738590093,649.94,648.25,3141
1738590154,649.94,648.25,3141
1738590238,649.94,648.25,3141
1738590299,649.94,648.25,3141
1738590358,649.94,648.25,3141
1738590399,649.94,648.25,3141
1738590471,649.94,648.25,3141
1738590598,649.94,648.25,3141
1738590634,649.94,648.25,3141
1738590708,649.94,648.25,3141
1738590779,649.94,648.25,3141
1738590839,649.94,648.25,3141
1738590896,649.94,648.25,3141
1738590957,649.94,648.25,3141
1738591012,649.94,648.25,3141
1738591071,649.94,649.55,3149
1738591123,649.94,649.55,3149
1738591199,649.94,649.55,3149
1738591259,649.94,649.55,3149
1738591319,649.94,650.25,3170
1738591371,649.94,650.25,3170
1738591428,649.94,650.25,3170
1738591497,649.94,650.25,3170
1738591558,649.95,651.60,3175
1738591611,649.95,651.60,3175
1738591672,649.95,651.60,3175
1738591739,649.95,651.60,3175
1738591796,649.95,651.60,3175
1738591858,649.95,651.60,3175
1738591917,649.95,651.60,3175
1738591961,649.95,651.60,3175
1738592004,649.95,651.60,3175
1738592095,649.95,651.60,3175
1738592154,649.95,651.60,3175
1738592219,649.95,651.95,3179
1738592276,649.95,651.95,3179
1738592339,649.95,651.95,3179
1738592391,649.99,652.35,3233
1738592457,649.99,652.35,3233
1738592519,649.99,652.35,3233
1738592579,649.99,655.00,3236
1738592639,649.99,655.00,3236
1738592697,650.11,653.00,3366
1738592738,650.11,653.00,3366
1738592817,650.11,653.00,3366
1738592876,650.11,653.00,3366
1738592935,650.11,653.00,3366
1738592989,650.11,653.00,3366
1738593059,650.11,653.00,3366
1738593111,650.11,653.00,3366
1738593177,650.11,653.00,3366
1738593236,650.11,653.00,3366
1738593295,650.11,654.50,3367
1738593351,650.12,655.80,3369
1738593418,650.14,656.05,3382
1738593479,650.14,655.40,3384
1738593539,650.16,651.70,3403
1738593597,650.16,651.70,3403
1738593659,650.47,653.65,3913
1738593718,650.47,653.65,3913
1738593774,650.47,653.65,3913
1738593839,650.54,654.30,3961
1738593897,650.54,654.30,3961
1738593951,650.54,654.30,3961
1738594018,650.54,654.30,3961
1738594067,650.54,654.30,3961
1738594138,650.54,654.30,3961
1738594199,650.54,654.30,3961
1738594255,650.54,654.30,3961
1738594318,650.54,654.30,3961
1738594378,650.54,654.30,3961
1738594433,650.54,654.30,3961
