t,ap,cp,v
1738574215,470.00,470.00,25
1738574279,470.00,470.00,25
1738574339,470.00,470.00,25
1738574387,470.00,470.00,25
1738574459,469.90,467.55,26
1738574508,469.24,467.15,34
1738574579,469.21,467.95,35
1738574629,469.21,467.95,35
1738574698,468.82,468.55,51
1738574758,469.90,470.80,137
1738574806,469.90,470.80,137
1738574879,470.23,475.05,146
1738574939,470.44,474.30,156
1738574995,470.44,474.30,156
1738575058,470.46,473.60,157
1738575115,470.49,474.00,158
1738575166,471.85,474.00,258
1738575237,471.93,473.45,274
1738575299,471.93,473.45,274
1738575359,471.92,471.35,278
1738575418,471.92,471.65,282
1738575475,471.91,471.65,285
1738575537,471.91,471.65,285
1738575597,471.89,471.05,290
1738575653,471.91,472.35,300
1738575719,471.91,472.35,300
1738575779,471.91,472.35,300
1738575839,471.91,472.35,300
1738575898,470.67,471.25,701
1738575959,470.67,471.25,701
1738576005,470.67,471.25,701
1738576074,470.67,471.25,701
1738576138,470.67,471.25,701
1738576199,470.47,467.05,742
1738576255,470.46,469.30,745
1738576315,470.45,467.85,747
1738576378,470.45,467.85,747
1738576437,470.44,467.35,749
1738576498,470.44,468.15,751
1738576559,470.44,468.15,751
1738576616,470.44,468.15,751
1738576679,470.39,468.05,765
1738576737,470.39,468.05,765
1738576791,470.39,468.05,765
1738576858,470.39,467.50,766
1738576919,470.39,467.50,766
1738576978,470.37,467.30,771
1738577038,470.36,466.85,774
1738577097,470.36,466.85,774
1738577159,470.36,466.85,774
1738577218,470.36,466.85,774
1738577279,470.36,466.85,774
1738577339,470.36,466.85,774
1738577397,470.36,466.85,774
1738577456,470.36,466.85,774
1738577501,470.34,467.60,781
1738577638,470.34,467.60,781
1738577698,470.34,467.60,781
1738577729,470.32,469.40,801
1738577816,470.32,469.40,801
1738577871,470.32,469.40,801
1738577917,470.32,469.40,801
1738577998,470.32,469.40,801
1738578059,470.32,469.40,801
1738578117,470.32,469.40,801
1738578176,470.29,470.70,882
1738578239,470.29,470.70,882
1738578281,470.29,470.70,882
1738578351,470.29,470.70,882
1738578418,470.29,470.70,882
1738578466,470.29,470.70,882
1738578488,470.29,470.70,882
1738578596,470.29,470.70,882
1738578658,470.29,470.70,882
1738578717,470.29,470.70,882
1738578778,470.22,468.85,927
1738578839,470.07,468.60,1027
1738578899,470.07,470.35,1028
1738578942,470.07,470.35,1028
1738579019,470.07,470.35,1028
1738579074,470.07,470.35,1028
1738579139,470.07,470.35,1028
1738579196,470.07,469.75,1029
1738579256,470.07,469.75,1029
1738579317,470.07,469.75,1029
1738579373,470.07,469.75,1029
1738579433,470.07,469.75,1029
1738579499,470.08,470.60,1071
1738579558,470.08,470.60,1071
1738579616,470.09,471.95,1076
1738579678,470.09,471.95,1076
1738579739,470.10,471.95,1086
1738579791,470.10,471.95,1086
1738579827,470.10,471.95,1086
1738579919,470.10,471.95,1086
1738579979,470.10,471.95,1086
1738580032,470.10,471.95,1086
1738580098,470.10,471.95,1086
1738580158,470.10,471.95,1086
1738580216,470.10,471.95,1086
1738580279,470.10,471.95,1086
1738580339,470.19,474.15,1116
1738580399,470.19,474.15,1116
1738580443,470.19,474.15,1116
1738580514,470.19,474.15,1116
1738580555,470.19,474.15,1116
1738580639,470.19,474.15,1116
1738580697,470.19,474.15,1116
1738580743,470.19,474.15,1116
1738580818,470.19,474.15,1116
1738580866,470.19,474.15,1116
1738580926,470.19,474.15,1116
1738580998,470.21,470.95,1146
1738581059,470.21,470.95,1146
1738581118,470.21,470.95,1146
1738581168,470.21,470.95,1146
1738581215,470.21,470.95,1146
1738581298,470.21,470.95,1146
1738581358,470.21,470.95,1146
1738581416,470.21,470.95,1146
1738581438,470.21,470.95,1146
1738581504,470.21,470.95,1146
1738581597,470.21,470.95,1146
1738581619,470.21,470.95,1146
1738581680,470.26,473.65,1161
1738581740,470.26,473.65,1161
1738581826,470.26,473.65,1161
1738581896,470.26,473.65,1161
1738581940,470.26,473.65,1161
1738582017,470.32,471.70,1212
1738582078,470.32,471.70,1212
1738582132,470.32,471.70,1212
1738582199,470.32,470.45,1214
1738582246,470.32,470.45,1214
1738582318,470.45,472.00,1314
1738582368,470.45,472.00,1314
1738582437,470.45,472.00,1314
1738582465,470.45,472.00,1314
1738582548,470.45,472.00,1314
1738582616,470.45,472.00,1314
1738582676,470.45,472.00,1314
1738582736,470.45,472.00,1314
1738582784,470.45,472.00,1314
1738582856,470.45,472.00,1314
1738582914,470.45,472.00,1314
1738582979,470.45,472.00,1314
1738583030,470.45,472.00,1314
1738583091,470.45,472.00,1314
1738583128,470.45,472.00,1314
1738583218,470.45,472.00,1314
1738583278,470.45,471.55,1315
1738583329,470.45,471.55,1315
1738583386,470.45,471.55,1315
1738583459,470.45,471.55,1315
1738583519,470.45,471.55,1315
1738583554,470.45,471.55,1315
1738583638,470.45,471.55,1315
1738583696,470.45,471.55,1315
1738583759,470.45,471.55,1315
1738583802,470.45,471.55,1315
1738583838,470.45,471.55,1315
1738583939,470.45,471.55,1320
1738583991,470.45,471.55,1320
1738584053,470.45,471.55,1320
1738584117,470.45,471.55,1320
1738584166,470.45,471.55,1320
1738584236,470.45,471.55,1320
1738584295,470.45,471.55,1320
1738584332,470.45,471.55,1320
1738584419,470.45,471.55,1320
1738584425,470.45,471.55,1320
1738584492,470.45,471.55,1320
1738584594,470.45,471.55,1320
1738584650,470.45,471.55,1320
1738584691,470.45,471.55,1320
1738584734,470.45,471.55,1320
1738584809,470.45,471.55,1320
1738584874,470.45,471.55,1320
1738584943,470.65,471.55,1606
1738585012,470.65,471.55,1606
1738585075,470.65,471.55,1606
1738585138,470.65,471.55,1607
1738585179,470.65,471.55,1607
