t,ap,cp,v
1738573671,610.00,610.00,263
1738573741,610.00,610.00,263
1738574159,604.30,596.30,3148
1738574219,601.98,596.25,4541
1738574279,601.86,599.95,4752
1738574339,601.74,599.15,5081
1738574399,601.25,595.00,5657
1738574459,600.71,597.00,6292
1738574519,600.52,598.55,6812
1738574579,600.47,600.10,7234
1738574639,600.46,599.35,7330
1738574698,600.07,598.50,8160
1738574759,600.04,600.00,8720
1738574819,600.13,604.60,9296
1738574879,600.37,607.95,9701
1738574939,602.96,606.80,14460
1738574999,603.19,605.75,15509
1738575059,603.29,602.25,17078
1738575119,603.30,603.50,17462
1738575179,603.44,604.15,18526
1738575239,603.42,602.30,18876
1738575298,603.41,602.45,19096
1738575359,603.30,600.90,20118
1738575419,602.85,599.10,22927
1738575479,602.83,597.00,23013
1738575539,602.79,594.60,23133
1738575599,600.49,590.10,29438
1738575659,600.42,593.00,29689
1738575719,600.41,593.00,29725
1738575779,600.34,593.05,30021
1738575839,600.07,594.05,31222
1738575899,600.03,592.75,31402
1738575959,600.02,592.45,31454
1738576017,599.97,593.15,31664
1738576079,599.96,592.40,31674
1738576139,599.96,592.70,31685
1738576199,599.73,589.10,32430
1738576259,599.58,590.75,32900
1738576319,599.54,590.35,33058
1738576379,599.46,590.60,33363
1738576439,599.41,589.00,33495
1738576499,599.41,588.90,33523
1738576559,599.36,588.00,33656
1738576619,599.11,587.70,34438
1738576679,598.91,585.10,34985
1738576739,598.38,585.25,36353
1738576799,598.26,586.75,36692
1738576859,598.02,587.45,37528
1738576919,597.82,587.90,38329
1738576978,597.81,587.70,38382
1738577039,597.80,588.00,38387
1738577099,597.80,587.70,38400
1738577159,597.77,587.30,38504
1738577219,597.77,588.30,38509
1738577279,597.76,589.10,38555
1738577339,597.73,589.70,38712
1738577399,597.64,588.75,39087
1738577456,597.61,590.50,39237
1738577519,597.52,591.20,39705
1738577579,597.52,590.00,39731
1738577639,597.44,589.20,40135
1738577699,597.41,589.20,40309
1738577759,597.38,587.60,40429
1738577819,597.34,586.10,40592
1738577878,597.31,586.25,40705
1738577939,597.29,586.10,40773
1738577999,597.22,586.00,41025
1738578059,597.16,586.40,41252
1738578119,597.12,587.50,41394
1738578179,597.11,587.75,41431
1738578239,596.83,587.60,42809
1738578299,596.83,586.90,42819
1738578359,596.81,587.85,42888
1738578418,596.79,587.45,42988
1738578479,596.79,586.90,43001
1738578539,596.78,586.55,43036
1738578599,596.72,584.95,43265
1738578659,596.71,586.00,43286
1738578719,596.70,585.90,43331
