t,ap,cp,v
1738573635,486.85,486.85,211
1738573682,486.85,486.85,211
1738573740,486.85,486.85,211
1738574077,486.85,486.85,211
1738574159,485.70,485.00,1249
1738574219,485.35,482.00,2174
1738574279,485.23,482.60,2282
1738574339,484.70,483.35,2955
1738574399,484.69,482.70,2980
1738574459,484.57,481.40,3110
1738574519,483.44,478.85,4111
1738574579,482.20,477.85,5744
1738574639,481.89,477.20,6093
1738574699,481.80,478.10,6262
1738574759,481.77,480.05,6352
1738574819,481.78,484.35,6409
1738574879,481.79,484.20,6411
1738574939,481.82,484.05,6591
1738574999,481.84,483.45,6667
1738575059,481.85,481.75,6715
1738575119,481.83,481.40,7487
1738575179,481.78,481.00,8197
1738575239,481.77,482.05,8451
1738575299,481.75,480.80,8610
1738575359,481.74,480.40,8719
1738575419,481.71,480.60,8938
1738575479,481.69,481.20,9100
1738575539,481.65,480.55,9367
1738575599,481.64,480.35,9423
1738575659,481.61,480.95,9698
1738575719,481.61,480.40,9726
1738575776,481.61,480.75,9733
1738575839,481.61,481.40,9753
1738575899,481.61,481.40,9753
1738575959,481.61,481.40,9753
1738576019,481.60,481.30,9830
1738576079,481.49,480.75,10550
1738576139,481.49,480.75,10550
1738576197,481.49,479.55,10593
1738576259,481.49,480.80,10607
1738576319,481.49,480.75,10646
1738576379,481.48,480.95,10670
1738576439,481.47,480.30,10807
1738576499,481.46,480.70,10877
1738576559,481.44,481.10,11140
1738576619,481.44,481.75,11141
1738576679,481.44,481.20,11162
1738576739,481.42,480.50,11712
1738576799,481.41,480.15,11762
1738576859,481.40,480.20,11951
1738576919,481.41,482.10,12054
1738576979,481.41,482.10,12054
1738577038,481.41,482.10,12054
1738577099,481.41,482.40,12063
1738577159,481.41,481.80,12080
1738577219,481.41,482.30,12156
1738577279,481.46,483.20,12696
1738577339,481.46,483.20,12699
1738577399,481.46,483.20,12699
1738577459,481.48,484.70,12784
1738577519,481.64,486.00,13316
1738577579,482.07,487.80,14318
1738577639,482.12,488.25,14449
1738577699,482.13,487.35,14474
1738577759,482.14,486.25,14492
1738577819,482.29,486.85,15015
1738577879,482.30,487.50,15044
1738577939,482.30,487.50,15044
1738577999,482.30,487.50,15044
1738578059,482.30,487.50,15044
1738578119,482.30,487.50,15044
1738578179,482.30,487.50,15044
1738578239,482.30,487.60,15061
1738578299,482.30,487.60,15061
1738578359,482.30,487.60,15061
1738578419,482.33,486.00,15149
1738578479,482.33,486.00,15149
1738578539,482.38,485.30,15440
1738578599,482.38,484.45,15451
1738578659,482.38,484.45,15451
1738578719,482.38,484.45,15451
1738578779,482.39,485.60,15459
1738578839,482.39,485.35,15471
1738578899,482.39,485.35,15471
1738578959,482.43,487.15,15603
1738579019,482.43,487.15,15603
1738579079,482.43,487.15,15603
1738579139,482.43,486.30,15614
1738579199,482.43,486.30,15614
1738579259,482.43,486.60,15633
1738579319,482.43,486.60,15633
1738579379,482.48,487.00,15803
1738579439,482.51,487.00,15905
1738579499,482.51,487.00,15905
