t,ap,cp,v
1738574159,1516.28,1512.25,34
1738574219,1517.11,1518.25,78
1738574279,1519.43,1525.45,152
1738574339,1519.43,1525.45,152
1738574399,1519.31,1510.40,154
1738574459,1519.11,1512.75,159
1738574519,1519.11,1512.75,159
1738574578,1518.95,1506.35,161
1738574639,1518.85,1502.25,162
1738574699,1518.85,1502.25,162
1738574759,1518.40,1510.35,171
1738574819,1519.06,1521.05,225
1738574879,1519.14,1520.20,230
1738574939,1519.14,1520.20,230
1738574999,1519.14,1520.20,230
1738575059,1519.14,1517.40,231
1738575119,1519.14,1517.40,231
1738575179,1518.68,1518.35,297
1738575239,1518.67,1518.40,342
1738575299,1518.69,1521.65,344
1738575359,1518.86,1522.00,364
1738575419,1518.86,1522.00,364
1738575478,1518.87,1517.35,595
1738575539,1518.87,1517.35,595
1738575599,1521.32,1537.15,723
1738575657,1521.84,1537.10,753
1738575719,1521.84,1537.10,753
1738575779,1521.84,1537.10,753
1738575839,1521.84,1537.10,753
1738575899,1521.91,1529.85,759
1738575959,1522.13,1529.15,783
1738576019,1522.13,1529.15,783
1738576079,1522.13,1529.15,783
1738576138,1522.17,1523.30,803
1738576199,1522.17,1523.30,803
1738576259,1522.17,1523.30,803
1738576319,1522.17,1523.30,803
1738576379,1522.17,1523.30,803
1738576439,1522.17,1523.30,803
1738576499,1522.19,1526.60,812
1738576559,1522.20,1524.90,814
1738576619,1522.21,1520.65,1073
1738576678,1522.21,1520.65,1073
1738576739,1522.19,1518.60,1080
1738576799,1522.19,1518.60,1080
1738576858,1522.19,1518.60,1080
1738576918,1522.19,1518.60,1080
1738576979,1522.19,1518.60,1080
1738577039,1522.19,1518.60,1080
1738577099,1522.19,1518.60,1080
1738577159,1522.19,1518.60,1080
1738577219,1522.19,1518.60,1080
1738577279,1522.19,1518.60,1080
1738577339,1522.19,1518.60,1080
1738577399,1522.19,1518.60,1080
1738577459,1522.19,1518.60,1080
1738577519,1522.19,1518.60,1080
1738577579,1522.19,1518.60,1080
1738577639,1522.19,1518.60,1080
1738577698,1522.09,1517.00,1100
1738577759,1522.09,1517.00,1100
1738577819,1522.09,1517.00,1100
1738577878,1522.09,1517.00,1100
1738577939,1522.08,1518.75,1104
1738577998,1522.08,1518.75,1104
1738578059,1522.08,1518.75,1104
1738578119,1522.08,1518.75,1104
1738578179,1522.00,1518.40,1129
1738578239,1522.00,1518.40,1129
1738578299,1522.00,1518.40,1129
1738578359,1522.00,1518.40,1129
1738578419,1522.00,1518.40,1129
1738578479,1522.00,1518.40,1129
1738578539,1522.00,1518.40,1129
1738578599,1522.00,1518.40,1129
1738578659,1522.00,1518.40,1129
1738578719,1522.00,1518.40,1129
1738578778,1521.91,1503.55,1134
1738578839,1521.91,1503.55,1134
1738578899,1521.91,1503.55,1134
1738578959,1521.91,1503.55,1134
1738579019,1521.91,1503.55,1134
1738579079,1521.91,1503.55,1134
1738579139,1521.91,1503.55,1134
1738579199,1521.91,1503.55,1134
1738579259,1521.91,1503.55,1134
1738579318,1521.91,1503.55,1134
1738579376,1521.89,1505.55,1136
1738579439,1521.84,1508.85,1140
1738579499,1521.84,1508.85,1140
1738579559,1521.84,1508.85,1140
1738579617,1521.84,1508.85,1140
1738579678,1521.84,1508.85,1140
1738579739,1520.87,1507.25,1225
1738579799,1520.87,1507.25,1225
1738579858,1520.87,1507.25,1225
1738579918,1520.87,1507.25,1225
1738579979,1520.77,1519.25,1281
1738580036,1520.77,1519.25,1281
1738580098,1520.77,1519.25,1281
1738580158,1520.77,1519.25,1281
