t,ap,cp,v
1738573635,1437.65,1437.65,514
1738573727,1437.65,1437.65,514
1738573740,1437.65,1437.65,514
1738574159,1430.77,1428.25,1495
1738574219,1430.24,1429.70,1957
1738574279,1429.76,1421.35,2109
1738574339,1429.51,1420.15,2175
1738574399,1429.22,1418.60,2234
1738574459,1428.55,1416.90,2371
1738574519,1427.55,1417.80,2607
1738574579,1427.40,1422.10,2661
1738574639,1427.14,1421.70,2796
1738574698,1427.14,1421.70,2796
1738574759,1427.06,1427.65,3026
1738574819,1427.13,1433.40,3087
1738574879,1427.22,1432.80,3135
1738574939,1427.22,1434.45,3138
1738574999,1427.33,1433.05,3198
1738575059,1427.47,1434.60,3256
1738575119,1427.65,1437.55,3330
1738575179,1428.05,1437.45,3463
1738575239,1428.05,1437.45,3463
1738575298,1428.07,1438.10,3469
1738575359,1428.38,1435.10,3586
1738575419,1428.46,1436.00,3624
1738575479,1428.48,1434.40,3637
1738575539,1428.53,1433.90,3663
1738575599,1428.60,1432.35,3741
1738575659,1428.63,1436.05,3756
1738575719,1428.66,1432.55,3788
1738575779,1428.68,1434.70,3801
1738575839,1428.68,1434.70,3801
1738575899,1428.67,1427.50,3838
1738575959,1428.67,1426.35,3842
1738576017,1428.67,1428.50,3868
1738576079,1428.66,1424.20,3876
1738576139,1428.56,1422.85,3939
1738576199,1428.53,1421.80,3960
1738576259,1427.84,1419.70,4314
1738576319,1427.77,1421.50,4371
1738576379,1427.72,1420.00,4395
1738576439,1427.66,1420.65,4437
1738576499,1427.66,1420.00,4438
1738576559,1427.62,1419.00,4455
1738576619,1427.62,1419.00,4455
1738576679,1427.51,1420.60,4531
1738576739,1427.50,1420.60,4533
1738576799,1427.40,1420.00,4599
1738576859,1427.39,1420.00,4604
1738576919,1426.92,1418.70,4852
1738576979,1426.73,1417.00,4961
1738577039,1426.68,1419.55,4999
1738577099,1426.68,1419.55,4999
1738577158,1426.67,1418.75,5001
1738577219,1426.48,1417.00,5111
1738577279,1426.48,1417.00,5111
1738577339,1426.43,1417.50,5137
1738577399,1426.22,1417.30,5259
1738577459,1426.22,1419.95,5260
1738577519,1426.22,1419.95,5260
