t,ap,cp,v
1738573639,167.20,167.20,35
1738573741,167.20,167.20,35
1738574159,167.83,168.00,1543
1738574219,167.98,167.20,2245
1738574279,166.62,165.45,5571
1738574339,165.38,163.55,10152
1738574399,165.31,163.80,10531
1738574459,165.27,164.80,11326
1738574518,165.25,164.10,11463
1738574579,165.22,163.90,11729
1738574639,165.19,163.65,11955
1738574697,165.19,163.25,11971
1738574759,165.08,162.95,12613
1738574818,165.04,164.00,12926
1738574879,165.02,163.65,13246
1738574939,164.95,163.40,13742
1738574999,164.94,164.00,13877
1738575057,164.92,163.70,14053
1738575119,164.89,164.10,14618
1738575179,164.87,165.20,16899
1738575239,164.91,166.35,17521
1738575299,165.10,167.50,19466
1738575359,165.14,167.90,19854
1738575419,165.17,168.20,20005
1738575478,165.21,168.20,20326
1738575539,165.23,168.25,20446
1738575597,165.32,168.40,21032
1738575659,165.71,169.05,23638
1738575719,165.81,169.20,24323
1738575775,165.81,169.30,24341
1738575833,165.96,169.45,25342
1738575899,166.13,169.50,26501
1738575958,166.25,169.20,27620
1738576016,166.32,169.35,28378
1738576079,166.33,169.40,28506
1738576139,166.33,169.15,28507
1738576199,166.33,169.15,28507
1738576259,166.33,168.75,28546
1738576316,166.37,169.05,28915
1738576379,166.39,168.90,29135
1738576439,166.39,168.90,29135
1738576499,166.40,169.45,29261
1738576559,166.55,170.65,30414
1738576619,166.56,170.30,30543
1738576679,166.56,170.30,30543
1738576739,166.57,169.95,30594
1738576799,166.57,169.90,30601
1738576859,166.58,170.10,30674
1738576919,166.58,170.10,30674
1738576979,166.66,170.70,31288
1738577039,166.67,170.55,31362
1738577099,166.67,170.55,31362
1738577158,166.67,170.70,31412
1738577219,166.71,171.15,31681
1738577279,166.79,172.35,32149
1738577338,167.21,172.55,34904
1738577399,167.23,172.75,35048
1738577459,167.23,173.05,35064
1738577519,167.25,173.40,35145
1738577578,167.26,173.75,35199
1738577639,167.45,173.60,36299
1738577699,167.54,173.25,36885
1738577759,167.75,173.90,38111
1738577819,167.89,174.35,38986
1738577879,167.95,174.90,39326
1738577939,167.95,174.90,39326
1738577999,168.03,175.00,39826
1738578059,168.21,175.00,40826
1738578118,168.52,175.00,42746
1738578179,168.53,174.65,42770
1738578239,168.54,174.25,42908
1738578299,168.55,174.25,42918
1738578359,168.55,174.60,42920
1738578419,168.60,174.60,43339
1738578479,168.70,174.55,44115
1738578539,168.70,174.55,44115
1738578599,168.70,174.40,44122
1738578659,168.74,173.40,44399
1738578719,168.86,174.00,45574
1738578778,168.86,174.00,45574
1738578839,168.89,174.85,45764
1738578898,168.93,175.50,46100
1738578959,169.12,175.65,47399
1738579019,169.25,175.35,48409
1738579079,169.39,175.95,49409
1738579139,169.39,175.95,49409
1738579198,169.39,175.95,49409
1738579259,169.39,175.95,49409
1738579319,169.47,175.90,50060
1738579379,169.49,175.90,50210
1738579439,169.76,176.20,52505
1738579499,169.77,176.20,52612
1738579559,169.79,176.20,52738
1738579619,170.21,176.50,56515
1738579679,170.31,176.60,57368
1738579739,170.31,176.45,57386
1738579799,170.32,176.60,57499
1738579859,170.36,176.10,57872
1738579919,170.37,175.85,57930
1738579979,170.37,176.05,57976
1738580037,170.38,176.05,58035
1738580099,170.69,174.85,62059
1738580159,170.69,174.50,62119
1738580219,170.69,174.50,62139
1738580279,171.03,175.00,67573
1738580339,171.03,175.00,67573
1738580399,171.04,175.10,67692
1738580459,171.04,175.10,67692
1738580519,171.04,174.90,67713
1738580579,171.05,174.85,67820
1738580639,171.05,174.85,67820
