t,ap,cp,v
1738573635,1459.95,1459.95,25
1738573685,1459.95,1459.95,25
1738573740,1459.95,1459.95,25
1738574159,1446.24,1430.40,47
1738574217,1438.27,1434.20,124
1738574279,1438.27,1434.20,124
1738574339,1437.37,1437.00,176
1738574398,1437.41,1443.70,189
1738574459,1437.56,1430.45,307
1738574517,1434.85,1426.15,411
1738574578,1434.85,1426.15,411
1738574638,1434.85,1435.55,413
1738574699,1434.87,1437.05,417
1738574759,1435.28,1438.75,481
1738574819,1438.77,1461.00,592
1738574878,1438.95,1461.00,597
1738574939,1439.13,1459.15,602
1738574999,1439.13,1459.15,602
1738575059,1441.67,1446.95,722
1738575119,1442.04,1444.25,806
1738575177,1442.52,1446.80,878
1738575239,1442.52,1446.80,878
1738575298,1442.52,1446.80,878
1738575356,1442.52,1446.80,878
1738575417,1442.08,1438.70,1019
1738575478,1441.24,1439.00,1274
1738575539,1441.24,1439.00,1274
1738575597,1441.24,1439.00,1274
1738575659,1441.24,1439.00,1274
1738575719,1441.23,1436.55,1278
1738575779,1441.11,1438.50,1333
1738575838,1441.14,1443.25,1353
1738575897,1441.14,1443.25,1353
1738575958,1441.14,1443.25,1353
1738576015,1441.14,1443.25,1353
1738576077,1441.14,1443.25,1353
1738576139,1441.14,1441.50,1356
1738576196,1441.14,1441.50,1356
1738576259,1441.12,1437.75,1365
1738576319,1441.12,1437.75,1365
1738576379,1441.04,1435.05,1384
1738576438,1441.04,1435.05,1384
1738576497,1441.04,1435.05,1384
1738576558,1441.01,1432.00,1389
1738576612,1441.01,1432.00,1389
1738576677,1441.01,1432.00,1389
1738576739,1440.86,1433.05,1415
1738576799,1440.86,1433.05,1415
1738576858,1440.86,1433.05,1415
1738576915,1440.86,1433.05,1415
1738576979,1440.86,1433.05,1415
1738577037,1440.68,1440.00,1501
1738577098,1440.68,1441.10,1509
1738577158,1440.68,1441.10,1509
1738577219,1440.68,1441.10,1509
1738577279,1441.01,1446.60,1608
1738577339,1441.60,1452.60,1695
1738577399,1441.60,1452.60,1695
1738577457,1442.23,1458.70,1793
1738577519,1442.27,1458.70,1798
1738577579,1442.27,1458.70,1798
1738577639,1442.33,1458.95,1804
1738577699,1442.33,1458.95,1804
1738577759,1442.81,1461.80,1851
1738577817,1442.81,1461.80,1851
1738577879,1442.81,1461.80,1851
1738577938,1443.01,1464.75,1869
1738577999,1445.56,1461.45,2160
1738578059,1445.56,1461.45,2160
1738578118,1445.56,1461.45,2160
1738578179,1445.85,1456.90,2226
