t,ap,cp,v
1738573634,8011.90,8011.90,62
1738573740,8011.90,8011.90,62
1738574159,7897.91,7854.00,459
1738574219,7883.28,7844.55,664
1738574279,7883.17,7880.80,850
1738574339,7882.16,7872.20,922
1738574399,7878.97,7872.20,1063
1738574459,7878.16,7850.60,1092
1738574519,7877.50,7865.60,1155
1738574579,7877.42,7885.00,1180
1738574639,7878.79,7913.90,1255
1738574699,7880.51,7915.75,1307
1738574759,7881.13,7926.50,1325
1738574819,7893.42,8008.65,1478
1738574879,7894.56,8018.30,1491
1738574939,7902.69,8018.05,1588
1738574999,7908.98,8043.65,1668
1738575059,7920.95,8039.35,1845
1738575119,7923.82,8044.10,1891
1738575179,7928.01,8029.55,1960
1738575239,7931.98,8023.65,2040
1738575299,7934.33,8014.15,2093
1738575359,7942.96,8043.60,2290
1738575419,7952.12,8054.25,2487
1738575479,7956.59,8076.75,2589
1738575539,7960.73,8066.00,2683
1738575599,7965.08,8081.25,2791
1738575659,7989.97,8100.00,3429
1738575719,7996.24,8100.00,3628
1738575779,7996.98,8124.30,3652
1738575839,7999.76,8104.30,3731
1738575899,8001.37,8116.00,3784
1738575959,8002.86,8102.55,3839
1738576019,8005.84,8100.00,3967
1738576079,8009.23,8100.00,4115
1738576139,8011.70,8097.90,4238
1738576199,8013.10,8098.15,4309
1738576259,8013.98,8100.00,4353
1738576319,8014.27,8097.80,4368
1738576379,8015.11,8097.55,4412
1738576439,8015.73,8100.00,4444
1738576499,8017.82,8100.00,4557
1738576559,8018.18,8100.00,4577
1738576619,8018.24,8110.00,4580
1738576679,8018.26,8119.95,4581
1738576739,8018.37,8117.55,4586
1738576799,8018.54,8118.00,4594
1738576859,8018.79,8118.00,4606
1738576919,8019.39,8120.00,4633
1738576979,8019.53,8125.85,4639
1738577039,8019.53,8125.85,4639
1738577099,8019.63,8116.05,4644
1738577159,8019.67,8120.70,4646
1738577219,8019.67,8120.70,4646
1738577279,8019.69,8123.45,4647
1738577339,8019.85,8117.50,4654
1738577399,8020.30,8136.50,4674
1738577459,8020.49,8150.95,4681
1738577519,8022.44,8156.80,4751
1738577579,8023.33,8144.15,4786
1738577639,8025.75,8137.10,4892
1738577699,8026.02,8112.50,4906
1738577759,8026.08,8105.00,4910
1738577819,8026.10,8105.05,4911
1738577879,8026.10,8105.05,4911
1738577939,8026.40,8100.00,4931
1738577999,8026.66,8100.00,4948
1738578059,8027.08,8112.55,4971
1738578119,8027.56,8124.95,4996
1738578179,8027.93,8130.00,5014
1738578239,8027.93,8130.00,5014
1738578299,8027.93,8130.00,5014
1738578359,8030.89,8145.70,5139
1738578419,8030.89,8145.70,5139
1738578479,8030.96,8142.50,5142
1738578539,8031.00,8142.75,5144
1738578599,8031.07,8142.75,5147
1738578659,8031.15,8142.75,5151
1738578719,8031.44,8162.00,5163
1738578779,8031.86,8153.75,5180
1738578839,8032.01,8143.85,5187
1738578899,8032.01,8143.85,5187
1738578959,8035.74,8170.00,5336
1738579019,8035.88,8165.95,5342
1738579079,8036.38,8145.00,5366
1738579139,8036.72,8132.95,5384
1738579199,8036.72,8132.95,5384
1738579259,8036.77,8154.90,5386
1738579319,8037.24,8150.00,5408
1738579379,8037.30,8165.00,5411
1738579439,8037.30,8165.00,5411
1738579499,8037.30,8165.00,5411
1738579559,8038.00,8175.00,5440
1738579618,8038.00,8175.00,5440
1738579679,8039.64,8165.50,5506
1738579739,8042.12,8173.80,5616
1738579799,8042.23,8171.00,5621
1738579859,8042.95,8167.95,5651
1738579919,8042.95,8167.95,5651
1738579979,8045.70,8196.80,5752
1738580039,8045.70,8196.80,5752
1738580099,8046.14,8176.15,5772
1738580159,8046.31,8181.65,5779
1738580217,8046.31,8181.65,5779
1738580279,8046.31,8181.65,5779
1738580339,8046.41,8194.50,5783
1738580399,8046.41,8194.50,5783
1738580459,8047.30,8210.10,5818
1738580519,8047.70,8205.95,5832
1738580576,8047.86,8205.00,5838
1738580639,8047.94,8200.15,5841
1738580699,8049.09,8197.85,5885
1738580759,8049.34,8194.85,5895
1738580819,8050.22,8201.30,5932
1738580879,8050.22,8201.30,5932
1738580939,8051.20,8210.00,5969
1738580999,8051.33,8208.40,5974
1738581059,8051.51,8210.00,5981
1738581119,8051.92,8215.05,5996
1738581178,8051.92,8215.05,5996
1738581239,8051.95,8215.00,5997
1738581299,8052.00,8199.80,5999
1738581359,8052.27,8215.00,6009
1738581419,8052.58,8225.00,6020
1738581479,8054.68,8235.90,6088
1738581537,8054.71,8241.70,6089
1738581599,8057.47,8233.90,6185
1738581659,8057.62,8232.50,6190
1738581719,8057.79,8227.45,6196
1738581779,8058.05,8239.00,6205
1738581839,8058.22,8234.00,6211
1738581899,8061.14,8234.00,6316
1738581959,8064.34,8233.90,6436
1738582019,8064.51,8219.90,6443
1738582079,8065.18,8210.10,6473
1738582139,8065.18,8210.10,6473
1738582199,8065.93,8204.85,6508
1738582259,8065.96,8205.00,6509
1738582319,8069.28,8190.70,6676
1738582379,8069.49,8208.40,6686
1738582439,8069.95,8210.10,6708
1738582496,8070.04,8219.00,6712
1738582559,8070.08,8215.05,6714
1738582619,8070.18,8212.40,6719
1738582679,8070.18,8212.40,6719
1738582739,8070.18,8212.40,6719
1738582799,8070.18,8212.40,6719
1738582859,8070.25,8207.55,6722
1738582919,8070.25,8207.55,6722
1738582979,8070.44,8219.00,6731
1738583039,8070.44,8219.00,6731
1738583099,8072.78,8214.30,6839
1738583159,8072.87,8237.50,6843
1738583218,8073.50,8233.25,6870
1738583279,8073.64,8229.40,6876
1738583339,8073.64,8229.40,6876
1738583399,8073.64,8229.40,6876
1738583459,8074.05,8232.25,6894
1738583518,8074.17,8240.00,6899
1738583579,8076.60,8230.90,7002
1738583639,8076.62,8229.10,7003
1738583699,8076.71,8239.65,7007
1738583759,8076.71,8239.65,7007
1738583819,8076.73,8235.25,7008
1738583879,8076.73,8235.25,7008
1738583939,8076.73,8235.25,7008
1738583998,8076.73,8235.25,7008
1738584059,8082.61,8240.45,7264
1738584119,8082.65,8245.15,7266
1738584179,8082.72,8248.00,7269
1738584237,8082.72,8248.00,7269
1738584299,8082.79,8240.00,7272
1738584359,8082.83,8245.05,7274
1738584419,8084.01,8250.00,7327
1738584478,8084.30,8250.00,7340
1738584539,8084.62,8262.00,7353
1738584599,8085.78,8251.60,7404
1738584659,8085.78,8251.60,7404
1738584719,8085.80,8256.95,7405
1738584779,8085.80,8256.95,7405
1738584838,8085.80,8256.95,7405
1738584899,8087.72,8240.05,7496
1738584959,8087.72,8240.05,7496
1738585019,8087.74,8243.60,7497
1738585079,8088.74,8247.20,7544
1738585139,8088.80,8236.00,7547
1738585199,8091.40,8228.85,7683
1738585259,8091.65,8217.60,7698
1738585319,8091.76,8212.75,7705
1738585379,8091.80,8222.30,7707
1738585438,8091.96,8220.10,7717
1738585499,8091.96,8220.10,7717
1738585559,8092.07,8215.75,7724
1738585619,8092.07,8215.75,7724
1738585679,8092.11,8228.60,7726
1738585739,8092.14,8229.00,7728
1738585799,8092.35,8228.60,7739
1738585859,8092.35,8228.60,7739
1738585919,8092.35,8228.60,7739
1738585979,8092.40,8225.20,7742
1738586039,8092.44,8232.95,7744
1738586099,8092.44,8232.95,7744
1738586159,8092.44,8232.95,7744
1738586219,8092.46,8234.70,7745
1738586278,8092.46,8234.70,7745
1738586338,8092.47,8234.00,7746
1738586399,8092.54,8226.20,7750
1738586458,8092.54,8226.20,7750
1738586519,8092.54,8226.20,7750
1738586579,8093.42,8229.20,7800
1738586639,8093.42,8229.20,7800
1738586699,8093.42,8229.20,7800
1738586759,8093.77,8237.20,7818
1738586818,8093.77,8237.20,7818
1738586879,8093.77,8237.20,7818
1738586939,8093.91,8239.50,7826
1738586999,8093.91,8239.50,7826
1738587059,8093.91,8239.50,7826
1738587119,8093.91,8239.50,7826
1738587179,8094.22,8232.30,7844
1738587236,8094.28,8227.60,7848
1738587299,8094.36,8239.90,7852
1738587359,8094.36,8239.90,7852
1738587419,8094.39,8236.10,7854
1738587479,8094.39,8236.10,7854
1738587539,8094.39,8236.10,7854
1738587599,8094.39,8236.10,7854
1738587659,8094.41,8242.60,7855
1738587719,8094.43,8244.50,7856
1738587779,8096.63,8255.00,7967
1738587838,8097.56,8270.50,8011
1738587899,8097.67,8282.00,8016
1738587959,8097.67,8282.00,8016
1738588019,8097.91,8266.40,8027
1738588079,8097.91,8266.40,8027
1738588139,8097.99,8264.85,8031
1738588199,8097.99,8264.85,8031
1738588259,8101.99,8279.40,8210
1738588319,8102.20,8279.55,8220
1738588379,8102.42,8279.75,8230
1738588439,8102.94,8284.95,8253
1738588499,8102.96,8286.75,8254
1738588559,8103.01,8291.05,8256
1738588619,8104.63,8291.50,8327
1738588679,8104.65,8293.75,8328
1738588739,8104.90,8297.25,8339
1738588799,8124.09,8286.40,9277
1738588859,8125.91,8300.00,9374
1738588919,8125.91,8300.00,9374
1738588979,8125.96,8296.55,9377
1738589039,8126.00,8302.25,9379
1738589099,8126.12,8313.95,9385
1738589159,8126.21,8303.15,9390
1738589219,8126.21,8303.15,9390
1738589278,8126.23,8303.15,9391
1738589339,8126.49,8291.20,9406
1738589399,8126.49,8291.20,9406
1738589459,8126.53,8298.60,9408
1738589519,8126.53,8298.60,9408
1738589579,8126.66,8305.00,9415
1738589639,8126.66,8305.00,9415
1738589699,8127.06,8313.60,9435
1738589759,8127.68,8312.70,9467
1738589819,8127.68,8312.70,9467
1738589879,8127.77,8306.70,9472
1738589939,8127.99,8308.00,9483
1738589999,8128.75,8273.80,9526
1738590058,8128.83,8270.80,9531
1738590119,8129.16,8275.00,9554
1738590179,8130.66,8272.65,9658
1738590239,8130.74,8272.15,9664
1738590299,8130.98,8273.40,9680
1738590359,8131.02,8288.00,9682
1738590419,8131.31,8290.00,9701
1738590479,8131.33,8291.15,9702
1738590539,8132.19,8290.10,9755
1738590599,8132.58,8298.95,9778
1738590658,8132.61,8299.00,9780
1738590719,8133.03,8282.45,9807
1738590779,8133.03,8282.45,9807
1738590839,8133.03,8282.45,9807
1738590899,8133.03,8282.45,9807
1738590958,8133.34,8295.15,9826
1738591019,8133.51,8295.35,9836
1738591078,8133.54,8294.00,9838
1738591139,8134.40,8305.10,9888
1738591199,8134.70,8299.60,9906
1738591259,8134.77,8301.75,9910
1738591319,8135.03,8308.70,9925
1738591379,8135.99,8297.60,9981
1738591439,8135.99,8297.60,9981
1738591499,8136.16,8307.55,9991
1738591559,8136.16,8307.55,9991
1738591619,8145.16,8306.00,10550
1738591679,8146.12,8302.20,10614
1738591739,8146.16,8299.25,10617
1738591799,8150.63,8301.00,10932
1738591858,8150.64,8304.95,10933
1738591919,8150.64,8304.95,10933
1738591979,8150.67,8312.35,10935
1738592039,8150.74,8301.30,10940
1738592099,8150.88,8298.65,10950
1738592159,8151.16,8305.00,10970
1738592219,8151.38,8307.65,10986
1738592279,8151.53,8307.30,10996
1738592339,8151.53,8307.30,10996
1738592399,8151.53,8307.30,10996
1738592459,8151.53,8307.30,10996
1738592519,8151.53,8307.30,10996
1738592579,8151.77,8315.00,11013
1738592639,8151.84,8307.25,11018
1738592699,8151.84,8307.25,11018
1738592759,8151.84,8307.25,11018
1738592819,8151.90,8304.95,11022
1738592879,8151.92,8310.75,11024
1738592939,8151.92,8310.75,11024
1738592999,8151.99,8308.00,11029
1738593057,8152.40,8308.45,11058
1738593119,8152.66,8309.55,11076
1738593179,8152.69,8315.00,11078
1738593239,8153.39,8315.00,11126
1738593299,8153.39,8315.00,11126
