t,ap,cp,v
1738573635,1439.90,1439.90,129
1738573696,1439.90,1439.90,129
1738573786,1439.90,1439.90,129
1738574159,1437.36,1442.25,470
1738574219,1438.41,1439.35,658
1738574279,1438.31,1435.45,715
1738574339,1436.94,1433.95,922
1738574399,1436.88,1432.60,945
1738574459,1436.03,1427.40,1090
1738574519,1435.63,1435.35,1271
1738574579,1435.61,1439.25,1334
1738574639,1435.92,1443.25,1416
1738574699,1437.05,1444.05,1672
1738574759,1437.82,1445.70,2072
1738574819,1438.51,1454.60,2168
1738574879,1439.24,1462.80,2246
1738574939,1439.39,1458.70,2263
1738574999,1440.80,1457.50,2453
1738575059,1440.94,1451.35,2485
1738575119,1441.11,1448.55,2538
1738575179,1441.66,1449.90,2718
1738575239,1441.69,1448.00,2726
1738575299,1441.83,1445.25,2810
1738575359,1441.83,1440.50,2919
1738575419,1441.83,1440.40,2959
1738575479,1441.71,1442.25,3131
1738575539,1441.71,1441.60,3136
1738575599,1441.66,1442.05,3192
1738575659,1441.66,1442.15,3254
1738575719,1441.66,1442.00,3257
1738575779,1441.67,1444.75,3265
1738575839,1441.68,1441.70,3282
1738575899,1441.65,1439.90,3342
1738575959,1441.55,1439.05,3470
1738576016,1441.54,1440.00,3485
1738576078,1441.17,1437.90,3953
1738576139,1441.16,1438.10,3972
1738576198,1440.97,1436.80,4121
1738576259,1440.57,1437.20,4394
1738576319,1440.51,1438.80,4535
1738576379,1440.51,1438.85,4544
1738576439,1440.49,1437.50,4569
1738576498,1440.49,1437.50,4570
1738576559,1440.44,1436.20,4622
1738576619,1440.40,1437.35,4662
1738576679,1440.39,1438.10,4675
1738576739,1440.36,1433.60,4695
1738576799,1440.35,1434.00,4698
1738576859,1440.32,1432.80,4719
1738576919,1440.27,1438.10,4755
1738576979,1440.22,1437.30,4804
1738577039,1440.20,1436.65,4824
1738577099,1440.20,1436.75,4825
1738577159,1440.13,1433.05,4878
1738577219,1440.05,1429.95,4917
1738577279,1439.82,1434.55,5050
1738577338,1439.82,1434.55,5055
1738577398,1439.81,1434.55,5056
1738577459,1439.81,1440.55,5082
1738577519,1439.82,1439.30,5151
1738577579,1439.82,1438.90,5187
1738577639,1439.82,1438.90,5187
1738577699,1439.82,1434.55,5189
1738577757,1439.77,1431.30,5226
1738577819,1439.76,1430.85,5233
1738577879,1439.51,1424.70,5333
1738577939,1439.06,1424.10,5467
1738577999,1439.02,1428.70,5483
1738578059,1438.76,1429.35,5610
1738578118,1438.72,1430.65,5641
1738578179,1438.64,1430.90,5697
1738578239,1438.64,1431.00,5698
1738578299,1438.60,1429.80,5725
