t,ap,cp,v
1738573635,1812.60,1812.60,2
1738573740,1812.60,1812.60,2
1738574159,1808.36,1813.00,21
1738574219,1808.93,1809.00,48
1738574279,1808.93,1809.00,48
1738574339,1808.20,1802.75,57
1738574399,1808.04,1804.95,60
1738574459,1806.41,1798.25,75
1738574518,1806.22,1807.25,140
1738574579,1806.33,1811.60,147
1738574639,1806.37,1813.00,148
1738574699,1806.37,1813.00,148
1738574758,1806.96,1810.00,179
1738574819,1807.13,1820.00,183
1738574879,1807.13,1820.00,183
1738574939,1808.29,1816.50,208
1738574999,1808.29,1816.50,208
1738575059,1808.29,1816.50,208
1738575119,1808.29,1816.50,208
1738575179,1808.90,1820.50,219
1738575239,1808.90,1820.50,219
1738575299,1809.04,1819.30,222
1738575359,1809.20,1816.15,227
1738575419,1809.34,1819.75,230
1738575479,1809.34,1819.75,230
1738575539,1810.65,1811.85,316
1738575599,1810.70,1812.75,324
1738575659,1810.70,1812.75,324
1738575719,1812.87,1818.00,461
1738575779,1812.87,1818.00,461
1738575839,1812.96,1816.95,469
1738575899,1812.96,1816.95,469
1738575959,1812.96,1816.95,469
1738576019,1812.96,1816.95,469
1738576079,1812.96,1816.95,469
1738576139,1812.96,1816.95,469
1738576199,1812.91,1810.10,477
1738576258,1812.91,1810.10,477
1738576319,1812.91,1810.10,477
1738576379,1812.78,1817.95,952
1738576439,1812.79,1817.95,954
1738576497,1812.79,1817.95,954
1738576559,1812.81,1826.20,955
1738576619,1813.24,1829.00,981
1738576679,1813.24,1829.00,981
1738576739,1813.24,1829.00,981
1738576799,1813.36,1830.00,988
1738576859,1813.42,1828.45,992
1738576919,1813.66,1827.35,1010
1738576979,1813.66,1827.35,1010
1738577039,1814.10,1824.95,1050
1738577099,1814.10,1824.95,1050
1738577158,1814.10,1824.95,1050
1738577219,1814.15,1826.70,1054
1738577279,1814.24,1829.95,1060
1738577339,1814.24,1829.95,1060
1738577399,1814.24,1829.95,1060
1738577459,1814.45,1835.60,1071
1738577519,1814.45,1835.60,1071
1738577579,1814.45,1835.60,1071
1738577639,1814.45,1835.60,1071
1738577699,1814.45,1835.60,1071
1738577759,1814.69,1831.75,1086
1738577819,1814.72,1833.70,1088
1738577877,1814.74,1830.00,1089
