t,ap,cp,v
1738574156,1121.58,1141.55,100
1738574218,1122.25,1130.60,108
1738574279,1123.10,1128.20,126
1738574339,1123.10,1128.20,126
1738574399,1121.51,1110.00,155
1738574459,1118.39,1100.00,184
1738574518,1109.65,1100.05,285
1738574578,1109.51,1104.10,314
1738574639,1107.92,1113.20,368
1738574699,1108.08,1115.40,376
1738574759,1108.14,1108.70,420
1738574819,1107.95,1110.60,521
1738574879,1107.86,1099.00,538
1738574939,1107.71,1097.90,547
1738574999,1107.27,1097.05,569
1738575059,1101.74,1102.55,928
1738575119,1101.21,1097.15,1046
1738575172,1101.16,1100.00,1096
1738575235,1101.10,1097.50,1129
1738575297,1101.10,1097.50,1129
1738575358,1101.10,1099.50,1130
1738575418,1101.08,1099.50,1145
1738575477,1101.07,1097.30,1146
1738575538,1101.07,1100.25,1150
1738575598,1101.07,1100.25,1150
1738575659,1101.07,1100.25,1150
1738575716,1101.07,1100.25,1150
1738575778,1101.07,1100.25,1150
1738575839,1101.07,1100.25,1150
1738575899,1101.07,1103.10,1152
1738575958,1101.08,1105.70,1154
1738576017,1101.10,1104.00,1160
1738576078,1101.10,1104.00,1160
1738576139,1101.11,1106.65,1194
1738576196,1101.15,1102.20,1204
1738576257,1101.15,1102.20,1204
1738576318,1101.15,1102.20,1204
1738576379,1101.15,1102.20,1204
1738576436,1101.15,1102.20,1204
1738576499,1101.15,1102.20,1204
1738576558,1101.15,1102.20,1204
1738576614,1101.15,1102.20,1204
1738576679,1101.15,1102.20,1204
1738576739,1101.15,1102.20,1204
1738576799,1101.15,1102.20,1204
1738576859,1101.16,1102.20,1216
1738576915,1101.17,1104.70,1220
1738576979,1101.17,1102.30,1223
1738577039,1101.17,1102.30,1223
1738577099,1101.18,1105.70,1225
1738577159,1101.18,1105.70,1225
1738577218,1101.17,1101.10,1237
1738577279,1101.18,1104.75,1238
1738577339,1101.18,1104.75,1238
1738577399,1101.18,1104.75,1238
1738577459,1101.18,1101.10,1257
1738577519,1101.18,1101.10,1257
1738577579,1101.18,1101.10,1257
1738577639,1101.25,1113.35,1265
1738577695,1101.86,1113.35,1357
1738577757,1101.86,1113.35,1357
1738577817,1101.86,1113.35,1357
1738577877,1101.86,1113.35,1357
1738577938,1101.86,1113.35,1357
1738577999,1101.86,1114.30,1358
1738578059,1101.86,1114.30,1358
1738578116,1101.86,1114.30,1358
1738578179,1102.80,1114.30,1468
1738578230,1102.80,1114.30,1468
1738578298,1102.80,1114.30,1468
1738578358,1102.80,1114.30,1468
1738578418,1102.80,1114.30,1468
1738578479,1103.00,1111.55,1501
1738578524,1103.00,1111.55,1501
1738578597,1103.15,1107.25,1555
1738578658,1103.15,1107.25,1555
1738578707,1103.15,1107.25,1555
1738578779,1103.15,1107.25,1555
1738578837,1103.15,1107.25,1555
1738578899,1103.15,1107.25,1555
1738578940,1103.15,1107.25,1555
1738579019,1103.15,1107.25,1555
1738579079,1103.15,1107.25,1555
1738579138,1103.15,1107.25,1555
1738579198,1103.15,1107.25,1555
1738579257,1103.15,1107.25,1555
1738579314,1103.15,1107.25,1555
1738579374,1103.15,1107.25,1555
1738579428,1103.17,1112.35,1558
1738579499,1103.17,1112.35,1558
1738579559,1103.17,1112.35,1558
1738579615,1103.17,1112.35,1558
1738579679,1103.17,1112.35,1558
1738579728,1103.17,1112.35,1558
1738579779,1103.17,1112.35,1558
1738579812,1103.17,1112.35,1558
1738579905,1103.17,1112.35,1558
1738579977,1103.17,1112.35,1558
1738580030,1103.18,1102.55,1569
1738580099,1103.18,1102.55,1569
1738580143,1103.19,1105.55,1578
1738580215,1103.19,1105.55,1578
1738580266,1103.19,1105.55,1578
1738580338,1103.21,1105.50,1586
1738580390,1103.21,1105.50,1586
1738580458,1103.21,1105.50,1586
1738580502,1103.21,1105.50,1586
1738580575,1103.21,1105.50,1586
1738580639,1103.21,1105.50,1586
1738580697,1103.21,1105.50,1586
1738580748,1103.20,1101.00,1587
1738580818,1103.20,1101.00,1587
1738580876,1103.20,1101.00,1587
1738580937,1103.17,1101.00,1611
1738580995,1103.17,1101.00,1611
1738581057,1103.17,1101.00,1611
1738581118,1103.17,1101.00,1611
1738581171,1103.17,1101.00,1611
1738581226,1103.17,1101.00,1611
1738581296,1103.17,1101.00,1611
1738581337,1103.17,1101.00,1611
1738581418,1103.17,1101.00,1611
1738581466,1103.17,1101.00,1611
1738581536,1103.17,1101.00,1611
1738581598,1103.17,1102.80,1613
1738581655,1103.17,1102.80,1613
1738581718,1103.17,1102.80,1613
1738581777,1103.17,1102.80,1613
1738581825,1103.17,1102.80,1613
1738581899,1103.17,1102.80,1613
1738581939,1103.17,1102.80,1613
1738582019,1103.17,1102.80,1613
1738582058,1103.17,1102.80,1613
1738582113,1103.15,1101.20,1635
1738582199,1103.15,1101.20,1635
1738582251,1103.15,1101.20,1635
1738582300,1103.15,1101.20,1635
1738582366,1103.15,1101.20,1635
1738582438,1103.15,1101.20,1635
1738582499,1103.15,1101.20,1635
1738582559,1103.13,1100.85,1647
1738582617,1103.13,1100.85,1647
1738582671,1103.13,1102.65,1648
1738582711,1103.13,1102.65,1648
1738582762,1103.13,1102.65,1648
1738582847,1103.13,1102.65,1648
1738582901,1102.96,1098.90,1722
1738582971,1102.96,1098.90,1722
1738583038,1102.96,1098.90,1722
1738583098,1102.96,1098.90,1722
1738583159,1102.96,1098.90,1722
1738583219,1102.96,1098.90,1722
1738583275,1102.96,1098.90,1722
1738583335,1102.96,1098.90,1722
1738583387,1102.96,1098.90,1722
1738583457,1102.96,1098.90,1722
1738583518,1102.96,1098.90,1722
1738583576,1102.96,1098.90,1722
1738583639,1102.96,1098.90,1722
1738583696,1102.96,1098.90,1722
1738583759,1102.96,1098.90,1722
1738583773,1102.96,1098.90,1722
1738583866,1102.96,1098.90,1722
1738583926,1102.96,1098.90,1722
1738583985,1102.96,1098.90,1722
1738584056,1102.86,1097.65,1759
1738584116,1102.86,1097.65,1759
1738584179,1102.86,1097.65,1759
1738584230,1102.86,1097.65,1759
1738584298,1102.86,1097.65,1759
1738584418,1102.86,1097.65,1759
1738584446,1102.86,1097.65,1759
1738584511,1102.86,1097.65,1759
1738584595,1102.86,1097.65,1759
1738584654,1102.80,1094.60,1772
1738584719,1102.80,1094.60,1772
1738584779,1102.80,1094.60,1772
1738584831,1102.80,1094.60,1772
1738584897,1102.80,1094.60,1772
1738584943,1102.80,1094.60,1772
1738584971,1102.80,1094.60,1772
1738585035,1102.80,1094.60,1772
1738585111,1102.80,1094.60,1772
1738585172,1102.80,1094.60,1772
1738585258,1102.80,1094.60,1772
1738585319,1102.80,1094.60,1772
1738585376,1102.80,1094.60,1772
1738585439,1102.76,1096.45,1782
1738585489,1102.76,1096.45,1782
1738585555,1102.76,1096.45,1782
1738585619,1102.76,1096.45,1782
1738585669,1102.76,1096.45,1782
1738585721,1102.76,1096.45,1782
1738585799,1102.76,1096.45,1782
1738585859,1102.76,1096.45,1782
1738585910,1102.76,1096.45,1782
1738585965,1102.76,1096.45,1782
1738586033,1102.76,1096.45,1782
1738586099,1102.76,1096.45,1782
1738586159,1102.76,1096.45,1782
1738586215,1102.76,1096.45,1782
1738586265,1102.76,1096.45,1782
1738586335,1102.76,1096.45,1782
1738586398,1102.76,1096.45,1782
1738586452,1102.76,1093.00,1783
1738586513,1102.76,1093.00,1783
1738586576,1102.76,1093.00,1783
1738586632,1102.71,1093.00,1791
1738586699,1102.71,1093.00,1791
1738586753,1102.71,1093.00,1791
1738586814,1102.71,1093.00,1791
1738586878,1102.71,1093.00,1791
1738586931,1102.71,1093.00,1791
1738586995,1102.71,1093.00,1791
1738587039,1102.71,1093.00,1791
1738587107,1102.71,1093.00,1791
1738587179,1102.71,1093.00,1791
1738587239,1102.71,1093.00,1791
1738587280,1102.71,1093.00,1791
1738587359,1102.71,1093.00,1791
1738587419,1102.71,1093.00,1791
1738587474,1102.71,1093.00,1791
1738587534,1102.71,1093.00,1791
1738587599,1102.71,1093.00,1791
1738587658,1102.71,1093.00,1791
1738587717,1102.71,1093.00,1791
1738587767,1102.71,1093.00,1791
1738587838,1102.71,1093.00,1791
1738587898,1102.71,1093.00,1791
1738587958,1102.71,1093.00,1791
1738588011,1102.71,1093.00,1791
1738588079,1102.71,1093.00,1791
1738588137,1102.71,1093.00,1791
1738588198,1102.71,1093.00,1791
1738588255,1102.71,1093.00,1791
1738588319,1102.71,1093.00,1791
1738588378,1102.71,1093.00,1791
1738588425,1102.71,1093.00,1791
1738588497,1102.71,1093.00,1791
1738588559,1102.71,1093.00,1791
1738588619,1102.71,1093.00,1791
1738588679,1102.71,1093.00,1791
1738588707,1102.71,1093.00,1791
1738588793,1102.71,1093.00,1791
1738588859,1102.71,1093.00,1791
1738588919,1102.71,1093.00,1791
1738588979,1102.71,1093.00,1791
1738589039,1102.71,1093.00,1791
1738589099,1102.71,1093.00,1791
1738589159,1102.71,1093.00,1791
1738589219,1102.71,1093.00,1791
1738589276,1102.71,1093.00,1791
1738589331,1102.03,1093.00,1929
1738589393,1102.03,1093.00,1929
1738589459,1102.03,1093.00,1929
1738589514,1102.03,1093.00,1929
1738589575,1102.03,1093.00,1929
1738589637,1102.03,1093.00,1929
1738589698,1102.03,1093.00,1929
1738589754,1102.03,1093.00,1929
1738589819,1102.03,1093.00,1929
1738589874,1101.20,1096.45,2189
1738589939,1101.20,1096.45,2189
1738589990,1101.20,1096.45,2189
