t,ap,cp,v
1738573741,209.00,209.00,50
1738574145,209.00,209.00,50
1738574207,209.00,209.00,50
1738574278,209.00,209.00,50
1738574325,209.00,209.00,50
1738574363,209.00,209.00,50
1738574438,209.00,209.00,50
1738574460,209.00,209.00,50
1738574564,209.00,209.00,50
1738574638,208.37,208.25,250
1738574670,208.37,208.25,250
1738574748,208.37,208.25,250
1738574794,208.37,208.25,250
1738574872,208.37,208.25,250
1738574939,208.37,208.25,250
1738574989,208.37,208.25,253
1738575062,208.37,208.25,253
1738575349,208.37,208.25,253
1738575416,208.37,208.25,253
1738575494,208.37,208.25,253
1738575596,208.37,208.25,253
1738575845,208.37,208.25,253
1738576067,208.37,208.25,253
1738576184,208.26,208.00,353
1738576218,208.26,208.00,353
1738576483,208.26,208.00,353
1738576761,208.26,208.00,353
1738577037,208.26,208.00,353
1738577111,208.25,207.80,359
1738577160,208.25,207.80,364
1738577275,208.25,207.80,364
1738577293,208.25,207.80,364
1738577441,208.25,207.80,364
1738577481,208.25,207.80,364
1738577558,208.25,207.80,364
1738577612,208.25,207.80,364
1738577865,208.25,207.80,364
1738577931,206.32,203.00,587
1738578043,204.42,203.00,1364
1738578101,204.42,203.00,1364
1738578168,204.22,203.00,1587
1738578229,204.22,203.00,1587
1738578503,204.22,203.00,1588
1738578697,204.21,203.00,1606
1738578931,204.17,203.00,1657
1738579008,204.17,203.00,1657
1738579066,204.17,203.00,1657
1738579195,204.17,203.00,1657
1738579200,204.17,203.00,1657
1738579341,204.17,203.00,1657
1738579447,204.17,203.00,1658
1738579550,204.12,203.00,1738
1738579603,204.11,203.00,1748
1738579716,204.11,203.00,1748
1738579743,204.11,203.00,1748
1738579978,203.17,201.00,2748
1738580024,202.91,201.00,3119
1738580079,202.91,201.00,3119
1738580125,202.91,201.00,3119
1738580218,202.91,201.00,3119
1738580274,202.91,201.00,3119
1738580391,202.91,201.00,3119
1738580560,202.91,201.00,3119
1738580737,202.91,201.00,3119
1738580762,202.91,201.00,3119
1738580879,202.91,201.00,3119
1738580929,202.91,201.00,3119
1738581522,202.91,203.00,3229
1738581673,202.91,203.00,3229
1738581787,202.91,203.00,3229
1738581951,202.92,203.00,3619
1738582007,202.92,203.00,3729
1738582067,202.94,203.00,4619
1738582376,203.82,207.00,7619
1738582439,204.48,207.00,9564
1738582499,205.27,207.00,13979
1738582553,205.27,207.00,13979
1738582618,205.27,204.10,13989
1738582671,205.27,204.10,13989
1738582711,205.27,204.10,13989
1738582834,205.27,204.10,13989
1738582882,205.27,206.00,14000
1738582962,205.27,206.00,14000
1738583090,205.28,207.00,14100
1738583116,205.28,207.00,14100
1738583205,205.28,207.00,14100
1738583459,205.28,207.00,14100
1738583491,205.28,207.00,14100
1738583576,205.28,207.00,14100
1738583773,205.28,207.00,14100
1738583900,205.28,207.00,14100
1738583998,205.28,207.00,14100
1738584025,205.28,207.00,14100
1738584163,205.28,207.00,14100
1738584237,205.28,207.00,14100
1738584285,205.33,206.00,14991
1738584338,205.33,206.00,14991
1738584510,205.33,206.00,14991
1738584589,205.33,206.00,14991
1738585654,205.33,206.00,14991
1738585841,205.33,206.00,14991
1738585912,205.32,205.25,15291
1738585928,205.32,205.25,15291
1738586061,205.32,204.45,15391
1738586153,205.32,204.45,15391
1738586166,205.32,204.45,15391
1738586309,205.32,204.45,15391
1738586399,205.32,204.45,15391
1738586414,205.32,204.45,15391
1738586578,205.32,204.45,15391
1738587931,205.32,204.45,15391
1738588075,205.32,204.45,15391
1738588080,205.32,204.45,15391
1738588236,205.32,204.45,15391
1738588546,205.32,204.45,15391
1738588618,205.32,204.45,15391
1738588634,205.47,206.00,19768
1738588827,205.47,207.00,19793
1738588970,205.47,207.00,19793
1738589140,205.47,207.00,19793
1738589386,205.49,207.50,19993
1738589453,205.49,207.50,19993
1738589462,205.64,207.50,21593
1738589530,205.64,207.50,21593
1738589747,205.64,207.50,21593
1738589805,205.64,207.50,21593
1738589913,205.68,207.50,22093
1738589997,205.68,207.50,22123
1738590057,205.68,207.50,22123
1738590137,205.68,207.50,22123
1738590202,205.68,207.50,22123
1738590300,205.68,207.50,22123
1738590418,205.68,207.50,22123
1738590780,205.68,207.50,22123
1738590885,205.77,208.00,23123
1738591157,205.77,208.00,23123
1738591201,205.77,208.00,23123
1738591374,205.78,208.00,23198
1738591580,205.78,208.00,23198
1738591684,205.78,208.00,23198
1738591907,205.78,208.00,23198
1738592729,205.78,208.00,23220
1738592788,205.78,208.00,23220
1738593303,205.78,208.00,23220
1738593515,205.78,208.00,23223
1738594805,205.78,208.00,23223
1738595708,205.78,208.00,23223
1738595863,205.78,208.00,23253
1738595969,205.78,208.00,23253
1738596042,205.78,208.00,23253
1738596106,205.79,206.05,23303
1738596124,205.79,206.05,23303
1738596184,205.79,206.05,23303
1738596266,205.79,206.05,23303
1738596426,205.79,208.00,23385
1738596580,205.79,208.00,23390
1738596603,205.79,208.00,23390
1738596676,205.79,208.00,23390
1738597249,205.79,208.00,23390
1738597290,205.80,207.50,23489
1738597341,205.80,207.50,23489
1738597416,205.80,207.50,23519
1738598402,205.80,207.50,23519
1738598494,205.80,207.50,23519
t,ap,cp,v
1738573741,209.00,209.00,50
1738574145,209.00,209.00,50
1738574207,209.00,209.00,50
1738574278,209.00,209.00,50
1738574325,209.00,209.00,50
1738574363,209.00,209.00,50
1738574438,209.00,209.00,50
1738574460,209.00,209.00,50
1738574564,209.00,209.00,50
1738574638,208.37,208.25,250
1738574670,208.37,208.25,250
1738574748,208.37,208.25,250
1738574794,208.37,208.25,250
1738574872,208.37,208.25,250
1738574939,208.37,208.25,250
1738574989,208.37,208.25,253
1738575062,208.37,208.25,253
1738575349,208.37,208.25,253
1738575416,208.37,208.25,253
1738575494,208.37,208.25,253
1738575596,208.37,208.25,253
1738575845,208.37,208.25,253
1738576067,208.37,208.25,253
1738576184,208.26,208.00,353
1738576218,208.26,208.00,353
1738576483,208.26,208.00,353
1738576761,208.26,208.00,353
1738577037,208.26,208.00,353
1738577111,208.25,207.80,359
1738577160,208.25,207.80,364
1738577275,208.25,207.80,364
1738577293,208.25,207.80,364
1738577441,208.25,207.80,364
1738577481,208.25,207.80,364
1738577558,208.25,207.80,364
1738577612,208.25,207.80,364
1738577865,208.25,207.80,364
1738577931,206.32,203.00,587
1738578043,204.42,203.00,1364
1738578101,204.42,203.00,1364
1738578168,204.22,203.00,1587
1738578229,204.22,203.00,1587
1738578503,204.22,203.00,1588
1738578697,204.21,203.00,1606
1738578931,204.17,203.00,1657
1738579008,204.17,203.00,1657
1738579066,204.17,203.00,1657
1738579195,204.17,203.00,1657
1738579200,204.17,203.00,1657
1738579341,204.17,203.00,1657
1738579447,204.17,203.00,1658
1738579550,204.12,203.00,1738
1738579603,204.11,203.00,1748
1738579716,204.11,203.00,1748
1738579743,204.11,203.00,1748
1738579978,203.17,201.00,2748
1738580024,202.91,201.00,3119
1738580079,202.91,201.00,3119
1738580125,202.91,201.00,3119
1738580218,202.91,201.00,3119
1738580274,202.91,201.00,3119
1738580391,202.91,201.00,3119
1738580560,202.91,201.00,3119
1738580737,202.91,201.00,3119
1738580762,202.91,201.00,3119
1738580879,202.91,201.00,3119
1738580929,202.91,201.00,3119
1738581522,202.91,203.00,3229
1738581673,202.91,203.00,3229
1738581787,202.91,203.00,3229
1738581951,202.92,203.00,3619
1738582007,202.92,203.00,3729
1738582067,202.94,203.00,4619
1738582376,203.82,207.00,7619
1738582439,204.48,207.00,9564
1738582499,205.27,207.00,13979
1738582553,205.27,207.00,13979
1738582618,205.27,204.10,13989
1738582671,205.27,204.10,13989
1738582711,205.27,204.10,13989
1738582834,205.27,204.10,13989
1738582882,205.27,206.00,14000
1738582962,205.27,206.00,14000
1738583090,205.28,207.00,14100
1738583116,205.28,207.00,14100
1738583205,205.28,207.00,14100
1738583459,205.28,207.00,14100
1738583491,205.28,207.00,14100
1738583576,205.28,207.00,14100
1738583773,205.28,207.00,14100
1738583900,205.28,207.00,14100
1738583998,205.28,207.00,14100
1738584025,205.28,207.00,14100
1738584163,205.28,207.00,14100
1738584237,205.28,207.00,14100
1738584285,205.33,206.00,14991
1738584338,205.33,206.00,14991
1738584510,205.33,206.00,14991
1738584589,205.33,206.00,14991
1738585654,205.33,206.00,14991
1738585841,205.33,206.00,14991
1738585912,205.32,205.25,15291
1738585928,205.32,205.25,15291
1738586061,205.32,204.45,15391
1738586153,205.32,204.45,15391
1738586166,205.32,204.45,15391
1738586309,205.32,204.45,15391
1738586399,205.32,204.45,15391
1738586414,205.32,204.45,15391
1738586578,205.32,204.45,15391
1738587931,205.32,204.45,15391
1738588075,205.32,204.45,15391
1738588080,205.32,204.45,15391
1738588236,205.32,204.45,15391
1738588546,205.32,204.45,15391
1738588618,205.32,204.45,15391
1738588634,205.47,206.00,19768
1738588827,205.47,207.00,19793
1738588970,205.47,207.00,19793
1738589140,205.47,207.00,19793
1738589386,205.49,207.50,19993
1738589453,205.49,207.50,19993
1738589462,205.64,207.50,21593
1738589530,205.64,207.50,21593
1738589747,205.64,207.50,21593
1738589805,205.64,207.50,21593
1738589913,205.68,207.50,22093
1738589997,205.68,207.50,22123
1738590057,205.68,207.50,22123
1738590137,205.68,207.50,22123
1738590202,205.68,207.50,22123
1738590300,205.68,207.50,22123
1738590418,205.68,207.50,22123
1738590780,205.68,207.50,22123
1738590885,205.77,208.00,23123
1738591157,205.77,208.00,23123
1738591201,205.77,208.00,23123
1738591374,205.78,208.00,23198
1738591580,205.78,208.00,23198
1738591684,205.78,208.00,23198
1738591907,205.78,208.00,23198
1738592729,205.78,208.00,23220
1738592788,205.78,208.00,23220
1738593303,205.78,208.00,23220
1738593515,205.78,208.00,23223
1738594805,205.78,208.00,23223
1738595708,205.78,208.00,23223
