t,ap,cp,v
1738573634,5601.75,5601.75,38
1738573693,5601.75,5601.75,38
1738573740,5601.75,5601.75,38
1738574159,5580.10,5555.30,617
1738574219,5577.55,5524.10,642
1738574279,5570.61,5495.30,711
1738574339,5564.71,5486.30,769
1738574399,5557.46,5489.00,845
1738574459,5551.89,5479.55,918
1738574519,5549.03,5499.85,968
1738574579,5542.82,5496.70,1083
1738574639,5542.77,5511.50,1085
1738574698,5542.35,5528.05,1121
1738574759,5542.95,5579.55,1169
1738574819,5543.94,5589.75,1201
1738574879,5545.13,5584.35,1236
1738574939,5546.64,5600.05,1271
1738574999,5546.98,5584.25,1282
1738575059,5547.26,5607.00,1288
1738575119,5549.69,5611.10,1337
1738575179,5549.74,5616.05,1338
1738575239,5551.45,5621.00,1370
1738575298,5551.45,5621.00,1370
1738575359,5551.90,5596.60,1383
1738575419,5552.15,5597.10,1391
1738575479,5552.33,5589.20,1398
1738575539,5552.42,5576.60,1402
1738575599,5553.70,5595.45,1457
1738575659,5553.90,5595.45,1464
1738575719,5553.97,5590.60,1467
1738575779,5557.08,5618.70,1576
1738575839,5559.66,5617.95,1644
1738575899,5562.86,5593.40,1786
1738575959,5562.90,5595.75,1788
1738576017,5562.90,5595.75,1788
1738576079,5562.93,5596.40,1790
1738576139,5562.96,5570.00,1796
1738576199,5563.01,5573.30,1808
1738576259,5563.01,5573.30,1808
1738576319,5563.01,5573.30,1808
1738576379,5563.01,5573.30,1808
1738576439,5563.01,5573.30,1808
1738576499,5563.02,5574.00,1810
1738576559,5563.65,5575.00,1919
1738576619,5563.72,5575.70,1936
1738576678,5563.72,5575.70,1936
1738576739,5563.72,5575.70,1936
1738576799,5563.72,5575.70,1936
1738576859,5563.72,5575.70,1936
1738576919,5563.86,5601.25,1944
1738576979,5563.96,5580.55,1954
1738577039,5563.97,5578.65,1955
1738577099,5564.46,5583.40,2001
1738577159,5564.46,5583.40,2001
1738577219,5564.53,5594.30,2006
1738577279,5564.65,5593.15,2015
1738577339,5564.65,5593.15,2015
1738577399,5564.65,5593.15,2015
1738577459,5571.67,5587.10,2325
1738577519,5571.85,5588.85,2342
1738577579,5571.91,5575.70,2355
1738577639,5571.97,5576.55,2389
1738577699,5571.97,5576.55,2390
1738577759,5571.91,5567.50,2423
1738577819,5571.93,5572.85,2457
1738577879,5571.97,5577.50,2475
1738577939,5571.97,5577.50,2475
1738577999,5571.97,5577.50,2475
1738578059,5571.97,5577.50,2475
1738578119,5571.97,5582.75,2494
1738578179,5572.28,5572.95,2604
1738578239,5572.31,5582.75,2612
1738578299,5572.31,5582.75,2612
1738578357,5572.37,5588.35,2622
1738578419,5572.41,5589.00,2628
1738578479,5572.56,5580.45,2673
1738578539,5572.56,5580.45,2673
1738578599,5572.56,5580.45,2673
1738578658,5572.59,5577.35,2690
1738578719,5572.74,5586.10,2724
1738578779,5572.74,5575.00,2725
1738578839,5572.72,5559.60,2731
1738578899,5572.72,5559.60,2731
1738578959,5572.60,5567.50,2771
1738579019,5572.60,5567.50,2771
1738579079,5572.58,5561.75,2776
1738579139,5572.57,5557.95,2777
1738579199,5572.53,5562.10,2787
1738579259,5572.49,5570.20,2820
1738579319,5572.49,5570.20,2820
