t,ap,cp,v
1738573635,2894.35,2894.35,9
1738573727,2894.35,2894.35,9
1738573741,2894.35,2894.35,9
1738574159,2863.68,2829.15,22
1738574219,2843.26,2810.15,36
1738574279,2838.34,2808.30,42
1738574339,2838.34,2808.30,42
1738574399,2827.32,2811.40,67
1738574459,2820.66,2801.85,89
1738574518,2820.46,2802.30,90
1738574579,2820.17,2807.30,92
1738574639,2820.17,2807.30,92
1738574698,2819.73,2809.70,96
1738574759,2810.29,2807.30,398
1738574819,2810.40,2825.90,401
1738574879,2810.54,2824.30,405
1738574939,2810.74,2826.50,410
1738574999,2810.74,2826.50,410
1738575059,2810.74,2826.50,410
1738575119,2810.74,2826.50,410
1738575179,2810.74,2826.50,410
1738575239,2810.74,2826.50,410
1738575298,2810.74,2826.50,410
1738575359,2810.74,2826.50,410
1738575419,2810.74,2826.50,410
1738575479,2810.74,2826.50,410
1738575539,2810.74,2826.50,410
1738575599,2811.98,2836.20,432
1738575659,2813.30,2838.05,455
1738575719,2813.30,2838.05,455
1738575779,2813.66,2841.20,461
1738575839,2813.66,2841.20,461
1738575899,2813.66,2841.20,461
1738575959,2813.93,2855.00,464
1738576017,2814.01,2850.85,465
1738576079,2814.40,2850.80,470
1738576139,2814.70,2834.55,478
1738576199,2814.70,2834.55,478
1738576259,2814.74,2830.35,479
1738576319,2814.74,2830.35,479
1738576379,2814.74,2830.35,479
1738576438,2814.83,2829.20,482
1738576499,2814.85,2826.00,483
1738576559,2814.85,2826.00,483
1738576618,2814.85,2826.00,483
1738576679,2814.85,2826.00,483
1738576739,2814.85,2826.00,483
1738576798,2815.16,2821.80,506
1738576859,2815.16,2821.80,506
1738576918,2815.25,2821.50,513
1738576979,2815.28,2818.55,518
1738577039,2815.28,2818.55,518
1738577098,2815.28,2818.55,518
1738577159,2815.28,2818.55,518
1738577219,2815.28,2818.55,518
1738577279,2815.28,2818.55,518
1738577339,2815.28,2818.55,518
1738577399,2815.28,2818.55,518
1738577459,2815.29,2820.20,519
1738577519,2815.29,2820.20,519
1738577579,2815.29,2820.20,519
1738577639,2815.29,2820.20,519
1738577699,2815.29,2820.20,519
1738577759,2815.29,2820.20,519
1738577819,2815.29,2820.20,519
1738577879,2815.17,2805.15,525
1738577939,2815.10,2793.85,527
1738577998,2814.31,2798.20,553
1738578059,2814.26,2801.05,555
1738578119,2814.09,2801.20,562
1738578179,2810.22,2801.35,714
1738578239,2810.22,2801.35,714
1738578299,2810.17,2796.10,717
1738578359,2810.17,2796.10,717
1738578419,2810.17,2796.10,717
1738578479,2810.17,2796.10,717
1738578539,2810.17,2796.10,717
1738578599,2810.17,2796.10,717
1738578659,2810.17,2796.10,717
1738578719,2810.14,2804.20,720
1738578779,2810.11,2797.60,722
1738578839,2810.11,2797.60,722
1738578899,2810.11,2797.60,722
1738578959,2810.11,2797.60,722
1738579019,2810.11,2797.60,722
1738579079,2810.09,2796.10,723
1738579139,2810.09,2796.10,723
1738579199,2809.82,2785.55,731
1738579257,2809.76,2786.90,733
1738579319,2809.76,2786.90,733
1738579379,2809.76,2786.90,733
1738579438,2809.76,2786.90,733
1738579499,2809.76,2786.90,733
1738579559,2809.76,2786.90,733
1738579619,2809.76,2786.90,733
1738579679,2809.76,2786.90,733
1738579736,2809.76,2786.90,733
1738579799,2809.76,2786.90,733
1738579859,2808.74,2791.20,770
1738579919,2808.74,2791.20,770
1738579979,2808.70,2794.05,772
1738580039,2808.70,2794.05,772
1738580099,2808.70,2794.05,772
1738580159,2808.70,2794.05,772
1738580218,2808.70,2794.05,772
1738580279,2808.70,2794.05,772
1738580339,2808.65,2788.30,774
1738580399,2808.65,2788.30,774
1738580459,2808.65,2788.30,774
1738580519,2808.65,2788.30,774
1738580578,2808.65,2788.30,774
1738580639,2808.65,2788.30,774
1738580699,2808.65,2788.30,774
1738580759,2808.65,2788.30,774
1738580819,2808.65,2788.30,774
1738580879,2808.65,2788.30,774
1738580939,2808.65,2788.30,774
1738580999,2808.65,2788.30,774
1738581059,2808.65,2788.30,774
1738581119,2808.63,2793.60,775
1738581179,2808.63,2793.60,775
1738581239,2808.63,2793.60,775
1738581299,2808.63,2793.60,775
1738581359,2808.63,2793.60,775
1738581419,2808.63,2793.60,775
1738581479,2808.63,2793.60,775
1738581539,2808.63,2793.60,775
1738581599,2808.63,2793.60,775
1738581655,2808.63,2793.60,775
1738581719,2808.63,2793.60,775
1738581779,2808.63,2793.60,775
1738581836,2808.63,2793.60,775
1738581898,2808.63,2793.60,775
1738581959,2808.63,2793.60,775
1738582019,2808.63,2793.60,775
1738582079,2808.63,2793.60,775
1738582139,2808.63,2793.60,775
1738582199,2808.63,2793.60,775
1738582259,2808.63,2793.60,775
1738582319,2808.63,2793.60,775
1738582379,2808.63,2793.60,775
1738582439,2808.63,2793.60,775
1738582497,2808.63,2793.60,775
1738582559,2808.63,2793.60,775
1738582619,2808.63,2793.60,775
1738582679,2808.63,2793.60,775
1738582739,2808.63,2793.60,775
1738582799,2808.63,2793.60,775
1738582859,2808.63,2793.60,775
1738582918,2808.63,2793.60,775
1738582979,2808.63,2793.60,775
1738583039,2808.63,2793.60,775
1738583099,2808.63,2793.60,775
1738583159,2808.60,2783.90,776
1738583219,2808.60,2783.90,776
1738583279,2808.60,2783.90,776
1738583339,2808.60,2783.90,776
1738583397,2808.60,2783.90,776
1738583457,2808.60,2783.90,776
1738583519,2808.41,2779.00,781
1738583579,2808.41,2779.00,781
1738583639,2808.41,2779.00,781
1738583699,2808.41,2779.00,781
1738583759,2808.32,2775.25,783
1738583819,2808.10,2791.30,791
1738583879,2807.97,2787.95,796
1738583939,2807.97,2787.95,796
1738583999,2807.97,2787.95,796
1738584059,2807.97,2787.95,796
1738584119,2807.97,2787.95,796
1738584179,2807.97,2787.95,796
1738584239,2807.97,2787.95,796
1738584299,2807.95,2792.90,797
1738584359,2807.95,2792.90,797
1738584419,2807.76,2793.60,806
1738584477,2807.76,2793.60,806
1738584539,2807.76,2793.60,806
1738584599,2807.76,2793.60,806
1738584659,2807.76,2793.60,806
1738584719,2807.76,2793.60,806
1738584779,2807.76,2793.60,806
1738584839,2807.76,2793.60,806
1738584899,2807.76,2793.60,806
1738584957,2807.76,2793.60,806
1738585018,2807.76,2793.60,806
1738585079,2807.76,2793.60,806
1738585139,2807.76,2793.60,806
1738585199,2807.76,2793.60,806
1738585259,2807.76,2793.60,806
1738585318,2807.76,2793.60,806
1738585379,2807.76,2793.60,806
1738585439,2807.76,2793.60,806
1738585499,2807.76,2793.60,806
1738585559,2807.76,2793.60,806
1738585619,2807.65,2798.70,816
1738585679,2806.75,2795.60,902
1738585739,2806.75,2795.60,902
1738585799,2806.75,2795.60,902
1738585859,2806.75,2795.60,902
1738585918,2806.75,2795.60,902
1738585979,2806.75,2795.60,902
1738586039,2806.75,2795.60,902
1738586099,2806.75,2795.60,902
1738586159,2806.75,2795.60,902
1738586219,2806.66,2796.25,910
1738586277,2806.61,2793.40,914
1738586339,2806.61,2793.40,914
1738586398,2806.61,2793.40,914
1738586456,2806.61,2793.40,914
1738586519,2806.31,2795.60,937
1738586579,2806.31,2795.60,937
1738586639,2806.31,2795.60,937
1738586699,2806.31,2795.60,937
1738586759,2806.31,2795.60,937
1738586819,2806.31,2795.60,937
1738586879,2806.25,2794.20,941
1738586939,2806.25,2794.20,941
1738586998,2806.25,2794.20,941
1738587059,2806.25,2794.20,941
